663932.KB902575_gene972,KB902575_gene972,annotation&nbsp;not&nbsp;available,98.8
663932.KB902575_gene1265,KB902575_gene1265,Catalase,98.8
663932.KB902575_gene1348,KB902575_gene1348,annotation&nbsp;not&nbsp;available,98.8
663932.KB902575_gene961,rnc,Ribonuclease&nbsp;3,98.7
663932.KB902575_gene944,KB902575_gene944,annotation&nbsp;not&nbsp;available,98.7
663932.KB902575_gene2015,KB902575_gene2015,annotation&nbsp;not&nbsp;available,98.6
663932.KB902575_gene2486,KB902575_gene2486,annotation&nbsp;not&nbsp;available,98.6
663932.KB902575_gene1058,ilvC,Ketol-acid&nbsp;reductoisomerase&nbsp;(NADP(+)),98.6
663932.KB902575_gene2598,KB902575_gene2598,annotation&nbsp;not&nbsp;available,98.5
663932.KB902575_gene1813,KB902575_gene1813,annotation&nbsp;not&nbsp;available,98.5
663932.KB902575_gene756,KB902575_gene756,annotation&nbsp;not&nbsp;available,98.5
663932.KB902575_gene473,KB902575_gene473,annotation&nbsp;not&nbsp;available,98.5
663932.KB902575_gene1933,KB902575_gene1933,annotation&nbsp;not&nbsp;available,98.4
663932.KB902575_gene2588,rpsR,30S&nbsp;ribosomal&nbsp;protein&nbsp;S18,98.4
663932.KB902575_gene933,KB902575_gene933,annotation&nbsp;not&nbsp;available,98.2
663932.KB902575_gene922,KB902575_gene922,annotation&nbsp;not&nbsp;available,98.2
663932.KB902575_gene1157,KB902575_gene1157,annotation&nbsp;not&nbsp;available,98.1
663932.KB902575_gene3080,KB902575_gene3080,30S&nbsp;ribosomal&nbsp;protein&nbsp;S1,98.0
663932.KB902575_gene1536,KB902575_gene1536,annotation&nbsp;not&nbsp;available,97.9
663932.KB902575_gene483,KB902575_gene483,annotation&nbsp;not&nbsp;available,97.8
663932.KB902575_gene736,KB902575_gene736,annotation&nbsp;not&nbsp;available,97.8
663932.KB902575_gene429,prfB,Peptide&nbsp;chain&nbsp;release&nbsp;factor&nbsp;2,97.7
663932.KB902575_gene2163,atpG,ATP&nbsp;synthase&nbsp;gamma&nbsp;chain,97.6
663932.KB902575_gene2733,KB902575_gene2733,annotation&nbsp;not&nbsp;available,97.5
663932.KB902575_gene934,KB902575_gene934,annotation&nbsp;not&nbsp;available,97.4
663932.KB902575_gene224,KB902575_gene224,annotation&nbsp;not&nbsp;available,97.4
663932.KB902575_gene3121,KB902575_gene3121,Pyruvate&nbsp;dehydrogenase&nbsp;E1&nbsp;component&nbsp;subunit&nbsp;beta,97.3
663932.KB902575_gene1533,KB902575_gene1533,annotation&nbsp;not&nbsp;available,97.2
663932.KB902575_gene3042,glpX,annotation&nbsp;not&nbsp;available,97.2
663932.KB902575_gene2221,KB902575_gene2221,annotation&nbsp;not&nbsp;available,97.2
663932.KB902575_gene1850,rplC,50S&nbsp;ribosomal&nbsp;protein&nbsp;L3,97.0
663932.KB902575_gene760,KB902575_gene760,annotation&nbsp;not&nbsp;available,97.0
663932.KB902575_gene2635,KB902575_gene2635,annotation&nbsp;not&nbsp;available,96.9
663932.KB902575_gene2155,KB902575_gene2155,annotation&nbsp;not&nbsp;available,96.9
663932.KB902575_gene2630,KB902575_gene2630,annotation&nbsp;not&nbsp;available,96.9
663932.KB902575_gene1499,gidA,tRNA&nbsp;uridine&nbsp;5-carboxymethylaminomethyl&nbsp;modification&nbsp;enzyme&nbsp;MnmG,96.9
663932.KB902575_gene687,KB902575_gene687,annotation&nbsp;not&nbsp;available,96.8
663932.KB902575_gene522,KB902575_gene522,annotation&nbsp;not&nbsp;available,96.8
663932.KB902575_gene1866,rplR,50S&nbsp;ribosomal&nbsp;protein&nbsp;L18,96.7
663932.KB902575_gene402,KB902575_gene402,annotation&nbsp;not&nbsp;available,96.7
663932.KB902575_gene1809,fabH,3-oxoacyl-[acyl-carrier-protein]&nbsp;synthase&nbsp;3,96.6
663932.KB902575_gene1653,KB902575_gene1653,annotation&nbsp;not&nbsp;available,96.6
663932.KB902575_gene2353,KB902575_gene2353,annotation&nbsp;not&nbsp;available,96.6
663932.KB902575_gene1537,KB902575_gene1537,annotation&nbsp;not&nbsp;available,96.4
663932.KB902575_gene609,KB902575_gene609,annotation&nbsp;not&nbsp;available,96.4
663932.KB902575_gene1628,KB902575_gene1628,annotation&nbsp;not&nbsp;available,96.3
663932.KB902575_gene1916,KB902575_gene1916,annotation&nbsp;not&nbsp;available,96.3
663932.KB902575_gene1804,KB902575_gene1804,annotation&nbsp;not&nbsp;available,96.2
663932.KB902575_gene1453,KB902575_gene1453,annotation&nbsp;not&nbsp;available,96.2
663932.KB902575_gene2839,KB902575_gene2839,annotation&nbsp;not&nbsp;available,96.1
663932.KB902575_gene2372,KB902575_gene2372,annotation&nbsp;not&nbsp;available,96.1
663932.KB902575_gene208,KB902575_gene208,3-oxoacyl-[acyl-carrier-protein]&nbsp;synthase&nbsp;2,96.1
663932.KB902575_gene451,trpE,Anthranilate&nbsp;synthase&nbsp;component&nbsp;1,96.0
663932.KB902575_gene992,speE,Polyamine&nbsp;aminopropyltransferase,95.9
663932.KB902575_gene679,KB902575_gene679,annotation&nbsp;not&nbsp;available,95.9
663932.KB902575_gene1002,KB902575_gene1002,annotation&nbsp;not&nbsp;available,95.8
663932.KB902575_gene2960,gpmI,"2,3-bisphosphoglycerate-independent&nbsp;phosphoglycerate&nbsp;mutase",95.7
663932.KB902575_gene3010,KB902575_gene3010,annotation&nbsp;not&nbsp;available,95.6
663932.KB902575_gene2769,ahpD,Alkyl&nbsp;hydroperoxide&nbsp;reductase&nbsp;AhpD,95.6
