62977.ACIAD0247,ribD,Riboflavin&nbsp;biosynthesis&nbsp;protein&nbsp;RibD,98.9
62977.ACIAD3201,rpmD,50S&nbsp;ribosomal&nbsp;protein&nbsp;L30,98.7
62977.ACIAD1580,ACIAD1580,Putative&nbsp;ferredoxin&nbsp;reductase&nbsp;component&nbsp;(Dioxygenase),98.6
62977.ACIAD1450,catF,Beta-ketoadipyl-CoA&nbsp;thiolase,98.6
62977.ACIAD3361,ponA,Putative&nbsp;penicillin&nbsp;binding&nbsp;protein&nbsp;(PonA),98.6
62977.ACIAD1696,dcaJ,Acyl-CoA-transferase&nbsp;subunit&nbsp;B,98.5
62977.ACIAD1708,pcaD,3-oxoadipate&nbsp;enol-lactonase&nbsp;1,98.4
62977.ACIAD1518,ACIAD1518,Putative&nbsp;sulfonate&nbsp;monooxygenase,98.4
62977.ACIAD1774,otsA,Trehalose-6-phosphate&nbsp;synthase,98.4
62977.ACIAD3342,ACIAD3342,Uncharacterized&nbsp;protein,98.4
62977.ACIAD3242,ttg2C,"Toluene&nbsp;tolerance&nbsp;efflux&nbsp;transporter&nbsp;(ABC&nbsp;superfamily,&nbsp;peri-bind)",98.4
62977.ACIAD0980,vanA,Vanillate&nbsp;O-demethylase&nbsp;oxygenase&nbsp;subunit&nbsp;(4-hydroxy-3-methoxybenzoate&nbsp;demethylase),98.3
62977.ACIAD1190,icd,Isocitrate&nbsp;dehydrogenase&nbsp;[NADP],98.3
62977.ACIAD0635,trpF,N-(5'-phosphoribosyl)anthranilate&nbsp;isomerase,98.2
62977.ACIAD1895,ACIAD1895,Sulfurtransferase,98.1
62977.ACIAD1937,braG,"Branched-chain&nbsp;amino&nbsp;acid&nbsp;transport&nbsp;protein&nbsp;(ABC&nbsp;superfamily,&nbsp;ATP_bind)",98.1
62977.ACIAD3202,rpsE,30S&nbsp;ribosomal&nbsp;protein&nbsp;S5,98.1
62977.ACIAD0278,tolC,Channel-tunnel&nbsp;spanning&nbsp;the&nbsp;outer&nbsp;membrane&nbsp;and&nbsp;periplasm&nbsp;segregation&nbsp;of&nbsp;daughter&nbsp;chromosomes,98.0
62977.ACIAD1507,ACIAD1507,"Putative&nbsp;dipeptide&nbsp;transport&nbsp;protein&nbsp;(ABC&nbsp;superfamily,&nbsp;membrane)",98.0
62977.ACIAD2880,sdhA,Succinate&nbsp;dehydrogenase&nbsp;flavoprotein&nbsp;subunit,97.8
62977.ACIAD1941,braF,"Branched-chain&nbsp;amino&nbsp;acid&nbsp;transport&nbsp;protein&nbsp;(ABC&nbsp;superfamily,&nbsp;atp_bind)",97.7
62977.ACIAD1175,wecB,UDP-N-acetyl&nbsp;glucosamine-2-epimerase,97.6
62977.ACIAD2641,lolC,"Transport&nbsp;protein&nbsp;of&nbsp;outer&nbsp;membrane&nbsp;lipoproteins&nbsp;(ABC&nbsp;superfamily,&nbsp;membrane)",97.6
62977.ACIAD0997,nadX,Probable&nbsp;L-aspartate&nbsp;dehydrogenase,97.6
62977.ACIAD3330,bfrB,Bacterioferritin,97.4
62977.ACIAD3219,rplC,50S&nbsp;ribosomal&nbsp;protein&nbsp;L3,97.3
62977.ACIAD2526,ACIAD2526,"Putative&nbsp;Glutamate&nbsp;synthase,&nbsp;large&nbsp;subunit&nbsp;region&nbsp;3&nbsp;(GlxC)",97.3
62977.ACIAD1214,pstA,Phosphate&nbsp;transport&nbsp;system&nbsp;permease&nbsp;protein&nbsp;PstA,97.1
62977.ACIAD0418,aroE,Shikimate&nbsp;dehydrogenase&nbsp;(NADP(+)),97.1
62977.ACIAD0070,wza,Polysaccharide&nbsp;export&nbsp;protein,97.1
62977.ACIAD2430,rpsF,30S&nbsp;ribosomal&nbsp;protein&nbsp;S6,97.1
62977.ACIAD1876,gcvH,Glycine&nbsp;cleavage&nbsp;system&nbsp;H&nbsp;protein,97.0
62977.ACIAD0588,secD,Protein&nbsp;translocase&nbsp;subunit&nbsp;SecD,97.0
62977.ACIAD0735,nuoF,NADH-quinone&nbsp;oxidoreductase&nbsp;subunit&nbsp;F,96.7
62977.ACIAD3110,macB,Macrolide&nbsp;export&nbsp;ATP-binding/permease&nbsp;protein&nbsp;MacB,96.7
62977.ACIAD2872,sucD,Succinate--CoA&nbsp;ligase&nbsp;[ADP-forming]&nbsp;subunit&nbsp;alpha,96.7
62977.ACIAD1970,dnaX,DNA&nbsp;polymerase&nbsp;III&nbsp;subunit&nbsp;gamma/tau,96.3
62977.ACIAD0433,ACIAD0433,Putative&nbsp;short-chain&nbsp;dehydrogenase,96.2
62977.ACIAD3681,oxaA,Membrane&nbsp;protein&nbsp;insertase&nbsp;YidC,96.2
62977.ACIAD1498,fdxA,Ferredoxin,96.1
62977.ACIAD2434,alr,Alanine&nbsp;racemase,95.8
62977.ACIAD1980,tal,Transaldolase,95.8
62977.ACIAD2873,sucC,Succinate--CoA&nbsp;ligase&nbsp;[ADP-forming]&nbsp;subunit&nbsp;beta,95.7
62977.ACIAD3218,rplD,50S&nbsp;ribosomal&nbsp;protein&nbsp;L4,95.6
62977.ACIAD3424,mdtA,Membrane&nbsp;protein&nbsp;inolved&nbsp;in&nbsp;drug&nbsp;resistance,95.6
62977.ACIAD1879,frmA,S-(hydroxymethyl)glutathione&nbsp;dehydrogenase,95.5
62977.ACIAD1605,mmsB,3-hydroxyisobutyrate&nbsp;dehydrogenase,95.4
62977.ACIAD0285,algR,Alginate&nbsp;biosynthesis&nbsp;regulatory&nbsp;protein,95.2
62977.ACIAD0177,znuA,"High&nbsp;affinity&nbsp;Zn&nbsp;transport&nbsp;protein&nbsp;(ABC&nbsp;superfamily,&nbsp;peri_bind)",95.1
62977.ACIAD2514,atoA,"Acetoacetyl-CoA&nbsp;transferase,&nbsp;beta&nbsp;subunit",95.0
62977.ACIAD2056,gltL,"Glutamate/aspartate&nbsp;transport&nbsp;protein&nbsp;(ABC&nbsp;superfamily,&nbsp;atp_bind)",95.0
62977.ACIAD1925,fda,"Fructose-1,6-bisphosphate&nbsp;aldolase,&nbsp;class&nbsp;II",95.0
62977.ACIAD1045,metH,Evidence&nbsp;2a&nbsp;:&nbsp;Function&nbsp;of&nbsp;homologous&nbsp;gene&nbsp;experimentally&nbsp;demonstrated&nbsp;in&nbsp;an&nbsp;other&nbsp;organism,95.0
62977.ACIAD1725,hcaB,Hydroxybenzaldehyde&nbsp;dehydrogenase,95.0
62977.ACIAD3167,wrbA,Tryptophan&nbsp;repressor&nbsp;binding&nbsp;protein,95.0
62977.ACIAD0530,leuA,2-isopropylmalate&nbsp;synthase,94.9
62977.ACIAD1405,iscR,"Repressor&nbsp;of&nbsp;the&nbsp;iscRSUA&nbsp;operon,&nbsp;involved&nbsp;in&nbsp;assembly&nbsp;of&nbsp;Fe-S&nbsp;clusters",94.9
62977.ACIAD0265,dsbC,Thiol:disulfide&nbsp;interchange&nbsp;protein,94.8
62977.ACIAD1939,braE,"Branched-chain&nbsp;amino&nbsp;acid&nbsp;transport&nbsp;protein&nbsp;(ABC&nbsp;superfamily,&nbsp;membrane)",94.8
62977.ACIAD0412,xcpT,General&nbsp;secretion&nbsp;pathway&nbsp;protein&nbsp;G,94.8
62977.ACIAD0037,ACIAD0037,"Alkanesulfonate&nbsp;transport&nbsp;protein&nbsp;(ABC&nbsp;superfamily,&nbsp;peri_bind)",94.7
62977.ACIAD1892,ACIAD1892,Putative&nbsp;intracellular&nbsp;sulfur&nbsp;oxidation&nbsp;protein&nbsp;(DsrE-like),94.7
62977.ACIAD1101,pbpA,"Peptidoglycan&nbsp;D,D-transpeptidase&nbsp;MrdA",94.6
62977.ACIAD0017,ACIAD0017,Putative&nbsp;glutathione&nbsp;S-transferase,94.6
62977.ACIAD1073,cysN,Sulfate&nbsp;adenylyltransferase&nbsp;subunit&nbsp;1,94.6
62977.ACIAD1095,ureG,Urease&nbsp;accessory&nbsp;protein&nbsp;UreG,94.1
62977.ACIAD2226,ACIAD2226,Putative&nbsp;acyl&nbsp;coenzyme&nbsp;A&nbsp;dehydrogenase&nbsp;(HcaD-like),94.1
62977.ACIAD0991,ACIAD0991,Putative&nbsp;ferredoxin&nbsp;reductase&nbsp;component&nbsp;(Dioxygenase),94.1
62977.ACIAD2551,soxD,Sarcosine&nbsp;oxidase&nbsp;subunit&nbsp;D,93.9
62977.ACIAD2088,aspQ,Glutaminase-asparaginase,93.8
62977.ACIAD1438,benC,"Benzoate&nbsp;1,2-dioxygenase&nbsp;electron&nbsp;transfer&nbsp;component",93.7
62977.ACIAD2539,ACIAD2539,Succinate-semialdehyde&nbsp;dehydrogenase,93.6
62977.ACIAD3032,proC,Pyrroline-5-carboxylate&nbsp;reductase,93.5
62977.ACIAD0334,fadA,3-ketoacyl-CoA&nbsp;thiolase,93.4
62977.ACIAD1535,ACIAD1535,Putative&nbsp;FMNH2-dependent&nbsp;monooxygenase&nbsp;(Sulfonate),93.3
62977.ACIAD0087,ACIAD0087,Putative&nbsp;UDP-glucose/GDP-mannose&nbsp;dehydrogenase,93.2
62977.ACIAD2238,ACIAD2238,Putative&nbsp;two-component&nbsp;system&nbsp;sensor&nbsp;protein,93.1
62977.ACIAD0665,pabB,P-aminobenzoate&nbsp;synthetase,92.9
62977.ACIAD1301,ACIAD1301,Putative&nbsp;glycerate&nbsp;dehydrogenase,92.8
62977.ACIAD0397,recC,RecBCD&nbsp;enzyme&nbsp;subunit&nbsp;RecC,92.7
62977.ACIAD1710,pcaC,4-carboxymuconolactone&nbsp;decarboxylase,92.6
62977.ACIAD2241,ACIAD2241,Putative&nbsp;secretion&nbsp;pathway&nbsp;ATPase,92.6
62977.ACIAD2847,folD2,Bifunctional&nbsp;protein&nbsp;FolD&nbsp;2,92.6
62977.ACIAD3503,guaB,Inosine-5'-monophosphate&nbsp;dehydrogenase,92.5
