525245.HMPREF0044_0021,rpsR,30S&nbsp;ribosomal&nbsp;protein&nbsp;S18,98.5
525245.HMPREF0044_0543,rpmA,50S&nbsp;ribosomal&nbsp;protein&nbsp;L27,98.5
525245.HMPREF0044_1323,rpsD,30S&nbsp;ribosomal&nbsp;protein&nbsp;S4,98.4
525245.HMPREF0044_0398,rpsJ,30S&nbsp;ribosomal&nbsp;protein&nbsp;S10,97.5
525245.HMPREF0044_0881,atpA,ATP&nbsp;synthase&nbsp;subunit&nbsp;alpha,97.5
525245.HMPREF0044_0019,rpsF,30S&nbsp;ribosomal&nbsp;protein&nbsp;S6,97.2
525245.HMPREF0044_0632,EEH64161.1,"ABC&nbsp;transporter,&nbsp;permease&nbsp;protein",96.4
525245.HMPREF0044_0424,rpsM,30S&nbsp;ribosomal&nbsp;protein&nbsp;S13,96.3
525245.HMPREF0044_0596,EEH64125.1,"ABC&nbsp;transporter,&nbsp;solute-binding&nbsp;protein",96.2
525245.HMPREF0044_1190,EEH63589.1,"ABC&nbsp;transporter,&nbsp;permease&nbsp;protein",95.4
525245.HMPREF0044_0858,sucA,"Oxoglutarate&nbsp;dehydrogenase&nbsp;(Succinyl-transferring),&nbsp;E1&nbsp;component",94.4
525245.HMPREF0044_0178,pyrE,Orotate&nbsp;phosphoribosyltransferase,94.1
525245.HMPREF0044_0542,rplU,50S&nbsp;ribosomal&nbsp;protein&nbsp;L21,93.5
525245.HMPREF0044_0397,tuf,Elongation&nbsp;factor&nbsp;Tu,93.2
525245.HMPREF0044_0549,EEH64260.1,"ABC&nbsp;transporter,&nbsp;solute-binding&nbsp;protein",92.8
525245.HMPREF0044_0598,EEH64127.1,"ABC&nbsp;transporter,&nbsp;permease&nbsp;protein",92.3
525245.HMPREF0044_0519,rpmI,50S&nbsp;ribosomal&nbsp;protein&nbsp;L35,92.2
525245.HMPREF0044_0469,gatB,Aspartyl/glutamyl-tRNA(Asn/Gln)&nbsp;amidotransferase&nbsp;subunit&nbsp;B,91.8
525245.HMPREF0044_0406,rplP,50S&nbsp;ribosomal&nbsp;protein&nbsp;L16,91.6
525245.HMPREF0044_0419,secY,Protein&nbsp;translocase&nbsp;subunit&nbsp;SecY,90.4
525245.HMPREF0044_0883,atpD,ATP&nbsp;synthase&nbsp;subunit&nbsp;beta,90.2
525245.HMPREF0044_0387,rplK,50S&nbsp;ribosomal&nbsp;protein&nbsp;L11,89.9
525245.HMPREF0044_1258,secG,"Preprotein&nbsp;translocase,&nbsp;SecG&nbsp;subunit",89.6
525245.HMPREF0044_0408,rpsQ,30S&nbsp;ribosomal&nbsp;protein&nbsp;S17,89.6
525245.HMPREF0044_0551,EEH64262.1,"ABC&nbsp;transporter,&nbsp;permease&nbsp;protein",89.4
525245.HMPREF0044_0597,EEH64126.1,"ABC&nbsp;transporter,&nbsp;permease&nbsp;protein",89.2
525245.HMPREF0044_0022,rplI,50S&nbsp;ribosomal&nbsp;protein&nbsp;L9,88.7
525245.HMPREF0044_0403,rpsS,30S&nbsp;ribosomal&nbsp;protein&nbsp;S19,88.1
525245.HMPREF0044_0360,nuoD,NADH-quinone&nbsp;oxidoreductase&nbsp;subunit&nbsp;D,87.0
525245.HMPREF0044_1317,EEH63393.1,"ABC&nbsp;transporter,&nbsp;ATP-binding&nbsp;protein",86.8
525245.HMPREF0044_0357,nuoA,NADH-quinone&nbsp;oxidoreductase&nbsp;subunit&nbsp;A,86.4
525245.HMPREF0044_1191,EEH63590.1,"ABC&nbsp;transporter,&nbsp;permease&nbsp;protein",86.3
525245.HMPREF0044_0880,atpH,ATP&nbsp;synthase&nbsp;subunit&nbsp;delta,86.1
525245.HMPREF0044_0923,rpsB,30S&nbsp;ribosomal&nbsp;protein&nbsp;S2,86.1
525245.HMPREF0044_0304,EEH64567.1,"ABC&nbsp;transporter,&nbsp;permease&nbsp;protein",85.9
525245.HMPREF0044_0404,rplV,50S&nbsp;ribosomal&nbsp;protein&nbsp;L22,85.1
525245.HMPREF0044_0586,EEH64115.1,annotation&nbsp;not&nbsp;available,84.8
525245.HMPREF0044_0305,EEH64568.1,"ABC&nbsp;transporter,&nbsp;solute-binding&nbsp;protein",83.7
525245.HMPREF0044_0359,nuoC,NADH-quinone&nbsp;oxidoreductase&nbsp;subunit&nbsp;C,82.8
525245.HMPREF0044_1234,pheT,Phenylalanine--tRNA&nbsp;ligase&nbsp;beta&nbsp;subunit,82.8
525245.HMPREF0044_0416,rpsE,30S&nbsp;ribosomal&nbsp;protein&nbsp;S5,82.2
525245.HMPREF0044_0423,rpmJ,50S&nbsp;ribosomal&nbsp;protein&nbsp;L36,82.2
525245.HMPREF0044_0385,secE,Protein&nbsp;translocase&nbsp;subunit&nbsp;SecE,82.1
525245.HMPREF0044_1303,carB,Carbamoyl-phosphate&nbsp;synthase&nbsp;large&nbsp;chain,81.0
525245.HMPREF0044_0634,EEH64163.1,"ABC&nbsp;transporter,&nbsp;substrate-binding&nbsp;protein,&nbsp;family&nbsp;5",80.4
