1120945.ATUW01000005_gene570,carB,annotation&nbsp;not&nbsp;available,98.9
1120945.ATUW01000001_gene1430,ATUW01000001_gene1430,annotation&nbsp;not&nbsp;available,98.8
1120945.ATUW01000007_gene921,ATUW01000007_gene921,annotation&nbsp;not&nbsp;available,98.5
1120945.ATUW01000007_gene909,rnhA,Ribonuclease&nbsp;H,98.3
1120945.ATUW01000002_gene1703,rpmE,50S&nbsp;ribosomal&nbsp;protein&nbsp;L31,98.3
1120945.ATUW01000006_gene732,pyrE,Orotate&nbsp;phosphoribosyltransferase,98.3
1120945.ATUW01000009_gene1025,ATUW01000009_gene1025,annotation&nbsp;not&nbsp;available,98.3
1120945.ATUW01000002_gene1916,rpsJ,30S&nbsp;ribosomal&nbsp;protein&nbsp;S10,98.0
1120945.ATUW01000002_gene1733,secA,Protein&nbsp;translocase&nbsp;subunit&nbsp;SecA,97.9
1120945.ATUW01000002_gene1890,adk,Adenylate&nbsp;kinase,97.9
1120945.ATUW01000017_gene1116,ATUW01000017_gene1116,annotation&nbsp;not&nbsp;available,97.6
1120945.ATUW01000003_gene203,ATUW01000003_gene203,annotation&nbsp;not&nbsp;available,97.5
1120945.ATUW01000002_gene1698,atpB,ATP&nbsp;synthase&nbsp;subunit&nbsp;a,97.5
1120945.ATUW01000010_gene1302,ATUW01000010_gene1302,Cysteine&nbsp;desulfurase,97.5
1120945.ATUW01000004_gene345,rpmA,annotation&nbsp;not&nbsp;available,97.5
1120945.ATUW01000002_gene1906,rpsQ,30S&nbsp;ribosomal&nbsp;protein&nbsp;S17,97.3
1120945.ATUW01000005_gene517,pfp,Pyrophosphate--fructose&nbsp;6-phosphate&nbsp;1-phosphotransferase,97.3
1120945.ATUW01000004_gene342,proA,Gamma-glutamyl&nbsp;phosphate&nbsp;reductase,97.2
1120945.ATUW01000004_gene397,murD,UDP-N-acetylmuramoylalanine--D-glutamate&nbsp;ligase,97.0
1120945.ATUW01000002_gene1724,ATUW01000002_gene1724,annotation&nbsp;not&nbsp;available,97.0
1120945.ATUW01000002_gene1921,ATUW01000002_gene1921,30S&nbsp;ribosomal&nbsp;protein&nbsp;S12,96.9
1120945.ATUW01000003_gene92,ATUW01000003_gene92,dITP/XTP&nbsp;pyrophosphatase,96.3
1120945.ATUW01000008_gene1006,rpsT,30S&nbsp;ribosomal&nbsp;protein&nbsp;S20,95.9
1120945.ATUW01000003_gene45,ligA,DNA&nbsp;ligase,95.9
1120945.ATUW01000003_gene254,ATUW01000003_gene254,annotation&nbsp;not&nbsp;available,95.8
1120945.ATUW01000007_gene825,ATUW01000007_gene825,annotation&nbsp;not&nbsp;available,95.8
1120945.ATUW01000002_gene1851,groL,60&nbsp;kDa&nbsp;chaperonin,95.6
1120945.ATUW01000005_gene513,trpD,Anthranilate&nbsp;phosphoribosyltransferase,95.3
1120945.ATUW01000014_gene1167,trpA,Tryptophan&nbsp;synthase&nbsp;alpha&nbsp;chain,95.2
1120945.ATUW01000001_gene1481,ATUW01000001_gene1481,annotation&nbsp;not&nbsp;available,95.2
1120945.ATUW01000002_gene1737,ATUW01000002_gene1737,annotation&nbsp;not&nbsp;available,95.1
1120945.ATUW01000003_gene185,rplA,50S&nbsp;ribosomal&nbsp;protein&nbsp;L1,95.1
1120945.ATUW01000002_gene1750,fumC,Fumarate&nbsp;hydratase&nbsp;class&nbsp;II,95.0
1120945.ATUW01000004_gene362,rpmB,annotation&nbsp;not&nbsp;available,94.9
1120945.ATUW01000003_gene153,ATUW01000003_gene153,Isoprenyl&nbsp;transferase,94.8
1120945.ATUW01000001_gene1653,ATUW01000001_gene1653,annotation&nbsp;not&nbsp;available,94.7
1120945.ATUW01000007_gene809,ATUW01000007_gene809,annotation&nbsp;not&nbsp;available,94.6
1120945.ATUW01000001_gene1453,ATUW01000001_gene1453,annotation&nbsp;not&nbsp;available,94.6
1120945.ATUW01000006_gene756,lysS,annotation&nbsp;not&nbsp;available,94.5
1120945.ATUW01000012_gene1223,ATUW01000012_gene1223,annotation&nbsp;not&nbsp;available,94.4
1120945.ATUW01000003_gene209,ATUW01000003_gene209,annotation&nbsp;not&nbsp;available,94.4
1120945.ATUW01000005_gene546,ATUW01000005_gene546,annotation&nbsp;not&nbsp;available,94.3
1120945.ATUW01000002_gene1914,rplD,50S&nbsp;ribosomal&nbsp;protein&nbsp;L4,94.3
1120945.ATUW01000003_gene188,secE,Protein&nbsp;translocase&nbsp;subunit&nbsp;SecE,94.2
1120945.ATUW01000005_gene558,ATUW01000005_gene558,annotation&nbsp;not&nbsp;available,94.2
1120945.ATUW01000001_gene1650,ATUW01000001_gene1650,annotation&nbsp;not&nbsp;available,94.1
1120945.ATUW01000006_gene754,ATUW01000006_gene754,annotation&nbsp;not&nbsp;available,93.9
1120945.ATUW01000010_gene1303,ATUW01000010_gene1303,annotation&nbsp;not&nbsp;available,93.9
1120945.ATUW01000003_gene40,ATUW01000003_gene40,annotation&nbsp;not&nbsp;available,93.8
1120945.ATUW01000004_gene432,rpsO,30S&nbsp;ribosomal&nbsp;protein&nbsp;S15,93.7
1120945.ATUW01000007_gene876,ATUW01000007_gene876,annotation&nbsp;not&nbsp;available,93.6
1120945.ATUW01000011_gene1260,leuD,3-isopropylmalate&nbsp;dehydratase&nbsp;small&nbsp;subunit,93.5
