1527444.ucyna2_01043,chlN,Light-independent&nbsp;protochlorophyllide&nbsp;reductase&nbsp;subunit&nbsp;N,98.6
1527444.ucyna2_01178,ndhK,NAD(P)H-quinone&nbsp;oxidoreductase&nbsp;subunit&nbsp;K,98.4
1527444.ucyna2_01202,KFF40969.1,"Ni,Fe-hydrogenase&nbsp;I&nbsp;large&nbsp;subunit",98.0
1527444.ucyna2_00628,atpF,ATP&nbsp;synthase&nbsp;subunit&nbsp;b,97.7
1527444.ucyna2_00091,KFF42033.1,Phosphate-binding&nbsp;protein,97.6
1527444.ucyna2_00482,KFF41609.1,PFAM:&nbsp;Permease,97.1
1527444.ucyna2_00541,rpsM,30S&nbsp;ribosomal&nbsp;protein&nbsp;S13,96.7
1527444.ucyna2_00631,atpI,ATP&nbsp;synthase&nbsp;subunit&nbsp;a,96.7
1527444.ucyna2_00086,gatB,Aspartyl/glutamyl-tRNA(Asn/Gln)&nbsp;amidotransferase&nbsp;subunit&nbsp;B,96.4
1527444.ucyna2_00901,psaJ,Photosystem&nbsp;I&nbsp;reaction&nbsp;center&nbsp;subunit&nbsp;IX,96.4
1527444.ucyna2_00629,KFF41560.1,ATP&nbsp;synthase&nbsp;subunit&nbsp;b',96.3
1527444.ucyna2_00334,gatC,Aspartyl/glutamyl-tRNA(Asn/Gln)&nbsp;amidotransferase&nbsp;subunit&nbsp;C,95.7
1527444.ucyna2_00811,petB,Cytochrome&nbsp;b6,95.3
1527444.ucyna2_00843,pheT,Phenylalanine--tRNA&nbsp;ligase&nbsp;beta&nbsp;subunit,95.2
1527444.ucyna2_00338,KFF41714.1,Biotin&nbsp;carboxyl&nbsp;carrier&nbsp;protein&nbsp;of&nbsp;acetyl-CoA&nbsp;carboxylase,94.6
1527444.ucyna2_01040,KFF41133.1,NADH:ubiquinone&nbsp;oxidoreductase&nbsp;chain&nbsp;I-like&nbsp;protein,94.5
1527444.ucyna2_00560,rplW,50S&nbsp;ribosomal&nbsp;protein&nbsp;L23,94.1
