518635.BIFANG_02906,yajC,"Preprotein&nbsp;translocase,&nbsp;YajC&nbsp;subunit",98.1
518635.BIFANG_02967,pulA,"1,4-alpha-glucan&nbsp;branching&nbsp;enzyme",97.9
518635.BIFANG_02100,groL,60&nbsp;kDa&nbsp;chaperonin,97.6
518635.BIFANG_02365,atpE,ATP&nbsp;synthase&nbsp;subunit&nbsp;c,97.1
518635.BIFANG_02623,EEP21264.1,"KEGG:&nbsp;rha:RHA1_ro09047&nbsp;1.9e-43&nbsp;ABC&nbsp;peptide&nbsp;transporter,&nbsp;permease&nbsp;component&nbsp;&nbsp;K02033",96.8
518635.BIFANG_03539,rpsJ,30S&nbsp;ribosomal&nbsp;protein&nbsp;S10,96.7
518635.BIFANG_03669,pstS,Phosphate-binding&nbsp;protein&nbsp;PstS,96.6
518635.BIFANG_03448,gcvH,Glycine&nbsp;cleavage&nbsp;system&nbsp;H&nbsp;protein,96.4
518635.BIFANG_02404,rplK,50S&nbsp;ribosomal&nbsp;protein&nbsp;L11,95.5
518635.BIFANG_03613,rpmF,50S&nbsp;ribosomal&nbsp;protein&nbsp;L32,95.1
518635.BIFANG_03287,purT,Formate-dependent&nbsp;phosphoribosylglycinamide&nbsp;formyltransferase,95.0
518635.BIFANG_02905,ruvB,Holliday&nbsp;junction&nbsp;ATP-dependent&nbsp;DNA&nbsp;helicase&nbsp;RuvB,94.9
518635.BIFANG_02367,atpH,ATP&nbsp;synthase&nbsp;subunit&nbsp;delta,94.2
518635.BIFANG_02364,atpB,ATP&nbsp;synthase&nbsp;subunit&nbsp;a,94.2
518635.BIFANG_02621,EEP21262.1,"ABC&nbsp;transporter,&nbsp;substrate-binding&nbsp;protein,&nbsp;family&nbsp;5",93.9
518635.BIFANG_03528,rplN,50S&nbsp;ribosomal&nbsp;protein&nbsp;L14,93.7
518635.BIFANG_02741,EEP21381.1,"ABC&nbsp;transporter,&nbsp;ATP-binding&nbsp;protein",93.6
518635.BIFANG_03793,EEP20469.1,"ABC&nbsp;transporter,&nbsp;ATP-binding&nbsp;protein",93.5
518635.BIFANG_02248,EEP21852.1,"Membrane&nbsp;protein&nbsp;insertase,&nbsp;YidC/Oxa1&nbsp;family",93.0
518635.BIFANG_02436,metN,Methionine&nbsp;import&nbsp;ATP-binding&nbsp;protein&nbsp;MetN,92.9
518635.BIFANG_03415,rpoB,DNA-directed&nbsp;RNA&nbsp;polymerase&nbsp;subunit&nbsp;beta,92.8
518635.BIFANG_03531,rplP,50S&nbsp;ribosomal&nbsp;protein&nbsp;L16,92.4
518635.BIFANG_03394,xseA,Exodeoxyribonuclease&nbsp;7&nbsp;large&nbsp;subunit,92.3
518635.BIFANG_03611,ilvB,Acetolactate&nbsp;synthase,92.0
518635.BIFANG_02904,ruvA,Holliday&nbsp;junction&nbsp;ATP-dependent&nbsp;DNA&nbsp;helicase&nbsp;RuvA,91.4
518635.BIFANG_03790,EEP20466.1,Receptor&nbsp;family&nbsp;ligand-binding&nbsp;protein,91.3
518635.BIFANG_02029,EEP21912.1,KEGG:&nbsp;blo:BL0433&nbsp;1.0e-255&nbsp;glnD,91.2
518635.BIFANG_03535,rplB,50S&nbsp;ribosomal&nbsp;protein&nbsp;L2,91.0
518635.BIFANG_03445,leuB,3-isopropylmalate&nbsp;dehydrogenase,90.9
518635.BIFANG_03724,rpsO,30S&nbsp;ribosomal&nbsp;protein&nbsp;S15,90.9
518635.BIFANG_02437,EEP21081.1,"ABC&nbsp;transporter,&nbsp;permease&nbsp;protein",90.8
518635.BIFANG_02908,sucC,Succinate--CoA&nbsp;ligase&nbsp;[ADP-forming]&nbsp;subunit&nbsp;beta,90.6
518635.BIFANG_03610,ilvN,KEGG:&nbsp;blo:BL0297&nbsp;3.4e-83&nbsp;ilvN,89.8
518635.BIFANG_03534,rpsS,30S&nbsp;ribosomal&nbsp;protein&nbsp;S19,89.5
518635.BIFANG_02009,dnaX,KEGG:&nbsp;blo:BL0500&nbsp;1.6e-252&nbsp;dnaX,89.3
