1692.BMAGN_0055,BMAGN_0055,annotation&nbsp;not&nbsp;available,98.9
1692.BMAGN_0203,rplA,50S&nbsp;ribosomal&nbsp;protein&nbsp;L1,98.6
1692.BMAGN_1271,atpF,ATP&nbsp;synthase&nbsp;subunit&nbsp;b,97.8
1692.BMAGN_1063,rpsG,30S&nbsp;ribosomal&nbsp;protein&nbsp;S7,97.7
1692.BMAGN_0322,rpsM,30S&nbsp;ribosomal&nbsp;protein&nbsp;S13,97.7
1692.BMAGN_0656,rpoZ,DNA-directed&nbsp;RNA&nbsp;polymerase&nbsp;subunit&nbsp;omega,97.5
1692.BMAGN_0200,secE,Protein&nbsp;translocase&nbsp;subunit&nbsp;SecE,96.8
1692.BMAGN_0854,BMAGN_0854,annotation&nbsp;not&nbsp;available,95.0
1692.BMAGN_0650,carA,annotation&nbsp;not&nbsp;available,94.0
1692.BMAGN_0308,rplX,50S&nbsp;ribosomal&nbsp;protein&nbsp;L24,93.5
1692.BMAGN_0545,BMAGN_0545,annotation&nbsp;not&nbsp;available,93.4
1692.BMAGN_1489,rpsT,30S&nbsp;ribosomal&nbsp;protein&nbsp;S20,92.8
1692.BMAGN_0652,carB,annotation&nbsp;not&nbsp;available,92.6
1692.BMAGN_1185,xseB,Exodeoxyribonuclease&nbsp;7&nbsp;small&nbsp;subunit,92.6
1692.BMAGN_0303,rpsC,30S&nbsp;ribosomal&nbsp;protein&nbsp;S3,92.5
1692.BMAGN_0191,rplU,50S&nbsp;ribosomal&nbsp;protein&nbsp;L21,91.9
1692.BMAGN_0298,rplD,50S&nbsp;ribosomal&nbsp;protein&nbsp;L4,91.2
1692.BMAGN_0307,rplN,50S&nbsp;ribosomal&nbsp;protein&nbsp;L14,90.9
1692.BMAGN_1275,atpD,ATP&nbsp;synthase&nbsp;subunit&nbsp;beta,89.9
1692.BMAGN_1483,ctc,50S&nbsp;ribosomal&nbsp;protein&nbsp;L25,89.9
1692.BMAGN_0192,rpmA,annotation&nbsp;not&nbsp;available,88.4
1692.BMAGN_0301,rpsS,30S&nbsp;ribosomal&nbsp;protein&nbsp;S19,87.7
1692.BMAGN_0291,rplM,50S&nbsp;ribosomal&nbsp;protein&nbsp;L13,87.1
1692.BMAGN_0304,rplP,50S&nbsp;ribosomal&nbsp;protein&nbsp;L16,86.3
1692.BMAGN_1226,rpsF,30S&nbsp;ribosomal&nbsp;protein&nbsp;S6,85.8
1692.BMAGN_1273,atpA,ATP&nbsp;synthase&nbsp;subunit&nbsp;alpha,83.9
1692.BMAGN_0455,rpmI,annotation&nbsp;not&nbsp;available,83.6
1692.BMAGN_0306,rpsQ,30S&nbsp;ribosomal&nbsp;protein&nbsp;S17,82.8
1692.BMAGN_1065,tuf,Elongation&nbsp;factor&nbsp;Tu,82.2
1692.BMAGN_0546,BMAGN_0546,annotation&nbsp;not&nbsp;available,81.7
1692.BMAGN_0312,rplF,50S&nbsp;ribosomal&nbsp;protein&nbsp;L6,81.7
1692.BMAGN_0681,groL,60&nbsp;kDa&nbsp;chaperonin,80.8
1692.BMAGN_0299,rplW,50S&nbsp;ribosomal&nbsp;protein&nbsp;L23,80.5
1692.BMAGN_0911,rpsB,annotation&nbsp;not&nbsp;available,80.0
1692.BMAGN_0875,ruvB,Holliday&nbsp;junction&nbsp;ATP-dependent&nbsp;DNA&nbsp;helicase&nbsp;RuvB,79.5
1692.BMAGN_0818,BMAGN_0818,annotation&nbsp;not&nbsp;available,78.9
1692.BMAGN_1125,rpsD,30S&nbsp;ribosomal&nbsp;protein&nbsp;S4,78.9
1692.BMAGN_0910,tsf,Elongation&nbsp;factor&nbsp;Ts,78.6
1692.BMAGN_0314,rpsE,30S&nbsp;ribosomal&nbsp;protein&nbsp;S5,78.1
1692.BMAGN_0874,ruvA,Holliday&nbsp;junction&nbsp;ATP-dependent&nbsp;DNA&nbsp;helicase&nbsp;RuvA,77.8
1692.BMAGN_0642,trpA,Tryptophan&nbsp;synthase&nbsp;alpha&nbsp;chain,77.2
1692.BMAGN_0255,BMAGN_0255,annotation&nbsp;not&nbsp;available,77.1
