1690.BPSG_0558,rpsN,30S&nbsp;ribosomal&nbsp;protein&nbsp;S14&nbsp;type&nbsp;Z,98.7
1690.BPSG_0341,ruvA,Holliday&nbsp;junction&nbsp;ATP-dependent&nbsp;DNA&nbsp;helicase&nbsp;RuvA,97.7
1690.BPSG_0685,hisH,Imidazole&nbsp;glycerol&nbsp;phosphate&nbsp;synthase&nbsp;subunit&nbsp;HisH,97.4
1690.BPSG_0570,rplD,50S&nbsp;ribosomal&nbsp;protein&nbsp;L4,97.4
1690.BPSG_0913,secA,Protein&nbsp;translocase&nbsp;subunit&nbsp;SecA,97.2
1690.BPSG_0552,rplO,50S&nbsp;ribosomal&nbsp;protein&nbsp;L15,96.1
1690.BPSG_0989,leuB,3-isopropylmalate&nbsp;dehydrogenase,96.1
1690.BPSG_0298,tsf,Elongation&nbsp;factor&nbsp;Ts,95.7
1690.BPSG_0742,atpG,ATP&nbsp;synthase&nbsp;gamma&nbsp;chain,95.4
1690.BPSG_0140,carA,annotation&nbsp;not&nbsp;available,95.0
1690.BPSG_0569,rplW,50S&nbsp;ribosomal&nbsp;protein&nbsp;L23,94.5
1690.BPSG_1287,rpsP,annotation&nbsp;not&nbsp;available,93.9
1690.BPSG_0571,rplC,50S&nbsp;ribosomal&nbsp;protein&nbsp;L3,93.7
1690.BPSG_0743,atpA,ATP&nbsp;synthase&nbsp;subunit&nbsp;alpha,93.7
1690.BPSG_0414,ctc,50S&nbsp;ribosomal&nbsp;protein&nbsp;L25,93.7
1690.BPSG_0562,rpsQ,30S&nbsp;ribosomal&nbsp;protein&nbsp;S17,93.5
1690.BPSG_0745,atpF,ATP&nbsp;synthase&nbsp;subunit&nbsp;b,93.0
1690.BPSG_1471,rplL,50S&nbsp;ribosomal&nbsp;protein&nbsp;L7/L12,93.0
1690.BPSG_1273,rpmF,annotation&nbsp;not&nbsp;available,92.5
1690.BPSG_0247,pheT,annotation&nbsp;not&nbsp;available,91.8
1690.BPSG_0031,rpmE,50S&nbsp;ribosomal&nbsp;protein&nbsp;L31,91.7
1690.BPSG_1293,rpmB,annotation&nbsp;not&nbsp;available,91.1
1690.BPSG_0407,BPSG_0407,annotation&nbsp;not&nbsp;available,90.9
1690.BPSG_0592,groS,10&nbsp;kDa&nbsp;chaperonin,90.7
1690.BPSG_0796,BPSG_0796,annotation&nbsp;not&nbsp;available,89.7
1690.BPSG_1404,rplK,50S&nbsp;ribosomal&nbsp;protein&nbsp;L11,88.8
1690.BPSG_1588,rpsR,30S&nbsp;ribosomal&nbsp;protein&nbsp;S18,87.8
1690.BPSG_0579,rplM,50S&nbsp;ribosomal&nbsp;protein&nbsp;L13,86.8
1690.BPSG_0744,atpH,ATP&nbsp;synthase&nbsp;subunit&nbsp;delta,86.6
1690.BPSG_1258,rplS,50S&nbsp;ribosomal&nbsp;protein&nbsp;L19,86.5
1690.BPSG_1120,xseB,Exodeoxyribonuclease&nbsp;7&nbsp;small&nbsp;subunit,86.3
1690.BPSG_0588,BPSG_0588,annotation&nbsp;not&nbsp;available,86.2
1690.BPSG_0551,secY,Protein&nbsp;translocase&nbsp;subunit&nbsp;SecY,86.1
1690.BPSG_1397,rpmA,annotation&nbsp;not&nbsp;available,85.9
1690.BPSG_0306,hisF,Imidazole&nbsp;glycerol&nbsp;phosphate&nbsp;synthase&nbsp;subunit&nbsp;HisF,85.9
1690.BPSG_0559,rplE,50S&nbsp;ribosomal&nbsp;protein&nbsp;L5,85.0
1690.BPSG_0568,rplB,50S&nbsp;ribosomal&nbsp;protein&nbsp;L2,84.9
1690.BPSG_0408,BPSG_0408,annotation&nbsp;not&nbsp;available,84.6
1690.BPSG_0133,rpsG,30S&nbsp;ribosomal&nbsp;protein&nbsp;S7,83.8
1690.BPSG_0578,rpsI,annotation&nbsp;not&nbsp;available,82.9
1690.BPSG_0246,pheS,annotation&nbsp;not&nbsp;available,81.7
1690.BPSG_0567,rpsS,30S&nbsp;ribosomal&nbsp;protein&nbsp;S19,81.7
1690.BPSG_0623,rpmI,annotation&nbsp;not&nbsp;available,81.7
1690.BPSG_0564,rplP,50S&nbsp;ribosomal&nbsp;protein&nbsp;L16,81.0
1690.BPSG_0557,rpsH,30S&nbsp;ribosomal&nbsp;protein&nbsp;S8,80.6
1690.BPSG_0622,rplT,50S&nbsp;ribosomal&nbsp;protein&nbsp;L20,79.8
1690.BPSG_0545,rpoA,DNA-directed&nbsp;RNA&nbsp;polymerase&nbsp;subunit&nbsp;alpha,79.8
1690.BPSG_0969,rpoC,DNA-directed&nbsp;RNA&nbsp;polymerase&nbsp;subunit&nbsp;beta',79.8
1690.BPSG_0411,rpsT,30S&nbsp;ribosomal&nbsp;protein&nbsp;S20,79.1
1690.BPSG_0591,rpmG,annotation&nbsp;not&nbsp;available,78.6
1690.BPSG_0548,rpmJ,annotation&nbsp;not&nbsp;available,77.9
1690.BPSG_0132,rpsL,30S&nbsp;ribosomal&nbsp;protein&nbsp;S12,75.9
1690.BPSG_0768,gatB,Aspartyl/glutamyl-tRNA(Asn/Gln)&nbsp;amidotransferase&nbsp;subunit&nbsp;B,75.2
1690.BPSG_1344,rpmH,annotation&nbsp;not&nbsp;available,74.9
1690.BPSG_0565,rpsC,30S&nbsp;ribosomal&nbsp;protein&nbsp;S3,74.9
1690.BPSG_0397,BPSG_0397,annotation&nbsp;not&nbsp;available,74.8
1690.BPSG_0547,rpsM,30S&nbsp;ribosomal&nbsp;protein&nbsp;S13,73.7
1690.BPSG_1313,leuC,3-isopropylmalate&nbsp;dehydratase&nbsp;large&nbsp;subunit,73.1
1690.BPSG_0312,trpA,Tryptophan&nbsp;synthase&nbsp;alpha&nbsp;chain,72.8
1690.BPSG_0769,gatA,Glutamyl-tRNA(Gln)&nbsp;amidotransferase&nbsp;subunit&nbsp;A,72.6
1690.BPSG_1184,BPSG_1184,annotation&nbsp;not&nbsp;available,71.8
1690.BPSG_1416,rpsO,30S&nbsp;ribosomal&nbsp;protein&nbsp;S15,71.0
1690.BPSG_0560,rplX,50S&nbsp;ribosomal&nbsp;protein&nbsp;L24,68.8
1690.BPSG_0311,trpB,Tryptophan&nbsp;synthase&nbsp;beta&nbsp;chain,67.8
1690.BPSG_0561,rplN,50S&nbsp;ribosomal&nbsp;protein&nbsp;L14,67.8
1690.BPSG_0508,BPSG_0508,annotation&nbsp;not&nbsp;available,66.0
1690.BPSG_1470,rplJ,50S&nbsp;ribosomal&nbsp;protein&nbsp;L10,65.7
1690.BPSG_0141,carB,annotation&nbsp;not&nbsp;available,65.7
1690.BPSG_0553,rpmD,annotation&nbsp;not&nbsp;available,65.7
1690.BPSG_0572,rpsJ,30S&nbsp;ribosomal&nbsp;protein&nbsp;S10,65.6
1690.BPSG_0770,BPSG_0770,Aspartyl/glutamyl-tRNA&nbsp;amidotransferase&nbsp;subunit&nbsp;C,65.5
1690.BPSG_0872,BPSG_0872,annotation&nbsp;not&nbsp;available,65.4
1690.BPSG_0556,rplF,50S&nbsp;ribosomal&nbsp;protein&nbsp;L6,65.4
1690.BPSG_0741,atpD,ATP&nbsp;synthase&nbsp;subunit&nbsp;beta,65.1
1690.BPSG_0398,pyrB,annotation&nbsp;not&nbsp;available,63.9
1690.BPSG_0135,tuf,Elongation&nbsp;factor&nbsp;Tu,63.8
1690.BPSG_0145,rpoZ,DNA-directed&nbsp;RNA&nbsp;polymerase&nbsp;subunit&nbsp;omega,63.6
1690.BPSG_0369,BPSG_0369,annotation&nbsp;not&nbsp;available,63.4
1690.BPSG_0544,rplQ,annotation&nbsp;not&nbsp;available,62.7
1690.BPSG_0554,rpsE,30S&nbsp;ribosomal&nbsp;protein&nbsp;S5,62.6
1690.BPSG_1396,rplU,50S&nbsp;ribosomal&nbsp;protein&nbsp;L21,61.3
1690.BPSG_0970,rpoB,DNA-directed&nbsp;RNA&nbsp;polymerase&nbsp;subunit&nbsp;beta,60.2
1690.BPSG_1587,rplI,50S&nbsp;ribosomal&nbsp;protein&nbsp;L9,59.4
1690.BPSG_1402,secE,Protein&nbsp;translocase&nbsp;subunit&nbsp;SecE,58.7
1690.BPSG_0871,BPSG_0871,annotation&nbsp;not&nbsp;available,58.3
1690.BPSG_1590,rpsF,30S&nbsp;ribosomal&nbsp;protein&nbsp;S6,58.3
1690.BPSG_0340,ruvB,Holliday&nbsp;junction&nbsp;ATP-dependent&nbsp;DNA&nbsp;helicase&nbsp;RuvB,57.5
1690.BPSG_0740,BPSG_0740,annotation&nbsp;not&nbsp;available,57.2
1690.BPSG_0297,rpsB,annotation&nbsp;not&nbsp;available,56.4
1690.BPSG_0172,groL,60&nbsp;kDa&nbsp;chaperonin,56.3
1690.BPSG_1121,xseA,Exodeoxyribonuclease&nbsp;7&nbsp;large&nbsp;subunit,55.5
1690.BPSG_0546,rpsK,30S&nbsp;ribosomal&nbsp;protein&nbsp;S11,55.3
1690.BPSG_0509,BPSG_0509,annotation&nbsp;not&nbsp;available,55.1
1690.BPSG_1405,rplA,50S&nbsp;ribosomal&nbsp;protein&nbsp;L1,54.8
1690.BPSG_0459,rpsD,30S&nbsp;ribosomal&nbsp;protein&nbsp;S4,54.2
1690.BPSG_0555,rplR,50S&nbsp;ribosomal&nbsp;protein&nbsp;L18,53.8
1690.BPSG_0566,rplV,50S&nbsp;ribosomal&nbsp;protein&nbsp;L22,52.8
1690.BPSG_0563,rpmC,annotation&nbsp;not&nbsp;available,52.3
