78346.BRUM_0958,rpsT,30S&nbsp;ribosomal&nbsp;protein&nbsp;S20,98.8
78346.BRUM_1455,gatC,Aspartyl/glutamyl-tRNA(Asn/Gln)&nbsp;amidotransferase&nbsp;subunit&nbsp;C,98.8
78346.BRUM_0211,secA,Protein&nbsp;translocase&nbsp;subunit&nbsp;SecA,98.8
78346.BRUM_1798,rpmH,annotation&nbsp;not&nbsp;available,98.4
78346.BRUM_1414,atpD,ATP&nbsp;synthase&nbsp;subunit&nbsp;beta,97.9
78346.BRUM_0646,rplA,50S&nbsp;ribosomal&nbsp;protein&nbsp;L1,97.3
78346.BRUM_1413,BRUM_1413,annotation&nbsp;not&nbsp;available,96.6
78346.BRUM_0979,BRUM_0979,annotation&nbsp;not&nbsp;available,96.2
78346.BRUM_0732,rpmD,annotation&nbsp;not&nbsp;available,95.9
78346.BRUM_0706,rpsI,annotation&nbsp;not&nbsp;available,95.9
78346.BRUM_0039,rpoC,DNA-directed&nbsp;RNA&nbsp;polymerase&nbsp;subunit&nbsp;beta',95.6
78346.BRUM_1453,gatB,Aspartyl/glutamyl-tRNA(Asn/Gln)&nbsp;amidotransferase&nbsp;subunit&nbsp;B,93.3
78346.BRUM_0728,rpsH,30S&nbsp;ribosomal&nbsp;protein&nbsp;S8,92.6
78346.BRUM_0739,rpsK,30S&nbsp;ribosomal&nbsp;protein&nbsp;S11,92.5
78346.BRUM_1564,xseB,Exodeoxyribonuclease&nbsp;7&nbsp;small&nbsp;subunit,92.3
78346.BRUM_1125,BRUM_1125,annotation&nbsp;not&nbsp;available,91.9
78346.BRUM_0961,BRUM_0961,annotation&nbsp;not&nbsp;available,91.3
78346.BRUM_1180,BRUM_1180,annotation&nbsp;not&nbsp;available,91.3
78346.BRUM_0726,rplE,50S&nbsp;ribosomal&nbsp;protein&nbsp;L5,91.2
78346.BRUM_1022,ruvA,Holliday&nbsp;junction&nbsp;ATP-dependent&nbsp;DNA&nbsp;helicase&nbsp;RuvA,91.1
78346.BRUM_1418,atpF,ATP&nbsp;synthase&nbsp;subunit&nbsp;b,90.7
78346.BRUM_0734,secY,Protein&nbsp;translocase&nbsp;subunit&nbsp;SecY,89.4
78346.BRUM_0963,BRUM_0963,annotation&nbsp;not&nbsp;available,88.5
78346.BRUM_1044,pheS,annotation&nbsp;not&nbsp;available,88.4
78346.BRUM_1417,atpH,ATP&nbsp;synthase&nbsp;subunit&nbsp;delta,88.1
78346.BRUM_0615,rpmF,annotation&nbsp;not&nbsp;available,87.8
78346.BRUM_1416,atpA,ATP&nbsp;synthase&nbsp;subunit&nbsp;alpha,87.1
78346.BRUM_0683,rplJ,50S&nbsp;ribosomal&nbsp;protein&nbsp;L10,86.9
78346.BRUM_0643,secE,Protein&nbsp;translocase&nbsp;subunit&nbsp;SecE,86.5
78346.BRUM_0741,rplQ,annotation&nbsp;not&nbsp;available,86.3
78346.BRUM_0432,BRUM_0432,annotation&nbsp;not&nbsp;available,86.2
78346.BRUM_0718,rpsS,30S&nbsp;ribosomal&nbsp;protein&nbsp;S19,85.9
78346.BRUM_0740,rpoA,DNA-directed&nbsp;RNA&nbsp;polymerase&nbsp;subunit&nbsp;alpha,84.9
78346.BRUM_0645,rplK,50S&nbsp;ribosomal&nbsp;protein&nbsp;L11,84.7
78346.BRUM_1366,rpmE,50S&nbsp;ribosomal&nbsp;protein&nbsp;L31,84.7
78346.BRUM_1563,xseA,Exodeoxyribonuclease&nbsp;7&nbsp;large&nbsp;subunit,84.5
78346.BRUM_1415,atpG,ATP&nbsp;synthase&nbsp;gamma&nbsp;chain,84.2
78346.BRUM_0264,rpmI,annotation&nbsp;not&nbsp;available,84.2
78346.BRUM_0038,rpoB,DNA-directed&nbsp;RNA&nbsp;polymerase&nbsp;subunit&nbsp;beta,83.0
78346.BRUM_0978,pyrB,annotation&nbsp;not&nbsp;available,82.5
78346.BRUM_0721,rplP,50S&nbsp;ribosomal&nbsp;protein&nbsp;L16,81.7
78346.BRUM_0730,rplR,50S&nbsp;ribosomal&nbsp;protein&nbsp;L18,81.5
78346.BRUM_0733,rplO,50S&nbsp;ribosomal&nbsp;protein&nbsp;L15,81.2
78346.BRUM_0597,rpmB,annotation&nbsp;not&nbsp;available,80.5
78346.BRUM_0684,rplL,50S&nbsp;ribosomal&nbsp;protein&nbsp;L7/L12,80.4
78346.BRUM_0639,rpmA,annotation&nbsp;not&nbsp;available,80.2
78346.BRUM_0731,rpsE,30S&nbsp;ribosomal&nbsp;protein&nbsp;S5,79.5
78346.BRUM_1181,BRUM_1181,annotation&nbsp;not&nbsp;available,78.9
78346.BRUM_0603,rpsP,annotation&nbsp;not&nbsp;available,78.2
78346.BRUM_1248,rpsL,30S&nbsp;ribosomal&nbsp;protein&nbsp;S12,78.1
78346.BRUM_0722,rpmC,annotation&nbsp;not&nbsp;available,77.8
78346.BRUM_0723,rpsQ,30S&nbsp;ribosomal&nbsp;protein&nbsp;S17,77.5
78346.BRUM_1023,ruvB,Holliday&nbsp;junction&nbsp;ATP-dependent&nbsp;DNA&nbsp;helicase&nbsp;RuvB,77.4
78346.BRUM_0904,rpsD,30S&nbsp;ribosomal&nbsp;protein&nbsp;S4,77.4
78346.BRUM_1479,rpsF,30S&nbsp;ribosomal&nbsp;protein&nbsp;S6,76.2
78346.BRUM_1009,trpA,Tryptophan&nbsp;synthase&nbsp;alpha&nbsp;chain,74.6
78346.BRUM_0727,rpsN,30S&nbsp;ribosomal&nbsp;protein&nbsp;S14&nbsp;type&nbsp;Z,74.4
78346.BRUM_0713,rpsJ,30S&nbsp;ribosomal&nbsp;protein&nbsp;S10,73.3
78346.BRUM_0738,rpsM,30S&nbsp;ribosomal&nbsp;protein&nbsp;S13,72.8
78346.BRUM_0630,rplS,50S&nbsp;ribosomal&nbsp;protein&nbsp;L19,72.8
78346.BRUM_0720,rpsC,30S&nbsp;ribosomal&nbsp;protein&nbsp;S3,72.8
