398525.KB900701_gene3029,KB900701_gene3029,annotation&nbsp;not&nbsp;available,98.9
398525.KB900701_gene3731,KB900701_gene3731,annotation&nbsp;not&nbsp;available,98.9
398525.KB900701_gene1485,KB900701_gene1485,annotation&nbsp;not&nbsp;available,98.9
398525.KB900701_gene1614,KB900701_gene1614,annotation&nbsp;not&nbsp;available,98.9
398525.KB900701_gene6283,KB900701_gene6283,annotation&nbsp;not&nbsp;available,98.9
398525.KB900701_gene5623,rpsK,30S&nbsp;ribosomal&nbsp;protein&nbsp;S11,98.8
398525.KB900701_gene3660,KB900701_gene3660,annotation&nbsp;not&nbsp;available,98.8
398525.KB900701_gene6914,KB900701_gene6914,annotation&nbsp;not&nbsp;available,98.8
398525.KB900701_gene4328,KB900701_gene4328,annotation&nbsp;not&nbsp;available,98.8
398525.KB900701_gene2049,fmt,Methionyl-tRNA&nbsp;formyltransferase,98.8
398525.KB900701_gene5453,QU41_23430,annotation&nbsp;not&nbsp;available,98.7
398525.KB900701_gene6837,KB900701_gene6837,annotation&nbsp;not&nbsp;available,98.7
398525.KB900701_gene5812,KB900701_gene5812,Protoheme&nbsp;IX&nbsp;farnesyltransferase,98.7
398525.KB900701_gene5967,KB900701_gene5967,annotation&nbsp;not&nbsp;available,98.7
398525.KB900701_gene1212,KB900701_gene1212,annotation&nbsp;not&nbsp;available,98.6
398525.KB900701_gene6943,KB900701_gene6943,annotation&nbsp;not&nbsp;available,98.6
398525.KB900701_gene3162,KB900701_gene3162,annotation&nbsp;not&nbsp;available,98.6
398525.KB900701_gene5376,KB900701_gene5376,annotation&nbsp;not&nbsp;available,98.6
398525.KB900701_gene2312,KB900701_gene2312,annotation&nbsp;not&nbsp;available,98.5
398525.KB900701_gene6242,KB900701_gene6242,annotation&nbsp;not&nbsp;available,98.4
398525.KB900701_gene2880,KB900701_gene2880,annotation&nbsp;not&nbsp;available,98.4
398525.KB900701_gene4821,KB900701_gene4821,annotation&nbsp;not&nbsp;available,98.4
398525.KB900701_gene2765,ctc,50S&nbsp;ribosomal&nbsp;protein&nbsp;L25,98.4
398525.KB900701_gene1020,KB900701_gene1020,annotation&nbsp;not&nbsp;available,98.4
