694431.DESACE_05135,AHF97100.1,Histidine&nbsp;kinase,98.8
694431.DESACE_09180,AHF97573.1,ABC&nbsp;transporter&nbsp;permease,98.8
694431.DESACE_07190,AHF97344.1,Transfers&nbsp;sulfur&nbsp;from&nbsp;TusBCD&nbsp;complex&nbsp;to&nbsp;MnmA,98.8
694431.DESACE_01290,AHF96612.1,NADH&nbsp;dehydrogenase&nbsp;subunit&nbsp;L,98.1
694431.DESACE_08005,AHF98155.1,Uncharacterized&nbsp;protein,98.1
694431.DESACE_08105,AHF97456.1,Anthranilate&nbsp;phosphoribosyltransferase,97.9
694431.DESACE_07730,AHF98133.1,Uncharacterized&nbsp;protein,97.9
694431.DESACE_05345,AHF97966.1,Uncharacterized&nbsp;protein,97.8
694431.DESACE_02395,lolD,Lipoprotein-releasing&nbsp;system&nbsp;ATP-binding&nbsp;protein&nbsp;LolD,97.8
694431.DESACE_02070,AHF96732.1,FAD-binding&nbsp;protein,97.8
694431.DESACE_00030,AHF96446.1,DNA&nbsp;topoisomerase&nbsp;(ATP-hydrolyzing),97.2
694431.DESACE_00435,AHF97666.1,Uncharacterized&nbsp;protein,97.1
694431.DESACE_04480,AHF97022.1,Dihydroorotate&nbsp;dehydrogenase,97.1
694431.DESACE_00715,glyQ,Glycine--tRNA&nbsp;ligase&nbsp;alpha&nbsp;subunit,97.1
694431.DESACE_02310,pheS,Phenylalanine--tRNA&nbsp;ligase&nbsp;alpha&nbsp;subunit,97.0
694431.DESACE_02500,cmk,Cytidylate&nbsp;kinase,96.9
694431.DESACE_03215,plsY,Glycerol-3-phosphate&nbsp;acyltransferase,96.8
694431.DESACE_05920,hppA,K(+)-insensitive&nbsp;pyrophosphate-energized&nbsp;proton&nbsp;pump,96.6
694431.DESACE_00440,AHF96492.1,Flagellar&nbsp;motor&nbsp;switch&nbsp;protein&nbsp;FliM,96.6
694431.DESACE_08115,AHF97458.1,Anthranilate&nbsp;synthase&nbsp;subunit&nbsp;I,96.2
694431.DESACE_09130,AHF98242.1,Uncharacterized&nbsp;protein,95.7
694431.DESACE_01280,AHF97714.1,Uncharacterized&nbsp;protein,94.8
694431.DESACE_00925,AHF96563.1,Phosphoglycerate&nbsp;mutase,94.8
694431.DESACE_08745,AHF97524.1,4Fe-4S&nbsp;ferredoxin,94.7
694431.DESACE_08100,AHF97455.1,Indole-3-glycerol&nbsp;phosphate&nbsp;synthase,94.7
694431.DESACE_01255,nuoC,NADH-quinone&nbsp;oxidoreductase&nbsp;subunit&nbsp;C,94.5
694431.DESACE_09280,AHF98253.1,Uncharacterized&nbsp;protein,94.4
694431.DESACE_05510,AHF97147.1,Malonyl&nbsp;CoA-acyl&nbsp;carrier&nbsp;protein&nbsp;transacylase,94.3
694431.DESACE_04490,carB,Carbamoyl-phosphate&nbsp;synthase&nbsp;large&nbsp;chain,94.0
694431.DESACE_07395,AHF97371.1,RND&nbsp;transporter,93.9
694431.DESACE_04125,AHF96979.1,Formate&nbsp;acetyltransferase,93.8
694431.DESACE_02040,sdhB,Part&nbsp;of&nbsp;four&nbsp;member&nbsp;succinate&nbsp;dehydrogenase&nbsp;enzyme&nbsp;complex&nbsp;that&nbsp;forms&nbsp;a&nbsp;trimeric&nbsp;complex&nbsp;(trimer&nbsp;of&nbsp;tetramers),93.7
694431.DESACE_01795,rplJ,50S&nbsp;ribosomal&nbsp;protein&nbsp;L10,93.7
694431.DESACE_05240,AHF97113.1,4Fe-4S&nbsp;ferredoxin,93.7
694431.DESACE_03625,AHF96918.1,Adenylyltransferase,93.6
694431.DESACE_00630,AHF97674.1,Uncharacterized&nbsp;protein,93.6
694431.DESACE_01200,rpsT,30S&nbsp;ribosomal&nbsp;protein&nbsp;S20,93.6
694431.DESACE_01800,rplL,50S&nbsp;ribosomal&nbsp;protein&nbsp;L7/L12,93.5
694431.DESACE_06250,AHF98035.1,Uncharacterized&nbsp;protein,93.3
694431.DESACE_05130,AHF97099.1,LytTR&nbsp;family&nbsp;transcriptional&nbsp;regulator,93.2
694431.DESACE_08025,rpsO,30S&nbsp;ribosomal&nbsp;protein&nbsp;S15,93.0
694431.DESACE_03130,atpA,ATP&nbsp;synthase&nbsp;subunit&nbsp;alpha,92.7
694431.DESACE_05200,AHF97105.1,Uncharacterized&nbsp;protein,92.5
694431.DESACE_07660,kdpB,Potassium-transporting&nbsp;ATPase&nbsp;ATP-binding&nbsp;subunit,92.3
694431.DESACE_01815,rpsL,30S&nbsp;ribosomal&nbsp;protein&nbsp;S12,92.1
694431.DESACE_03220,ftsZ,Cell&nbsp;division&nbsp;protein&nbsp;FtsZ,92.1
694431.DESACE_05340,rpsB,30S&nbsp;ribosomal&nbsp;protein&nbsp;S2,92.1
694431.DESACE_00875,AHF96557.1,NifU&nbsp;protein,91.9
694431.DESACE_06255,AHF98036.1,Uncharacterized&nbsp;protein,91.8
694431.DESACE_04305,AHF96996.1,3-hydroxyacyl-CoA&nbsp;dehydrogenase,91.8
694431.DESACE_08895,ribBA,Riboflavin&nbsp;biosynthesis&nbsp;protein&nbsp;RibBA,91.6
694431.DESACE_07085,AHF97334.1,DNA&nbsp;polymerase&nbsp;I,91.5
694431.DESACE_07515,AHF97387.1,"Pyruvate,&nbsp;phosphate&nbsp;dikinase",91.5
694431.DESACE_06590,AHF98059.1,Uncharacterized&nbsp;protein,91.3
694431.DESACE_09540,gatC,Aspartyl/glutamyl-tRNA(Asn/Gln)&nbsp;amidotransferase&nbsp;subunit&nbsp;C,90.7
694431.DESACE_07930,groES,10&nbsp;kDa&nbsp;chaperonin,90.7
694431.DESACE_02250,AHF96762.1,Branched-chain&nbsp;amino&nbsp;acid&nbsp;ABC&nbsp;transporter&nbsp;substrate-binding&nbsp;protein,90.1
694431.DESACE_07655,kdpC,Potassium-transporting&nbsp;ATPase&nbsp;KdpC&nbsp;subunit,90.1
694431.DESACE_01550,AHF96646.1,Rieske&nbsp;Fe-S&nbsp;protein,89.9
694431.DESACE_01435,dnaJ,Chaperone&nbsp;protein&nbsp;DnaJ,89.9
694431.DESACE_08765,AHF97526.1,Phenylacetate-coenzyme&nbsp;A&nbsp;ligase,89.8
694431.DESACE_09555,AHF97619.1,Phosphoenolpyruvate&nbsp;synthase,89.8
694431.DESACE_06570,narH,With&nbsp;NarGJI&nbsp;catalyzes&nbsp;the&nbsp;reduction&nbsp;of&nbsp;nitrate,89.7
694431.DESACE_01980,rpoA,DNA-directed&nbsp;RNA&nbsp;polymerase&nbsp;subunit&nbsp;alpha,89.5
694431.DESACE_04700,AHF97924.1,Uncharacterized&nbsp;protein,89.2
694431.DESACE_01630,argJ,Arginine&nbsp;biosynthesis&nbsp;bifunctional&nbsp;protein&nbsp;ArgJ,89.1
694431.DESACE_00720,glyS,Glycine--tRNA&nbsp;ligase&nbsp;beta&nbsp;subunit,89.1
694431.DESACE_08515,AHF97496.1,Phosphate-binding&nbsp;protein&nbsp;PstS,89.1
694431.DESACE_04365,AHF97004.1,Nitrogen&nbsp;regulatory&nbsp;protein&nbsp;P-II&nbsp;1,88.9
694431.DESACE_06910,AHF98078.1,Uncharacterized&nbsp;protein,88.7
694431.DESACE_06775,AHF97291.1,3-hydroxybutyryl-CoA&nbsp;dehydrogenase,88.7
694431.DESACE_04525,AHF97027.1,Flagellar&nbsp;basal&nbsp;body&nbsp;protein,88.5
694431.DESACE_05020,AHF97945.1,Uncharacterized&nbsp;protein,88.5
694431.DESACE_01425,grpE,Protein&nbsp;GrpE,88.5
694431.DESACE_08720,AHF97519.1,ABC&nbsp;transporter&nbsp;permease,88.4
694431.DESACE_05010,AHF97944.1,Uncharacterized&nbsp;protein,88.4
694431.DESACE_04815,AHF97058.1,Branched-chain&nbsp;amino&nbsp;acid&nbsp;ABC&nbsp;transporter&nbsp;ATP-binding&nbsp;protein,88.3
694431.DESACE_01285,nuoK,NADH-quinone&nbsp;oxidoreductase&nbsp;subunit&nbsp;K,88.3
694431.DESACE_08570,AHF97504.1,Phenylacetate-coenzyme&nbsp;A&nbsp;ligase,88.2
694431.DESACE_07440,flgC,Flagellar&nbsp;basal-body&nbsp;rod&nbsp;protein&nbsp;FlgC,88.0
694431.DESACE_00970,AHF96571.1,Amino&nbsp;acid&nbsp;ABC&nbsp;transporter,88.0
694431.DESACE_06840,AHF97301.1,Acetyl-CoA&nbsp;acetyltransferase,87.9
