1027273.GZ77_02545,hisC,Histidinol-phosphate&nbsp;aminotransferase,98.9
1027273.GZ77_01160,GZ77_01160,Uncharacterized&nbsp;protein,98.8
1027273.GZ77_23310,GZ77_23310,3-phosphoglycerate&nbsp;dehydrogenase,98.8
1027273.GZ77_21900,glpC,Glycerol-3-phosphate&nbsp;dehydrogenase,98.7
1027273.GZ77_19260,GZ77_19260,Ammonium&nbsp;transporter,98.7
1027273.GZ77_09315,GZ77_09315,Peptide&nbsp;deformylase,98.6
1027273.GZ77_01030,GZ77_01030,Heme&nbsp;exporter&nbsp;protein&nbsp;B,98.6
1027273.GZ77_20685,GZ77_20685,Phosphoadenosine&nbsp;phosphosulfate&nbsp;reductase,98.5
1027273.GZ77_09730,fadH,"2,4-dienoyl-CoA&nbsp;reductase",98.5
1027273.GZ77_24445,GZ77_24445,Pilus&nbsp;assembly&nbsp;protein&nbsp;PilG,98.5
1027273.GZ77_23535,GZ77_23535,Alcohol&nbsp;dehydrogenase,98.5
1027273.GZ77_22430,GZ77_22430,Cysteine&nbsp;synthase,98.4
1027273.GZ77_03035,GZ77_03035,Sulfurtransferase,98.4
1027273.GZ77_11625,GZ77_11625,Glyoxalase,98.3
1027273.GZ77_13065,trmA,tRNA/tmRNA&nbsp;(uracil-C(5))-methyltransferase,98.3
1027273.GZ77_06740,GZ77_06740,Isocitrate&nbsp;lyase,98.3
1027273.GZ77_02855,GZ77_02855,Serine&nbsp;dehydratase,98.3
1027273.GZ77_09985,GZ77_09985,"Biphenyl&nbsp;2,3-dioxygenase",98.2
1027273.GZ77_04915,lpxA,Acyl-[acyl-carrier-protein]--UDP-N-acetylglucosamine&nbsp;O-acyltransferase,98.2
1027273.GZ77_22705,GZ77_22705,Dehydratase,98.1
1027273.GZ77_04620,GZ77_04620,Aspartokinase,98.1
1027273.GZ77_01045,pyrD,Dihydroorotate&nbsp;dehydrogenase&nbsp;(quinone),98.0
1027273.GZ77_10950,GZ77_10950,Uncharacterized&nbsp;protein,98.0
1027273.GZ77_10895,GZ77_10895,4-alpha-glucanotransferase,97.9
1027273.GZ77_04230,GZ77_04230,Uncharacterized&nbsp;protein,97.9
1027273.GZ77_12545,hslU,ATP-dependent&nbsp;protease&nbsp;ATPase&nbsp;subunit&nbsp;HslU,97.9
1027273.GZ77_01200,acpP,Acyl&nbsp;carrier&nbsp;protein,97.9
1027273.GZ77_07795,GZ77_07795,Phosphoadenylylsulfate&nbsp;reductase,97.8
1027273.GZ77_01195,fabG,3-ketoacyl-ACP&nbsp;reductase,97.8
1027273.GZ77_08290,hutH,Catalyzes&nbsp;the&nbsp;degradation&nbsp;of&nbsp;histidine&nbsp;to&nbsp;urocanate&nbsp;and&nbsp;ammmonia,97.8
1027273.GZ77_26320,GZ77_26320,Uncharacterized&nbsp;protein,97.8
1027273.GZ77_02265,cpsB,Mannose-1-phosphate&nbsp;guanyltransferase,97.7
1027273.GZ77_23130,GZ77_23130,Carbonic&nbsp;anhydrase,97.7
1027273.GZ77_14550,GZ77_14550,Nitroreductase,97.7
1027273.GZ77_19935,GZ77_19935,Converts&nbsp;2-oxoglutarate&nbsp;to&nbsp;glutamate,97.6
1027273.GZ77_02995,nagZ,Beta-hexosaminidase,97.6
1027273.GZ77_05805,GZ77_05805,Heme&nbsp;exporter&nbsp;protein&nbsp;D,97.5
1027273.GZ77_03000,GZ77_03000,Uncharacterized&nbsp;protein,97.4
1027273.GZ77_01985,GZ77_01985,Uncharacterized&nbsp;protein,97.4
1027273.GZ77_18520,trpS,Tryptophan--tRNA&nbsp;ligase,97.4
1027273.GZ77_22335,oppB,Oligopeptide&nbsp;transporter&nbsp;permease,97.3
1027273.GZ77_04625,csrA,Carbon&nbsp;storage&nbsp;regulator&nbsp;homolog,97.3
1027273.GZ77_08725,GZ77_08725,Uncharacterized&nbsp;protein,97.2
1027273.GZ77_24465,GZ77_24465,Uncharacterized&nbsp;protein,97.2
1027273.GZ77_10470,pstB,Phosphate&nbsp;import&nbsp;ATP-binding&nbsp;protein&nbsp;PstB,97.1
1027273.GZ77_08215,GZ77_08215,Uncharacterized&nbsp;protein,97.1
1027273.GZ77_15560,GZ77_15560,Amino&nbsp;acid&nbsp;ABC&nbsp;transporter&nbsp;substrate-binding&nbsp;protein,97.1
1027273.GZ77_19290,GZ77_19290,Sulfurtransferase,97.1
1027273.GZ77_20155,GZ77_20155,RNA&nbsp;polymerase&nbsp;sigma-54&nbsp;factor,97.1
1027273.GZ77_20410,GZ77_20410,Uncharacterized&nbsp;protein,97.0
1027273.GZ77_22330,GZ77_22330,Peptide&nbsp;ABC&nbsp;transporter&nbsp;permease,96.9
1027273.GZ77_08240,GZ77_08240,Uncharacterized&nbsp;protein,96.9
1027273.GZ77_04980,ispD,2-C-methyl-D-erythritol&nbsp;4-phosphate&nbsp;cytidylyltransferase,96.9
1027273.GZ77_23920,mutL,DNA&nbsp;mismatch&nbsp;repair&nbsp;protein&nbsp;MutL,96.8
1027273.GZ77_10085,GZ77_10085,Alanine&nbsp;dehydrogenase,96.8
1027273.GZ77_08450,GZ77_08450,Peptide&nbsp;ABC&nbsp;transporter&nbsp;permease,96.8
1027273.GZ77_23155,GZ77_23155,Amino&nbsp;acid&nbsp;ABC&nbsp;transporter&nbsp;permease,96.8
1027273.GZ77_13825,GZ77_13825,Xanthine&nbsp;dehydrogenase,96.8
1027273.GZ77_09820,GZ77_09820,3-oxoacyl-ACP&nbsp;reductase,96.7
1027273.GZ77_01915,GZ77_01915,ABC&nbsp;transporter&nbsp;permease,96.7
1027273.GZ77_21895,GZ77_21895,Glycerol-3-phosphate&nbsp;dehydrogenase,96.7
1027273.GZ77_22975,GZ77_22975,Uncharacterized&nbsp;protein,96.7
1027273.GZ77_25155,GZ77_25155,GCN5&nbsp;family&nbsp;acetyltransferase,96.6
1027273.GZ77_18375,GZ77_18375,NADP-dependent&nbsp;oxidoreductase,96.6
1027273.GZ77_20045,GZ77_20045,Sulfate&nbsp;adenylyltransferase&nbsp;subunit&nbsp;2,96.6
1027273.GZ77_13640,GZ77_13640,Uncharacterized&nbsp;protein,96.5
1027273.GZ77_24790,GZ77_24790,Malate&nbsp;dehydrogenase,96.5
1027273.GZ77_08460,GZ77_08460,Peptide&nbsp;ABC&nbsp;transporter&nbsp;ATP-binding&nbsp;protein,96.5
1027273.GZ77_25910,GZ77_25910,Spermidine/putrescine&nbsp;ABC&nbsp;transporter&nbsp;substrate-binding&nbsp;protein,96.4
1027273.GZ77_21515,nusB,Transcription&nbsp;antitermination&nbsp;protein&nbsp;NusB,96.4
1027273.GZ77_02210,accD,Acetyl-coenzyme&nbsp;A&nbsp;carboxylase&nbsp;carboxyl&nbsp;transferase&nbsp;subunit&nbsp;beta,96.3
1027273.GZ77_02510,GZ77_02510,Uncharacterized&nbsp;protein,96.3
1027273.GZ77_23480,GZ77_23480,Iron&nbsp;ABC&nbsp;transporter,96.3
1027273.GZ77_12520,GZ77_12520,Proline&nbsp;iminopeptidase,96.2
1027273.GZ77_24505,metK,S-adenosylmethionine&nbsp;synthase,96.1
1027273.GZ77_13235,GZ77_13235,"1,4-alpha-glucan&nbsp;branching&nbsp;protein",96.1
1027273.GZ77_01020,GZ77_01020,NAD-glutamate&nbsp;dehydrogenase,96.0
1027273.GZ77_06310,GZ77_06310,Uncharacterized&nbsp;protein,96.0
1027273.GZ77_24045,GZ77_24045,ADP-heptose--LPS&nbsp;heptosyltransferase,96.0
1027273.GZ77_08190,GZ77_08190,Succinate&nbsp;dehydrogenase&nbsp;hydrophobic&nbsp;membrane&nbsp;anchor&nbsp;subunit,96.0
1027273.GZ77_13365,GZ77_13365,"Iron-sulfur&nbsp;cluster-binding&nbsp;protein,&nbsp;Rieske&nbsp;family",96.0
1027273.GZ77_14355,GZ77_14355,Class&nbsp;II&nbsp;aldolase,96.0
1027273.GZ77_21485,GZ77_21485,Geranyl&nbsp;transferase,95.9
1027273.GZ77_11630,GZ77_11630,Uncharacterized&nbsp;protein,95.9
1027273.GZ77_22000,cpdB,Periplasmic&nbsp;enzyme,95.9
1027273.GZ77_21630,thiE,Thiamine-phosphate&nbsp;synthase,95.7
1027273.GZ77_02975,GZ77_02975,Uncharacterized&nbsp;protein,95.7
1027273.GZ77_21005,carB,Carbamoyl-phosphate&nbsp;synthase&nbsp;large&nbsp;chain,95.6
1027273.GZ77_24575,pgk,Phosphoglycerate&nbsp;kinase,95.5
1027273.GZ77_21780,GZ77_21780,AP&nbsp;endonuclease,95.4
1027273.GZ77_01575,recO,DNA&nbsp;repair&nbsp;protein&nbsp;RecO,95.4
1027273.GZ77_08250,GZ77_08250,Nitrate&nbsp;reductase,95.3
1027273.GZ77_01910,GZ77_01910,ABC&nbsp;transporter&nbsp;substrate-binding&nbsp;protein,95.3
1027273.GZ77_25320,GZ77_25320,Sulfate&nbsp;permease,95.2
1027273.GZ77_09900,GZ77_09900,Acyl-CoA&nbsp;dehydrogenase,95.2
1027273.GZ77_24050,GZ77_24050,ADP-heptose--LPS&nbsp;heptosyltransferase,95.2
1027273.GZ77_22470,GZ77_22470,Inorganic&nbsp;pyrophosphatase,95.2
1027273.GZ77_06075,GZ77_06075,Uncharacterized&nbsp;protein,95.2
1027273.GZ77_12090,GZ77_12090,ABC&nbsp;transporter&nbsp;permease,95.1
1027273.GZ77_07850,GZ77_07850,Tryptophan--tRNA&nbsp;ligase,95.1
1027273.GZ77_18855,rpoA,DNA-directed&nbsp;RNA&nbsp;polymerase&nbsp;subunit&nbsp;alpha,95.1
1027273.GZ77_21500,ribA,GTP&nbsp;cyclohydrolase-2,95.0
1027273.GZ77_19220,ftsY,Signal&nbsp;recognition&nbsp;particle&nbsp;receptor&nbsp;FtsY,95.0
1027273.GZ77_21945,GZ77_21945,ATP&nbsp;synthase&nbsp;subunit&nbsp;alpha,95.0
1027273.GZ77_15140,GZ77_15140,Nitrate&nbsp;ABC&nbsp;transporter&nbsp;permease,95.0
1027273.GZ77_06975,GZ77_06975,Uncharacterized&nbsp;protein,94.9
1027273.GZ77_19815,GZ77_19815,Ribonucleotide-diphosphate&nbsp;reductase&nbsp;subunit&nbsp;beta,94.9
1027273.GZ77_08420,GZ77_08420,Arginine&nbsp;ABC&nbsp;transporter&nbsp;substrate-binding&nbsp;protein,94.9
1027273.GZ77_13605,GZ77_13605,Hypoxanthine&nbsp;oxidase,94.8
1027273.GZ77_14150,GZ77_14150,Ubiquinol-cytochrome&nbsp;c&nbsp;reductase&nbsp;iron-sulfur&nbsp;subunit,94.7
1027273.GZ77_01065,GZ77_01065,Cell&nbsp;division&nbsp;protein&nbsp;FtsX,94.7
1027273.GZ77_11370,astD,N-succinylglutamate&nbsp;5-semialdehyde&nbsp;dehydrogenase,94.7
1027273.GZ77_19015,GZ77_19015,DNA&nbsp;polymerase&nbsp;III&nbsp;subunit&nbsp;alpha,94.6
1027273.GZ77_04030,secF,Protein-export&nbsp;membrane&nbsp;protein&nbsp;SecF,94.6
1027273.GZ77_01225,tmk,Thymidylate&nbsp;kinase,94.6
1027273.GZ77_04985,ispF,"2-C-methyl-D-erythritol&nbsp;2,4-cyclodiphosphate&nbsp;synthase",94.6
1027273.GZ77_14905,zipA,Cell&nbsp;division&nbsp;protein&nbsp;ZipA,94.6
1027273.GZ77_21965,atpB,ATP&nbsp;synthase&nbsp;subunit&nbsp;a,94.6
1027273.GZ77_12165,GZ77_12165,Sugar&nbsp;ABC&nbsp;transporter&nbsp;ATP-binding&nbsp;protein,94.5
1027273.GZ77_11735,ilvD,Dihydroxy-acid&nbsp;dehydratase,94.4
1027273.GZ77_11405,groEL,60&nbsp;kDa&nbsp;chaperonin,94.3
1027273.GZ77_02360,metZ,O-succinylhomoserine&nbsp;sulfhydrylase,94.3
1027273.GZ77_04365,GZ77_04365,Acetyl-coenzyme&nbsp;A&nbsp;synthetase,94.3
1027273.GZ77_20105,GZ77_20105,Organic&nbsp;solvent&nbsp;ABC&nbsp;transporter&nbsp;substrate-binding&nbsp;protein,94.3
1027273.GZ77_01525,GZ77_01525,Uncharacterized&nbsp;protein,94.3
1027273.GZ77_13840,GZ77_13840,Phenylhydantoinase,94.3
1027273.GZ77_22280,aroE,Shikimate&nbsp;dehydrogenase&nbsp;(NADP(+)),94.3
1027273.GZ77_00495,purM,Phosphoribosylformylglycinamidine&nbsp;cyclo-ligase,94.2
1027273.GZ77_01865,recC,RecBCD&nbsp;enzyme&nbsp;subunit&nbsp;RecC,94.2
1027273.GZ77_10815,GZ77_10815,Maltose&nbsp;transporter&nbsp;permease,94.2
1027273.GZ77_08495,GZ77_08495,Glyceraldehyde-3-phosphate&nbsp;dehydrogenase,94.2
1027273.GZ77_05440,GZ77_05440,Acetyl-CoA&nbsp;acetyltransferase,94.1
1027273.GZ77_22325,oppD,Oligopeptide&nbsp;transporter&nbsp;ATP-binding&nbsp;component,94.0
1027273.GZ77_16415,GZ77_16415,Acyl-CoA&nbsp;thioester&nbsp;hydrolase,93.9
1027273.GZ77_05640,folD,Bifunctional&nbsp;protein&nbsp;FolD,93.9
1027273.GZ77_10225,GZ77_10225,Uncharacterized&nbsp;protein,93.9
1027273.GZ77_18825,rpmD,50S&nbsp;ribosomal&nbsp;protein&nbsp;L30,93.8
