1385521.N803_04535,metG,Methionine--tRNA&nbsp;ligase,98.9
1385521.N803_03495,rplC,50S&nbsp;ribosomal&nbsp;protein&nbsp;L3,98.9
1385521.N803_03415,rplR,50S&nbsp;ribosomal&nbsp;protein&nbsp;L18,98.9
1385521.N803_08380,N803_08380,3-oxoacyl-ACP&nbsp;reductase,98.8
1385521.N803_11445,N803_11445,ATP-dependent&nbsp;Clp&nbsp;protease&nbsp;ATP-binding&nbsp;protein,98.8
1385521.N803_07805,N803_07805,CDP-diacylglycerol--glycerol-3-phosphate&nbsp;3-phosphatidyltransferase,98.7
1385521.N803_12210,N803_12210,3-ketoacyl-CoA&nbsp;thiolase,98.7
1385521.N803_01640,N803_01640,Molybdopterin&nbsp;oxidoreductase,98.6
1385521.N803_07860,sbcD,Nuclease&nbsp;SbcCD&nbsp;subunit&nbsp;D,98.5
1385521.N803_02035,N803_02035,Aminoglycoside&nbsp;phosphotransferase,98.5
1385521.N803_01995,N803_01995,"Type&nbsp;III&nbsp;restriction&nbsp;enzyme,&nbsp;res&nbsp;subunit",98.4
1385521.N803_09860,N803_09860,Glycerophosphoryl&nbsp;diester&nbsp;phosphodiesterase,98.3
1385521.N803_16455,N803_16455,Glycogen&nbsp;debranching&nbsp;protein,98.2
1385521.N803_03100,N803_03100,4-alpha-glucanotransferase,98.1
1385521.N803_16630,N803_16630,Acetolactate&nbsp;synthase&nbsp;large&nbsp;subunit,98.1
1385521.N803_01345,N803_01345,ATP-binding&nbsp;protein,97.8
1385521.N803_00030,argH,Argininosuccinate&nbsp;lyase,97.8
1385521.N803_01070,N803_01070,ABC&nbsp;transporter&nbsp;ATP-binding&nbsp;protein,97.8
1385521.N803_00515,N803_00515,Zinc&nbsp;ABC&nbsp;transporter&nbsp;ATPase,97.5
1385521.N803_17435,proS,Proline--tRNA&nbsp;ligase,97.5
1385521.N803_01200,N803_01200,Cobalt&nbsp;ABC&nbsp;transporter&nbsp;ATP-binding&nbsp;protein,97.4
1385521.N803_16905,N803_16905,Cystathionine&nbsp;gamma-synthase,97.4
1385521.N803_09080,carA,Carbamoyl-phosphate&nbsp;synthase&nbsp;small&nbsp;chain,97.3
1385521.N803_00830,recA,Protein&nbsp;RecA,97.1
1385521.N803_00735,rpsT,30S&nbsp;ribosomal&nbsp;protein&nbsp;S20,97.1
1385521.N803_05595,N803_05595,UDP-glucose&nbsp;6-dehydrogenase,97.1
1385521.N803_16415,N803_16415,1-pyrroline-5-carboxylate&nbsp;dehydrogenase,97.0
1385521.N803_04235,rpoB,DNA-directed&nbsp;RNA&nbsp;polymerase&nbsp;subunit&nbsp;beta,96.7
1385521.N803_09765,pfp,Pyrophosphate--fructose&nbsp;6-phosphate&nbsp;1-phosphotransferase,96.7
1385521.N803_00955,N803_00955,Phenylacetic&nbsp;acid&nbsp;degradation&nbsp;protein,96.5
1385521.N803_06205,N803_06205,AMP-dependent&nbsp;synthetase,96.4
1385521.N803_14200,N803_14200,Dehydrogenase,96.4
1385521.N803_17085,N803_17085,Short-chain&nbsp;dehydrogenase,96.2
1385521.N803_03430,rpsN,30S&nbsp;ribosomal&nbsp;protein&nbsp;S14&nbsp;type&nbsp;Z,96.1
1385521.N803_11100,icmF,Fused&nbsp;isobutyryl-CoA&nbsp;mutase,96.1
1385521.N803_08055,N803_08055,RNA&nbsp;helicase,95.9
1385521.N803_16435,N803_16435,NAD-glutamate&nbsp;dehydrogenase,95.9
1385521.N803_09310,N803_09310,Glutamate&nbsp;synthase,95.8
1385521.N803_17205,N803_17205,Aminotransferase,95.8
1385521.N803_00685,N803_00685,Uncharacterized&nbsp;protein,95.8
1385521.N803_17530,N803_17530,Phosphoribosyltransferase,95.8
1385521.N803_03455,rpmC,50S&nbsp;ribosomal&nbsp;protein&nbsp;L29,95.7
1385521.N803_02040,glgB,"1,4-alpha-glucan&nbsp;branching&nbsp;enzyme&nbsp;GlgB",95.6
1385521.N803_09790,N803_09790,Penicillin-binding&nbsp;protein,95.6
1385521.N803_00460,N803_00460,Thiosulfate&nbsp;sulfurtransferase,95.5
1385521.N803_01060,N803_01060,Protein-tyrosine&nbsp;kinase,95.2
1385521.N803_00420,N803_00420,Glutamate&nbsp;ABC&nbsp;transporter&nbsp;permease,95.2
1385521.N803_13630,rpmH,50S&nbsp;ribosomal&nbsp;protein&nbsp;L34,95.1
1385521.N803_01535,N803_01535,Alpha/beta&nbsp;hydrolase,95.0
1385521.N803_03265,rplM,50S&nbsp;ribosomal&nbsp;protein&nbsp;L13,95.0
1385521.N803_04970,N803_04970,Oxidoreductase,94.9
1385521.N803_01325,trmB,tRNA&nbsp;(guanine-N(7)-)-methyltransferase,94.9
1385521.N803_03470,rplV,50S&nbsp;ribosomal&nbsp;protein&nbsp;L22,94.7
1385521.N803_03320,rpsD,30S&nbsp;ribosomal&nbsp;protein&nbsp;S4,94.5
1385521.N803_12340,N803_12340,Uncharacterized&nbsp;protein,94.5
1385521.N803_05045,N803_05045,Enoyl-CoA&nbsp;hydratase,94.5
1385521.N803_00755,N803_00755,Glucosidase,94.5
1385521.N803_11430,N803_11430,N-acetylglutamate&nbsp;synthase,94.5
1385521.N803_02345,rpmE,50S&nbsp;ribosomal&nbsp;protein&nbsp;L31,94.4
1385521.N803_00535,recO,DNA&nbsp;repair&nbsp;protein&nbsp;RecO,94.4
1385521.N803_04360,eno,Enolase,94.3
1385521.N803_00155,hisC,Histidinol-phosphate&nbsp;aminotransferase,94.2
1385521.N803_15925,N803_15925,Adenylyl&nbsp;cyclase,94.2
1385521.N803_08445,N803_08445,Cysteine&nbsp;desulfurase,94.1
1385521.N803_09570,N803_09570,Glucose&nbsp;dehydrogenase,93.9
1385521.N803_04930,N803_04930,Uncharacterized&nbsp;protein,93.7
1385521.N803_00980,dapB,4-hydroxy-tetrahydrodipicolinate&nbsp;reductase,93.7
1385521.N803_11365,N803_11365,Uncharacterized&nbsp;protein,93.6
1385521.N803_16205,N803_16205,Uncharacterized&nbsp;protein,93.6
1385521.N803_16005,N803_16005,N-acetyl&nbsp;glucosamine/N-acetyl&nbsp;galactosamine&nbsp;epimerase,93.4
1385521.N803_05640,N803_05640,Uncharacterized&nbsp;protein,93.4
1385521.N803_16720,N803_16720,Short-chain&nbsp;dehydrogenase,93.4
1385521.N803_06725,lipB,Octanoyltransferase,93.3
1385521.N803_13085,N803_13085,Molybdate-binding&nbsp;protein,93.3
1385521.N803_01410,N803_01410,ATP-dependent&nbsp;DNA&nbsp;helicase&nbsp;RecQ,93.2
1385521.N803_04180,N803_04180,Forms&nbsp;citrate&nbsp;from&nbsp;oxaloacetate&nbsp;and&nbsp;acetyl-CoA,93.2
1385521.N803_02870,N803_02870,Acyl-CoA&nbsp;dehydrogenase,93.1
1385521.N803_03405,rpmD,50S&nbsp;ribosomal&nbsp;protein&nbsp;L30,93.1
1385521.N803_00530,N803_00530,Isoprenyl&nbsp;transferase,92.8
1385521.N803_08925,hisF,Imidazole&nbsp;glycerol&nbsp;phosphate&nbsp;synthase&nbsp;subunit&nbsp;HisF,92.8
1385521.N803_00050,argB,Acetylglutamate&nbsp;kinase,92.7
1385521.N803_05385,sucC,Succinate--CoA&nbsp;ligase&nbsp;[ADP-forming]&nbsp;subunit&nbsp;beta,92.7
1385521.N803_00140,hisH,Imidazole&nbsp;glycerol&nbsp;phosphate&nbsp;synthase&nbsp;subunit&nbsp;HisH,92.7
1385521.N803_09750,N803_09750,Aspartokinase,92.5
1385521.N803_01460,N803_01460,Glycogen&nbsp;debranching&nbsp;protein,92.4
1385521.N803_03210,N803_03210,Fumarate&nbsp;hydratase&nbsp;class&nbsp;I,92.3
1385521.N803_00750,N803_00750,Glucose-1-dehydrogenase,92.1
1385521.N803_00045,argD,Acetylornithine&nbsp;aminotransferase,92.1
1385521.N803_08165,metH,One&nbsp;of&nbsp;two&nbsp;methionine&nbsp;synthases&nbsp;in&nbsp;Escherichia&nbsp;coli,92.1
1385521.N803_11215,rpmG,50S&nbsp;ribosomal&nbsp;protein&nbsp;L33,92.1
1385521.N803_00615,era,GTPase&nbsp;Era,92.0
1385521.N803_01310,N803_01310,Peptidase,92.0
1385521.N803_04190,N803_04190,DtxR&nbsp;family&nbsp;transcriptional&nbsp;regulator,91.9
1385521.N803_12775,N803_12775,DNA&nbsp;polymerase&nbsp;IV,91.9
1385521.N803_01485,N803_01485,Acyl-CoA&nbsp;dehydrogenase,91.8
1385521.N803_00290,N803_00290,Glycerophosphoryl&nbsp;diester&nbsp;phosphodiesterase,91.8
1385521.N803_16765,N803_16765,Class&nbsp;I&nbsp;peptide&nbsp;chain&nbsp;release&nbsp;factor,91.8
1385521.N803_05800,N803_05800,O-acetylhomoserine&nbsp;aminocarboxypropyltransferase,91.6
1385521.N803_10195,topA,DNA&nbsp;topoisomerase&nbsp;1,91.4
1385521.N803_17045,N803_17045,Nitrogen&nbsp;regulatory&nbsp;protein&nbsp;P-II&nbsp;1,90.9
1385521.N803_06245,infB,Translation&nbsp;initiation&nbsp;factor&nbsp;IF-2,90.8
1385521.N803_08665,N803_08665,ABC&nbsp;transporter,90.8
1385521.N803_17120,N803_17120,Uncharacterized&nbsp;protein,90.8
1385521.N803_08375,N803_08375,Enoyl-[acyl-carrier-protein]&nbsp;reductase&nbsp;[NADH],90.8
1385521.N803_00675,N803_00675,3-ketoacyl-ACP&nbsp;reductase,90.7
1385521.N803_06880,N803_06880,Preprotein&nbsp;translocase&nbsp;subunit&nbsp;TatB,90.7
1385521.N803_10870,N803_10870,2-oxoglutarate&nbsp;ferredoxin&nbsp;oxidoreductase&nbsp;subunit&nbsp;alpha,90.7
1385521.N803_13860,N803_13860,Cell&nbsp;division&nbsp;protein&nbsp;FtsI,90.6
1385521.N803_00135,hisA,1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino]&nbsp;imidazole-4-carboxamide&nbsp;isomerase,90.5
1385521.N803_03420,rplF,50S&nbsp;ribosomal&nbsp;protein&nbsp;L6,90.4
1385521.N803_05575,N803_05575,UDP-glucose&nbsp;4-epimerase,90.3
1385521.N803_17145,rplS,50S&nbsp;ribosomal&nbsp;protein&nbsp;L19,90.3
1385521.N803_01350,N803_01350,Membrane&nbsp;protein,90.3
1385521.N803_00940,dapA,4-hydroxy-tetrahydrodipicolinate&nbsp;synthase,90.3
1385521.N803_12140,narZ,With&nbsp;NarYV&nbsp;catalyzes&nbsp;the&nbsp;reduction&nbsp;of&nbsp;nitrate,90.2
1385521.N803_00020,N803_00020,Adenosine&nbsp;deaminase,90.1
1385521.N803_01120,N803_01120,Penicillin-binding&nbsp;protein,90.1
1385521.N803_05030,N803_05030,Valine&nbsp;dehydrogenase,90.1
1385521.N803_00875,N803_00875,DNA&nbsp;glycosylase,90.1
1385521.N803_14140,N803_14140,Regulator,90.1
1385521.N803_04885,N803_04885,Biotin&nbsp;biosynthesis&nbsp;protein&nbsp;BioC,89.7
1385521.N803_09560,N803_09560,ABC&nbsp;transporter,89.6
1385521.N803_07085,N803_07085,DNA-directed&nbsp;DNA&nbsp;polymerase,89.6
1385521.N803_02395,lysA,Diaminopimelate&nbsp;decarboxylase,89.5
1385521.N803_13155,N803_13155,Asparagine&nbsp;synthase,89.4
1385521.N803_00270,N803_00270,Pyruvate&nbsp;dehydrogenase&nbsp;E1&nbsp;component,89.4
1385521.N803_00445,N803_00445,Deoxyguanosinetriphosphate&nbsp;triphosphohydrolase-like&nbsp;protein,89.3
1385521.N803_00760,N803_00760,DEAD/DEAH&nbsp;box&nbsp;helicase,89.1
1385521.N803_02400,argS,Arginine--tRNA&nbsp;ligase,89.1
1385521.N803_01740,N803_01740,Uncharacterized&nbsp;protein,89.0
1385521.N803_01330,N803_01330,Histidine&nbsp;kinase,89.0
1385521.N803_08155,N803_08155,tRNA&nbsp;(adenine(58)-N(1))-methyltransferase&nbsp;TrmI,88.9
1385521.N803_00920,N803_00920,Methylamine&nbsp;utilization&nbsp;protein&nbsp;MauE,88.8
1385521.N803_06980,N803_06980,Long-chain&nbsp;fatty&nbsp;acid--CoA&nbsp;ligase,88.7
1385521.N803_02435,kgd,Alpha-ketoglutarate&nbsp;decarboxylase,88.5
1385521.N803_00900,N803_00900,CDP-diacylglycerol--glycerol-3-phosphate&nbsp;3-phosphatidyl-transferase,88.4
1385521.N803_00370,N803_00370,Beta-lactamase,88.4
1385521.N803_08290,N803_08290,DNA&nbsp;mismatch&nbsp;repair&nbsp;protein&nbsp;MutT,88.2
1385521.N803_09715,dnaX,DNA&nbsp;polymerase&nbsp;III&nbsp;subunit&nbsp;gamma/tau,88.2
1385521.N803_16840,gltX,Glutamate--tRNA&nbsp;ligase,88.2
1385521.N803_12720,N803_12720,ABC&nbsp;transporter&nbsp;ATP-binding&nbsp;protein,88.1
1385521.N803_04090,N803_04090,Helicase,88.0
1385521.N803_16335,N803_16335,Uncharacterized&nbsp;protein,88.0
1385521.N803_12920,clpB,Chaperone&nbsp;protein&nbsp;ClpB,88.0
1385521.N803_08430,N803_08430,Uncharacterized&nbsp;protein,87.9
1385521.N803_12060,N803_12060,Uncharacterized&nbsp;protein,87.9
1385521.N803_11375,rpsF,30S&nbsp;ribosomal&nbsp;protein&nbsp;S6,87.8
1385521.N803_07575,N803_07575,MaoC&nbsp;family&nbsp;dehydratase,87.8
1385521.N803_07985,N803_07985,3-aminobutyryl-CoA&nbsp;ammonia&nbsp;lyase,87.5
1385521.N803_00085,N803_00085,3-oxoacyl-ACP&nbsp;reductase,87.5
1385521.N803_01600,N803_01600,dITP/XTP&nbsp;pyrophosphatase,87.3
1385521.N803_09010,N803_09010,Alpha/beta&nbsp;hydrolase,87.2
1385521.N803_01085,N803_01085,Glycosyl&nbsp;transferase&nbsp;family&nbsp;2,87.2
1385521.N803_02045,N803_02045,Phosphoglucomutase,87.1
1385521.N803_07105,dinB,DNA&nbsp;polymerase&nbsp;IV,87.0
1385521.N803_05570,mdh,Malate&nbsp;dehydrogenase,87.0
1385521.N803_16685,leuB,3-isopropylmalate&nbsp;dehydrogenase,87.0
1385521.N803_13640,N803_13640,Beta&nbsp;sliding&nbsp;clamp,86.6
1385521.N803_12255,N803_12255,Thioredoxin,86.3
1385521.N803_04110,N803_04110,Galactose&nbsp;mutarotase,86.3
1385521.N803_03240,N803_03240,ABC&nbsp;transporter&nbsp;substrate-binding&nbsp;protein,86.0
