596323.HMPREF0554_1915,secE,"Preprotein&nbsp;translocase,&nbsp;SecE&nbsp;subunit",98.4
596323.HMPREF0554_1762,rplI,50S&nbsp;ribosomal&nbsp;protein&nbsp;L9,98.2
596323.HMPREF0554_0622,ruvB,Holliday&nbsp;junction&nbsp;ATP-dependent&nbsp;DNA&nbsp;helicase&nbsp;RuvB,97.6
596323.HMPREF0554_0290,rplP,50S&nbsp;ribosomal&nbsp;protein&nbsp;L16,97.6
596323.HMPREF0554_0285,rplW,50S&nbsp;ribosomal&nbsp;protein&nbsp;L23,97.5
596323.HMPREF0554_0113,rpmB,50S&nbsp;ribosomal&nbsp;protein&nbsp;L28,97.3
596323.HMPREF0554_0929,EEY35696.1,"SUF&nbsp;system&nbsp;FeS&nbsp;assembly&nbsp;protein,&nbsp;NifU&nbsp;family",97.2
596323.HMPREF0554_1704,EEY34841.1,"ABC&nbsp;transporter,&nbsp;permease&nbsp;protein",96.9
596323.HMPREF0554_1577,EEY36139.1,"ABC&nbsp;transporter,&nbsp;substrate-binding&nbsp;protein",96.8
596323.HMPREF0554_0180,EEY34018.1,"ABC&nbsp;transporter,&nbsp;ATP-binding&nbsp;protein",96.6
596323.HMPREF0554_1674,atpG,ATP&nbsp;synthase&nbsp;gamma&nbsp;chain,96.5
596323.HMPREF0554_1555,secG,"Preprotein&nbsp;translocase,&nbsp;SecG&nbsp;subunit",95.9
596323.HMPREF0554_0299,rplR,50S&nbsp;ribosomal&nbsp;protein&nbsp;L18,95.5
596323.HMPREF0554_0030,EEY33962.1,"Phosphoenolpyruvate-dependent&nbsp;sugar&nbsp;phosphotransferase&nbsp;system,&nbsp;EIIA&nbsp;2",95.4
596323.HMPREF0554_1360,rpoA,DNA-directed&nbsp;RNA&nbsp;polymerase&nbsp;subunit&nbsp;alpha,95.0
596323.HMPREF0554_2479,yeaZ,Universal&nbsp;bacterial&nbsp;protein&nbsp;YeaZ,94.9
596323.HMPREF0554_0297,rpsH,30S&nbsp;ribosomal&nbsp;protein&nbsp;S8,94.9
596323.HMPREF0554_1395,leuD,3-isopropylmalate&nbsp;dehydratase&nbsp;small&nbsp;subunit,94.7
596323.HMPREF0554_0295,rplE,50S&nbsp;ribosomal&nbsp;protein&nbsp;L5,94.7
596323.HMPREF0554_1920,rplJ,50S&nbsp;ribosomal&nbsp;protein&nbsp;L10,94.6
596323.HMPREF0554_1923,rpoC,DNA-directed&nbsp;RNA&nbsp;polymerase&nbsp;subunit&nbsp;beta',94.6
596323.HMPREF0554_0675,EEY35446.1,"ABC&nbsp;transporter,&nbsp;ATP-binding&nbsp;protein",94.0
596323.HMPREF0554_1578,EEY36127.1,"ABC&nbsp;transporter,&nbsp;ATP-binding&nbsp;protein",93.8
596323.HMPREF0554_2008,rplS,50S&nbsp;ribosomal&nbsp;protein&nbsp;L19,93.7
596323.HMPREF0554_0896,rplM,50S&nbsp;ribosomal&nbsp;protein&nbsp;L13,93.6
596323.HMPREF0554_2283,EEY33934.1,"ABC&nbsp;transporter,&nbsp;ATP-binding&nbsp;protein",93.2
596323.HMPREF0554_1493,rpsP,30S&nbsp;ribosomal&nbsp;protein&nbsp;S16,93.2
596323.HMPREF0554_2067,EEY35403.1,Orotidine&nbsp;5'-phosphate&nbsp;decarboxylase,92.9
596323.HMPREF0554_1262,groL,60&nbsp;kDa&nbsp;chaperonin,92.9
596323.HMPREF0554_0859,ntpB,V-type&nbsp;ATP&nbsp;synthase&nbsp;beta&nbsp;chain,92.9
596323.HMPREF0554_1548,purN,Phosphoribosylglycinamide&nbsp;formyltransferase,92.8
596323.HMPREF0554_2282,EEY33936.1,"ABC&nbsp;transporter,&nbsp;permease&nbsp;protein",92.5
596323.HMPREF0554_0343,EEY35181.1,"ABC&nbsp;transporter,&nbsp;solute-binding&nbsp;protein",92.1
596323.HMPREF0554_0302,rplO,50S&nbsp;ribosomal&nbsp;protein&nbsp;L15,92.1
596323.HMPREF0554_0885,EEY35071.1,Uncharacterized&nbsp;protein,91.6
596323.HMPREF0554_0194,gyrB,DNA&nbsp;gyrase&nbsp;subunit&nbsp;B,91.5
596323.HMPREF0554_1697,EEY34840.1,Phosphate&nbsp;transport&nbsp;system&nbsp;permease&nbsp;protein,90.9
596323.HMPREF0554_1703,EEY34940.1,"ABC&nbsp;transporter,&nbsp;solute-binding&nbsp;protein",90.8
596323.HMPREF0554_1800,scrA,"PTS&nbsp;system,&nbsp;glucose-like&nbsp;IIB&nbsp;component",90.8
596323.HMPREF0554_2132,rpsO,30S&nbsp;ribosomal&nbsp;protein&nbsp;S15,90.6
596323.HMPREF0554_2118,rpmA,50S&nbsp;ribosomal&nbsp;protein&nbsp;L27,90.5
596323.HMPREF0554_2478,ftsY,Signal&nbsp;recognition&nbsp;particle&nbsp;receptor&nbsp;FtsY,90.3
596323.HMPREF0554_0128,nusA,Transcription&nbsp;termination/antitermination&nbsp;protein&nbsp;NusA,90.3
596323.HMPREF0554_1033,EEY34562.1,"Putative&nbsp;phosphonate&nbsp;ABC&nbsp;transporter,&nbsp;permease&nbsp;protein&nbsp;PhnE",89.7
596323.HMPREF0554_1787,EEY35000.1,"Aminotransferase,&nbsp;class&nbsp;V",89.6
596323.HMPREF0554_1866,pgk,Phosphoglycerate&nbsp;kinase,89.2
596323.HMPREF0554_0195,gyrA,DNA&nbsp;gyrase&nbsp;subunit&nbsp;A,89.0
596323.HMPREF0554_0615,nifJ,Pyruvate&nbsp;synthase,88.9
596323.HMPREF0554_0677,EEY35451.1,"Aminotransferase,&nbsp;class&nbsp;V",88.7
596323.HMPREF0554_0294,rplX,50S&nbsp;ribosomal&nbsp;protein&nbsp;L24,87.9
596323.HMPREF0554_1884,oppC,"ABC&nbsp;transporter,&nbsp;permease&nbsp;protein",87.8
596323.HMPREF0554_0287,rpsS,30S&nbsp;ribosomal&nbsp;protein&nbsp;S19,87.5
596323.HMPREF0554_0884,EEY35044.1,"DNA&nbsp;polymerase&nbsp;III,&nbsp;delta&nbsp;subunit",87.5
596323.HMPREF0554_1885,EEY34454.1,Oligopeptide&nbsp;transport&nbsp;ATP-binding&nbsp;protein&nbsp;OppD,87.4
596323.HMPREF0554_0941,rpsA,30S&nbsp;ribosomal&nbsp;protein&nbsp;S1,87.1
596323.HMPREF0554_1032,EEY34559.1,"ABC&nbsp;transporter,&nbsp;permease&nbsp;protein",86.9
596323.HMPREF0554_0749,rpsR,30S&nbsp;ribosomal&nbsp;protein&nbsp;S18,86.4
596323.HMPREF0554_0395,ruvA,Holliday&nbsp;junction&nbsp;ATP-dependent&nbsp;DNA&nbsp;helicase&nbsp;RuvA,86.3
596323.HMPREF0554_2281,EEY33932.1,"ABC&nbsp;transporter,&nbsp;solute-binding&nbsp;protein",85.7
596323.HMPREF0554_0341,EEY35152.1,"ABC&nbsp;transporter,&nbsp;ATP-binding&nbsp;protein",85.5
596323.HMPREF0554_2339,EEY34264.1,PTS&nbsp;system&nbsp;Galactitol-specific&nbsp;IIC&nbsp;component,85.2
596323.HMPREF0554_1394,leuC,3-isopropylmalate&nbsp;dehydratase&nbsp;large&nbsp;subunit,85.1
