526227.Mesil_3256,Mesil_3256,"Fructose-1,6-bisphosphatase",98.8
526227.Mesil_0651,Mesil_0651,Phosphate&nbsp;transport&nbsp;system&nbsp;permease&nbsp;protein,98.8
526227.Mesil_1547,Mesil_1547,ABC&nbsp;transporter&nbsp;related&nbsp;protein,98.8
526227.Mesil_2502,Mesil_2502,FolC&nbsp;bifunctional&nbsp;protein,98.8
526227.Mesil_0886,Mesil_0886,Binding-protein-dependent&nbsp;transport&nbsp;systems&nbsp;inner&nbsp;membrane&nbsp;component,98.8
526227.Mesil_1621,Mesil_1621,COGs:&nbsp;COG0372&nbsp;Citrate&nbsp;synthase,98.7
526227.Mesil_2879,rpoA,DNA-directed&nbsp;RNA&nbsp;polymerase&nbsp;subunit&nbsp;alpha,98.5
526227.Mesil_0881,ubiX,Flavin&nbsp;prenyltransferase&nbsp;UbiX,98.5
526227.Mesil_2037,tal,Probable&nbsp;transaldolase,98.4
526227.Mesil_2316,Mesil_2316,Extracellular&nbsp;ligand-binding&nbsp;receptor,98.4
526227.Mesil_2878,rplQ,COGs:&nbsp;COG0203&nbsp;Ribosomal&nbsp;protein&nbsp;L17,98.3
526227.Mesil_3168,trmB,tRNA&nbsp;(guanine-N(7)-)-methyltransferase,98.3
526227.Mesil_3077,Mesil_3077,ABC&nbsp;transporter&nbsp;related&nbsp;protein,98.3
526227.Mesil_0359,coaX,Type&nbsp;III&nbsp;pantothenate&nbsp;kinase,98.2
526227.Mesil_2735,Mesil_2735,Ribose-phosphate&nbsp;pyrophosphokinase,98.1
526227.Mesil_2984,Mesil_2984,Hydroxymethylbilane&nbsp;synthase,98.0
526227.Mesil_2322,Mesil_2322,Phenylacetate-coenzyme&nbsp;A&nbsp;ligase,98.0
526227.Mesil_0476,Mesil_0476,Extracellular&nbsp;solute-binding&nbsp;protein&nbsp;family&nbsp;1,98.0
526227.Mesil_1822,Mesil_1822,COGs:&nbsp;COG4401&nbsp;Chorismate&nbsp;mutase,97.9
526227.Mesil_3146,Mesil_3146,"Two&nbsp;component&nbsp;transcriptional&nbsp;regulator,&nbsp;winged&nbsp;helix&nbsp;family",97.9
