1096546.WYO_2910,leuS,annotation&nbsp;not&nbsp;available,98.9
1096546.WYO_4440,rpsU,annotation&nbsp;not&nbsp;available,98.9
1096546.WYO_3819,purS,Phosphoribosylformylglycinamidine&nbsp;synthase&nbsp;subunit&nbsp;PurS,98.9
1096546.WYO_1836,WYO_1836,annotation&nbsp;not&nbsp;available,98.9
1096546.WYO_4097,WYO_4097,annotation&nbsp;not&nbsp;available,98.8
1096546.WYO_4383,WYO_4383,annotation&nbsp;not&nbsp;available,98.8
1096546.WYO_2891,WYO_2891,annotation&nbsp;not&nbsp;available,98.8
1096546.WYO_4475,WYO_4475,annotation&nbsp;not&nbsp;available,98.8
1096546.WYO_1824,WYO_1824,annotation&nbsp;not&nbsp;available,98.8
1096546.WYO_0027,rpoA,DNA-directed&nbsp;RNA&nbsp;polymerase&nbsp;subunit&nbsp;alpha,98.7
1096546.WYO_4729,WYO_4729,annotation&nbsp;not&nbsp;available,98.7
1096546.WYO_1086,WYO_1086,annotation&nbsp;not&nbsp;available,98.7
1096546.WYO_3391,WYO_3391,annotation&nbsp;not&nbsp;available,98.7
1096546.WYO_5110,WYO_5110,annotation&nbsp;not&nbsp;available,98.7
1096546.WYO_1078,WYO_1078,annotation&nbsp;not&nbsp;available,98.6
1096546.WYO_0478,WYO_0478,Phosphoenolpyruvate&nbsp;carboxylase,98.6
1096546.WYO_3860,WYO_3860,annotation&nbsp;not&nbsp;available,98.6
1096546.WYO_2805,ileS,Isoleucine--tRNA&nbsp;ligase,98.6
1096546.WYO_4591,WYO_4591,annotation&nbsp;not&nbsp;available,98.6
1096546.WYO_2407,secD,Protein&nbsp;translocase&nbsp;subunit&nbsp;SecD,98.5
1096546.WYO_5955,WYO_5955,annotation&nbsp;not&nbsp;available,98.5
1096546.WYO_1027,WYO_1027,annotation&nbsp;not&nbsp;available,98.5
1096546.WYO_0279,WYO_0279,annotation&nbsp;not&nbsp;available,98.5
1096546.WYO_2378,WYO_2378,annotation&nbsp;not&nbsp;available,98.5
1096546.WYO_5416,WYO_5416,annotation&nbsp;not&nbsp;available,98.5
