742818.HMPREF9451_00110,rpoA,DNA-directed&nbsp;RNA&nbsp;polymerase&nbsp;subunit&nbsp;alpha,98.4
742818.HMPREF9451_00968,rpsT,30S&nbsp;ribosomal&nbsp;protein&nbsp;S20,97.7
742818.HMPREF9451_00376,guaA,GMP&nbsp;synthase&nbsp;[glutamine-hydrolyzing],96.0
742818.HMPREF9451_00235,rplR,50S&nbsp;ribosomal&nbsp;protein&nbsp;L18,95.5
742818.HMPREF9451_00102,EJZ84501.1,annotation&nbsp;not&nbsp;available,95.2
742818.HMPREF9451_00393,rplW,50S&nbsp;ribosomal&nbsp;protein&nbsp;L23,94.6
742818.HMPREF9451_00440,hisH,Imidazole&nbsp;glycerol&nbsp;phosphate&nbsp;synthase&nbsp;subunit&nbsp;HisH,94.1
742818.HMPREF9451_00261,pheT,annotation&nbsp;not&nbsp;available,93.7
742818.HMPREF9451_01016,rplU,50S&nbsp;ribosomal&nbsp;protein&nbsp;L21,93.7
742818.HMPREF9451_00109,rpsD,30S&nbsp;ribosomal&nbsp;protein&nbsp;S4,93.3
742818.HMPREF9451_01055,EJZ83544.1,annotation&nbsp;not&nbsp;available,93.0
742818.HMPREF9451_00234,rplF,50S&nbsp;ribosomal&nbsp;protein&nbsp;L6,92.9
742818.HMPREF9451_00236,rpsE,30S&nbsp;ribosomal&nbsp;protein&nbsp;S5,92.9
742818.HMPREF9451_00251,rpmE,50S&nbsp;ribosomal&nbsp;protein&nbsp;L31,92.3
742818.HMPREF9451_01480,tsaD,tRNA&nbsp;N6-adenosine&nbsp;threonylcarbamoyltransferase,92.2
742818.HMPREF9451_00224,rplV,50S&nbsp;ribosomal&nbsp;protein&nbsp;L22,91.6
742818.HMPREF9451_00108,rpsK,30S&nbsp;ribosomal&nbsp;protein&nbsp;S11,91.6
742818.HMPREF9451_00260,pheS,annotation&nbsp;not&nbsp;available,91.0
742818.HMPREF9451_00272,EJZ84668.1,annotation&nbsp;not&nbsp;available,90.2
742818.HMPREF9451_00712,EJZ84402.1,annotation&nbsp;not&nbsp;available,88.1
742818.HMPREF9451_00223,rpsS,30S&nbsp;ribosomal&nbsp;protein&nbsp;S19,88.1
742818.HMPREF9451_01654,rplI,50S&nbsp;ribosomal&nbsp;protein&nbsp;L9,87.6
742818.HMPREF9451_00228,rpsQ,30S&nbsp;ribosomal&nbsp;protein&nbsp;S17,86.9
742818.HMPREF9451_01123,rpmG,annotation&nbsp;not&nbsp;available,86.4
742818.HMPREF9451_00466,rplJ,50S&nbsp;ribosomal&nbsp;protein&nbsp;L10,85.4
742818.HMPREF9451_00148,EJZ84545.1,annotation&nbsp;not&nbsp;available,85.1
742818.HMPREF9451_00227,rpmC,annotation&nbsp;not&nbsp;available,84.8
742818.HMPREF9451_01630,EJZ83117.1,annotation&nbsp;not&nbsp;available,84.5
742818.HMPREF9451_01425,rplM,50S&nbsp;ribosomal&nbsp;protein&nbsp;L13,83.8
742818.HMPREF9451_00467,rplL,50S&nbsp;ribosomal&nbsp;protein&nbsp;L7/L12,81.9
742818.HMPREF9451_01455,rpoC,DNA-directed&nbsp;RNA&nbsp;polymerase&nbsp;subunit&nbsp;beta',81.7
742818.HMPREF9451_00694,rpmF,annotation&nbsp;not&nbsp;available,81.2
742818.HMPREF9451_00071,purN,Phosphoribosylglycinamide&nbsp;formyltransferase,80.6
742818.HMPREF9451_00387,rpsL,30S&nbsp;ribosomal&nbsp;protein&nbsp;S12,80.4
742818.HMPREF9451_01441,EJZ83919.1,annotation&nbsp;not&nbsp;available,79.1
742818.HMPREF9451_00231,rplE,50S&nbsp;ribosomal&nbsp;protein&nbsp;L5,77.6
742818.HMPREF9451_00202,secD,Multifunctional&nbsp;fusion&nbsp;protein,77.2
742818.HMPREF9451_00237,rpmD,annotation&nbsp;not&nbsp;available,77.1
742818.HMPREF9451_00729,xseA,Exodeoxyribonuclease&nbsp;7&nbsp;large&nbsp;subunit,76.8
742818.HMPREF9451_00222,rplB,50S&nbsp;ribosomal&nbsp;protein&nbsp;L2,76.7
742818.HMPREF9451_00733,EJZ84024.1,annotation&nbsp;not&nbsp;available,75.7
742818.HMPREF9451_00230,rplX,50S&nbsp;ribosomal&nbsp;protein&nbsp;L24,75.7
742818.HMPREF9451_00331,EJZ84727.1,annotation&nbsp;not&nbsp;available,75.6
742818.HMPREF9451_00225,rpsC,30S&nbsp;ribosomal&nbsp;protein&nbsp;S3,75.4
742818.HMPREF9451_01440,EJZ83918.1,annotation&nbsp;not&nbsp;available,75.2
742818.HMPREF9451_00447,rpmI,annotation&nbsp;not&nbsp;available,74.3
742818.HMPREF9451_00976,pyrF,Orotidine&nbsp;5'-phosphate&nbsp;decarboxylase,73.6
742818.HMPREF9451_01086,secA,Protein&nbsp;translocase&nbsp;subunit&nbsp;SecA,73.1
742818.HMPREF9451_00630,EJZ84320.1,annotation&nbsp;not&nbsp;available,72.4
742818.HMPREF9451_00730,xseB,Exodeoxyribonuclease&nbsp;7&nbsp;small&nbsp;subunit,72.0
742818.HMPREF9451_00160,EJZ84557.1,annotation&nbsp;not&nbsp;available,71.9
742818.HMPREF9451_00233,rpsH,30S&nbsp;ribosomal&nbsp;protein&nbsp;S8,71.7
742818.HMPREF9451_00686,rpmB,annotation&nbsp;not&nbsp;available,71.0
742818.HMPREF9451_01456,rpoB,DNA-directed&nbsp;RNA&nbsp;polymerase&nbsp;subunit&nbsp;beta,70.8
742818.HMPREF9451_00226,rplP,50S&nbsp;ribosomal&nbsp;protein&nbsp;L16,70.5
742818.HMPREF9451_00796,pyrE,Orotate&nbsp;phosphoribosyltransferase,70.1
742818.HMPREF9451_00973,EJZ83468.1,DNA-directed&nbsp;RNA&nbsp;polymerase&nbsp;subunit&nbsp;omega,70.0
742818.HMPREF9451_01424,rpsI,annotation&nbsp;not&nbsp;available,69.9
742818.HMPREF9451_00392,rplD,50S&nbsp;ribosomal&nbsp;protein&nbsp;L4,69.8
742818.HMPREF9451_00950,rplS,50S&nbsp;ribosomal&nbsp;protein&nbsp;L19,69.5
742818.HMPREF9451_00239,secY,Protein&nbsp;translocase&nbsp;subunit&nbsp;SecY,69.1
742818.HMPREF9451_00106,rpmJ,annotation&nbsp;not&nbsp;available,69.0
742818.HMPREF9451_01651,rpsF,30S&nbsp;ribosomal&nbsp;protein&nbsp;S6,67.8
742818.HMPREF9451_00391,rplC,50S&nbsp;ribosomal&nbsp;protein&nbsp;L3,67.8
742818.HMPREF9451_00038,EJZ84437.1,annotation&nbsp;not&nbsp;available,67.3
742818.HMPREF9451_00192,ruvB,Holliday&nbsp;junction&nbsp;ATP-dependent&nbsp;DNA&nbsp;helicase&nbsp;RuvB,67.2
742818.HMPREF9451_01118,rplA,50S&nbsp;ribosomal&nbsp;protein&nbsp;L1,64.2
742818.HMPREF9451_01130,EJZ83610.1,Pyruvate-flavodoxin&nbsp;oxidoreductase,64.1
742818.HMPREF9451_00111,rplQ,annotation&nbsp;not&nbsp;available,63.0
742818.HMPREF9451_00629,EJZ84319.1,annotation&nbsp;not&nbsp;available,62.7
742818.HMPREF9451_01015,rpmA,annotation&nbsp;not&nbsp;available,61.5
742818.HMPREF9451_00853,EJZ84140.1,annotation&nbsp;not&nbsp;available,61.3
742818.HMPREF9451_00852,EJZ84139.1,annotation&nbsp;not&nbsp;available,59.1
742818.HMPREF9451_01341,EJZ83820.1,annotation&nbsp;not&nbsp;available,59.0
742818.HMPREF9451_00388,rpsG,30S&nbsp;ribosomal&nbsp;protein&nbsp;S7,59.0
742818.HMPREF9451_00390,rpsJ,30S&nbsp;ribosomal&nbsp;protein&nbsp;S10,57.9
742818.HMPREF9451_00442,hisF,Imidazole&nbsp;glycerol&nbsp;phosphate&nbsp;synthase&nbsp;subunit&nbsp;HisF,57.4
742818.HMPREF9451_00074,purH,annotation&nbsp;not&nbsp;available,57.3
742818.HMPREF9451_00229,rplN,50S&nbsp;ribosomal&nbsp;protein&nbsp;L14,57.3
742818.HMPREF9451_00191,ruvA,Holliday&nbsp;junction&nbsp;ATP-dependent&nbsp;DNA&nbsp;helicase&nbsp;RuvA,57.1
742818.HMPREF9451_01121,secE,Protein&nbsp;translocase&nbsp;subunit&nbsp;SecE,56.1
742818.HMPREF9451_00448,rplT,50S&nbsp;ribosomal&nbsp;protein&nbsp;L20,55.7
742818.HMPREF9451_01054,EJZ83543.1,annotation&nbsp;not&nbsp;available,55.4
742818.HMPREF9451_00238,rplO,50S&nbsp;ribosomal&nbsp;protein&nbsp;L15,54.5
742818.HMPREF9451_01141,rpsB,annotation&nbsp;not&nbsp;available,53.7
742818.HMPREF9451_01119,rplK,50S&nbsp;ribosomal&nbsp;protein&nbsp;L11,52.9
742818.HMPREF9451_01653,rpsR,30S&nbsp;ribosomal&nbsp;protein&nbsp;S18,52.7
742818.HMPREF9451_00232,rpsN,30S&nbsp;ribosomal&nbsp;protein&nbsp;S14&nbsp;type&nbsp;Z,51.8
742818.HMPREF9451_00851,EJZ84138.1,annotation&nbsp;not&nbsp;available,51.6
742818.HMPREF9451_00611,rpsP,annotation&nbsp;not&nbsp;available,51.5
742818.HMPREF9451_00609,rpsO,30S&nbsp;ribosomal&nbsp;protein&nbsp;S15,51.3
742818.HMPREF9451_00273,EJZ84669.1,annotation&nbsp;not&nbsp;available,51.1
