2342.SOPEG_0704,tolB,Protein&nbsp;TolB,98.9
2342.SOPEG_3638,ftsX,Cell&nbsp;division&nbsp;protein&nbsp;FtsX,98.8
2342.SOPEG_3015,bamC,Outer&nbsp;membrane&nbsp;protein&nbsp;assembly&nbsp;factor&nbsp;BamC,98.8
2342.SOPEG_3742,invA,"COG1450&nbsp;Type&nbsp;II&nbsp;secretory&nbsp;pathway,&nbsp;component&nbsp;PulD",98.7
2342.SOPEG_0292,feoB,Ferrous&nbsp;iron&nbsp;transport&nbsp;protein&nbsp;B,98.6
2342.SOPEG_0288,ompR,Two-component&nbsp;system&nbsp;response&nbsp;regulator&nbsp;OmpR,98.5
2342.SOPEG_3056,yenR,Quorum-sensing&nbsp;transcriptional&nbsp;activator&nbsp;YpeR,98.4
2342.SOPEG_3697,mreB,Rod&nbsp;shape-determining&nbsp;protein&nbsp;MreB,98.4
2342.SOPEG_1206,amiB,COG0860&nbsp;N-acetylmuramoyl-L-alanine&nbsp;amidase,98.3
2342.SOPEG_2847,nuoA,NADH-quinone&nbsp;oxidoreductase&nbsp;subunit&nbsp;A,98.3
2342.SOPEG_3185,yaiE2,Pyrimidine/purine&nbsp;nucleoside&nbsp;phosphorylase,98.2
2342.SOPEG_2855,ackA,Acetate&nbsp;kinase,98.1
2342.SOPEG_2047,cmk,COG0283&nbsp;Cytidylate&nbsp;kinase,98.1
2342.SOPEG_0093,rplB,50S&nbsp;ribosomal&nbsp;protein&nbsp;L2,98.1
2342.SOPEG_1150,gltK,Glutamate&nbsp;Aspartate&nbsp;transport&nbsp;system&nbsp;permease&nbsp;protein&nbsp;GltK,98.0
2342.SOPEG_3987,rpmJ2,COG0257&nbsp;Ribosomal&nbsp;protein&nbsp;L36,97.8
2342.SOPEG_0427,flgD1,Basal-body&nbsp;rod&nbsp;modification&nbsp;protein&nbsp;FlgD,97.7
2342.SOPEG_1374,carA,COG0505&nbsp;Carbamoylphosphate&nbsp;synthase&nbsp;small&nbsp;subunit,97.7
2342.SOPEG_2123,pepA,Probable&nbsp;cytosol&nbsp;aminopeptidase,97.7
2342.SOPEG_3472,SOPEG_3472,Spermidine/putrescine&nbsp;ABC&nbsp;transporter&nbsp;periplasmic&nbsp;substrate-binding&nbsp;protein,97.7
2342.SOPEG_2082,leuB,3-isopropylmalate&nbsp;dehydrogenase,97.7
2342.SOPEG_1182,gcp,tRNA&nbsp;N6-adenosine&nbsp;threonylcarbamoyltransferase,97.7
2342.SOPEG_3036,ureF,Urease&nbsp;accessory&nbsp;protein&nbsp;UreF,97.6
2342.SOPEG_0117,ptsN,PTS&nbsp;system&nbsp;nitrogen-specific&nbsp;IIA&nbsp;component&nbsp;PtsN,97.4
2342.SOPEG_1138,dacA,COG1686&nbsp;D-alanyl-D-alanine&nbsp;carboxypeptidase,97.4
2342.SOPEG_2975,crr,PTS&nbsp;system&nbsp;glucose-specific&nbsp;transporter&nbsp;subunit,97.2
