1470591.BW41_02534,BW41_02534,annotation&nbsp;not&nbsp;available,98.9
1470591.BW41_03973,BW41_03973,Basal-body&nbsp;rod&nbsp;modification&nbsp;protein&nbsp;FlgD,98.9
1470591.BW41_01003,BW41_01003,Ribonucleoside-diphosphate&nbsp;reductase,98.9
1470591.BW41_00682,cobB_1,NAD-dependent&nbsp;protein&nbsp;deacylase,98.8
1470591.BW41_03929,BW41_03929,annotation&nbsp;not&nbsp;available,98.8
1470591.BW41_02441,BW41_02441,annotation&nbsp;not&nbsp;available,98.7
1470591.BW41_02907,fliN,Flagellar&nbsp;motor&nbsp;switch&nbsp;protein&nbsp;FliN,98.7
1470591.BW41_02927,rlmE,Ribosomal&nbsp;RNA&nbsp;large&nbsp;subunit&nbsp;methyltransferase&nbsp;E,98.7
1470591.BW41_00161,BW41_00161,annotation&nbsp;not&nbsp;available,98.6
1470591.BW41_01465,BW41_01465,annotation&nbsp;not&nbsp;available,98.6
1470591.BW41_03139,BW41_03139,annotation&nbsp;not&nbsp;available,98.6
1470591.BW41_02084,rpmC,annotation&nbsp;not&nbsp;available,98.6
1470591.BW41_01389,BW41_01389,annotation&nbsp;not&nbsp;available,98.6
1470591.BW41_00445,BW41_00445,annotation&nbsp;not&nbsp;available,98.6
1470591.BW41_03322,BW41_03322,annotation&nbsp;not&nbsp;available,98.5
1470591.BW41_00862,BW41_00862,annotation&nbsp;not&nbsp;available,98.5
1470591.BW41_02772,BW41_02772,annotation&nbsp;not&nbsp;available,98.5
1470591.BW41_00472,BW41_00472,"Alpha&nbsp;amylase,&nbsp;catalytic&nbsp;domain&nbsp;containing&nbsp;protein",98.5
1470591.BW41_01960,BW41_01960,annotation&nbsp;not&nbsp;available,98.5
1470591.BW41_02030,BW41_02030,annotation&nbsp;not&nbsp;available,98.5
1470591.BW41_03202,BW41_03202,"Putative&nbsp;conserved&nbsp;protein,&nbsp;contains&nbsp;double-stranded&nbsp;beta-helix&nbsp;domain",98.4
1470591.BW41_00450,ahcY,Adenosylhomocysteinase,98.3
1470591.BW41_03940,BW41_03940,Protein-glutamate&nbsp;methylesterase,98.3
1470591.BW41_02506,BW41_02506,annotation&nbsp;not&nbsp;available,98.3
1470591.BW41_01942,BW41_01942,annotation&nbsp;not&nbsp;available,98.3
1470591.BW41_02981,BW41_02981,annotation&nbsp;not&nbsp;available,98.3
1470591.BW41_03258,BW41_03258,annotation&nbsp;not&nbsp;available,98.2
1470591.BW41_02634,argG,annotation&nbsp;not&nbsp;available,98.2
1470591.BW41_02082,rplN,50S&nbsp;ribosomal&nbsp;protein&nbsp;L14,98.2
1470591.BW41_03823,BW41_03823,annotation&nbsp;not&nbsp;available,98.1
1470591.BW41_03774,BW41_03774,annotation&nbsp;not&nbsp;available,98.0
1470591.BW41_00090,BW41_00090,annotation&nbsp;not&nbsp;available,98.0
1470591.BW41_00952,flgL,annotation&nbsp;not&nbsp;available,98.0
1470591.BW41_02529,BW41_02529,annotation&nbsp;not&nbsp;available,98.0
1470591.BW41_02094,tuf,Elongation&nbsp;factor&nbsp;Tu,98.0
1470591.BW41_01725,BW41_01725,annotation&nbsp;not&nbsp;available,97.9
1470591.BW41_01369,BW41_01369,Uncharacterized&nbsp;protein,97.9
1470591.BW41_00515,moaB,Molybdenum&nbsp;cofactor&nbsp;biosynthesis&nbsp;protein&nbsp;B,97.9
1470591.BW41_02703,EZP51572.1,annotation&nbsp;not&nbsp;available,97.9
1470591.BW41_00315,cysS,annotation&nbsp;not&nbsp;available,97.9
1470591.BW41_01778,BW41_01778,annotation&nbsp;not&nbsp;available,97.9
1470591.BW41_03444,BW41_03444,annotation&nbsp;not&nbsp;available,97.8
1470591.BW41_00180,BW41_00180,annotation&nbsp;not&nbsp;available,97.8
1470591.BW41_00187,gnd,annotation&nbsp;not&nbsp;available,97.8
1470591.BW41_03334,BW41_03334,annotation&nbsp;not&nbsp;available,97.8
1470591.BW41_03936,pabB,annotation&nbsp;not&nbsp;available,97.7
1470591.BW41_00944,BW41_00944,Basal-body&nbsp;rod&nbsp;modification&nbsp;protein&nbsp;FlgD,97.5
1470591.BW41_03781,BW41_03781,annotation&nbsp;not&nbsp;available,97.5
1470591.BW41_02814,BW41_02814,annotation&nbsp;not&nbsp;available,97.5
