1172190.M947_00045,gatC,Aspartyl/glutamyl-tRNA(Asn/Gln)&nbsp;amidotransferase&nbsp;subunit&nbsp;C,98.9
1172190.M947_04120,M947_04120,Uncharacterized&nbsp;protein,98.8
1172190.M947_08805,M947_08805,DNA-directed&nbsp;DNA&nbsp;polymerase,98.8
1172190.M947_03410,M947_03410,Uncharacterized&nbsp;protein,98.8
1172190.M947_00750,M947_00750,Threonine&nbsp;dehydratase,98.8
1172190.M947_09515,M947_09515,Uncharacterized&nbsp;protein,98.5
1172190.M947_03395,M947_03395,Phosphoserine&nbsp;phosphatase,98.5
1172190.M947_06010,porC,Pyruvate&nbsp;flavodoxin&nbsp;oxidoreductase&nbsp;subunit&nbsp;gamma,98.5
1172190.M947_01400,M947_01400,Indolepyruvate&nbsp;oxidoreductase&nbsp;subunit&nbsp;IorA,98.5
1172190.M947_03155,groS,10&nbsp;kDa&nbsp;chaperonin,98.4
1172190.M947_08775,M947_08775,Uncharacterized&nbsp;protein,98.4
1172190.M947_03630,trpF,N-(5'-phosphoribosyl)anthranilate&nbsp;isomerase,98.2
1172190.M947_07360,rpsE,30S&nbsp;ribosomal&nbsp;protein&nbsp;S5,98.2
1172190.M947_09015,M947_09015,DNA&nbsp;helicase,98.1
1172190.M947_07495,M947_07495,Uncharacterized&nbsp;protein,98.1
1172190.M947_00875,M947_00875,UvrABC&nbsp;system&nbsp;protein&nbsp;A,97.9
1172190.M947_08655,ackA,Acetate&nbsp;kinase,97.9
1172190.M947_08090,M947_08090,Uncharacterized&nbsp;protein,97.8
1172190.M947_06775,ffh,Signal&nbsp;recognition&nbsp;particle&nbsp;protein,97.8
1172190.M947_01665,M947_01665,Isoprenyl&nbsp;transferase,97.8
1172190.M947_03195,M947_03195,Uncharacterized&nbsp;protein,97.8
1172190.M947_07705,dapB,4-hydroxy-tetrahydrodipicolinate&nbsp;reductase,97.7
1172190.M947_02410,purT,Formate-dependent&nbsp;phosphoribosylglycinamide&nbsp;formyltransferase,97.6
1172190.M947_07180,M947_07180,Ferredoxin,97.6
1172190.M947_03965,M947_03965,ATPase,97.5
1172190.M947_02420,M947_02420,Flagellar&nbsp;hook&nbsp;protein&nbsp;FlgE,97.5
1172190.M947_08135,M947_08135,Uncharacterized&nbsp;protein,97.3
1172190.M947_04790,M947_04790,Uncharacterized&nbsp;protein,97.3
1172190.M947_10670,leuB,3-isopropylmalate&nbsp;dehydrogenase,97.3
1172190.M947_01690,M947_01690,Uncharacterized&nbsp;protein,97.2
1172190.M947_02770,M947_02770,Membrane&nbsp;protein,97.2
1172190.M947_07690,M947_07690,Thioredoxin,97.2
1172190.M947_05860,infC,Translation&nbsp;initiation&nbsp;factor&nbsp;IF-3,97.2
1172190.M947_01625,M947_01625,Uncharacterized&nbsp;protein,97.1
1172190.M947_09445,M947_09445,Histidine&nbsp;kinase,97.1
1172190.M947_04775,M947_04775,Uncharacterized&nbsp;protein,97.1
1172190.M947_07895,M947_07895,Uncharacterized&nbsp;protein,97.0
