585423.KR49_08925,purL,Phosphoribosylformylglycinamidine&nbsp;synthase&nbsp;subunit&nbsp;PurL,98.9
585423.KR49_03125,dnaE,DNA-directed&nbsp;DNA&nbsp;polymerase,98.8
585423.KR49_04115,KR49_04115,O-acetylhomoserine&nbsp;aminocarboxypropyltransferase,98.7
585423.KR49_10885,rpl5,50S&nbsp;ribosomal&nbsp;protein&nbsp;L5,98.7
585423.KR49_10615,rps7,30S&nbsp;ribosomal&nbsp;protein&nbsp;S7,98.6
585423.KR49_11070,KR49_11070,Photosystem&nbsp;I&nbsp;reaction&nbsp;center&nbsp;subunit&nbsp;II,98.4
585423.KR49_05930,pepA,Probable&nbsp;cytosol&nbsp;aminopeptidase,98.3
585423.KR49_03325,KR49_03325,Signal&nbsp;peptidase&nbsp;I,98.2
585423.KR49_06050,KR49_06050,Glucosamine-6-phosphate&nbsp;deaminase,98.2
585423.KR49_10805,rpmE,50S&nbsp;ribosomal&nbsp;protein&nbsp;L31,98.2
585423.KR49_06065,psbV,Cytochrome&nbsp;c-550,98.2
585423.KR49_06280,atpF,ATP&nbsp;synthase&nbsp;subunit&nbsp;b,98.0
585423.KR49_04345,KR49_04345,Uncharacterized&nbsp;protein,98.0
585423.KR49_12610,KR49_12610,Signal&nbsp;peptidase&nbsp;I,98.0
585423.KR49_12850,rbcL,Ribulose&nbsp;bisphosphate&nbsp;carboxylase&nbsp;large&nbsp;chain,97.8
585423.KR49_05985,purD,Phosphoribosylamine--glycine&nbsp;ligase,97.5
585423.KR49_11380,KR49_11380,30S&nbsp;ribosomal&nbsp;protein&nbsp;S1,97.4
585423.KR49_09755,KR49_09755,Uncharacterized&nbsp;protein,97.4
585423.KR49_06235,KR49_06235,Alanine&nbsp;dehydrogenase,97.1
585423.KR49_07840,KR49_07840,Asparaginase,97.1
585423.KR49_10420,gatC,Aspartyl/glutamyl-tRNA(Asn/Gln)&nbsp;amidotransferase&nbsp;subunit&nbsp;C,96.8
585423.KR49_08395,KR49_08395,Arginase,96.8
585423.KR49_07630,KR49_07630,NAD&nbsp;kinase,96.4
585423.KR49_06190,KR49_06190,ATP&nbsp;synthase&nbsp;epsilon&nbsp;chain,96.4
585423.KR49_06470,KR49_06470,Uncharacterized&nbsp;protein,96.4
585423.KR49_08185,gcvP,Glycine&nbsp;dehydrogenase&nbsp;(decarboxylating),96.3
585423.KR49_10945,rpl3,50S&nbsp;ribosomal&nbsp;protein&nbsp;L3,96.3
585423.KR49_04870,KR49_04870,Lactose&nbsp;ABC&nbsp;transporter&nbsp;permease,96.1
585423.KR49_12735,KR49_12735,30S&nbsp;ribosomal&nbsp;protein&nbsp;S1,96.0
585423.KR49_02500,KR49_02500,Aminotransferase,95.9
585423.KR49_02915,KR49_02915,Alanine--glyoxylate&nbsp;aminotransferase,95.8
585423.KR49_07635,ndhE,NAD(P)H-quinone&nbsp;oxidoreductase&nbsp;subunit&nbsp;4L,95.6
585423.KR49_11150,panC/cmk,Bifunctional&nbsp;pantoate&nbsp;ligase/cytidylate&nbsp;kinase,95.6
585423.KR49_13670,trpC,Indole-3-glycerol&nbsp;phosphate&nbsp;synthase,95.5
585423.KR49_02510,KR49_02510,Uncharacterized&nbsp;protein,95.4
585423.KR49_13820,pheS,Phenylalanine--tRNA&nbsp;ligase&nbsp;alpha&nbsp;subunit,95.3
585423.KR49_08675,KR49_08675,Uncharacterized&nbsp;protein,95.2
585423.KR49_00580,KR49_00580,NAD(P)H-quinone&nbsp;oxidoreductase&nbsp;subunit&nbsp;4,95.2
585423.KR49_10100,KR49_10100,dITP/XTP&nbsp;pyrophosphatase,95.2
