195253.Syn6312_1295,AFY60475.1,"ABC-type&nbsp;cobalt&nbsp;transport&nbsp;system,&nbsp;ATPase&nbsp;component",98.9
195253.Syn6312_1462,AFY60630.1,Mg-protoporphyrin&nbsp;IX&nbsp;chelatase,98.7
195253.Syn6312_1610,hisC,PFAM:&nbsp;Aminotransferase&nbsp;class&nbsp;I&nbsp;and&nbsp;II,98.6
195253.Syn6312_0404,AFY59635.1,FAD/FMN-dependent&nbsp;dehydrogenase,98.6
195253.Syn6312_1567,AFY60729.1,Putative&nbsp;Rossmann&nbsp;fold&nbsp;nucleotide-binding&nbsp;protein,98.5
195253.Syn6312_0847,AFY60060.1,Uncharacterized&nbsp;protein,98.5
195253.Syn6312_3459,AFY62486.1,"ABC-type&nbsp;transport&nbsp;system&nbsp;involved&nbsp;in&nbsp;resistance&nbsp;to&nbsp;organic&nbsp;solvents,&nbsp;ATPase&nbsp;component",98.5
195253.Syn6312_2667,cofG,FO&nbsp;synthase&nbsp;subunit&nbsp;1,98.5
195253.Syn6312_0294,AFY59531.1,PFAM:&nbsp;UvrD/REP&nbsp;helicase,98.4
195253.Syn6312_2968,AFY62026.1,"PFAM:&nbsp;PEP-utilising&nbsp;enzyme,&nbsp;mobile&nbsp;domain",98.4
195253.Syn6312_0617,rpmA,PFAM:&nbsp;Ribosomal&nbsp;L27&nbsp;protein,98.3
195253.Syn6312_2091,trpF,PFAM:&nbsp;N-(5'phosphoribosyl)anthranilate&nbsp;(PRA)&nbsp;isomerase,98.2
195253.Syn6312_0950,AFY60152.1,"Heterodisulfide&nbsp;reductase,&nbsp;subunit&nbsp;B",97.8
195253.Syn6312_1318,gcvP,Glycine&nbsp;dehydrogenase&nbsp;(decarboxylating),97.6
195253.Syn6312_3245,AFY62291.1,PFAM:&nbsp;Response&nbsp;regulator&nbsp;receiver&nbsp;domain,97.6
195253.Syn6312_0522,rpoZ,DNA-directed&nbsp;RNA&nbsp;polymerase&nbsp;subunit&nbsp;omega,97.6
195253.Syn6312_2016,AFY61148.1,"DNA&nbsp;polymerase&nbsp;III,&nbsp;alpha&nbsp;subunit",97.5
195253.Syn6312_2381,AFY61487.1,PFAM:&nbsp;D12&nbsp;class&nbsp;N6&nbsp;adenine-specific&nbsp;DNA&nbsp;methyltransferase,97.5
195253.Syn6312_0570,rpsR,30S&nbsp;ribosomal&nbsp;protein&nbsp;S18,97.0
195253.Syn6312_1900,AFY61040.1,PFAM:&nbsp;Polyphosphate&nbsp;kinase&nbsp;2&nbsp;(PPK2),97.0
195253.Syn6312_0530,prfA,Peptide&nbsp;chain&nbsp;release&nbsp;factor&nbsp;1,97.0
195253.Syn6312_3257,glyA,Serine&nbsp;hydroxymethyltransferase,96.9
195253.Syn6312_2216,infB,Translation&nbsp;initiation&nbsp;factor&nbsp;IF-2,96.9
195253.Syn6312_1240,rps7,30S&nbsp;ribosomal&nbsp;protein&nbsp;S7,96.8
195253.Syn6312_3701,AFY62713.1,"ATPase&nbsp;with&nbsp;chaperone&nbsp;activity,&nbsp;ATP-binding&nbsp;subunit",96.7
195253.Syn6312_2392,ndk,Nucleoside&nbsp;diphosphate&nbsp;kinase,96.7
195253.Syn6312_2563,AFY61662.1,"Amino&nbsp;acid/amide&nbsp;ABC&nbsp;transporter&nbsp;ATP-binding&nbsp;protein&nbsp;2,&nbsp;HAAT&nbsp;family",96.6
195253.Syn6312_2293,AFY61408.1,ATP&nbsp;synthase&nbsp;subunit&nbsp;b',96.1
195253.Syn6312_0628,nusA,Transcription&nbsp;termination/antitermination&nbsp;protein&nbsp;NusA,96.0
195253.Syn6312_0432,psaK,PFAM:&nbsp;Photosystem&nbsp;I&nbsp;psaG&nbsp;/&nbsp;psaK,95.8
195253.Syn6312_1514,purH,Bifunctional&nbsp;purine&nbsp;biosynthesis&nbsp;protein&nbsp;PurH,95.8
195253.Syn6312_0718,AFY59937.1,annotation&nbsp;not&nbsp;available,95.8
195253.Syn6312_0459,gcvH,Glycine&nbsp;cleavage&nbsp;system&nbsp;H&nbsp;protein,95.7
195253.Syn6312_3589,AFY62608.1,Phosphate&nbsp;import&nbsp;ATP-binding&nbsp;protein&nbsp;PstB,95.5
195253.Syn6312_0119,AFY59373.1,"ABC-type&nbsp;cobalt&nbsp;transport&nbsp;system,&nbsp;ATPase&nbsp;component",95.4
195253.Syn6312_3183,rpsQ,30S&nbsp;ribosomal&nbsp;protein&nbsp;S17,95.4
195253.Syn6312_3169,rpsK,30S&nbsp;ribosomal&nbsp;protein&nbsp;S11,95.3
195253.Syn6312_2623,AFY61719.1,"PFAM:&nbsp;Glutathione&nbsp;S-transferase,&nbsp;N-terminal&nbsp;domain",95.3
195253.Syn6312_1440,hisD,Histidinol&nbsp;dehydrogenase,95.1
