1121451.DESAM_22974,rpmJ,50S&nbsp;ribosomal&nbsp;protein&nbsp;L36,98.9
1121451.DESAM_23205,CCO25472.1,annotation&nbsp;not&nbsp;available,98.8
1121451.DESAM_20935,CCO23222.1,Putative&nbsp;4-hydroxy-2-oxovalerate&nbsp;aldolase,98.7
1121451.DESAM_21055,CCO23336.1,annotation&nbsp;not&nbsp;available,98.7
1121451.DESAM_22665,CCO24932.1,Phosphate&nbsp;acetyltransferase,98.7
1121451.DESAM_21072,tyrS,Tyrosine--tRNA&nbsp;ligase,98.7
1121451.DESAM_10191,CCO22172.1,annotation&nbsp;not&nbsp;available,98.6
1121451.DESAM_21718,ppnK,NAD&nbsp;kinase,98.6
1121451.DESAM_22664,ackA,Acetate&nbsp;kinase,98.5
1121451.DESAM_22142,CCO24409.1,annotation&nbsp;not&nbsp;available,98.5
1121451.DESAM_20485,CCO22772.1,annotation&nbsp;not&nbsp;available,98.4
1121451.DESAM_21850,CCO24123.1,annotation&nbsp;not&nbsp;available,98.4
1121451.DESAM_22667,CCO24934.1,Glycolate&nbsp;oxidase&nbsp;subunit,98.4
1121451.DESAM_20122,CCO22413.1,Uncharacterized&nbsp;protein,98.4
1121451.DESAM_22613,CCO24880.1,annotation&nbsp;not&nbsp;available,98.4
1121451.DESAM_23067,CCO25334.1,annotation&nbsp;not&nbsp;available,98.3
1121451.DESAM_20261,hemC,Porphobilinogen&nbsp;deaminase,98.3
1121451.DESAM_20135,purL,Phosphoribosylformylglycinamidine&nbsp;synthase&nbsp;subunit&nbsp;PurL,98.3
1121451.DESAM_22317,CCO24584.1,Phosphoglycerate&nbsp;kinase,98.3
1121451.DESAM_22321,CCO24588.1,Cell-shape&nbsp;determining&nbsp;protein,98.1
1121451.DESAM_10113,CCO22094.1,Leucine/isoleucine/valine&nbsp;transporter&nbsp;subunit&nbsp;ATP-binding&nbsp;component&nbsp;of&nbsp;ABC&nbsp;superfamily,98.1
1121451.DESAM_20565,CCO22852.1,annotation&nbsp;not&nbsp;available,98.0
1121451.DESAM_21570,CCO23847.1,Flagellin,98.0
1121451.DESAM_22313,GAD,annotation&nbsp;not&nbsp;available,97.9
1121451.DESAM_20552,argJ,Arginine&nbsp;biosynthesis&nbsp;bifunctional&nbsp;protein&nbsp;ArgJ,97.8
1121451.DESAM_21678,CCO23955.1,Flagellin,97.8
1121451.DESAM_10154,CCO22135.1,annotation&nbsp;not&nbsp;available,97.8
1121451.DESAM_22412,argF,Ornithine&nbsp;carbamoyltransferase,97.8
1121451.DESAM_22125,fbp,annotation&nbsp;not&nbsp;available,97.7
1121451.DESAM_21713,CCO23990.1,annotation&nbsp;not&nbsp;available,97.7
1121451.DESAM_10074,gdhA,Glutamate&nbsp;dehydrogenase,97.7
1121451.DESAM_23021,cspE,DNA-binding&nbsp;transcriptional&nbsp;repressor,97.7
1121451.DESAM_22468,CCO24735.1,annotation&nbsp;not&nbsp;available,97.7
1121451.DESAM_22988,rpmC,50S&nbsp;ribosomal&nbsp;protein&nbsp;L29,97.6
1121451.DESAM_21276,pepA,Probable&nbsp;cytosol&nbsp;aminopeptidase,97.5
1121451.DESAM_23214,CCO25481.1,annotation&nbsp;not&nbsp;available,97.5
1121451.DESAM_21318,CCO23595.1,annotation&nbsp;not&nbsp;available,97.4
1121451.DESAM_21702,nusA,Transcription&nbsp;termination/antitermination&nbsp;protein&nbsp;NusA,97.4
1121451.DESAM_20319,CCO22610.1,Cytokinin&nbsp;riboside&nbsp;5'-monophosphate&nbsp;phosphoribohydrolase,97.4
1121451.DESAM_10091,korC,annotation&nbsp;not&nbsp;available,97.4
1121451.DESAM_22482,katA,Catalase,97.4
1121451.DESAM_23005,rplJ,50S&nbsp;ribosomal&nbsp;protein&nbsp;L10,97.4
1121451.DESAM_22353,hybC,"Hydrogenase&nbsp;2,&nbsp;large&nbsp;subunit",97.4
1121451.DESAM_22147,CCO24414.1,annotation&nbsp;not&nbsp;available,97.3
1121451.DESAM_21599,bioB,Biotin&nbsp;synthase,97.3
1121451.DESAM_21655,carA,annotation&nbsp;not&nbsp;available,97.3
1121451.DESAM_20179,CCO22470.1,annotation&nbsp;not&nbsp;available,97.2
1121451.DESAM_22983,rpsNA,30S&nbsp;ribosomal&nbsp;protein&nbsp;S14&nbsp;type&nbsp;Z,97.2
1121451.DESAM_20551,CCO22838.1,annotation&nbsp;not&nbsp;available,97.2
1121451.DESAM_20218,CCO22509.1,annotation&nbsp;not&nbsp;available,97.1
1121451.DESAM_21378,CCO23655.1,annotation&nbsp;not&nbsp;available,97.0
1121451.DESAM_22592,gpt,Xanthine&nbsp;phosphoribosyltransferase,97.0
1121451.DESAM_22129,bamD,Outer&nbsp;membrane&nbsp;protein&nbsp;assembly&nbsp;factor&nbsp;BamD,97.0
1121451.DESAM_20896,CCO23183.1,Putative&nbsp;enzyme,97.0
1121451.DESAM_21625,CCO23902.1,annotation&nbsp;not&nbsp;available,97.0
1121451.DESAM_22511,CCO24778.1,annotation&nbsp;not&nbsp;available,97.0
1121451.DESAM_20503,trmD,tRNA&nbsp;(guanine-N(1)-)-methyltransferase,96.9
1121451.DESAM_22981,rplF,50S&nbsp;ribosomal&nbsp;protein&nbsp;L6,96.9
1121451.DESAM_23125,CCO25392.1,Putative&nbsp;Methyl-accepting&nbsp;chemotaxis&nbsp;sensory&nbsp;transducer,96.7
1121451.DESAM_21871,CCO24144.1,annotation&nbsp;not&nbsp;available,96.7
1121451.DESAM_21864,thiG,Thiazole&nbsp;synthase,96.7
1121451.DESAM_20878,CCO23165.1,annotation&nbsp;not&nbsp;available,96.6
1121451.DESAM_20213,CCO22504.1,Cell&nbsp;division&nbsp;protein&nbsp;FtsQ,96.6
1121451.DESAM_22024,dnaG,DNA&nbsp;primase,96.6
