314231.FP2506_00725,EAU41246.1,ABC&nbsp;transporter&nbsp;permease&nbsp;protein,98.9
314231.FP2506_02540,EAU40083.1,"Biotin&nbsp;synthase,&nbsp;putative",98.9
314231.FP2506_05921,EAU42352.1,UDP-glucose&nbsp;4-epimerase,98.9
314231.FP2506_06031,EAU42374.1,HAD-superfamily&nbsp;hydrolase&nbsp;subfamily&nbsp;IA,98.8
314231.FP2506_13629,EAU41477.1,"Formylmethanofurane&nbsp;dehydrogenase,&nbsp;subunit,&nbsp;putative",98.8
314231.FP2506_18364,xseB,Exodeoxyribonuclease&nbsp;7&nbsp;small&nbsp;subunit,98.6
314231.FP2506_14284,EAU41608.1,"TRAP-T&nbsp;family&nbsp;transporter,&nbsp;periplasmic&nbsp;binding&nbsp;protein",98.6
314231.FP2506_06166,rplE,50S&nbsp;ribosomal&nbsp;protein&nbsp;L5,98.6
314231.FP2506_04115,nuoH,NADH-quinone&nbsp;oxidoreductase&nbsp;subunit&nbsp;H,98.5
314231.FP2506_10831,EAU43334.1,COG0115&nbsp;Branched-chain&nbsp;amino&nbsp;acid&nbsp;aminotransferase/4-amino-4-deoxychorismate&nbsp;lyase,98.5
314231.FP2506_15289,EAU41809.1,Uncharacterized&nbsp;protein,98.5
314231.FP2506_16574,kdpA,Potassium-transporting&nbsp;ATPase&nbsp;potassium-binding&nbsp;subunit,98.4
314231.FP2506_18174,flgC,COG1558&nbsp;Flagellar&nbsp;basal&nbsp;body&nbsp;rod&nbsp;protein,98.4
314231.FP2506_08411,EAU42850.1,COG0111&nbsp;Phosphoglycerate&nbsp;dehydrogenase&nbsp;and&nbsp;related&nbsp;dehydrogenases,98.4
314231.FP2506_00900,EAU41281.1,Succinate--CoA&nbsp;ligase&nbsp;[ADP-forming]&nbsp;subunit&nbsp;alpha,98.3
314231.FP2506_09076,rph,Ribonuclease&nbsp;PH,98.3
314231.FP2506_18449,fmt,Methionyl-tRNA&nbsp;formyltransferase,98.2
314231.FP2506_03675,recA,Protein&nbsp;RecA,98.2
314231.FP2506_07966,purN,Phosphoribosylglycinamide&nbsp;formyltransferase,98.2
314231.FP2506_13169,ctaB,Protoheme&nbsp;IX&nbsp;farnesyltransferase,98.2
314231.FP2506_11152,moaC,Cyclic&nbsp;pyranopterin&nbsp;monophosphate&nbsp;synthase,98.1
314231.FP2506_16404,dnaQ,DNA&nbsp;polymerase&nbsp;III&nbsp;subunit&nbsp;epsilon,98.1
314231.FP2506_08066,rpsB,COG0052&nbsp;Ribosomal&nbsp;protein&nbsp;S2,98.1
314231.FP2506_11837,EAU40246.1,"Transcriptional&nbsp;Regulator,&nbsp;Fis&nbsp;family&nbsp;protein",98.1
314231.FP2506_00980,EAU41297.1,COG0329&nbsp;Dihydrodipicolinate&nbsp;synthase/N-acetylneuraminate&nbsp;lyase,98.1
314231.FP2506_04761,EAU40511.1,COG0044&nbsp;Dihydroorotase&nbsp;and&nbsp;related&nbsp;cyclic&nbsp;amidohydrolases,98.0
314231.FP2506_15329,hemE,Uroporphyrinogen&nbsp;decarboxylase,97.9
314231.FP2506_15094,groES,10&nbsp;kDa&nbsp;chaperonin,97.9
314231.FP2506_06411,EAU42450.1,Dihydrolipoamide&nbsp;acetyltransferase,97.9
314231.FP2506_17819,EAU39958.1,"COG1079&nbsp;Uncharacterized&nbsp;ABC-type&nbsp;transport&nbsp;system,&nbsp;permease&nbsp;component",97.9
314231.FP2506_06931,EAU42554.1,"COG0396&nbsp;ABC-type&nbsp;transport&nbsp;system&nbsp;involved&nbsp;in&nbsp;Fe-S&nbsp;cluster&nbsp;assembly,&nbsp;ATPase&nbsp;component",97.9
314231.FP2506_14299,EAU41611.1,Tartrate&nbsp;dehydrogenase,97.8
314231.FP2506_01748,EAU39665.1,"COG0559&nbsp;Branched-chain&nbsp;amino&nbsp;acid&nbsp;ABC-type&nbsp;transport&nbsp;system,&nbsp;permease&nbsp;components",97.7
