1224318.DT73_21380,tusA,Sulfur&nbsp;carrier&nbsp;protein&nbsp;TusA,98.9
1224318.DT73_07705,ileS,Isoleucine--tRNA&nbsp;ligase,98.9
1224318.DT73_19435,DT73_19435,Prolyl&nbsp;endopeptidase,98.9
1224318.DT73_04595,nqrB,Na(+)-translocating&nbsp;NADH-quinone&nbsp;reductase&nbsp;subunit&nbsp;B,98.9
1224318.DT73_15045,DT73_15045,Cytochrome&nbsp;o&nbsp;ubiquinol&nbsp;oxidase&nbsp;subunit&nbsp;IV,98.9
1224318.DT73_01665,DT73_01665,Membrane&nbsp;protein,98.8
1224318.DT73_01815,hemE,Uroporphyrinogen&nbsp;decarboxylase,98.8
1224318.DT73_01135,DT73_01135,Isochorismatase,98.8
1224318.DT73_08335,DT73_08335,LacI&nbsp;family&nbsp;transcriptional&nbsp;regulator,98.8
1224318.DT73_23850,rpoZ,DNA-directed&nbsp;RNA&nbsp;polymerase&nbsp;subunit&nbsp;omega,98.8
1224318.DT73_24095,DT73_24095,Glutaredoxin,98.8
1224318.DT73_22195,folE,GTP&nbsp;cyclohydrolase&nbsp;1,98.8
1224318.DT73_05395,DT73_05395,Uncharacterized&nbsp;protein,98.8
1224318.DT73_00930,DT73_00930,Phosphoenolpyruvate-protein&nbsp;phosphotransferase,98.8
1224318.DT73_16570,asd,Aspartate-semialdehyde&nbsp;dehydrogenase,98.7
1224318.DT73_21980,DT73_21980,Amidase,98.7
1224318.DT73_23955,DT73_23955,Coenzyme&nbsp;A&nbsp;biosynthesis&nbsp;bifunctional&nbsp;protein&nbsp;CoaBC,98.7
1224318.DT73_16855,DT73_16855,Chemotaxis&nbsp;protein,98.7
1224318.DT73_24680,mnmC,tRNA&nbsp;5-methylaminomethyl-2-thiouridine&nbsp;biosynthesis&nbsp;bifunctional&nbsp;protein&nbsp;MnmC,98.7
1224318.DT73_20845,DT73_20845,Type&nbsp;VI&nbsp;secretion&nbsp;protein,98.7
1224318.DT73_04700,dnaQ,DNA&nbsp;polymerase&nbsp;III&nbsp;subunit&nbsp;epsilon,98.6
1224318.DT73_14470,DT73_14470,Nitrogenase&nbsp;protein&nbsp;alpha&nbsp;chain,98.6
1224318.DT73_18240,DT73_18240,Putative&nbsp;glucose-6-phosphate&nbsp;1-epimerase,98.6
1224318.DT73_07160,dgt,Deoxyguanosinetriphosphate&nbsp;triphosphohydrolase,98.5
1224318.DT73_11935,DT73_11935,Putative&nbsp;glucose-6-phosphate&nbsp;1-epimerase,98.5
1224318.DT73_25045,DT73_25045,PTS&nbsp;system&nbsp;glucose-specific&nbsp;transporter&nbsp;subunit&nbsp;IIA,98.4
1224318.DT73_08485,DT73_08485,PTS&nbsp;ascorbate&nbsp;transporter&nbsp;subunit&nbsp;IIC,98.4
1224318.DT73_03195,DT73_03195,ABC&nbsp;transporter,98.4
1224318.DT73_01725,malE,Sugar&nbsp;ABC&nbsp;transporter&nbsp;substrate-binding&nbsp;protein,98.4
1224318.DT73_24290,DT73_24290,Argininosuccinate&nbsp;lyase,98.4
1224318.DT73_22300,pbpG,D-alanyl-D-alanine&nbsp;endopeptidase,98.4
1224318.DT73_06335,DT73_06335,Phage&nbsp;shock&nbsp;protein,98.3
1224318.DT73_19185,rplN,50S&nbsp;ribosomal&nbsp;protein&nbsp;L14,98.3
1224318.DT73_24090,DT73_24090,Uncharacterized&nbsp;protein,98.3
1224318.DT73_09595,dbpA,ATP-dependent&nbsp;RNA&nbsp;helicase&nbsp;DbpA,98.3
1224318.DT73_15035,DT73_15035,Cytochrome&nbsp;o&nbsp;ubiquinol&nbsp;oxidase&nbsp;subunit&nbsp;I,98.3
1224318.DT73_13835,DT73_13835,Alkyl&nbsp;hydroperoxide&nbsp;reductase,98.3
1224318.DT73_03250,DT73_03250,Dihydrodipicolinate&nbsp;synthetase,98.3
1224318.DT73_10125,DT73_10125,N-acetylmuramoyl-L-alanine&nbsp;amidase&nbsp;amid,98.2
1224318.DT73_21050,atpF,ATP&nbsp;synthase&nbsp;subunit&nbsp;b,98.2
1224318.DT73_25195,purC,Phosphoribosylaminoimidazole-succinocarboxamide&nbsp;synthase,98.2
1224318.DT73_04555,gpt,Xanthine&nbsp;phosphoribosyltransferase,98.2
1224318.DT73_24380,DT73_24380,O-succinylbenzoic&nbsp;acid--CoA&nbsp;ligase,98.2
1224318.DT73_08070,DT73_08070,ABC&nbsp;transporter&nbsp;permease,98.2
