527002.yaldo0001_9690,livF_1,Similar&nbsp;to&nbsp;Amino&nbsp;acid&nbsp;transporter&nbsp;of&nbsp;Gammaproteobacteria&nbsp;UniRef&nbsp;RepID=A4TNQ2_YERPP,98.9
527002.yaldo0001_8880,nagE,Similar&nbsp;to&nbsp;N-acetyl&nbsp;glucosamine&nbsp;specific&nbsp;PTS&nbsp;system&nbsp;components&nbsp;IIABC&nbsp;PRK10255,98.9
527002.yaldo0001_17390,pgpB,Similar&nbsp;to&nbsp;phosphatidylglycerophosphatase&nbsp;B&nbsp;PRK10699,98.9
527002.yaldo0001_8370,excC,Similar&nbsp;to&nbsp;peptidoglycan-associated&nbsp;outer&nbsp;membrane&nbsp;lipoprotein&nbsp;PRK10802,98.9
527002.yaldo0001_13160,citE,Similar&nbsp;to&nbsp;Citrate&nbsp;lyase&nbsp;subunit&nbsp;beta&nbsp;of&nbsp;Bacteria&nbsp;UniRef&nbsp;RepID=CITE_ECOL6,98.9
527002.yaldo0001_36550,EEP93724.1,Similar&nbsp;to&nbsp;Bll3987&nbsp;protein&nbsp;of&nbsp;Bacteria&nbsp;UniRef&nbsp;RepID=Q89N55_BRAJA,98.9
527002.yaldo0001_23180,ypeA,Similar&nbsp;to&nbsp;putative&nbsp;acetyltransferase&nbsp;PRK03624,98.8
527002.yaldo0001_7640,hemH,Ferrochelatase,98.8
527002.yaldo0001_13260,EEP93850.1,Fe(3+)&nbsp;ions&nbsp;import&nbsp;ATP-binding&nbsp;protein&nbsp;FbpC,98.8
527002.yaldo0001_220,argE,Similar&nbsp;to&nbsp;acetylornithine&nbsp;deacetylase&nbsp;PRK05111,98.8
527002.yaldo0001_31310,rpe,Similar&nbsp;to&nbsp;ribulose-phosphate&nbsp;3-epimerase&nbsp;PRK08883,98.7
527002.yaldo0001_7270,nqrE,Na(+)-translocating&nbsp;NADH-quinone&nbsp;reductase&nbsp;subunit&nbsp;E,98.7
527002.yaldo0001_16550,fadR,Fatty&nbsp;acid&nbsp;metabolism&nbsp;regulator&nbsp;protein,98.7
527002.yaldo0001_29870,aspA,Similar&nbsp;to&nbsp;aspartate&nbsp;ammonia-lyase&nbsp;PRK12273,98.6
527002.yaldo0001_22640,ripA,"Similar&nbsp;to&nbsp;Transcriptional&nbsp;regulator,&nbsp;AraC&nbsp;family&nbsp;of&nbsp;Enterobacteriaceae&nbsp;UniRef&nbsp;RepID=B1JGH9_YERPY",98.6
527002.yaldo0001_13710,sfuA,Similar&nbsp;to&nbsp;Iron(III)-binding&nbsp;periplasmic&nbsp;protein&nbsp;of&nbsp;Bacteria&nbsp;UniRef&nbsp;RepID=FBPA_SERMA,98.6
527002.yaldo0001_25380,nrdI,Protein&nbsp;NrdI,98.6
527002.yaldo0001_9720,bioF,8-amino-7-oxononanoate&nbsp;synthase,98.6
527002.yaldo0001_17500,fsaA,Transaldolase,98.6
527002.yaldo0001_18440,EEP95888.1,Putative&nbsp;acetyltransferase,98.5
527002.yaldo0001_30850,thiF_2,Similar&nbsp;to&nbsp;thiamine/molybdopterin&nbsp;biosynthesis&nbsp;MoeB-like&nbsp;protein&nbsp;PRK12475,98.5
527002.yaldo0001_34710,pdxY,Pyridoxal&nbsp;kinase&nbsp;PdxY,98.4
527002.yaldo0001_9590,EEP94554.1,Similar&nbsp;to&nbsp;molybdenum&nbsp;cofactor&nbsp;biosynthesis&nbsp;protein&nbsp;A&nbsp;PRK00164,98.4
527002.yaldo0001_37110,EEP94343.1,"Cyclic&nbsp;beta-1,2-glucan&nbsp;synthase",98.4
527002.yaldo0001_7990,lrp,Transcription&nbsp;regulator&nbsp;AsnC,98.4
527002.yaldo0001_21300,metB_2,Putative&nbsp;cystathionine&nbsp;gamma-synthase,98.4
527002.yaldo0001_23640,ppk,Polyphosphate&nbsp;kinase,98.3
527002.yaldo0001_31000,bioH,Pimeloyl-[acyl-carrier&nbsp;protein]&nbsp;methyl&nbsp;ester&nbsp;esterase,98.3
527002.yaldo0001_1490,panZ,PanD&nbsp;regulatory&nbsp;factor,98.3
527002.yaldo0001_3620,parF,Similar&nbsp;to&nbsp;1-acyl-sn-glycerol-3-phosphate&nbsp;acyltransferase&nbsp;of&nbsp;Gammaproteobacteria&nbsp;UniRef&nbsp;RepID=Q6DAA9_ERWCT,98.3
527002.yaldo0001_29670,tdcD,Propionate&nbsp;kinase,98.3
527002.yaldo0001_11360,folE,Similar&nbsp;to&nbsp;GTP&nbsp;cyclohydrolase&nbsp;I&nbsp;PRK09347,98.2
527002.yaldo0001_39450,truB,tRNA&nbsp;pseudouridine&nbsp;synthase&nbsp;B,98.1
527002.yaldo0001_24840,rseB,Similar&nbsp;to&nbsp;periplasmic&nbsp;negative&nbsp;regulator&nbsp;of&nbsp;sigmaE&nbsp;PRK09455,98.1
527002.yaldo0001_34000,yecS_3,ABC&nbsp;transporter&nbsp;permease,98.1
527002.yaldo0001_22940,purC,Similar&nbsp;to&nbsp;phosphoribosylaminoimidazole-succinocarboxamide&nbsp;synthase&nbsp;PRK09362,98.0
527002.yaldo0001_11120,maeA,NAD-dependent&nbsp;malic&nbsp;enzyme,98.0
527002.yaldo0001_17940,holB,Similar&nbsp;to&nbsp;DNA&nbsp;polymerase&nbsp;III&nbsp;subunit&nbsp;delta'&nbsp;PRK07993,98.0
527002.yaldo0001_470,fipA,Similar&nbsp;to&nbsp;thioredoxin&nbsp;PRK09381,97.9
527002.yaldo0001_33900,atpC,ATP&nbsp;synthase&nbsp;epsilon&nbsp;chain,97.9
527002.yaldo0001_3630,EEP95240.1,Similar&nbsp;to&nbsp;DNA&nbsp;topoisomerase&nbsp;IV&nbsp;subunit&nbsp;A&nbsp;PRK05561,97.9
527002.yaldo0001_24400,gutA,PTS&nbsp;system&nbsp;glucitol/sorbitol-specific&nbsp;transporter&nbsp;subunit&nbsp;IIc2,97.9
527002.yaldo0001_2690,rbsB13,Similar&nbsp;to&nbsp;Periplasmic&nbsp;binding&nbsp;protein&nbsp;of&nbsp;Gammaproteobacteria&nbsp;UniRef&nbsp;RepID=A4TH97_YERPP,97.9
527002.yaldo0001_34870,nemA,Similar&nbsp;to&nbsp;N-ethylmaleimide&nbsp;reductase&nbsp;PRK10605,97.8
527002.yaldo0001_21600,rcsC,Sensor&nbsp;histidine&nbsp;kinase&nbsp;RcsC,97.8
527002.yaldo0001_2200,EEP95995.1,L-seryl-tRNA&nbsp;selenocysteine&nbsp;synthase,97.8
527002.yaldo0001_25390,nrdH,Similar&nbsp;to&nbsp;glutaredoxin-like&nbsp;protein&nbsp;PRK10329,97.8
527002.yaldo0001_36960,sbcD,Nuclease&nbsp;SbcCD&nbsp;subunit&nbsp;D,97.7
527002.yaldo0001_28120,carA,Similar&nbsp;to&nbsp;carbamoyl&nbsp;phosphate&nbsp;synthase&nbsp;small&nbsp;subunit&nbsp;PRK12564,97.7
527002.yaldo0001_8600,EEP96272.1,Allophanate&nbsp;hydrolase&nbsp;2&nbsp;subunit&nbsp;2,97.6
527002.yaldo0001_39640,ftsA,Cell&nbsp;division&nbsp;protein&nbsp;FtsA,97.6
527002.yaldo0001_25720,celA,"Similar&nbsp;to&nbsp;N,N'-diacetylchitobiose-specific&nbsp;PTS&nbsp;system&nbsp;transporter&nbsp;subunit&nbsp;IIB&nbsp;PRK10499",97.6
527002.yaldo0001_11650,glnH_1,Similar&nbsp;to&nbsp;glutamine&nbsp;ABC&nbsp;transporter&nbsp;periplasmic&nbsp;protein&nbsp;PRK09495,97.6
527002.yaldo0001_34280,add,Similar&nbsp;to&nbsp;adenosine&nbsp;deaminase&nbsp;PRK09358,97.5
527002.yaldo0001_29030,hmsT_2,HmsT&nbsp;protein,97.5
527002.yaldo0001_26930,acnB,Similar&nbsp;to&nbsp;bifunctional&nbsp;aconitate&nbsp;hydratase&nbsp;2/2-methylisocitrate&nbsp;dehydratase&nbsp;PRK09238,97.5
527002.yaldo0001_7860,mntB_4,Putative&nbsp;ABC-transporter&nbsp;membrane&nbsp;protein,97.4
527002.yaldo0001_2590,pleD_1,Cell&nbsp;signaling&nbsp;regulator,97.4
527002.yaldo0001_35720,b0867,Similar&nbsp;to&nbsp;N-acetylmuramoyl-L-alanine&nbsp;amidase&nbsp;of&nbsp;Enterobacteriaceae&nbsp;UniRef&nbsp;RepID=B2VKM2_ERWT9,97.4
527002.yaldo0001_1850,rplM,50S&nbsp;ribosomal&nbsp;protein&nbsp;L13,97.4
527002.yaldo0001_4350,pipB2,Similar&nbsp;to&nbsp;Pentapeptide&nbsp;repeats&nbsp;containing&nbsp;protein&nbsp;COG1357,97.3
527002.yaldo0001_1460,livH,Similar&nbsp;to&nbsp;branched-chain&nbsp;amino&nbsp;acid&nbsp;transporter&nbsp;permease&nbsp;subunit&nbsp;LivH&nbsp;PRK10740,97.3
527002.yaldo0001_4500,ysuA,Similar&nbsp;to&nbsp;iron-dicitrate&nbsp;transporter&nbsp;substrate-binding&nbsp;subunit&nbsp;PRK11411,97.3
527002.yaldo0001_2510,aroQ,3-dehydroquinate&nbsp;dehydratase,97.3
527002.yaldo0001_14220,yghU,Similar&nbsp;to&nbsp;putative&nbsp;glutathione&nbsp;S-transferase&nbsp;YghU&nbsp;PRK11752,97.3
527002.yaldo0001_28060,b0025,Riboflavin&nbsp;biosynthesis&nbsp;protein,97.2
527002.yaldo0001_16900,tdk,Similar&nbsp;to&nbsp;thymidine&nbsp;kinase&nbsp;PRK04296,97.2
527002.yaldo0001_24340,gutQ,Similar&nbsp;to&nbsp;D-arabinose&nbsp;5-phosphate&nbsp;isomerase&nbsp;PRK11543,97.2
527002.yaldo0001_10610,rnfC,Putative&nbsp;NADH&nbsp;dehydrogenase,97.2
527002.yaldo0001_3110,hypE,Similar&nbsp;to&nbsp;Hydrogenase&nbsp;formation&nbsp;protein&nbsp;of&nbsp;Proteus&nbsp;mirabilis&nbsp;UniRef&nbsp;RepID=B4F2X6_PROMI,97.1
527002.yaldo0001_22780,hisP,Similar&nbsp;to&nbsp;histidine/lysine/arginine/ornithine&nbsp;transporter&nbsp;subunit&nbsp;PRK10619,97.1
527002.yaldo0001_1160,tatB,Sec-independent&nbsp;protein&nbsp;translocase&nbsp;protein&nbsp;TatB,97.1
527002.yaldo0001_21810,nuoB,NADH-quinone&nbsp;oxidoreductase&nbsp;subunit&nbsp;B,97.0
527002.yaldo0001_15510,narR,Histidine&nbsp;kinase,97.0
527002.yaldo0001_27960,tal,Transaldolase,96.7
527002.yaldo0001_17090,tonB,Protein&nbsp;TonB,96.7
527002.yaldo0001_24630,haeIIIM,Similar&nbsp;to&nbsp;C-5&nbsp;cytosine-specific&nbsp;DNA&nbsp;methylase&nbsp;of&nbsp;Bacteria&nbsp;UniRef&nbsp;RepID=Q3R783_XYLFA,96.7
527002.yaldo0001_28250,djlA,Co-chaperone&nbsp;protein&nbsp;DjlA,96.6
527002.yaldo0001_12320,fliM,Flagellar&nbsp;motor&nbsp;switch&nbsp;protein&nbsp;FliM,96.6
527002.yaldo0001_13190,citA_2,Similar&nbsp;to&nbsp;Sensor&nbsp;kinase&nbsp;dpiB&nbsp;of&nbsp;Enterobacteriaceae&nbsp;UniRef&nbsp;RepID=DPIB_ECOLI,96.6
527002.yaldo0001_23800,dapA,4-hydroxy-tetrahydrodipicolinate&nbsp;synthase,96.6
527002.yaldo0001_35320,btuE,Thioredoxin/glutathione&nbsp;peroxidase&nbsp;BtuE,96.6
527002.yaldo0001_18740,pabB,Similar&nbsp;to&nbsp;Para-aminobenzoate&nbsp;synthase&nbsp;component&nbsp;1&nbsp;of&nbsp;cellular&nbsp;organisms&nbsp;UniRef&nbsp;RepID=PABB_SALTY,96.6
527002.yaldo0001_17440,pyrF,Orotidine&nbsp;5'-phosphate&nbsp;decarboxylase,96.6
