1117958.PE143B_0125605,EZI25100.1,Coenzyme&nbsp;A&nbsp;biosynthesis&nbsp;bifunctional&nbsp;protein&nbsp;CoaBC,98.9
1117958.PE143B_0119905,EZI26730.1,Formyltetrahydrofolate&nbsp;deformylase,98.9
1117958.PE143B_0108335,EZI29112.1,Agmatinase,98.9
1117958.PE143B_0119240,EZI27063.1,Acyltransferase,98.9
1117958.PE143B_0117910,EZI27180.1,Ais&nbsp;protein,98.9
1117958.PE143B_0105155,miaA,tRNA&nbsp;dimethylallyltransferase,98.8
1117958.PE143B_0111980,EZI28357.1,Phosphoglycerate&nbsp;mutase,98.8
1117958.PE143B_0104865,EZI29750.1,Glucosyltransferase&nbsp;I&nbsp;RfaG,98.8
1117958.PE143B_0109025,EZI28799.1,Maleylacetoacetate&nbsp;isomerase,98.8
1117958.PE143B_0105460,EZI29865.1,Acetyltransferase,98.8
1117958.PE143B_0120825,glcB,Malate&nbsp;synthase&nbsp;G,98.7
1117958.PE143B_0113595,fadH,"2,4-dienoyl-CoA&nbsp;reductase",98.7
1117958.PE143B_0125315,EZI25198.1,Choline&nbsp;transporter,98.7
1117958.PE143B_0125565,EZI25246.1,Transporter,98.7
1117958.PE143B_0107495,topA,DNA&nbsp;topoisomerase&nbsp;1,98.7
1117958.PE143B_0118265,EZI27251.1,ATPase&nbsp;AAA,98.7
1117958.PE143B_0107820,EZI29013.1,Nitrate&nbsp;ABC&nbsp;transporter&nbsp;ATP-binding&nbsp;protein,98.7
1117958.PE143B_0122420,EZI26133.1,"6,7-dimethyl-8-ribityllumazine&nbsp;synthase",98.7
1117958.PE143B_0129515,EZI23918.1,Uncharacterized&nbsp;protein,98.7
1117958.PE143B_0123740,rplO,50S&nbsp;ribosomal&nbsp;protein&nbsp;L15,98.6
1117958.PE143B_0114115,EZI27934.1,Hydroxypyruvate&nbsp;isomerase,98.6
1117958.PE143B_0130130,argC,N-acetyl-gamma-glutamyl-phosphate&nbsp;reductase,98.6
1117958.PE143B_0120050,EZI26757.1,Biopolymer&nbsp;transporter&nbsp;TolR,98.6
1117958.PE143B_0103300,EZI30154.1,Diguanylate&nbsp;cyclase,98.6
1117958.PE143B_0111330,EZI28585.1,Xaa-Pro&nbsp;aminopeptidase,98.6
1117958.PE143B_0111020,EZI28524.1,Phosphonate&nbsp;ABC&nbsp;transporter&nbsp;permease,98.6
1117958.PE143B_0113260,EZI28040.1,Sulfurtransferase,98.5
1117958.PE143B_0105370,EZI29847.1,N-acylglucosamine&nbsp;2-epimerase,98.5
1117958.PE143B_0119155,EZI27046.1,Type&nbsp;II&nbsp;secretion&nbsp;system&nbsp;protein&nbsp;G,98.5
1117958.PE143B_0123945,EZI25559.1,Isocitrate&nbsp;dehydrogenase,98.5
1117958.PE143B_0127295,EZI24527.1,Diguanylate&nbsp;cyclase,98.5
1117958.PE143B_0126745,flhC,Flagellar&nbsp;transcriptional&nbsp;regulator&nbsp;FlhC,98.5
1117958.PE143B_0102330,EZI29968.1,Ribonucleotide-diphosphate&nbsp;reductase&nbsp;subunit&nbsp;alpha,98.5
1117958.PE143B_0113085,EZI28262.1,Acetoin&nbsp;dehydrogenase,98.4
1117958.PE143B_0107035,EZI29471.1,Lipid&nbsp;kinase,98.4
1117958.PE143B_0107795,EZI29008.1,Aconitate&nbsp;hydratase,98.4
1117958.PE143B_0117575,ftsQ,Cell&nbsp;division&nbsp;protein&nbsp;FtsQ,98.4
1117958.PE143B_0116280,EZI27645.1,Monooxygenase,98.4
1117958.PE143B_0118485,EZI27104.1,"D,D-heptose&nbsp;1,7-bisphosphate&nbsp;phosphatase",98.4
1117958.PE143B_0112065,EZI28373.1,Fis&nbsp;family&nbsp;transcriptional&nbsp;regulator,98.3
1117958.PE143B_0101415,EZI30539.1,UDP-N-acetyl-D-mannosamine&nbsp;transferase,98.3
1117958.PE143B_0118820,ahcY,Adenosylhomocysteinase,98.3
1117958.PE143B_0120200,EZI26786.1,Chemotaxis&nbsp;protein&nbsp;CheY,98.3
1117958.PE143B_0119390,EZI26832.1,Magnesium&nbsp;ABC&nbsp;transporter&nbsp;ATPase,98.3
1117958.PE143B_0130025,EZI23695.1,Pyruvate&nbsp;dehydrogenase&nbsp;E1&nbsp;component,98.3
1117958.PE143B_0122605,xylG,Xylose&nbsp;import&nbsp;ATP-binding&nbsp;protein&nbsp;XylG,98.3
1117958.PE143B_0109885,EZI28628.1,Aldose&nbsp;1-epimerase,98.3
1117958.PE143B_0114670,EZI27786.1,Thiamine&nbsp;biosynthesis&nbsp;protein&nbsp;ThiF,98.3
1117958.PE143B_0101345,EZI30527.1,Uncharacterized&nbsp;protein,98.2
1117958.PE143B_0122975,znuC,Zinc&nbsp;import&nbsp;ATP-binding&nbsp;protein&nbsp;ZnuC,98.2
1117958.PE143B_0103575,EZI30204.1,Hydrogenase,98.2
1117958.PE143B_0126365,adhP,Ethanol-active&nbsp;dehydrogenase/acetaldehyde-active&nbsp;reductase,98.2
1117958.PE143B_0107305,rnd,Ribonuclease&nbsp;D,98.1
1117958.PE143B_0100585,EZI30382.1,D-alanyl-D-alanine&nbsp;carboxypeptidase,98.1
1117958.PE143B_0112520,EZI28156.1,Chemotaxis&nbsp;protein,98.1
1117958.PE143B_0104330,EZI29648.1,ABC&nbsp;transporter&nbsp;permease,98.1
1117958.PE143B_0102210,EZI29946.1,Dihydrodipicolinate&nbsp;synthetase,98.1
1117958.PE143B_0118030,EZI27204.1,Gamma-glutamyltransferase,98.1
1117958.PE143B_0109315,EZI28857.1,Glutamate&nbsp;synthase,98.0
1117958.PE143B_0129575,infA,Translation&nbsp;initiation&nbsp;factor&nbsp;IF-1,98.0
1117958.PE143B_0129070,EZI24021.1,ABC&nbsp;transporter&nbsp;permease,98.0
1117958.PE143B_0110620,bioA,Adenosylmethionine-8-amino-7-oxononanoate&nbsp;aminotransferase,98.0
1117958.PE143B_0107780,prpB,2-methylisocitrate&nbsp;lyase,97.9
1117958.PE143B_0126375,EZI24942.1,Glyoxalase,97.9
1117958.PE143B_0119225,EZI27060.1,Formyltetrahydrofolate&nbsp;deformylase,97.9
1117958.PE143B_0120045,EZI26756.1,Protein&nbsp;tolQ,97.9
1117958.PE143B_0108680,EZI29180.1,Flagellar&nbsp;M-ring&nbsp;protein,97.9
1117958.PE143B_0124160,EZI25601.1,ABC&nbsp;transporter,97.9
1117958.PE143B_0109590,EZI28911.1,Iron-sulfur&nbsp;cluster&nbsp;carrier&nbsp;protein,97.9
1117958.PE143B_0118630,EZI27133.1,Penicillin-binding&nbsp;protein,97.8
1117958.PE143B_0104730,EZI29724.1,Acyl&nbsp;carrier&nbsp;protein,97.8
1117958.PE143B_0104705,EZI29719.1,Histidine&nbsp;ammonia-lyase,97.8
1117958.PE143B_0106235,EZI29317.1,Methionine&nbsp;aminopeptidase,97.8
1117958.PE143B_0111905,EZI28343.1,Molybdenum&nbsp;cofactor&nbsp;biosynthesis&nbsp;protein&nbsp;MoaA,97.8
1117958.PE143B_0115335,EZI27680.1,Aminotransferase,97.8
1117958.PE143B_0126885,flgC,Flagellar&nbsp;basal-body&nbsp;rod&nbsp;protein&nbsp;FlgC,97.8
1117958.PE143B_0105560,EZI29885.1,Oxidoreductase,97.7
1117958.PE143B_0117245,EZI27426.1,MerR&nbsp;family&nbsp;transcriptional&nbsp;regulator,97.7
1117958.PE143B_0110600,EZI28766.1,Histidine&nbsp;kinase,97.7
1117958.PE143B_0104595,aroK,Shikimate&nbsp;kinase,97.7
1117958.PE143B_0110905,EZI28501.1,Peptidase&nbsp;M16,97.7
1117958.PE143B_0107710,EZI28993.1,Membrane&nbsp;protein,97.7
1117958.PE143B_0123275,EZI25802.1,Cytochrome&nbsp;C&nbsp;peroxidase,97.7
1117958.PE143B_0119040,EZI27023.1,NADPH:quinone&nbsp;reductase,97.6
1117958.PE143B_0111110,EZI28542.1,3-phosphoglycerate&nbsp;dehydrogenase,97.6
1117958.PE143B_0101055,EZI30472.1,Cytochrome&nbsp;D&nbsp;ubiquinol&nbsp;oxidase&nbsp;subunit&nbsp;I,97.6
1117958.PE143B_0110985,EZI28517.1,Phosphorylcholine&nbsp;phosphatase,97.5
1117958.PE143B_0101820,infB,Translation&nbsp;initiation&nbsp;factor&nbsp;IF-2,97.5
1117958.PE143B_0111260,EZI28571.1,Acetylornithine&nbsp;deacetylase,97.5
1117958.PE143B_0122990,thrB,Homoserine&nbsp;kinase,97.5
1117958.PE143B_0109725,EZI28935.1,DNA&nbsp;replication&nbsp;protein&nbsp;DnaC,97.5
1117958.PE143B_0121845,EZI26191.1,3-oxoacyl-ACP&nbsp;reductase,97.5
1117958.PE143B_0127285,EZI24525.1,Uncharacterized&nbsp;protein,97.5
1117958.PE143B_0101090,EZI30478.1,Catalase,97.5
1117958.PE143B_0129905,EZI23747.1,Secretion&nbsp;protein&nbsp;HylD,97.5
1117958.PE143B_0101785,glmM,Phosphoglucosamine&nbsp;mutase,97.5
1117958.PE143B_0126775,EZI24803.1,Flagellar&nbsp;M-ring&nbsp;protein,97.4
1117958.PE143B_0119210,EZI27057.1,Sarcosine&nbsp;oxidase&nbsp;subunit&nbsp;delta,97.4
1117958.PE143B_0120165,EZI26779.1,Ornithine&nbsp;carbamoyltransferase,97.4
1117958.PE143B_0109135,EZI28821.1,Permease,97.4
1117958.PE143B_0104375,EZI29656.1,Amino&nbsp;acid&nbsp;ABC&nbsp;transporter&nbsp;substrate-binding&nbsp;protein,97.4
1117958.PE143B_0126960,EZI24840.1,Membrane&nbsp;protein,97.4
1117958.PE143B_0127125,EZI24600.1,Asparagine&nbsp;synthase,97.4
1117958.PE143B_0113630,EZI28105.1,Protein&nbsp;kinase,97.4
1117958.PE143B_0101290,EZI30517.1,Short-chain&nbsp;dehydrogenase,97.3
1117958.PE143B_0105555,EZI29884.1,"Precorrin-6Y&nbsp;C5,15-methyltransferase",97.3
1117958.PE143B_0120875,bioC,Malonyl-[acyl-carrier&nbsp;protein]&nbsp;O-methyltransferase,97.3
1117958.PE143B_0124855,EZI25401.1,Uncharacterized&nbsp;protein,97.3
1117958.PE143B_0108900,rhlB,ATP-dependent&nbsp;RNA&nbsp;helicase&nbsp;RhlB,97.3
1117958.PE143B_0105190,EZI29815.1,Chemotaxis&nbsp;protein,97.3
1117958.PE143B_0115035,EZI27853.1,Fis&nbsp;family&nbsp;transcriptional&nbsp;regulator,97.3
1117958.PE143B_0119400,EZI26834.1,Hydratase,97.3
1117958.PE143B_0128000,EZI24329.1,ABC&nbsp;transporter&nbsp;permease,97.2
1117958.PE143B_0118525,dnaA,Chromosomal&nbsp;replication&nbsp;initiator&nbsp;protein&nbsp;DnaA,97.2
1117958.PE143B_0103615,EZI30212.1,Rubredoxin,97.2
1117958.PE143B_0130170,EZI23591.1,"Glucan&nbsp;1,4-alpha-maltohexaosidase",97.2
1117958.PE143B_0120435,EZI26551.1,Peptidyl-prolyl&nbsp;cis-trans&nbsp;isomerase,97.2
1117958.PE143B_0111255,argA,Amino-acid&nbsp;acetyltransferase,97.2
1117958.PE143B_0128375,EZI24186.1,Sugar&nbsp;ABC&nbsp;transporter&nbsp;ATP-binding&nbsp;protein,97.2
1117958.PE143B_0121140,EZI26478.1,Polyamine&nbsp;ABC&nbsp;transporter&nbsp;permease,97.2
1117958.PE143B_0111075,EZI28535.1,Phosphoserine&nbsp;phosphatase,97.1
1117958.PE143B_0109000,EZI28794.1,Glutathione&nbsp;S-transferase,97.1
1117958.PE143B_0101095,EZI30479.1,Ankyrin,97.1
1117958.PE143B_0105885,EZI29250.1,LuxR&nbsp;family&nbsp;transcriptional&nbsp;regulator,97.1
1117958.PE143B_0112685,EZI28188.1,Magnesium&nbsp;chelatase,97.1
1117958.PE143B_0112915,EZI28231.1,Member&nbsp;of&nbsp;the&nbsp;extracytoplasmic&nbsp;function&nbsp;sigma&nbsp;factors&nbsp;which&nbsp;are&nbsp;active&nbsp;under&nbsp;specific&nbsp;conditions,97.1
1117958.PE143B_0119250,EZI27065.1,Glutathione&nbsp;S-transferase,97.1
1117958.PE143B_0120530,EZI26569.1,Dihydrofolate&nbsp;reductase,97.1
1117958.PE143B_0127345,EZI24536.1,Histidine&nbsp;kinase,97.1
1117958.PE143B_0103570,EZI30203.1,Butanediol&nbsp;dehydrogenase,97.0
1117958.PE143B_0113510,EZI28086.1,Bifunctional&nbsp;protein&nbsp;FolD,97.0
1117958.PE143B_0123320,EZI25811.1,Gamma-glutamyltransferase,97.0
1117958.PE143B_0100730,EZI30410.1,Acyl-CoA&nbsp;dehydrogenase,97.0
1117958.PE143B_0124035,nuoK,NADH-quinone&nbsp;oxidoreductase&nbsp;subunit&nbsp;K,97.0
1117958.PE143B_0116690,EZI27525.1,Short-chain&nbsp;dehydrogenase,97.0
1117958.PE143B_0108385,purN,Phosphoribosylglycinamide&nbsp;formyltransferase,97.0
1117958.PE143B_0122750,EZI26054.1,Formyltetrahydrofolate&nbsp;deformylase,97.0
1117958.PE143B_0126235,EZI24914.1,Aldehyde&nbsp;dehydrogenase,96.9
1117958.PE143B_0119095,EZI27034.1,Electron&nbsp;transfer&nbsp;flavoprotein&nbsp;subunit&nbsp;beta,96.9
1117958.PE143B_0100725,EZI30409.1,Histidine&nbsp;kinase,96.9
1117958.PE143B_0126565,EZI24867.1,"3,4-dihydroxy-2-butanone&nbsp;4-phosphate&nbsp;synthase",96.9
1117958.PE143B_0106580,EZI29384.1,LivHMGF&nbsp;is&nbsp;the&nbsp;membrane&nbsp;component&nbsp;of&nbsp;the&nbsp;LIV-I/LS&nbsp;branched-chain&nbsp;amino&nbsp;acid&nbsp;transporter,96.9
1117958.PE143B_0102690,EZI30039.1,Acyl-CoA&nbsp;dehydrogenase,96.9
1117958.PE143B_0130100,coq7,"2-nonaprenyl-3-methyl-6-methoxy-1,4-benzoquinol&nbsp;hydroxylase",96.9
1117958.PE143B_0103160,EZI30126.1,Alcohol&nbsp;dehydrogenase,96.9
1117958.PE143B_0115790,EZI27552.1,Taurine&nbsp;dioxygenase,96.9
1117958.PE143B_0128350,EZI24182.1,Nucleotide-binding&nbsp;protein&nbsp;PE143B_0128350,96.9
1117958.PE143B_0108805,EZI29205.1,Chemotaxis&nbsp;protein&nbsp;CheA,96.9
1117958.PE143B_0102685,EZI30038.1,Enoyl-CoA&nbsp;hydratase,96.8
1117958.PE143B_0100625,lptE,LPS-assembly&nbsp;lipoprotein&nbsp;LptE,96.8
1117958.PE143B_0120370,EZI26539.1,Muconolactone&nbsp;Delta-isomerase,96.8
1117958.PE143B_0107425,EZI29545.1,Aconitate&nbsp;hydratase,96.8
1117958.PE143B_0112670,ppnK,NAD&nbsp;kinase,96.8
1117958.PE143B_0122185,plsX,Phosphate&nbsp;acyltransferase,96.8
1117958.PE143B_0127660,EZI24503.1,LuxR&nbsp;family&nbsp;transcriptional&nbsp;regulator,96.7
1117958.PE143B_0124305,EZI25459.1,Asparaginase,96.7
1117958.PE143B_0108585,phhA,Phenylalanine&nbsp;4-hydroxylase,96.7
1117958.PE143B_0114345,tpm,Thiopurine&nbsp;S-methyltransferase,96.7
1117958.PE143B_0126100,EZI25026.1,Uncharacterized&nbsp;protein,96.7
1117958.PE143B_0118980,betB,NAD/NADP-dependent&nbsp;betaine&nbsp;aldehyde&nbsp;dehydrogenase,96.7
1117958.PE143B_0111170,EZI28554.1,Spermidine/putrescine&nbsp;import&nbsp;ATP-binding&nbsp;protein&nbsp;PotA,96.7
1117958.PE143B_0103775,EZI30244.1,Histidine&nbsp;kinase,96.7
1117958.PE143B_0105140,EZI29805.1,ATPase,96.7
1117958.PE143B_0100735,amn,AMP&nbsp;nucleosidase,96.7
1117958.PE143B_0129570,clpA,Clp&nbsp;protease&nbsp;ClpX,96.7
1117958.PE143B_0115005,EZI27849.1,"Protocatechuate&nbsp;3,4-dioxygenase",96.6
1117958.PE143B_0118575,EZI27122.1,ATP&nbsp;synthase&nbsp;subunit&nbsp;c,96.6
1117958.PE143B_0121300,dsbD,Thiol:disulfide&nbsp;interchange&nbsp;protein&nbsp;DsbD,96.6
1117958.PE143B_0102110,EZI29928.1,Maltooligosyl&nbsp;trehalose&nbsp;synthase,96.6
1117958.PE143B_0113885,EZI27888.1,Transcriptional&nbsp;regulator,96.6
1117958.PE143B_0100570,mrdB,Peptidoglycan&nbsp;glycosyltransferase&nbsp;MrdB,96.6
1117958.PE143B_0126655,EZI24885.1,Ribonucleoside-triphosphate&nbsp;reductase,96.6
1117958.PE143B_0108145,EZI29076.1,Alpha/beta&nbsp;hydrolase,96.6
1117958.PE143B_0124150,EZI25599.1,ABC&nbsp;transporter&nbsp;permease,96.6
1117958.PE143B_0110945,coaD,Phosphopantetheine&nbsp;adenylyltransferase,96.5
1117958.PE143B_0118140,EZI27226.1,Chemotaxis&nbsp;protein,96.5
1117958.PE143B_0110520,EZI28750.1,Transferase,96.5
1117958.PE143B_0128445,EZI24200.1,Histidinol-phosphate&nbsp;aminotransferase,96.5
1117958.PE143B_0116090,EZI27610.1,Sulfate&nbsp;ABC&nbsp;transporter&nbsp;permease,96.5
1117958.PE143B_0105070,parC,DNA&nbsp;topoisomerase&nbsp;4&nbsp;subunit&nbsp;A,96.5
1117958.PE143B_0104325,EZI29647.1,Sulfonate&nbsp;ABC&nbsp;transporter&nbsp;substrate-binding&nbsp;protein,96.5
1117958.PE143B_0110485,EZI28743.1,Phosphotyrosine&nbsp;protein&nbsp;phosphatase,96.5
1117958.PE143B_0128625,EZI24122.1,Uncharacterized&nbsp;protein,96.4
1117958.PE143B_0100365,EZI30339.1,Electron&nbsp;transporter&nbsp;RnfB,96.4
1117958.PE143B_0101795,EZI30606.1,Preprotein&nbsp;translocase&nbsp;subunit&nbsp;SecG,96.4
1117958.PE143B_0105445,EZI29862.1,Histidine&nbsp;kinase,96.4
1117958.PE143B_0111010,EZI28522.1,FAD-dependent&nbsp;oxidoreductase,96.4
1117958.PE143B_0130235,rpsI,30S&nbsp;ribosomal&nbsp;protein&nbsp;S9,96.4
1117958.PE143B_0111065,EZI28533.1,Phosphoenolpyruvate-protein&nbsp;phosphotransferase,96.4
1117958.PE143B_0101965,EZI30637.1,Penicillin-binding&nbsp;protein&nbsp;1B,96.3
1117958.PE143B_0115550,EZI27722.1,CoA-transferase,96.3
1117958.PE143B_0124485,EZI25495.1,Oxidoreductase,96.3
1117958.PE143B_0122685,EZI26042.1,Bifunctional&nbsp;protein&nbsp;FolD,96.3
1117958.PE143B_0127820,EZI24434.1,"Protocatechuate&nbsp;3,4-dioxygenase",96.3
1117958.PE143B_0102830,EZI30064.1,Uncharacterized&nbsp;protein,96.2
1117958.PE143B_0123270,EZI25801.1,Type&nbsp;I&nbsp;secretion&nbsp;protein&nbsp;TolC,96.2
1117958.PE143B_0126920,EZI24832.1,Histidine&nbsp;kinase,96.2
