44454.NF84_22125,pyrE,Orotate&nbsp;phosphoribosyltransferase,98.9
44454.NF84_15675,hisS,Histidine--tRNA&nbsp;ligase,98.9
44454.NF84_21060,I548_1826,Natural&nbsp;resistance-associated&nbsp;macrophage&nbsp;family&nbsp;protein,98.9
44454.NF84_16480,miaB,tRNA-2-methylthio-N(6)-dimethylallyladenosine&nbsp;synthase,98.9
44454.NF84_04290,AIV23956.1,Derived&nbsp;by&nbsp;automated&nbsp;computational&nbsp;analysis&nbsp;using&nbsp;gene&nbsp;prediction&nbsp;method:&nbsp;Protein&nbsp;Homology,98.9
44454.NF84_22150,AIV27024.1,Derived&nbsp;by&nbsp;automated&nbsp;computational&nbsp;analysis&nbsp;using&nbsp;gene&nbsp;prediction&nbsp;method:&nbsp;Protein&nbsp;Homology,98.8
44454.NF84_18085,I548_0220,Short&nbsp;chain&nbsp;dehydrogenase&nbsp;family&nbsp;protein,98.8
44454.NF84_07335,acpS,Holo-[acyl-carrier-protein]&nbsp;synthase,98.8
44454.NF84_15845,AIV25904.1,Derived&nbsp;by&nbsp;automated&nbsp;computational&nbsp;analysis&nbsp;using&nbsp;gene&nbsp;prediction&nbsp;method:&nbsp;Protein&nbsp;Homology,98.8
44454.NF84_09230,cysK,Cysteine&nbsp;synthase,98.8
44454.NF84_01850,AIV23537.1,Derived&nbsp;by&nbsp;automated&nbsp;computational&nbsp;analysis&nbsp;using&nbsp;gene&nbsp;prediction&nbsp;method:&nbsp;Protein&nbsp;Homology,98.8
44454.NF84_13985,AIV25583.1,Derived&nbsp;by&nbsp;automated&nbsp;computational&nbsp;analysis&nbsp;using&nbsp;gene&nbsp;prediction&nbsp;method:&nbsp;Protein&nbsp;Homology,98.8
44454.NF84_18575,I548_0100,FAD&nbsp;binding&nbsp;domain&nbsp;protein,98.8
44454.NF84_16240,dxs,1-deoxy-D-xylulose-5-phosphate&nbsp;synthase,98.7
44454.NF84_06030,I548_4097,Uncharacterized&nbsp;protein,98.7
44454.NF84_04015,I548_3607,"Acyl-CoA&nbsp;dehydrogenase,&nbsp;C-terminal&nbsp;domain&nbsp;protein",98.7
44454.NF84_19305,AIV26514.1,Catalyzes&nbsp;the&nbsp;reversible&nbsp;phosphoryl&nbsp;transfer&nbsp;from&nbsp;adenosine&nbsp;triphosphate&nbsp;(ATP)&nbsp;to&nbsp;thymidine&nbsp;monophosphate&nbsp;(dTMP)&nbsp;to&nbsp;form&nbsp;thymidine&nbsp;diphosphate&nbsp;(dTDP),98.7
44454.NF84_04860,AIV24055.1,Derived&nbsp;by&nbsp;automated&nbsp;computational&nbsp;analysis&nbsp;using&nbsp;gene&nbsp;prediction&nbsp;method:&nbsp;Protein&nbsp;Homology,98.7
44454.NF84_08855,I548_4743,Putative&nbsp;propanoyl-CoA&nbsp;C-acyltransferase,98.7
44454.NF84_20000,I548_1570,Uncharacterized&nbsp;protein,98.7
44454.NF84_21420,I548_1912,"HAD&nbsp;phosphoserine&nbsp;phosphatase-like&nbsp;hydrolase,&nbsp;IB&nbsp;family&nbsp;protein",98.7
44454.NF84_14235,AIV27489.1,Derived&nbsp;by&nbsp;automated&nbsp;computational&nbsp;analysis&nbsp;using&nbsp;gene&nbsp;prediction&nbsp;method:&nbsp;Protein&nbsp;Homology,98.6
44454.NF84_20440,rplO,50S&nbsp;ribosomal&nbsp;protein&nbsp;L15,98.6
44454.NF84_09375,I548_4959,Putative&nbsp;membrane&nbsp;protein,98.6
44454.NF84_14155,AIV25617.1,Derived&nbsp;by&nbsp;automated&nbsp;computational&nbsp;analysis&nbsp;using&nbsp;gene&nbsp;prediction&nbsp;method:&nbsp;Protein&nbsp;Homology,98.6
44454.NF84_03245,I548_3354,Uncharacterized&nbsp;protein,98.6
44454.NF84_21035,AIV26823.1,Derived&nbsp;by&nbsp;automated&nbsp;computational&nbsp;analysis&nbsp;using&nbsp;gene&nbsp;prediction&nbsp;method:&nbsp;Protein&nbsp;Homology,98.5
44454.NF84_18780,I548_0060,Pyridine&nbsp;nucleotide-disulfide&nbsp;oxidoreductase&nbsp;family&nbsp;protein,98.5
44454.NF84_20300,AIV26695.1,Derived&nbsp;by&nbsp;automated&nbsp;computational&nbsp;analysis&nbsp;using&nbsp;gene&nbsp;prediction&nbsp;method:&nbsp;Protein&nbsp;Homology,98.5
44454.NF84_05215,AIV24120.1,Derived&nbsp;by&nbsp;automated&nbsp;computational&nbsp;analysis&nbsp;using&nbsp;gene&nbsp;prediction&nbsp;method:&nbsp;Protein&nbsp;Homology,98.5
44454.NF84_12695,AIV25347.1,Derived&nbsp;by&nbsp;automated&nbsp;computational&nbsp;analysis&nbsp;using&nbsp;gene&nbsp;prediction&nbsp;method:&nbsp;Protein&nbsp;Homology,98.4
44454.NF84_04650,pgi,Glucose-6-phosphate&nbsp;isomerase,98.4
44454.NF84_00055,AIV23217.1,Derived&nbsp;by&nbsp;automated&nbsp;computational&nbsp;analysis&nbsp;using&nbsp;gene&nbsp;prediction&nbsp;method:&nbsp;Protein&nbsp;Homology,98.3
44454.NF84_02290,I548_3144,Putative&nbsp;cold&nbsp;shock&nbsp;protein&nbsp;A,98.3
44454.NF84_11210,AIV27442.1,Derived&nbsp;by&nbsp;automated&nbsp;computational&nbsp;analysis&nbsp;using&nbsp;gene&nbsp;prediction&nbsp;method:&nbsp;Protein&nbsp;Homology,98.3
44454.NF84_03695,I548_3521,Acetyl-CoA&nbsp;C-acetyltransferase&nbsp;family&nbsp;protein,98.3
44454.NF84_03200,I548_3345,SnoaL-like&nbsp;domain&nbsp;protein,98.3
44454.NF84_01535,AIV23480.1,Derived&nbsp;by&nbsp;automated&nbsp;computational&nbsp;analysis&nbsp;using&nbsp;gene&nbsp;prediction&nbsp;method:&nbsp;Protein&nbsp;Homology,98.3
44454.NF84_09950,I548_5122,Putative&nbsp;low&nbsp;molecular&nbsp;weight&nbsp;protein-tyrosine-phosphatase,98.2
44454.NF84_18585,AIV26384.1,Derived&nbsp;by&nbsp;automated&nbsp;computational&nbsp;analysis&nbsp;using&nbsp;gene&nbsp;prediction&nbsp;method:&nbsp;Protein&nbsp;Homology,98.2
44454.NF84_20720,I548_1745,RNA&nbsp;polymerase&nbsp;beta&nbsp;subunit,98.2
44454.NF84_21090,I548_1833,Glycerol-3-phosphate&nbsp;dehydrogenase&nbsp;[NAD(P)+],98.2
44454.NF84_15120,I548_0966,Diacylglycerol&nbsp;acyltransferase&nbsp;family&nbsp;protein,98.2
44454.NF84_19265,AIV27585.1,Derived&nbsp;by&nbsp;automated&nbsp;computational&nbsp;analysis&nbsp;using&nbsp;gene&nbsp;prediction&nbsp;method:&nbsp;Protein&nbsp;Homology,98.1
44454.NF84_07455,AIV24498.1,Derived&nbsp;by&nbsp;automated&nbsp;computational&nbsp;analysis&nbsp;using&nbsp;gene&nbsp;prediction&nbsp;method:&nbsp;Protein&nbsp;Homology,98.1
44454.NF84_10575,I548_5274,Peptidase&nbsp;M20/M25/M40&nbsp;family&nbsp;protein,98.1
44454.NF84_22045,metZ,O-succinylhomoserine&nbsp;sulfhydrylase,98.1
44454.NF84_17420,AIV26180.1,Derived&nbsp;by&nbsp;automated&nbsp;computational&nbsp;analysis&nbsp;using&nbsp;gene&nbsp;prediction&nbsp;method:&nbsp;Protein&nbsp;Homology,98.1
44454.NF84_17720,AIV26232.1,Derived&nbsp;by&nbsp;automated&nbsp;computational&nbsp;analysis&nbsp;using&nbsp;gene&nbsp;prediction&nbsp;method:&nbsp;Protein&nbsp;Homology,98.0
44454.NF84_22750,I548_2232,MaoC&nbsp;like&nbsp;domain&nbsp;protein,97.9
44454.NF84_15060,I548_0975,Histone&nbsp;deacetylase&nbsp;domain&nbsp;protein,97.9
44454.NF84_02455,panC,Pantothenate&nbsp;synthetase,97.9
44454.NF84_06680,prfA,Peptide&nbsp;chain&nbsp;release&nbsp;factor&nbsp;1,97.9
44454.NF84_02955,I548_3299,"Acyl-CoA&nbsp;dehydrogenase,&nbsp;N-terminal&nbsp;domain&nbsp;protein",97.9
44454.NF84_06350,AIV24310.1,Derived&nbsp;by&nbsp;automated&nbsp;computational&nbsp;analysis&nbsp;using&nbsp;gene&nbsp;prediction&nbsp;method:&nbsp;Protein&nbsp;Homology,97.9
44454.NF84_04190,I548_3642,BFD-like&nbsp;[2Fe-2S]&nbsp;binding&nbsp;domain&nbsp;protein,97.9
44454.NF84_17475,ppk,Polyphosphate&nbsp;kinase,97.9
44454.NF84_01745,aspB,Aspartate&nbsp;aminotransferase,97.8
44454.NF84_11510,I548_4631,Short&nbsp;chain&nbsp;dehydrogenase&nbsp;family&nbsp;protein,97.8
44454.NF84_00015,AIV23212.1,Derived&nbsp;by&nbsp;automated&nbsp;computational&nbsp;analysis&nbsp;using&nbsp;gene&nbsp;prediction&nbsp;method:&nbsp;Protein&nbsp;Homology,97.7
44454.NF84_16290,AIV25980.1,Derived&nbsp;by&nbsp;automated&nbsp;computational&nbsp;analysis&nbsp;using&nbsp;gene&nbsp;prediction&nbsp;method:&nbsp;Protein&nbsp;Homology,97.7
44454.NF84_04740,AIV24034.1,Catalyzes&nbsp;the&nbsp;reversible&nbsp;hydration&nbsp;of&nbsp;unsaturated&nbsp;fatty&nbsp;acyl-CoA&nbsp;to&nbsp;beta-hydroxyacyl-CoA,97.7
44454.NF84_19520,AIV26554.1,Derived&nbsp;by&nbsp;automated&nbsp;computational&nbsp;analysis&nbsp;using&nbsp;gene&nbsp;prediction&nbsp;method:&nbsp;Protein&nbsp;Homology,97.6
44454.NF84_01390,I548_2922,Zinc-binding&nbsp;dehydrogenase&nbsp;family&nbsp;protein,97.6
44454.NF84_13200,AIV25443.1,Derived&nbsp;by&nbsp;automated&nbsp;computational&nbsp;analysis&nbsp;using&nbsp;gene&nbsp;prediction&nbsp;method:&nbsp;Protein&nbsp;Homology,97.6
44454.NF84_15490,AIV25843.1,Derived&nbsp;by&nbsp;automated&nbsp;computational&nbsp;analysis&nbsp;using&nbsp;gene&nbsp;prediction&nbsp;method:&nbsp;Protein&nbsp;Homology,97.6
44454.NF84_18880,AIV26439.1,Derived&nbsp;by&nbsp;automated&nbsp;computational&nbsp;analysis&nbsp;using&nbsp;gene&nbsp;prediction&nbsp;method:&nbsp;Protein&nbsp;Homology,97.6
44454.NF84_22140,clpB,Chaperone&nbsp;protein&nbsp;ClpB,97.5
44454.NF84_06470,AIV24331.1,Derived&nbsp;by&nbsp;automated&nbsp;computational&nbsp;analysis&nbsp;using&nbsp;gene&nbsp;prediction&nbsp;method:&nbsp;Protein&nbsp;Homology,97.5
44454.NF84_04905,arcA,Arginine&nbsp;deiminase,97.5
44454.NF84_06415,AIV24320.1,Derived&nbsp;by&nbsp;automated&nbsp;computational&nbsp;analysis&nbsp;using&nbsp;gene&nbsp;prediction&nbsp;method:&nbsp;Protein&nbsp;Homology,97.5
44454.NF84_19910,AIV26624.1,Derived&nbsp;by&nbsp;automated&nbsp;computational&nbsp;analysis&nbsp;using&nbsp;gene&nbsp;prediction&nbsp;method:&nbsp;Protein&nbsp;Homology,97.5
44454.NF84_15040,I548_0979,Glucose-6-phosphate&nbsp;1-dehydrogenase,97.5
44454.NF84_22790,AIV27135.1,Derived&nbsp;by&nbsp;automated&nbsp;computational&nbsp;analysis&nbsp;using&nbsp;gene&nbsp;prediction&nbsp;method:&nbsp;Protein&nbsp;Homology,97.5
44454.NF84_04555,I548_3732,Phosphate&nbsp;transport&nbsp;system&nbsp;permease&nbsp;protein,97.5
44454.NF84_15485,AIV25842.1,Derived&nbsp;by&nbsp;automated&nbsp;computational&nbsp;analysis&nbsp;using&nbsp;gene&nbsp;prediction&nbsp;method:&nbsp;Protein&nbsp;Homology,97.4
44454.NF84_06225,AIV24292.1,Derived&nbsp;by&nbsp;automated&nbsp;computational&nbsp;analysis&nbsp;using&nbsp;gene&nbsp;prediction&nbsp;method:&nbsp;Protein&nbsp;Homology,97.4
44454.NF84_01795,I548_3056,"Exonuclease,&nbsp;DNA&nbsp;polymerase&nbsp;III,&nbsp;epsilon&nbsp;subunit&nbsp;family&nbsp;domain&nbsp;protein",97.4
44454.NF84_06950,I548_4258,Putative&nbsp;short-chain&nbsp;type&nbsp;dehydrogenase/reductase,97.4
44454.NF84_20700,I548_1737,Enoyl-CoA&nbsp;hydratase,97.4
44454.NF84_00150,AIV23235.1,Converts&nbsp;medium-&nbsp;to&nbsp;long-chain&nbsp;aliphatic&nbsp;fatty&nbsp;acids&nbsp;into&nbsp;acyl&nbsp;adenylate,97.4
44454.NF84_01410,AIV23458.1,Derived&nbsp;by&nbsp;automated&nbsp;computational&nbsp;analysis&nbsp;using&nbsp;gene&nbsp;prediction&nbsp;method:&nbsp;Protein&nbsp;Homology,97.4
44454.NF84_14900,AIV25741.1,Derived&nbsp;by&nbsp;automated&nbsp;computational&nbsp;analysis&nbsp;using&nbsp;gene&nbsp;prediction&nbsp;method:&nbsp;Protein&nbsp;Homology,97.4
44454.NF84_12490,I548_5596,Zinc-binding&nbsp;dehydrogenase&nbsp;family&nbsp;protein,97.3
44454.NF84_15215,ribE,"Riboflavin&nbsp;synthase,&nbsp;alpha&nbsp;subunit",97.3
44454.NF84_06430,AIV24323.1,Derived&nbsp;by&nbsp;automated&nbsp;computational&nbsp;analysis&nbsp;using&nbsp;gene&nbsp;prediction&nbsp;method:&nbsp;Protein&nbsp;Homology,97.3
44454.NF84_20085,I548_1594,Glutamate&nbsp;decarboxylase,97.3
