1115512.EH105704_11_00850,ugd,annotation&nbsp;not&nbsp;available,98.9
1115512.EH105704_32_00080,GAB54130.1,annotation&nbsp;not&nbsp;available,98.9
1115512.EH105704_02_04350,xdhA,annotation&nbsp;not&nbsp;available,98.9
1115512.EH105704_19_00290,parE,DNA&nbsp;topoisomerase&nbsp;4&nbsp;subunit&nbsp;B,98.9
1115512.EH105704_08_01480,sthA,Soluble&nbsp;pyridine&nbsp;nucleotide&nbsp;transhydrogenase,98.9
1115512.EH105704_03_00910,GAB51586.1,annotation&nbsp;not&nbsp;available,98.8
1115512.EH105704_16_00740,ydcT,annotation&nbsp;not&nbsp;available,98.8
1115512.EH105704_04_01930,gyrB,DNA&nbsp;gyrase&nbsp;subunit&nbsp;B,98.8
1115512.EH105704_01_00220,GAB50017.1,Lactoylglutathione&nbsp;lyase,98.8
1115512.EH105704_13_00800,acrF,annotation&nbsp;not&nbsp;available,98.8
1115512.EH105704_18_00400,recO,DNA&nbsp;repair&nbsp;protein&nbsp;RecO,98.7
1115512.EH105704_01_03860,tap,annotation&nbsp;not&nbsp;available,98.7
1115512.EH105704_24_00070,rnhA,Ribonuclease&nbsp;H,98.7
1115512.EH105704_02_04210,ygfM,annotation&nbsp;not&nbsp;available,98.6
1115512.EH105704_03_00230,glnQ,annotation&nbsp;not&nbsp;available,98.6
1115512.EH105704_02_03180,thiQ,Thiamine&nbsp;import&nbsp;ATP-binding&nbsp;protein&nbsp;ThiQ,98.6
1115512.EH105704_06_01860,hyfE,annotation&nbsp;not&nbsp;available,98.5
1115512.EH105704_02_00580,dsbD,Thiol:disulfide&nbsp;interchange&nbsp;protein&nbsp;DsbD,98.5
1115512.EH105704_01_08480,maeB,annotation&nbsp;not&nbsp;available,98.5
1115512.EH105704_07_01150,ftsY,Signal&nbsp;recognition&nbsp;particle&nbsp;receptor&nbsp;FtsY,98.5
1115512.EH105704_05_00730,GAB52067.1,annotation&nbsp;not&nbsp;available,98.5
1115512.EH105704_01_00410,sufD,annotation&nbsp;not&nbsp;available,98.5
1115512.EH105704_17_00590,gppA,"Guanosine-5'-triphosphate,3'-diphosphate&nbsp;pyrophosphatase",98.5
1115512.EH105704_02_03200,thiB,annotation&nbsp;not&nbsp;available,98.4
1115512.EH105704_18_00280,yfhG,annotation&nbsp;not&nbsp;available,98.4
1115512.EH105704_02_01990,infB,Translation&nbsp;initiation&nbsp;factor&nbsp;IF-2,98.4
1115512.EH105704_02_03070,lptD,LPS-assembly&nbsp;protein&nbsp;LptD,98.4
1115512.EH105704_16_00580,ydcK,annotation&nbsp;not&nbsp;available,98.4
1115512.EH105704_13_00430,rplM,50S&nbsp;ribosomal&nbsp;protein&nbsp;L13,98.4
1115512.EH105704_07_01130,ftsX,Cell&nbsp;division&nbsp;protein&nbsp;FtsX,98.4
1115512.EH105704_03_01540,fliA,RNA&nbsp;polymerase&nbsp;sigma&nbsp;factor&nbsp;FliA,98.4
1115512.EH105704_10_00630,GAB52956.1,Methionine&nbsp;import&nbsp;ATP-binding&nbsp;protein&nbsp;MetN,98.4
1115512.EH105704_29_00040,GAB54089.1,annotation&nbsp;not&nbsp;available,98.3
1115512.EH105704_06_00030,tolB,Protein&nbsp;TolB,98.3
1115512.EH105704_01_00400,sufS,Cysteine&nbsp;desulfurase,98.3
1115512.EH105704_03_02430,rpmF,annotation&nbsp;not&nbsp;available,98.2
1115512.EH105704_01_07880,ccmE,Cytochrome&nbsp;c-type&nbsp;biogenesis&nbsp;protein&nbsp;CcmE,98.2
1115512.EH105704_02_05090,ftsB,Cell&nbsp;division&nbsp;protein&nbsp;FtsB,98.2
1115512.EH105704_11_00660,narK,annotation&nbsp;not&nbsp;available,98.2
1115512.EH105704_02_00610,aspA,annotation&nbsp;not&nbsp;available,98.2
1115512.EH105704_03_02260,flgE,annotation&nbsp;not&nbsp;available,98.1
1115512.EH105704_18_00550,yfiF,annotation&nbsp;not&nbsp;available,98.1
1115512.EH105704_03_00750,hisH,Imidazole&nbsp;glycerol&nbsp;phosphate&nbsp;synthase&nbsp;subunit&nbsp;HisH,98.1
1115512.EH105704_24_00140,GAB53936.1,annotation&nbsp;not&nbsp;available,98.1
1115512.EH105704_04_02200,atpI,annotation&nbsp;not&nbsp;available,98.1
1115512.EH105704_17_00710,ilvG,annotation&nbsp;not&nbsp;available,98.1
1115512.EH105704_01_05710,yehU,annotation&nbsp;not&nbsp;available,98.0
1115512.EH105704_24_00300,gpt,Xanthine&nbsp;phosphoribosyltransferase,98.0
1115512.EH105704_07_00380,frlC,annotation&nbsp;not&nbsp;available,98.0
1115512.EH105704_01_04540,aspC,annotation&nbsp;not&nbsp;available,98.0
1115512.EH105704_01_00420,sufC,annotation&nbsp;not&nbsp;available,98.0
1115512.EH105704_01_01880,potA,Spermidine/putrescine&nbsp;import&nbsp;ATP-binding&nbsp;protein&nbsp;PotA,98.0
1115512.EH105704_06_01080,fepB,annotation&nbsp;not&nbsp;available,97.9
1115512.EH105704_02_02580,mog,annotation&nbsp;not&nbsp;available,97.9
1115512.EH105704_02_03190,thiP,annotation&nbsp;not&nbsp;available,97.9
1115512.EH105704_03_00610,GAB51557.1,annotation&nbsp;not&nbsp;available,97.9
1115512.EH105704_31_00040,aceA,annotation&nbsp;not&nbsp;available,97.8
1115512.EH105704_27_00130,zntR,annotation&nbsp;not&nbsp;available,97.8
1115512.EH105704_03_00240,glnP,annotation&nbsp;not&nbsp;available,97.8
1115512.EH105704_18_00150,gsk,annotation&nbsp;not&nbsp;available,97.8
1115512.EH105704_24_00340,proA,Gamma-glutamyl&nbsp;phosphate&nbsp;reductase,97.8
1115512.EH105704_01_00640,pheS,annotation&nbsp;not&nbsp;available,97.7
1115512.EH105704_02_00840,frdC,Fumarate&nbsp;reductase&nbsp;subunit&nbsp;C,97.7
1115512.EH105704_02_04580,ppdA,annotation&nbsp;not&nbsp;available,97.6
1115512.EH105704_02_02570,GAB51228.1,Transaldolase,97.6
1115512.EH105704_03_00530,wcaL,annotation&nbsp;not&nbsp;available,97.5
1115512.EH105704_12_00950,GAB53208.1,annotation&nbsp;not&nbsp;available,97.4
1115512.EH105704_22_00100,GAB53851.1,annotation&nbsp;not&nbsp;available,97.4
1115512.EH105704_09_00890,cdsA,annotation&nbsp;not&nbsp;available,97.4
1115512.EH105704_01_00070,gst,annotation&nbsp;not&nbsp;available,97.4
1115512.EH105704_01_06710,ada,annotation&nbsp;not&nbsp;available,97.4
1115512.EH105704_04_01560,GAB51912.1,annotation&nbsp;not&nbsp;available,97.3
1115512.EH105704_04_01490,GAB51905.1,annotation&nbsp;not&nbsp;available,97.3
1115512.EH105704_11_00620,GAB53065.1,annotation&nbsp;not&nbsp;available,97.3
1115512.EH105704_01_03100,manY,annotation&nbsp;not&nbsp;available,97.3
1115512.EH105704_02_01720,kdsC,3-deoxy-D-manno-octulosonate&nbsp;8-phosphate&nbsp;phosphatase&nbsp;KdsC,97.3
1115512.EH105704_01_05660,thiD,annotation&nbsp;not&nbsp;available,97.2
1115512.EH105704_04_01950,dnaN,Beta&nbsp;sliding&nbsp;clamp,97.2
1115512.EH105704_02_04060,ygfY,annotation&nbsp;not&nbsp;available,97.2
1115512.EH105704_02_02330,GAB51204.1,annotation&nbsp;not&nbsp;available,97.2
1115512.EH105704_02_00150,acs,Acetyl-coenzyme&nbsp;A&nbsp;synthetase,97.1
1115512.EH105704_09_00290,GAB52804.1,annotation&nbsp;not&nbsp;available,97.1
1115512.EH105704_12_00370,sapF,annotation&nbsp;not&nbsp;available,97.1
1115512.EH105704_02_03780,GAB51349.1,annotation&nbsp;not&nbsp;available,97.1
1115512.EH105704_01_07310,nuoE,annotation&nbsp;not&nbsp;available,97.1
1115512.EH105704_01_08900,ydbC,annotation&nbsp;not&nbsp;available,97.1
1115512.EH105704_01_05700,yehT,annotation&nbsp;not&nbsp;available,97.1
1115512.EH105704_08_00460,rpoZ,DNA-directed&nbsp;RNA&nbsp;polymerase&nbsp;subunit&nbsp;omega,97.0
1115512.EH105704_20_00170,GAB53758.1,annotation&nbsp;not&nbsp;available,97.0
1115512.EH105704_09_00880,uppS,"Ditrans,polycis-undecaprenyl-diphosphate&nbsp;synthase&nbsp;((2E,6E)-farnesyl-diphosphate&nbsp;specific)",96.9
1115512.EH105704_01_07630,usg,annotation&nbsp;not&nbsp;available,96.9
1115512.EH105704_12_00400,sapB,annotation&nbsp;not&nbsp;available,96.9
1115512.EH105704_04_01960,dnaA,Chromosomal&nbsp;replication&nbsp;initiator&nbsp;protein&nbsp;DnaA,96.9
1115512.EH105704_01_03980,otsB,Trehalose&nbsp;6-phosphate&nbsp;phosphatase,96.9
1115512.EH105704_02_02010,truB,tRNA&nbsp;pseudouridine&nbsp;synthase&nbsp;B,96.8
1115512.EH105704_03_00550,galF,annotation&nbsp;not&nbsp;available,96.8
1115512.EH105704_05_01420,GAB52136.1,annotation&nbsp;not&nbsp;available,96.7
1115512.EH105704_18_00290,glrK,annotation&nbsp;not&nbsp;available,96.7
1115512.EH105704_04_01340,fdhD,Sulfur&nbsp;carrier&nbsp;protein&nbsp;FdhD,96.7
1115512.EH105704_17_00560,rho,Transcription&nbsp;termination&nbsp;factor&nbsp;Rho,96.7
1115512.EH105704_18_00220,apt,Adenine&nbsp;phosphoribosyltransferase,96.7
1115512.EH105704_05_01380,ulaA,annotation&nbsp;not&nbsp;available,96.7
