1207075.PputUW4_03147,AFY20342.1,Spermidine/putrescine&nbsp;import&nbsp;ATP-binding&nbsp;protein&nbsp;PotA,98.9
1207075.PputUW4_03118,glcE,Glycolate&nbsp;oxidase&nbsp;FAD&nbsp;binding&nbsp;subunit&nbsp;GlcE,98.9
1207075.PputUW4_02826,AFY20021.1,Spermine/spermidine&nbsp;synthase&nbsp;family&nbsp;protein,98.8
1207075.PputUW4_04900,birA,Bifunctional&nbsp;ligase/repressor&nbsp;BirA,98.7
1207075.PputUW4_02908,AFY20103.1,Spermidine/putrescine&nbsp;transport&nbsp;system&nbsp;substrate-binding&nbsp;protein,98.7
1207075.PputUW4_01536,AFY18741.1,annotation&nbsp;not&nbsp;available,98.6
1207075.PputUW4_03725,minC,Probable&nbsp;septum&nbsp;site-determining&nbsp;protein&nbsp;MinC,98.5
1207075.PputUW4_04291,tolB,Protein&nbsp;TolB,98.5
1207075.PputUW4_03065,moaD1,Molybdopterin&nbsp;synthase&nbsp;sulfur&nbsp;carrier&nbsp;subunit,98.5
1207075.PputUW4_02942,AFY20137.1,[C]&nbsp;COG1012&nbsp;NAD-dependent&nbsp;aldehyde&nbsp;dehydrogenases,98.5
1207075.PputUW4_03108,AFY20303.1,"[E]&nbsp;COG1176&nbsp;ABC-type&nbsp;spermidine/putrescine&nbsp;transport&nbsp;system,&nbsp;permease&nbsp;component&nbsp;I",98.4
1207075.PputUW4_04286,nadA,Quinolinate&nbsp;synthase&nbsp;A,98.4
1207075.PputUW4_00448,AFY17656.1,Uncharacterized&nbsp;protein,98.4
1207075.PputUW4_05244,AFY22433.1,annotation&nbsp;not&nbsp;available,98.4
1207075.PputUW4_01662,mhpE,4-hydroxy-2-oxovalerate&nbsp;aldolase,98.3
1207075.PputUW4_01190,AFY18397.1,[I]&nbsp;COG2084&nbsp;3-hydroxyisobutyrate&nbsp;dehydrogenase&nbsp;and&nbsp;related&nbsp;beta-hydroxyacid&nbsp;dehydrogenases,98.3
1207075.PputUW4_04168,AFY21360.1,"6,7-dimethyl-8-ribityllumazine&nbsp;synthase",98.3
1207075.PputUW4_03450,leuD,3-isopropylmalate&nbsp;dehydratase&nbsp;small&nbsp;subunit,98.3
1207075.PputUW4_03283,AFY20478.1,"[NU]&nbsp;COG2165&nbsp;Type&nbsp;II&nbsp;secretory&nbsp;pathway,&nbsp;pseudopilin&nbsp;PulG",98.3
1207075.PputUW4_04941,glpE,Thiosulfate&nbsp;sulfurtransferase&nbsp;GlpE,98.3
1207075.PputUW4_04979,bioD,ATP-dependent&nbsp;dethiobiotin&nbsp;synthetase&nbsp;BioD,98.2
1207075.PputUW4_01452,dgt,Deoxyguanosinetriphosphate&nbsp;triphosphohydrolase-like&nbsp;protein,98.2
1207075.PputUW4_01393,kdpC,Potassium-transporting&nbsp;ATPase&nbsp;KdpC&nbsp;subunit,98.1
1207075.PputUW4_03381,citB,annotation&nbsp;not&nbsp;available,98.1
1207075.PputUW4_00060,metI1,"[P]&nbsp;COG2011&nbsp;ABC-type&nbsp;metal&nbsp;ion&nbsp;transport&nbsp;system,&nbsp;permease&nbsp;component",98.1
1207075.PputUW4_01183,AFY18390.1,"[E]&nbsp;COG0410&nbsp;ABC-type&nbsp;branched-chain&nbsp;amino&nbsp;acid&nbsp;transport&nbsp;systems,&nbsp;ATPase&nbsp;component",98.1
1207075.PputUW4_04024,moaA2,Molybdenum&nbsp;cofactor&nbsp;biosynthesis&nbsp;protein&nbsp;A,98.1
