1282361.ABAC402_18835,ESQ73530.1,Histidine&nbsp;kinase,98.9
1282361.ABAC402_08405,ESQ75537.1,Pyruvate&nbsp;kinase,98.9
1282361.ABAC402_13395,pyrB,Aspartate&nbsp;carbamoyltransferase,98.9
1282361.ABAC402_14525,ESQ74345.1,"1,4-beta-D-glucan&nbsp;glucohydrolase",98.9
1282361.ABAC402_15770,ESQ74108.1,Uncharacterized&nbsp;protein,98.7
1282361.ABAC402_13975,ESQ74422.1,Uncharacterized&nbsp;protein,98.7
1282361.ABAC402_19080,ESQ73481.1,ADP-ribose&nbsp;pyrophosphatase,98.6
1282361.ABAC402_09540,ESQ75338.1,Uncharacterized&nbsp;protein,98.5
1282361.ABAC402_15815,ESQ74116.1,Uncharacterized&nbsp;protein,98.5
1282361.ABAC402_02000,ESQ77198.1,Uncharacterized&nbsp;protein,98.5
1282361.ABAC402_13000,purQ,Phosphoribosylformylglycinamidine&nbsp;synthase&nbsp;subunit&nbsp;PurQ,98.5
1282361.ABAC402_16765,ESQ73900.1,Uncharacterized&nbsp;protein,98.5
1282361.ABAC402_00505,ESQ77641.1,Uncharacterized&nbsp;protein,98.4
1282361.ABAC402_11405,ESQ75003.1,Molybdenum&nbsp;ABC&nbsp;transporter&nbsp;permease,98.4
1282361.ABAC402_04070,ESQ76847.1,Uncharacterized&nbsp;protein,98.3
1282361.ABAC402_07655,ESQ75832.1,Sulfotransferase,98.3
1282361.ABAC402_01230,ESQ77452.1,Uncharacterized&nbsp;protein,98.2
1282361.ABAC402_05090,ESQ76252.1,Histidine&nbsp;kinase,98.1
1282361.ABAC402_18055,ESQ73692.1,Molecular&nbsp;chaperone&nbsp;DnaJ,98.0
1282361.ABAC402_12080,ESQ74885.1,Uncharacterized&nbsp;protein,97.9
1282361.ABAC402_15235,ESQ74317.1,Uncharacterized&nbsp;protein,97.9
1282361.ABAC402_09635,ESQ75356.1,Catalyzes&nbsp;the&nbsp;formation&nbsp;of&nbsp;5-aminolevulinate&nbsp;from&nbsp;succinyl-CoA&nbsp;and&nbsp;glycine,97.9
1282361.ABAC402_12695,proC,Pyrroline-5-carboxylate&nbsp;reductase,97.6
1282361.ABAC402_03860,ESQ76806.1,Methyltransferase,97.6
1282361.ABAC402_07220,ESQ75748.1,"Glucan&nbsp;1,4-alpha-glucosidase",97.5
1282361.ABAC402_17265,glgB,"1,4-alpha-glucan&nbsp;branching&nbsp;enzyme&nbsp;GlgB",97.5
1282361.ABAC402_06695,ESQ76132.1,Peptidylprolyl&nbsp;isomerase,97.5
1282361.ABAC402_13380,plsY,Glycerol-3-phosphate&nbsp;acyltransferase,97.5
1282361.ABAC402_18265,ESQ73637.1,Efflux&nbsp;pump&nbsp;membrane&nbsp;transporter,97.5
1282361.ABAC402_11400,ESQ75002.1,ABC&nbsp;transporter,97.5
1282361.ABAC402_13845,efp,Elongation&nbsp;factor&nbsp;P,97.5
1282361.ABAC402_18110,ESQ73661.1,XRE&nbsp;family&nbsp;transcriptional&nbsp;regulator,97.5
1282361.ABAC402_13585,ESQ74515.1,Uncharacterized&nbsp;protein,97.4
1282361.ABAC402_15940,ESQ74140.1,Uncharacterized&nbsp;protein,97.4
1282361.ABAC402_10405,ESQ75071.1,Uncharacterized&nbsp;protein,97.3
1282361.ABAC402_05370,rpoZ,DNA-directed&nbsp;RNA&nbsp;polymerase&nbsp;subunit&nbsp;omega,97.3
1282361.ABAC402_04990,ESQ76459.1,Exopolyphosphatase,97.3
1282361.ABAC402_17430,ESQ73828.1,Polyphosphate&nbsp;kinase,97.3
1282361.ABAC402_03555,adk,Adenylate&nbsp;kinase,97.1
1282361.ABAC402_01785,ESQ77155.1,Uncharacterized&nbsp;protein,97.1
1282361.ABAC402_19215,ESQ73454.1,Chemotaxis&nbsp;protein&nbsp;CheY,97.1
1282361.ABAC402_08475,ftsA,Cell&nbsp;division&nbsp;protein&nbsp;FtsA,97.0
1282361.ABAC402_12255,atpD,ATP&nbsp;synthase&nbsp;subunit&nbsp;beta,97.0
1282361.ABAC402_08115,ESQ75919.1,Histidine&nbsp;kinase,96.9
1282361.ABAC402_08935,ESQ75640.1,Sulfate-transporting&nbsp;ATPase,96.8
1282361.ABAC402_14515,ESQ74343.1,Ketohydroxyglutarate&nbsp;aldolase,96.8
1282361.ABAC402_00980,ESQ77736.1,Histidine&nbsp;kinase,96.8
1282361.ABAC402_04010,ESQ76835.1,Phosphoglycolate&nbsp;phosphatase,96.8
1282361.ABAC402_01950,ESQ77188.1,Helicase,96.7
1282361.ABAC402_03910,ESQ76816.1,Uncharacterized&nbsp;protein,96.7
1282361.ABAC402_04845,ESQ76431.1,Penicillin-binding&nbsp;protein&nbsp;1A,96.6
1282361.ABAC402_09495,ESQ75329.1,Histidine&nbsp;kinase,96.6
1282361.ABAC402_16820,ESQ73911.1,Amidase,96.4
1282361.ABAC402_05250,ESQ76281.1,ATP-dependent&nbsp;helicase,96.4
1282361.ABAC402_16770,ESQ73901.1,Uncharacterized&nbsp;protein,96.3
1282361.ABAC402_10815,ESQ75152.1,Uncharacterized&nbsp;protein,96.2
1282361.ABAC402_09105,ESQ75673.1,Alpha-L-arabinofuranosidase,96.2
1282361.ABAC402_01600,ESQ77118.1,Uncharacterized&nbsp;protein,96.2
1282361.ABAC402_12505,ESQ74720.1,Ureidoglycolate&nbsp;lyase,96.2
1282361.ABAC402_12010,ESQ74871.1,Succinate&nbsp;dehydrogenase,96.2
1282361.ABAC402_01315,ESQ77469.1,Uncharacterized&nbsp;protein,96.2
1282361.ABAC402_17190,ESQ73883.1,YjgP/YjgQ&nbsp;family&nbsp;permease,96.2
1282361.ABAC402_03300,ESQ76715.1,"Xylan&nbsp;1,4-beta-xylosidase",96.1
1282361.ABAC402_01555,ESQ77110.1,Uncharacterized&nbsp;protein,96.1
1282361.ABAC402_01165,ESQ77434.1,Phosphate-binding&nbsp;protein&nbsp;PstS,96.1
1282361.ABAC402_14730,thrS,Threonine--tRNA&nbsp;ligase,96.1
1282361.ABAC402_02940,xseB,Exodeoxyribonuclease&nbsp;7&nbsp;small&nbsp;subunit,96.1
1282361.ABAC402_05225,rpoC,DNA-directed&nbsp;RNA&nbsp;polymerase&nbsp;subunit&nbsp;beta',95.9
1282361.ABAC402_14670,pgk,Phosphoglycerate&nbsp;kinase,95.9
1282361.ABAC402_12865,ESQ74791.1,Ubiquinol-cytochrome&nbsp;c&nbsp;reductase&nbsp;iron-sulfur&nbsp;subunit,95.9
1282361.ABAC402_00150,ESQ77572.1,Cobalt&nbsp;chelatase,95.9
1282361.ABAC402_15260,ESQ74164.1,Carbohydrate&nbsp;kinase,95.9
1282361.ABAC402_14385,ESQ74412.1,Lipopolysaccharide&nbsp;biosynthesis&nbsp;protein,95.9
1282361.ABAC402_04300,ESQ76325.1,Uncharacterized&nbsp;protein,95.8
1282361.ABAC402_01370,ESQ77417.1,DNA&nbsp;polymerase&nbsp;III&nbsp;subunit&nbsp;epsilon,95.8
1282361.ABAC402_15345,ESQ74180.1,Uncharacterized&nbsp;protein,95.8
1282361.ABAC402_12980,ESQ74667.1,Uncharacterized&nbsp;protein,95.7
1282361.ABAC402_11440,dnaE2,Error-prone&nbsp;DNA&nbsp;polymerase,95.7
1282361.ABAC402_02515,nadD,Probable&nbsp;nicotinate-nucleotide&nbsp;adenylyltransferase,95.7
1282361.ABAC402_16595,ESQ73984.1,Uncharacterized&nbsp;protein,95.6
1282361.ABAC402_07320,glmS,Glutamine--fructose-6-phosphate&nbsp;aminotransferase&nbsp;[isomerizing],95.5
1282361.ABAC402_10030,rpmF,50S&nbsp;ribosomal&nbsp;protein&nbsp;L32,95.5
1282361.ABAC402_09005,ESQ75654.1,Bifunctional&nbsp;protein&nbsp;PutA,95.5
1282361.ABAC402_00435,ESQ77542.1,Cysteine&nbsp;synthase,95.5
1282361.ABAC402_11050,ESQ75199.1,Uncharacterized&nbsp;protein,95.4
1282361.ABAC402_12020,ESQ74873.1,Succinate&nbsp;dehydrogenase&nbsp;flavoprotein&nbsp;subunit,95.4
1282361.ABAC402_07285,ESQ75761.1,Aminotransferase,95.4
1282361.ABAC402_16455,ESQ73957.1,Uncharacterized&nbsp;protein,95.4
1282361.ABAC402_09985,ESQ75419.1,Anthranilate&nbsp;synthase,95.3
1282361.ABAC402_06380,ESQ76069.1,MFS&nbsp;transporter,95.3
1282361.ABAC402_03500,rplN,50S&nbsp;ribosomal&nbsp;protein&nbsp;L14,95.3
1282361.ABAC402_17045,ESQ73856.1,Alanine&nbsp;racemase,95.3
1282361.ABAC402_02635,ESQ76588.1,2-dehydro-3-deoxy-6-phosphogalactonate&nbsp;aldolase,95.2
1282361.ABAC402_06820,ESQ76157.1,Chemotaxis&nbsp;protein&nbsp;CheR,95.2
1282361.ABAC402_16610,ESQ73987.1,Uncharacterized&nbsp;protein,95.1
1282361.ABAC402_10455,ESQ75081.1,L-threonine&nbsp;aldolase,95.1
1282361.ABAC402_14835,ESQ74239.1,3-oxoacyl-ACP&nbsp;synthase,95.0
1282361.ABAC402_01760,secA,Protein&nbsp;translocase&nbsp;subunit&nbsp;SecA,95.0
1282361.ABAC402_05445,ESQ76201.1,Uncharacterized&nbsp;protein,95.0
1282361.ABAC402_07945,secB,Protein-export&nbsp;protein&nbsp;SecB,95.0
1282361.ABAC402_02975,ESQ76655.1,Lipase,94.9
1282361.ABAC402_16775,ESQ73902.1,Uncharacterized&nbsp;protein,94.9
1282361.ABAC402_05465,lon,Lon&nbsp;protease,94.9
1282361.ABAC402_16265,ESQ74051.1,Uncharacterized&nbsp;protein,94.9
1282361.ABAC402_00930,ESQ77726.1,Transcriptional&nbsp;initiation&nbsp;protein&nbsp;Tat,94.9
1282361.ABAC402_12805,ESQ74779.1,Uncharacterized&nbsp;protein,94.9
1282361.ABAC402_08230,dnaG,DNA&nbsp;primase,94.9
