768670.Calni_0095,Calni_0095,RNA&nbsp;binding&nbsp;S1&nbsp;domain&nbsp;protein,98.6
768670.Calni_1227,Calni_1227,3-oxoacyl-[acyl-carrier-protein]&nbsp;synthase&nbsp;2,98.5
768670.Calni_0329,pheT,COGs:&nbsp;COG0072&nbsp;Phenylalanyl-tRNA&nbsp;synthetase&nbsp;beta&nbsp;subunit,98.4
768670.Calni_0241,hppA,Putative&nbsp;K(+)-stimulated&nbsp;pyrophosphate-energized&nbsp;sodium&nbsp;pump,98.4
768670.Calni_1587,atpD,ATP&nbsp;synthase&nbsp;subunit&nbsp;beta,98.1
768670.Calni_0349,Calni_0349,AMP-dependent&nbsp;synthetase&nbsp;and&nbsp;ligase,98.0
768670.Calni_1731,Calni_1731,Peptidoglycan&nbsp;glycosyltransferase,97.9
768670.Calni_2032,groL,60&nbsp;kDa&nbsp;chaperonin,97.6
768670.Calni_0619,Calni_0619,Aminotransferase&nbsp;class&nbsp;V,97.6
768670.Calni_0819,Calni_0819,COGs:&nbsp;COG2993&nbsp;Cbb3-type&nbsp;cytochrome&nbsp;oxidase&nbsp;cytochrome&nbsp;c&nbsp;subunit,97.5
768670.Calni_0099,Calni_0099,COGs:&nbsp;COG0840&nbsp;Methyl-accepting&nbsp;chemotaxis&nbsp;protein,97.3
768670.Calni_1471,atpE,ATP&nbsp;synthase&nbsp;subunit&nbsp;c,97.3
768670.Calni_0655,Calni_0655,COGs:&nbsp;COG0840&nbsp;Methyl-accepting&nbsp;chemotaxis&nbsp;protein,97.3
768670.Calni_0110,Calni_0110,COGs:&nbsp;COG1763&nbsp;Molybdopterin-guanine&nbsp;dinucleotide&nbsp;biosynthesis&nbsp;protein,97.2
768670.Calni_1007,Calni_1007,"Dihydroorotate&nbsp;oxidase&nbsp;B,&nbsp;electron&nbsp;transfer&nbsp;subunit",97.2
768670.Calni_0321,nuoI,NADH-quinone&nbsp;oxidoreductase&nbsp;subunit&nbsp;I,97.1
768670.Calni_0098,Calni_0098,COGs:&nbsp;COG1969&nbsp;Ni&nbsp;Fe-hydrogenase&nbsp;I&nbsp;cytochrome&nbsp;b&nbsp;subunit,96.9
768670.Calni_0744,glyQ,COGs:&nbsp;COG0752&nbsp;Glycyl-tRNA&nbsp;synthetase&nbsp;alpha&nbsp;subunit,96.9
768670.Calni_1225,Calni_1225,3-oxoacyl-(Acyl-carrier-protein)&nbsp;reductase,96.5
