1440774.Y900_019050,KDF00973.1,Uncharacterized&nbsp;protein,98.9
1440774.Y900_021540,KDF01445.1,Sulfotransferase,98.9
1440774.Y900_003450,KDE98021.1,Uncharacterized&nbsp;protein,98.9
1440774.Y900_003980,KDE98123.1,LuxR&nbsp;family&nbsp;transcriptional&nbsp;regulator,98.9
1440774.Y900_002555,lexA,LexA&nbsp;repressor,98.9
1440774.Y900_023555,KDF01824.1,Uncharacterized&nbsp;protein,98.9
1440774.Y900_003990,gatB,Aspartyl/glutamyl-tRNA(Asn/Gln)&nbsp;amidotransferase&nbsp;subunit&nbsp;B,98.9
1440774.Y900_000675,KDE97479.1,Uncharacterized&nbsp;protein,98.9
1440774.Y900_006530,purE,N5-carboxyaminoimidazole&nbsp;ribonucleotide&nbsp;mutase,98.9
1440774.Y900_012855,KDE99801.1,Protein-glutamate&nbsp;O-methyltransferase,98.8
1440774.Y900_025935,KDF02282.1,Molybdate-binding&nbsp;protein,98.8
1440774.Y900_007920,KDE98876.1,Long-chain&nbsp;fatty&nbsp;acid--CoA&nbsp;ligase,98.8
1440774.Y900_004455,KDE98213.1,NAD-dependent&nbsp;dehydratase,98.8
1440774.Y900_006820,KDE98661.1,UDP-glucose&nbsp;4-epimerase,98.7
1440774.Y900_010470,KDE99356.1,Acyl-CoA&nbsp;dehydrogenase,98.7
1440774.Y900_007105,KDE98718.1,Uncharacterized&nbsp;protein,98.7
1440774.Y900_002200,KDE97775.1,Uncharacterized&nbsp;protein,98.7
1440774.Y900_007955,KDE98883.1,Pyridine&nbsp;nucleotide-disulfide&nbsp;oxidoreductase,98.7
1440774.Y900_014145,KDF00049.1,1-phosphofructokinase,98.7
1440774.Y900_000580,ileS,Isoleucine--tRNA&nbsp;ligase,98.7
1440774.Y900_010300,KDE99322.1,ArsR&nbsp;family&nbsp;transcriptional&nbsp;regulator,98.7
1440774.Y900_007695,rpsD,30S&nbsp;ribosomal&nbsp;protein&nbsp;S4,98.6
1440774.Y900_010745,ftsH,ATP-dependent&nbsp;zinc&nbsp;metalloprotease&nbsp;FtsH,98.6
1440774.Y900_008370,KDE98963.1,ATP-dependent&nbsp;DNA&nbsp;helicase,98.6
1440774.Y900_000460,KDE97438.1,Nitrite&nbsp;reductase,98.6
1440774.Y900_001655,KDE97672.1,Cyclophilin,98.6
1440774.Y900_003205,KDE97972.1,Glutamine&nbsp;synthetase,98.6
1440774.Y900_015115,KDF00232.1,Siderophore&nbsp;biosynthesis&nbsp;protein,98.6
1440774.Y900_014810,KDF00175.1,Propanediol&nbsp;dehydratase,98.5
1440774.Y900_009410,KDE99163.1,Short-chain&nbsp;dehydrogenase,98.5
1440774.Y900_029170,KDE97324.1,Uncharacterized&nbsp;protein,98.5
1440774.Y900_022725,KDF01668.1,ABC&nbsp;transporter&nbsp;permease,98.4
1440774.Y900_010675,KDE99396.1,NDP-hexose&nbsp;4-ketoreductase,98.4
1440774.Y900_011805,KDE99604.1,Acyl-CoA&nbsp;dehydrogenase,98.4
1440774.Y900_013435,KDE99910.1,Penicillin-binding&nbsp;protein,98.4
1440774.Y900_015695,KDF00346.1,Uncharacterized&nbsp;protein,98.4
1440774.Y900_024975,KDF02094.1,Uncharacterized&nbsp;protein,98.4
1440774.Y900_014610,KDF00138.1,Uncharacterized&nbsp;protein,98.4
1440774.Y900_010490,KDE99360.1,3-hydroxybutyrate&nbsp;dehydrogenase,98.4
1440774.Y900_008240,KDE98938.1,Peptidase&nbsp;S1,98.3
1440774.Y900_009345,KDE99150.1,Enoyl-CoA&nbsp;hydratase,98.3
1440774.Y900_027875,KDE97110.1,Uncharacterized&nbsp;protein,98.3
1440774.Y900_007725,KDE98840.1,Histidine&nbsp;kinase,98.3
1440774.Y900_003105,KDE97954.1,Cobalt&nbsp;ABC&nbsp;transporter&nbsp;ATP-binding&nbsp;protein,98.3
1440774.Y900_002905,truB,tRNA&nbsp;pseudouridine&nbsp;synthase&nbsp;B,98.3
1440774.Y900_022650,KDF01653.1,Uncharacterized&nbsp;protein,98.3
1440774.Y900_019860,KDF01129.1,Fatty-acid--CoA&nbsp;ligase,98.2
1440774.Y900_016380,KDF00477.1,Molybdopterin&nbsp;molybdenumtransferase,98.2
1440774.Y900_010545,KDE99370.1,ABC&nbsp;transporter&nbsp;substrate-binding&nbsp;protein,98.2
1440774.Y900_018125,KDF00797.1,Dihydrodipicolinate&nbsp;reductase,98.2
1440774.Y900_025840,KDF02263.1,Amidase,98.2
1440774.Y900_009800,KDE99231.1,GTP&nbsp;pyrophosphokinase,98.2
1440774.Y900_001770,KDE97695.1,Molybdopterin&nbsp;oxidoreductase,98.2
1440774.Y900_016150,thiE,Thiamine-phosphate&nbsp;synthase,98.2
1440774.Y900_004750,KDE98268.1,3-alpha-hydroxysteroid&nbsp;dehydrogenase,98.2
1440774.Y900_002295,KDE97794.1,Acetyltransferase,98.1
1440774.Y900_025125,KDF02122.1,Uncharacterized&nbsp;protein,98.1
1440774.Y900_007950,metG,Methionine--tRNA&nbsp;ligase,98.0
1440774.Y900_000840,KDE97512.1,NADPH--quinone&nbsp;reductase,98.0
1440774.Y900_006995,KDE98696.1,ABC&nbsp;transporter&nbsp;substrate-binding&nbsp;protein,98.0
1440774.Y900_010435,KDE99349.1,Alcohol&nbsp;dehydrogenase,98.0
1440774.Y900_002800,KDE97894.1,Dihydrofolate&nbsp;reductase,98.0
1440774.Y900_026010,KDF02297.1,Fur&nbsp;family&nbsp;transcriptional&nbsp;regulator,98.0
1440774.Y900_021505,KDF01439.1,Transcriptional&nbsp;regulator,98.0
1440774.Y900_027130,KDE96980.1,Alpha/beta&nbsp;hydrolase,97.9
1440774.Y900_012005,KDE99640.1,Aminotransferase,97.9
1440774.Y900_007125,KDE98722.1,Dehydratase,97.9
1440774.Y900_029020,KDE97300.1,"Protocatechuate&nbsp;3,4-dioxygenase",97.9
1440774.Y900_013350,KDE99896.1,6-phosphogluconate&nbsp;dehydrogenase,97.9
1440774.Y900_016555,KDF00511.1,4-carboxymuconolactone&nbsp;decarboxylase,97.9
1440774.Y900_016285,KDF00460.1,Superoxide&nbsp;dismutase&nbsp;[Cu-Zn],97.8
1440774.Y900_011360,egtE,Probable&nbsp;hercynylcysteine&nbsp;sulfoxide&nbsp;lyase,97.8
1440774.Y900_016205,KDF00444.1,Monooxygenase,97.8
1440774.Y900_019355,KDF01030.1,1-pyrroline-5-carboxylate&nbsp;dehydrogenase,97.8
1440774.Y900_023755,KDF01863.1,6-phosphogluconate&nbsp;dehydrogenase,97.7
1440774.Y900_002725,KDE97880.1,CDP-diacylglycerol--glycerol-3-phosphate&nbsp;3-phosphatidyltransferase,97.7
1440774.Y900_002750,KDE97884.1,3-ketoacyl-ACP&nbsp;reductase,97.7
1440774.Y900_011715,KDE99588.1,Uncharacterized&nbsp;protein,97.7
1440774.Y900_000225,KDE97393.1,tRNA&nbsp;(adenine(58)-N(1))-methyltransferase&nbsp;TrmI,97.7
1440774.Y900_020835,KDF01314.1,Enoyl-CoA&nbsp;hydratase,97.7
1440774.Y900_013925,KDF00006.1,GNAT&nbsp;family&nbsp;acetyltransferase,97.7
1440774.Y900_002980,KDE97929.1,Uncharacterized&nbsp;protein,97.6
1440774.Y900_004185,KDE98164.1,ABC&nbsp;transporter&nbsp;permease,97.6
1440774.Y900_006620,KDE98623.1,Glucose-1-phosphate&nbsp;cytidylyltransferase,97.6
1440774.Y900_014090,KDF00039.1,FAD-dependent&nbsp;oxidoreductase,97.6
1440774.Y900_020545,KDF01259.1,3-hydroxy-2-methylbutyryl-CoA&nbsp;dehydrogenase,97.6
1440774.Y900_014885,KDF00189.1,Acetyl-CoA&nbsp;acetyltransferase,97.5
1440774.Y900_012410,KDE99717.1,Uncharacterized&nbsp;protein,97.5
1440774.Y900_001430,KDE97628.1,Acyl-CoA&nbsp;dehydrogenase,97.5
1440774.Y900_014095,KDF00040.1,Uncharacterized&nbsp;protein,97.5
1440774.Y900_006000,htpG,Chaperone&nbsp;protein&nbsp;HtpG,97.5
1440774.Y900_005845,KDE98474.1,AMP-dependent&nbsp;synthetase,97.4
1440774.Y900_010050,KDE99277.1,Uncharacterized&nbsp;protein,97.4
1440774.Y900_011015,KDE99459.1,Copper&nbsp;oxidase,97.4
1440774.Y900_012200,KDE99679.1,UDP-galactopyranose&nbsp;mutase,97.3
1440774.Y900_005590,KDE98424.1,Quinone&nbsp;oxidoreductase,97.3
1440774.Y900_006135,KDE98529.1,Molybdopterin&nbsp;biosynthesis-like&nbsp;protein&nbsp;MoeZ,97.3
1440774.Y900_015300,tam,Trans-aconitate&nbsp;2-methyltransferase,97.3
1440774.Y900_019980,KDF01152.1,Amine&nbsp;oxidase,97.3
1440774.Y900_013365,gyrB,DNA&nbsp;gyrase&nbsp;subunit&nbsp;B,97.2
