367336.OM2255_09366,secB,Protein-export&nbsp;protein&nbsp;SecB,98.9
367336.OM2255_13224,EAU50613.1,Sulfur&nbsp;oxidation&nbsp;protein&nbsp;SoxY,98.9
367336.OM2255_11805,EAU52040.1,"COG3839&nbsp;ABC-type&nbsp;sugar&nbsp;transport&nbsp;systems,&nbsp;ATPase&nbsp;components",98.9
367336.OM2255_05715,EAU53001.1,Uncharacterized&nbsp;protein,98.8
367336.OM2255_03042,EAU51208.1,"COG4770&nbsp;Acetyl/propionyl-CoA&nbsp;carboxylase,&nbsp;alpha&nbsp;subunit",98.7
367336.OM2255_10426,EAU52565.1,"Glycolate&nbsp;oxidase,&nbsp;GlcD&nbsp;subunit",98.7
367336.OM2255_05140,EAU52886.1,COG0626&nbsp;Cystathionine&nbsp;beta-lyases/cystathionine&nbsp;gamma-synthases,98.7
367336.OM2255_08891,EAU52258.1,Glucose-1-phosphate&nbsp;thymidylyltransferase,98.7
367336.OM2255_10675,rnhA,Ribonuclease&nbsp;H,98.7
367336.OM2255_12255,EAU52130.1,Cytochrome&nbsp;c&nbsp;oxidase&nbsp;subunit&nbsp;2,98.6
367336.OM2255_03207,EAU51241.1,COG0538&nbsp;Isocitrate&nbsp;dehydrogenases,98.6
367336.OM2255_04895,EAU52837.1,Putative&nbsp;ABC&nbsp;transport&nbsp;ATP-binding&nbsp;subunit,98.5
367336.OM2255_13299,EAU50628.1,COG0546&nbsp;Predicted&nbsp;phosphatases,98.5
367336.OM2255_06900,EAU53238.1,"COG4631&nbsp;Xanthine&nbsp;dehydrogenase,&nbsp;molybdopterin-binding&nbsp;subunit&nbsp;B",98.5
367336.OM2255_07680,lcdH,L-carnitine&nbsp;dehydrogenase,98.4
367336.OM2255_13529,EAU50674.1,"Formate&nbsp;dehydrogenase,&nbsp;beta&nbsp;subunit",98.4
367336.OM2255_05300,EAU52918.1,"Oxidoreductase,&nbsp;FAD-binding&nbsp;protein",98.4
367336.OM2255_12492,ftsZ,Cell&nbsp;division&nbsp;protein&nbsp;FtsZ,98.3
367336.OM2255_04115,EAU52681.1,"COG0646&nbsp;Methionine&nbsp;synthase&nbsp;I&nbsp;(cobalamin-dependent),&nbsp;methyltransferase&nbsp;domain",98.1
367336.OM2255_12305,apt,Adenine&nbsp;phosphoribosyltransferase,98.0
367336.OM2255_07120,EAU53282.1,COG0620&nbsp;Methionine&nbsp;synthase&nbsp;II&nbsp;(cobalamin-independent),97.9
367336.OM2255_06615,EAU53181.1,COG0334&nbsp;Glutamate&nbsp;dehydrogenase/leucine&nbsp;dehydrogenase,97.9
367336.OM2255_12622,EAU50493.1,COG4583&nbsp;Sarcosine&nbsp;oxidase&nbsp;gamma&nbsp;subunit,97.7
367336.OM2255_03222,EAU51244.1,Thioesterase&nbsp;family&nbsp;protein,97.7
367336.OM2255_05290,EAU52916.1,Uncharacterized&nbsp;protein,97.5
367336.OM2255_03527,EAU51305.1,Putative&nbsp;competence-damaged&nbsp;inducible&nbsp;protein,97.5
367336.OM2255_10705,rpoZ,DNA-directed&nbsp;RNA&nbsp;polymerase&nbsp;subunit&nbsp;omega,97.5
367336.OM2255_06525,EAU53163.1,COG1304&nbsp;L-lactate&nbsp;dehydrogenase&nbsp;(FMN-dependent)&nbsp;and&nbsp;related&nbsp;alpha-hydroxy&nbsp;acid&nbsp;dehydrogenases,97.4
367336.OM2255_04060,gcvP,Glycine&nbsp;dehydrogenase&nbsp;(decarboxylating),97.4
367336.OM2255_06145,EAU53087.1,Succinate--CoA&nbsp;ligase&nbsp;[ADP-forming]&nbsp;subunit&nbsp;beta,97.4
367336.OM2255_13102,EAU50589.1,Aconitate&nbsp;hydratase,97.3
367336.OM2255_08666,EAU52213.1,COG0742&nbsp;N6-adenine-specific&nbsp;methylase,97.3
367336.OM2255_03307,trpD,Anthranilate&nbsp;phosphoribosyltransferase,97.1
367336.OM2255_13564,glyQ,"COG0752&nbsp;Glycyl-tRNA&nbsp;synthetase,&nbsp;alpha&nbsp;subunit",97.0
367336.OM2255_12477,ddl,D-alanine--D-alanine&nbsp;ligase,97.0
367336.OM2255_04840,EAU52826.1,"COG0395&nbsp;ABC-type&nbsp;sugar&nbsp;transport&nbsp;system,&nbsp;permease&nbsp;component",96.8
367336.OM2255_10645,EAU51808.1,Putative&nbsp;aminotransferase,96.8
367336.OM2255_08070,EAU51109.1,COG1763&nbsp;Molybdopterin-guanine&nbsp;dinucleotide&nbsp;biosynthesis&nbsp;protein,96.7
367336.OM2255_12947,secD,Protein&nbsp;translocase&nbsp;subunit&nbsp;SecD,96.6
367336.OM2255_10001,EAU52480.1,Sugar&nbsp;(Ribose)&nbsp;ABC-transport&nbsp;system&nbsp;ATP&nbsp;binding&nbsp;protein,96.6
367336.OM2255_06100,EAU53078.1,COG0667&nbsp;Predicted&nbsp;oxidoreductases&nbsp;(related&nbsp;to&nbsp;aryl-alcohol&nbsp;dehydrogenases),96.6
367336.OM2255_12657,EAU50500.1,COG0708&nbsp;Exonuclease&nbsp;III,96.6
367336.OM2255_08080,fdhD,Sulfur&nbsp;carrier&nbsp;protein&nbsp;FdhD,96.6
