1392540.P256_00361,P256_00361,annotation&nbsp;not&nbsp;available,98.9
1392540.P256_00924,P256_00924,annotation&nbsp;not&nbsp;available,98.9
1392540.P256_02484,gyrB,DNA&nbsp;gyrase&nbsp;subunit&nbsp;B,98.6
1392540.P256_01933,gluQ,Glutamyl-Q&nbsp;tRNA(Asp)&nbsp;synthetase,98.5
1392540.P256_00923,P256_00923,Dihydrolipoyllysine-residue&nbsp;succinyltransferase&nbsp;component&nbsp;of&nbsp;2-oxoglutarate&nbsp;dehydrogenase&nbsp;complex,98.3
1392540.P256_00274,P256_00274,annotation&nbsp;not&nbsp;available,98.1
1392540.P256_00369,P256_00369,annotation&nbsp;not&nbsp;available,98.1
1392540.P256_01249,P256_01249,annotation&nbsp;not&nbsp;available,98.1
1392540.P256_02376,P256_02376,annotation&nbsp;not&nbsp;available,98.1
1392540.P256_01802,leuB,3-isopropylmalate&nbsp;dehydrogenase,98.0
1392540.P256_01761,rplE,50S&nbsp;ribosomal&nbsp;protein&nbsp;L5,97.9
1392540.P256_02404,znuC,Zinc&nbsp;import&nbsp;ATP-binding&nbsp;protein&nbsp;ZnuC,97.8
1392540.P256_01146,P256_01146,annotation&nbsp;not&nbsp;available,97.8
1392540.P256_01251,P256_01251,annotation&nbsp;not&nbsp;available,97.8
1392540.P256_01638,glmS,Glutamine--fructose-6-phosphate&nbsp;aminotransferase&nbsp;[isomerizing],97.6
1392540.P256_01855,gmk,Guanylate&nbsp;kinase,97.5
1392540.P256_01946,P256_01946,annotation&nbsp;not&nbsp;available,97.4
1392540.P256_00832,ftsY,Signal&nbsp;recognition&nbsp;particle&nbsp;receptor&nbsp;FtsY,97.2
1392540.P256_01985,P256_01985,annotation&nbsp;not&nbsp;available,97.1
1392540.P256_00191,P256_00191,annotation&nbsp;not&nbsp;available,96.9
1392540.P256_00894,P256_00894,annotation&nbsp;not&nbsp;available,96.8
1392540.P256_01512,P256_01512,Aminopyrimidine&nbsp;aminohydrolase,96.7
1392540.P256_00539,P256_00539,annotation&nbsp;not&nbsp;available,96.6
1392540.P256_02547,argJ,Arginine&nbsp;biosynthesis&nbsp;bifunctional&nbsp;protein&nbsp;ArgJ,96.5
1392540.P256_00463,P256_00463,Biotin&nbsp;carboxyl&nbsp;carrier&nbsp;protein&nbsp;of&nbsp;acetyl-CoA&nbsp;carboxylase,96.5
1392540.P256_00655,P256_00655,annotation&nbsp;not&nbsp;available,96.4
1392540.P256_00178,P256_00178,annotation&nbsp;not&nbsp;available,96.3
1392540.P256_00154,P256_00154,annotation&nbsp;not&nbsp;available,96.1
1392540.P256_01153,P256_01153,NADH-quinone&nbsp;oxidoreductase&nbsp;subunit&nbsp;F,96.0
1392540.P256_00519,P256_00519,annotation&nbsp;not&nbsp;available,96.0
1392540.P256_00574,rpiA,Ribose-5-phosphate&nbsp;isomerase&nbsp;A,96.0
1392540.P256_00914,P256_00914,annotation&nbsp;not&nbsp;available,95.9
1392540.P256_01938,P256_01938,annotation&nbsp;not&nbsp;available,95.8
1392540.P256_01417,P256_01417,annotation&nbsp;not&nbsp;available,95.8
1392540.P256_01991,argD,annotation&nbsp;not&nbsp;available,95.8
1392540.P256_01951,pepA,Probable&nbsp;cytosol&nbsp;aminopeptidase,95.7
1392540.P256_00764,P256_00764,annotation&nbsp;not&nbsp;available,95.5
1392540.P256_01759,rpsH,30S&nbsp;ribosomal&nbsp;protein&nbsp;S8,95.3
1392540.P256_00993,gatB,Aspartyl/glutamyl-tRNA(Asn/Gln)&nbsp;amidotransferase&nbsp;subunit&nbsp;B,95.3
1392540.P256_01795,asd,Aspartate-semialdehyde&nbsp;dehydrogenase,95.3
1392540.P256_01444,ftsI,"Peptidoglycan&nbsp;D,D-transpeptidase&nbsp;FtsI",95.3
1392540.P256_01949,P256_01949,annotation&nbsp;not&nbsp;available,95.2
1392540.P256_01340,ndk,Nucleoside&nbsp;diphosphate&nbsp;kinase,95.2
1392540.P256_00305,P256_00305,annotation&nbsp;not&nbsp;available,94.8
1392540.P256_01042,rpmI,annotation&nbsp;not&nbsp;available,94.7
1392540.P256_01760,rpsN,30S&nbsp;ribosomal&nbsp;protein&nbsp;S14,94.5
1392540.P256_00020,trpD,Anthranilate&nbsp;phosphoribosyltransferase,94.5
1392540.P256_02191,P256_02191,annotation&nbsp;not&nbsp;available,94.5
1392540.P256_00925,P256_00925,annotation&nbsp;not&nbsp;available,94.5
1392540.P256_01378,P256_01378,annotation&nbsp;not&nbsp;available,94.4
1392540.P256_02430,pgi,annotation&nbsp;not&nbsp;available,94.1
1392540.P256_01248,P256_01248,annotation&nbsp;not&nbsp;available,94.1
1392540.P256_01125,rpsG,30S&nbsp;ribosomal&nbsp;protein&nbsp;S7,94.0
1392540.P256_00351,P256_00351,annotation&nbsp;not&nbsp;available,94.0
1392540.P256_01671,dapB,4-hydroxy-tetrahydrodipicolinate&nbsp;reductase,93.9
1392540.P256_00202,P256_00202,annotation&nbsp;not&nbsp;available,93.8
1392540.P256_00927,P256_00927,Succinate&nbsp;dehydrogenase&nbsp;hydrophobic&nbsp;membrane&nbsp;anchor&nbsp;subunit,93.6
1392540.P256_01465,P256_01465,annotation&nbsp;not&nbsp;available,93.5
1392540.P256_00879,metN,Methionine&nbsp;import&nbsp;ATP-binding&nbsp;protein&nbsp;MetN,93.5
1392540.P256_02003,P256_02003,annotation&nbsp;not&nbsp;available,93.4
1392540.P256_02204,P256_02204,annotation&nbsp;not&nbsp;available,93.4
1392540.P256_02212,P256_02212,annotation&nbsp;not&nbsp;available,93.3
1392540.P256_00478,pyrF,Orotidine&nbsp;5'-phosphate&nbsp;decarboxylase,93.3
1392540.P256_00019,trpC,annotation&nbsp;not&nbsp;available,93.3
1392540.P256_01466,P256_01466,annotation&nbsp;not&nbsp;available,92.8
1392540.P256_01154,P256_01154,annotation&nbsp;not&nbsp;available,92.7
1392540.P256_02554,trpA,Tryptophan&nbsp;synthase&nbsp;alpha&nbsp;chain,92.6
1392540.P256_01105,P256_01105,annotation&nbsp;not&nbsp;available,92.6
1392540.P256_02026,P256_02026,annotation&nbsp;not&nbsp;available,92.2
1392540.P256_01751,rpsM,30S&nbsp;ribosomal&nbsp;protein&nbsp;S13,92.2
1392540.P256_02394,atpD,ATP&nbsp;synthase&nbsp;subunit&nbsp;beta,92.1
1392540.P256_00315,P256_00315,annotation&nbsp;not&nbsp;available,92.0
1392540.P256_01950,P256_01950,annotation&nbsp;not&nbsp;available,91.9
1392540.P256_02096,rpmF,annotation&nbsp;not&nbsp;available,91.7
1392540.P256_01708,P256_01708,annotation&nbsp;not&nbsp;available,91.6
1392540.P256_00877,purD,annotation&nbsp;not&nbsp;available,91.6
1392540.P256_00974,P256_00974,annotation&nbsp;not&nbsp;available,91.6
1392540.P256_01005,rnhA,Ribonuclease&nbsp;H,91.5
1392540.P256_02166,P256_02166,annotation&nbsp;not&nbsp;available,91.3
1392540.P256_01748,rpoA,DNA-directed&nbsp;RNA&nbsp;polymerase&nbsp;subunit&nbsp;alpha,91.2
1392540.P256_00913,P256_00913,annotation&nbsp;not&nbsp;available,91.2
1392540.P256_00418,P256_00418,annotation&nbsp;not&nbsp;available,91.2
1392540.P256_01588,ftsA,Cell&nbsp;division&nbsp;protein&nbsp;FtsA,91.1
1392540.P256_02198,adk,Adenylate&nbsp;kinase,91.1
1392540.P256_01203,P256_01203,Fumarate&nbsp;hydratase&nbsp;class&nbsp;I,90.7
1392540.P256_02271,lolD,Lipoprotein-releasing&nbsp;system&nbsp;ATP-binding&nbsp;protein&nbsp;LolD,90.7
1392540.P256_00895,P256_00895,annotation&nbsp;not&nbsp;available,90.7
1392540.P256_00156,rplI,50S&nbsp;ribosomal&nbsp;protein&nbsp;L9,90.6
1392540.P256_01175,P256_01175,annotation&nbsp;not&nbsp;available,90.6
1392540.P256_01263,polA,DNA&nbsp;polymerase&nbsp;I,90.5
1392540.P256_00380,iscS,Cysteine&nbsp;desulfurase&nbsp;IscS,90.3
1392540.P256_01430,P256_01430,annotation&nbsp;not&nbsp;available,90.2
1392540.P256_00163,P256_00163,annotation&nbsp;not&nbsp;available,90.1
1392540.P256_01353,P256_01353,annotation&nbsp;not&nbsp;available,90.0
1392540.P256_00587,rpsU,annotation&nbsp;not&nbsp;available,90.0
1392540.P256_00201,pyrB,annotation&nbsp;not&nbsp;available,90.0
1392540.P256_00363,fabZ,3-hydroxyacyl-[acyl-carrier-protein]&nbsp;dehydratase&nbsp;FabZ,89.7
1392540.P256_01126,rpsL,30S&nbsp;ribosomal&nbsp;protein&nbsp;S12,89.7
1392540.P256_01860,P256_01860,Bacterioferritin,89.6
1392540.P256_00316,dnaX,DNA&nbsp;polymerase&nbsp;III&nbsp;subunit&nbsp;gamma/tau,89.6
1392540.P256_01406,P256_01406,annotation&nbsp;not&nbsp;available,89.4
1392540.P256_02355,P256_02355,annotation&nbsp;not&nbsp;available,89.4
1392540.P256_01415,P256_01415,annotation&nbsp;not&nbsp;available,89.3
1392540.P256_00611,P256_00611,annotation&nbsp;not&nbsp;available,89.2
1392540.P256_02439,ilvD,annotation&nbsp;not&nbsp;available,89.1
1392540.P256_01156,nuoB,NADH-quinone&nbsp;oxidoreductase&nbsp;subunit&nbsp;B,89.1
1392540.P256_00157,rpsR,30S&nbsp;ribosomal&nbsp;protein&nbsp;S18,89.1
1392540.P256_00922,P256_00922,annotation&nbsp;not&nbsp;available,89.0
1392540.P256_00591,purF,Amidophosphoribosyltransferase,89.0
1392540.P256_00271,P256_00271,annotation&nbsp;not&nbsp;available,89.0
1392540.P256_01064,P256_01064,annotation&nbsp;not&nbsp;available,88.8
1392540.P256_01762,rplX,50S&nbsp;ribosomal&nbsp;protein&nbsp;L24,88.8
1392540.P256_01809,P256_01809,annotation&nbsp;not&nbsp;available,88.5
1392540.P256_00354,pyrH,Uridylate&nbsp;kinase,88.5
1392540.P256_01177,P256_01177,NAD(P)&nbsp;transhydrogenase&nbsp;subunit&nbsp;beta,88.3
1392540.P256_02519,P256_02519,annotation&nbsp;not&nbsp;available,88.2
1392540.P256_01750,rpsK,30S&nbsp;ribosomal&nbsp;protein&nbsp;S11,88.1
1392540.P256_01923,P256_01923,annotation&nbsp;not&nbsp;available,88.1
1392540.P256_00360,bamA,Outer&nbsp;membrane&nbsp;protein&nbsp;assembly&nbsp;factor&nbsp;BamA,88.0
1392540.P256_00575,ilvA,L-threonine&nbsp;dehydratase,87.7
1392540.P256_00983,P256_00983,Uncharacterized&nbsp;protein,87.7
1392540.P256_01328,P256_01328,annotation&nbsp;not&nbsp;available,87.6
1392540.P256_01749,rpsD,30S&nbsp;ribosomal&nbsp;protein&nbsp;S4,87.6
1392540.P256_02054,P256_02054,annotation&nbsp;not&nbsp;available,87.5
1392540.P256_00810,groS,10&nbsp;kDa&nbsp;chaperonin,87.2
1392540.P256_01954,P256_01954,annotation&nbsp;not&nbsp;available,87.1
1392540.P256_01780,rpmG,annotation&nbsp;not&nbsp;available,86.9
1392540.P256_00153,gidA,tRNA&nbsp;uridine&nbsp;5-carboxymethylaminomethyl&nbsp;modification&nbsp;enzyme&nbsp;MnmG,86.7
1392540.P256_01161,P256_01161,annotation&nbsp;not&nbsp;available,86.5
1392540.P256_02151,prs,Ribose-phosphate&nbsp;pyrophosphokinase,86.4
1392540.P256_00311,dadA,D-amino&nbsp;acid&nbsp;dehydrogenase,86.3
1392540.P256_00139,rpsB,annotation&nbsp;not&nbsp;available,86.1
1392540.P256_01583,P256_01583,Pyruvate&nbsp;dehydrogenase&nbsp;E1&nbsp;component,85.8
1392540.P256_01059,P256_01059,annotation&nbsp;not&nbsp;available,85.8
1392540.P256_01804,leuD,3-isopropylmalate&nbsp;dehydratase&nbsp;small&nbsp;subunit,85.6
1392540.P256_00653,tmk,Thymidylate&nbsp;kinase,85.6
1392540.P256_01660,P256_01660,annotation&nbsp;not&nbsp;available,85.2
1392540.P256_01805,leuC,3-isopropylmalate&nbsp;dehydratase&nbsp;large&nbsp;subunit,85.2
1392540.P256_02429,P256_02429,annotation&nbsp;not&nbsp;available,85.0
1392540.P256_01635,thiL,Thiamine-monophosphate&nbsp;kinase,84.8
1392540.P256_00160,P256_00160,annotation&nbsp;not&nbsp;available,84.7
1392540.P256_01869,P256_01869,annotation&nbsp;not&nbsp;available,84.4
1392540.P256_00627,P256_00627,annotation&nbsp;not&nbsp;available,84.4
1392540.P256_00864,eno,Enolase,84.1
1392540.P256_01942,P256_01942,Threonine&nbsp;synthase,84.1
1392540.P256_00207,rpmE,50S&nbsp;ribosomal&nbsp;protein&nbsp;L31,83.8
1392540.P256_01587,ftsZ,Cell&nbsp;division&nbsp;protein&nbsp;FtsZ,83.7
1392540.P256_01216,P256_01216,2-isopropylmalate&nbsp;synthase,83.6
1392540.P256_01770,rplB,50S&nbsp;ribosomal&nbsp;protein&nbsp;L2,83.4
1392540.P256_00962,P256_00962,annotation&nbsp;not&nbsp;available,83.3
1392540.P256_02385,P256_02385,Peptide&nbsp;deformylase,83.3
1392540.P256_00480,P256_00480,Integration&nbsp;host&nbsp;factor&nbsp;subunit&nbsp;beta,83.2
1392540.P256_02077,nadE,Glutamine-dependent&nbsp;NAD(+)&nbsp;synthetase,83.1
1392540.P256_00932,ligA,DNA&nbsp;ligase,83.1
1392540.P256_01144,upp,Uracil&nbsp;phosphoribosyltransferase,83.1
1392540.P256_01893,P256_01893,annotation&nbsp;not&nbsp;available,83.0
1392540.P256_01364,secB,Protein-export&nbsp;protein&nbsp;SecB,82.9
1392540.P256_01940,P256_01940,Thiol:disulfide&nbsp;interchange&nbsp;protein,82.6
1392540.P256_01931,P256_01931,"3',5'-cyclic&nbsp;adenosine&nbsp;monophosphate&nbsp;phosphodiesterase&nbsp;CpdA",82.6
1392540.P256_02099,acpP,Acyl&nbsp;carrier&nbsp;protein,82.6
1392540.P256_02278,P256_02278,annotation&nbsp;not&nbsp;available,82.5
1392540.P256_00481,P256_00481,30S&nbsp;ribosomal&nbsp;protein&nbsp;S1,82.5
1392540.P256_02056,P256_02056,annotation&nbsp;not&nbsp;available,82.4
1392540.P256_00151,glyA,Serine&nbsp;hydroxymethyltransferase,82.4
1392540.P256_01772,rplD,50S&nbsp;ribosomal&nbsp;protein&nbsp;L4,82.3
1392540.P256_00122,P256_00122,annotation&nbsp;not&nbsp;available,82.3
1392540.P256_01957,nrdR,Transcriptional&nbsp;repressor&nbsp;NrdR,82.3
1392540.P256_00751,P256_00751,Ferredoxin,82.3
1392540.P256_00484,P256_00484,annotation&nbsp;not&nbsp;available,82.2
1392540.P256_01856,rpoZ,DNA-directed&nbsp;RNA&nbsp;polymerase&nbsp;subunit&nbsp;omega,82.0
1392540.P256_01147,P256_01147,annotation&nbsp;not&nbsp;available,82.0
1392540.P256_01479,hisF,Imidazole&nbsp;glycerol&nbsp;phosphate&nbsp;synthase&nbsp;subunit&nbsp;HisF,82.0
1392540.P256_02016,P256_02016,annotation&nbsp;not&nbsp;available,82.0
1392540.P256_02195,mrdA,"Peptidoglycan&nbsp;D,D-transpeptidase&nbsp;MrdA",81.8
1392540.P256_02393,atpC,ATP&nbsp;synthase&nbsp;epsilon&nbsp;chain,81.8
1392540.P256_01016,P256_01016,Ribonucleoside-diphosphate&nbsp;reductase,81.7
1392540.P256_00926,P256_00926,annotation&nbsp;not&nbsp;available,81.7
1392540.P256_00137,P256_00137,annotation&nbsp;not&nbsp;available,81.7
1392540.P256_00268,P256_00268,annotation&nbsp;not&nbsp;available,81.6
1392540.P256_00400,P256_00400,annotation&nbsp;not&nbsp;available,81.2
1392540.P256_02083,P256_02083,L-aspartate&nbsp;oxidase,81.0
1392540.P256_01148,nuoK,NADH-quinone&nbsp;oxidoreductase&nbsp;subunit&nbsp;K,80.9
1392540.P256_01448,gltX,Glutamate--tRNA&nbsp;ligase,80.8
1392540.P256_02208,P256_02208,Penicillin-binding&nbsp;protein&nbsp;1B,80.8
1392540.P256_02398,atpF,ATP&nbsp;synthase&nbsp;subunit&nbsp;b,80.6
1392540.P256_01429,P256_01429,annotation&nbsp;not&nbsp;available,80.5
1392540.P256_01935,murD,UDP-N-acetylmuramoylalanine--D-glutamate&nbsp;ligase,80.4
1392540.P256_00270,moaA,"GTP&nbsp;3',8-cyclase",80.3
1392540.P256_02283,fbp,annotation&nbsp;not&nbsp;available,80.3
1392540.P256_00525,P256_00525,Transketolase,80.3
1392540.P256_01925,argH,annotation&nbsp;not&nbsp;available,80.1
1392540.P256_02275,purN,Phosphoribosylglycinamide&nbsp;formyltransferase,79.9
1392540.P256_01956,P256_01956,Riboflavin&nbsp;biosynthesis&nbsp;protein&nbsp;RibD,79.8
1392540.P256_01846,rpsP,annotation&nbsp;not&nbsp;available,79.7
1392540.P256_00956,rplU,50S&nbsp;ribosomal&nbsp;protein&nbsp;L21,79.7
1392540.P256_01157,nuoA,NADH-quinone&nbsp;oxidoreductase&nbsp;subunit&nbsp;A,79.6
1392540.P256_00446,P256_00446,annotation&nbsp;not&nbsp;available,79.5
1392540.P256_01918,P256_01918,annotation&nbsp;not&nbsp;available,79.4
1392540.P256_02302,P256_02302,annotation&nbsp;not&nbsp;available,79.3
1392540.P256_00162,P256_00162,annotation&nbsp;not&nbsp;available,79.3
1392540.P256_02147,P256_02147,"3,4-dihydroxy-2-butanone&nbsp;4-phosphate&nbsp;synthase",79.3
1392540.P256_02160,bamD,Outer&nbsp;membrane&nbsp;protein&nbsp;assembly&nbsp;factor&nbsp;BamD,79.0
1392540.P256_02040,P256_02040,annotation&nbsp;not&nbsp;available,79.0
1392540.P256_01854,ispH,4-hydroxy-3-methylbut-2-enyl&nbsp;diphosphate&nbsp;reductase,78.8
1392540.P256_00448,P256_00448,annotation&nbsp;not&nbsp;available,78.7
1392540.P256_00930,P256_00930,Bacterioferritin,78.7
1392540.P256_00642,P256_00642,annotation&nbsp;not&nbsp;available,78.5
1392540.P256_02189,P256_02189,annotation&nbsp;not&nbsp;available,78.4
1392540.P256_01707,argA,annotation&nbsp;not&nbsp;available,78.4
1392540.P256_01041,rplT,50S&nbsp;ribosomal&nbsp;protein&nbsp;L20,78.4
1392540.P256_01196,nagZ,Beta-hexosaminidase,78.3
1392540.P256_02558,P256_02558,annotation&nbsp;not&nbsp;available,78.1
1392540.P256_00388,P256_00388,annotation&nbsp;not&nbsp;available,78.0
1392540.P256_00667,P256_00667,annotation&nbsp;not&nbsp;available,77.8
1392540.P256_02270,P256_02270,annotation&nbsp;not&nbsp;available,77.7
1392540.P256_01160,P256_01160,annotation&nbsp;not&nbsp;available,77.7
1392540.P256_00336,P256_00336,annotation&nbsp;not&nbsp;available,77.6
1392540.P256_02419,P256_02419,annotation&nbsp;not&nbsp;available,77.5
1392540.P256_01145,nuoN,NADH-quinone&nbsp;oxidoreductase&nbsp;subunit&nbsp;N,77.4
1392540.P256_01717,P256_01717,annotation&nbsp;not&nbsp;available,77.3
1392540.P256_00379,P256_00379,Iron-sulfur&nbsp;cluster&nbsp;assembly&nbsp;scaffold&nbsp;protein&nbsp;IscU,77.3
1392540.P256_02209,nadK,NAD&nbsp;kinase,77.3
1392540.P256_00330,cysD,annotation&nbsp;not&nbsp;available,77.2
1392540.P256_00773,P256_00773,annotation&nbsp;not&nbsp;available,77.2
1392540.P256_01959,P256_01959,annotation&nbsp;not&nbsp;available,77.0
1392540.P256_01763,rplN,50S&nbsp;ribosomal&nbsp;protein&nbsp;L14,77.0
1392540.P256_01999,P256_01999,annotation&nbsp;not&nbsp;available,76.9
1392540.P256_01439,P256_01439,annotation&nbsp;not&nbsp;available,76.9
1392540.P256_02301,P256_02301,annotation&nbsp;not&nbsp;available,76.6
1392540.P256_01907,rplA,50S&nbsp;ribosomal&nbsp;protein&nbsp;L1,76.6
1392540.P256_00870,P256_00870,Bifunctional&nbsp;protein&nbsp;PutA,76.4
1392540.P256_01266,P256_01266,annotation&nbsp;not&nbsp;available,76.3
1392540.P256_02050,dcd,annotation&nbsp;not&nbsp;available,76.1
