1109445.AGSX01000017_gene1630,pheS,annotation&nbsp;not&nbsp;available,98.9
1109445.AGSX01000044_gene3451,AGSX01000044_gene3451,Molybdenum&nbsp;cofactor&nbsp;biosynthesis&nbsp;protein&nbsp;B,98.9
1109445.AGSX01000136_gene2264,AGSX01000136_gene2264,annotation&nbsp;not&nbsp;available,98.9
1109445.AGSX01000184_gene2296,AGSX01000184_gene2296,annotation&nbsp;not&nbsp;available,98.9
1109445.AGSX01000084_gene3213,AGSX01000084_gene3213,annotation&nbsp;not&nbsp;available,98.9
1109445.AGSX01000099_gene3444,ppc,Phosphoenolpyruvate&nbsp;carboxylase,98.8
1109445.AGSX01000138_gene2219,AGSX01000138_gene2219,annotation&nbsp;not&nbsp;available,98.8
1109445.AGSX01000046_gene3593,parC,DNA&nbsp;topoisomerase&nbsp;4&nbsp;subunit&nbsp;A,98.8
1109445.AGSX01000067_gene1336,AGSX01000067_gene1336,annotation&nbsp;not&nbsp;available,98.7
1109445.AGSX01000136_gene2258,AGSX01000136_gene2258,annotation&nbsp;not&nbsp;available,98.7
1109445.AGSX01000019_gene1751,cysG,Siroheme&nbsp;synthase,98.7
1109445.AGSX01000131_gene2783,AGSX01000131_gene2783,annotation&nbsp;not&nbsp;available,98.7
1109445.AGSX01000192_gene3741,AGSX01000192_gene3741,Rod&nbsp;shape-determining&nbsp;protein&nbsp;MreD,98.6
1109445.AGSX01000070_gene106,AGSX01000070_gene106,annotation&nbsp;not&nbsp;available,98.6
1109445.AGSX01000057_gene2688,livF,annotation&nbsp;not&nbsp;available,98.6
1109445.AGSX01000044_gene3491,rpmC,annotation&nbsp;not&nbsp;available,98.5
1109445.AGSX01000086_gene3407,purE,N5-carboxyaminoimidazole&nbsp;ribonucleotide&nbsp;mutase,98.4
1109445.AGSX01000133_gene2850,AGSX01000133_gene2850,Glucose-6-phosphate&nbsp;1-dehydrogenase,98.4
1109445.AGSX01000009_gene2048,AGSX01000009_gene2048,annotation&nbsp;not&nbsp;available,98.3
1109445.AGSX01000171_gene1020,AGSX01000171_gene1020,annotation&nbsp;not&nbsp;available,98.3
1109445.AGSX01000186_gene2351,dapE,Succinyl-diaminopimelate&nbsp;desuccinylase,98.3
1109445.AGSX01000010_gene1587,AGSX01000010_gene1587,annotation&nbsp;not&nbsp;available,98.3
1109445.AGSX01000098_gene2537,AGSX01000098_gene2537,annotation&nbsp;not&nbsp;available,98.2
1109445.AGSX01000129_gene2748,AGSX01000129_gene2748,annotation&nbsp;not&nbsp;available,98.2
1109445.AGSX01000165_gene3568,rpoC,DNA-directed&nbsp;RNA&nbsp;polymerase&nbsp;subunit&nbsp;beta',98.2
1109445.AGSX01000193_gene446,AGSX01000193_gene446,annotation&nbsp;not&nbsp;available,98.1
1109445.AGSX01000199_gene2932,AGSX01000199_gene2932,annotation&nbsp;not&nbsp;available,98.1
1109445.AGSX01000116_gene3319,glnB,annotation&nbsp;not&nbsp;available,98.1
1109445.AGSX01000066_gene2560,AGSX01000066_gene2560,annotation&nbsp;not&nbsp;available,98.0
1109445.AGSX01000126_gene2434,malF,annotation&nbsp;not&nbsp;available,98.0
1109445.AGSX01000106_gene1153,AGSX01000106_gene1153,annotation&nbsp;not&nbsp;available,98.0
1109445.AGSX01000199_gene2928,AGSX01000199_gene2928,annotation&nbsp;not&nbsp;available,98.0
1109445.AGSX01000196_gene577,AGSX01000196_gene577,annotation&nbsp;not&nbsp;available,98.0
1109445.AGSX01000067_gene1341,hslU,ATP-dependent&nbsp;protease&nbsp;ATPase&nbsp;subunit&nbsp;HslU,97.9
1109445.AGSX01000048_gene3512,AGSX01000048_gene3512,Phosphatidylglycerophosphatase&nbsp;A,97.8
1109445.AGSX01000187_gene2390,AGSX01000187_gene2390,annotation&nbsp;not&nbsp;available,97.8
1109445.AGSX01000150_gene3682,AGSX01000150_gene3682,annotation&nbsp;not&nbsp;available,97.7
1109445.AGSX01000023_gene1804,AGSX01000023_gene1804,annotation&nbsp;not&nbsp;available,97.6
1109445.AGSX01000039_gene228,rpsT,30S&nbsp;ribosomal&nbsp;protein&nbsp;S20,97.6
1109445.AGSX01000008_gene2082,AGSX01000008_gene2082,annotation&nbsp;not&nbsp;available,97.6
1109445.AGSX01000125_gene2450,AGSX01000125_gene2450,annotation&nbsp;not&nbsp;available,97.5
1109445.AGSX01000067_gene1372,AGSX01000067_gene1372,annotation&nbsp;not&nbsp;available,97.4
1109445.AGSX01000037_gene2664,trmA,tRNA/tmRNA&nbsp;(uracil-C(5))-methyltransferase,97.4
1109445.AGSX01000067_gene1388,uvrD,annotation&nbsp;not&nbsp;available,97.4
