380358.XALC_1703,pheA,Putative&nbsp;chorismate-mutase_prephenate_dehydratase&nbsp;protein,98.8
380358.XALC_0765,hppA,K(+)-insensitive&nbsp;pyrophosphate-energized&nbsp;proton&nbsp;pump,98.7
380358.XALC_2019,glnD,Bifunctional&nbsp;uridylyltransferase/uridylyl-removing&nbsp;enzyme,98.6
380358.XALC_1346,rpfC,Probable&nbsp;regulation&nbsp;of&nbsp;pathogenicity&nbsp;factor&nbsp;rpfc&nbsp;protein,98.5
380358.XALC_0670,sucC,Succinate--CoA&nbsp;ligase&nbsp;[ADP-forming]&nbsp;subunit&nbsp;beta,98.5
380358.XALC_0079,glyS,Glycine--tRNA&nbsp;ligase&nbsp;beta&nbsp;subunit,98.5
380358.XALC_0752,leuD,3-isopropylmalate&nbsp;dehydratase&nbsp;small&nbsp;subunit,98.3
380358.XALC_2912,atpB,ATP&nbsp;synthase&nbsp;subunit&nbsp;a,98.3
380358.XALC_2573,hslU,ATP-dependent&nbsp;protease&nbsp;ATPase&nbsp;subunit&nbsp;HslU,98.1
380358.XALC_0536,rpsK,30S&nbsp;ribosomal&nbsp;protein&nbsp;S11,98.1
380358.XALC_0071,tatA,Sec-independent&nbsp;protein&nbsp;translocase&nbsp;protein&nbsp;TatA,98.1
380358.XALC_1009,nuoK,NADH-quinone&nbsp;oxidoreductase&nbsp;subunit&nbsp;K,98.0
380358.XALC_2685,XALc_2685,Putative&nbsp;abc&nbsp;transporter&nbsp;substrate-binding&nbsp;protein,97.7
380358.XALC_1617,rne,Ribonuclease&nbsp;E,97.6
380358.XALC_3031,pcaF,Probable&nbsp;beta-ketoadipyl&nbsp;coa&nbsp;thiolase&nbsp;protein,97.6
380358.XALC_2560,XALc_2560,Uncharacterized&nbsp;protein,97.5
380358.XALC_1791,raxB1,The&nbsp;atp-binding&nbsp;cassette&nbsp;(abc)&nbsp;superfamily&nbsp;+&nbsp;abc-type&nbsp;uptake&nbsp;permeases&nbsp;go:0042626,97.4
380358.XALC_1825,XALc_1825,Putative&nbsp;succinate&nbsp;dehydrogenase&nbsp;membrane&nbsp;anchor&nbsp;subunit&nbsp;protein,97.3
380358.XALC_1031,sufB,Probable&nbsp;abc&nbsp;transporter-associated&nbsp;protein&nbsp;involved&nbsp;in&nbsp;fe-s&nbsp;cluster&nbsp;assembly,97.2
380358.XALC_0289,coq7,"2-nonaprenyl-3-methyl-6-methoxy-1,4-benzoquinol&nbsp;hydroxylase",97.0
380358.XALC_1379,fliA,RNA&nbsp;polymerase&nbsp;sigma&nbsp;factor&nbsp;FliA,97.0
380358.XALC_0350,bioC,Malonyl-[acyl-carrier&nbsp;protein]&nbsp;O-methyltransferase,97.0
380358.XALC_1428,flgB,Flagellar&nbsp;basal&nbsp;body&nbsp;rod&nbsp;protein&nbsp;FlgB,96.7
380358.XALC_1657,XALc_1657,Glutathione&nbsp;peroxidase,96.7
380358.XALC_1298,ccmA,Cytochrome&nbsp;c&nbsp;biogenesis&nbsp;ATP-binding&nbsp;export&nbsp;protein&nbsp;CcmA,96.7
380358.XALC_0403,XALc_0403,Putative&nbsp;cytochrome&nbsp;c&nbsp;oxidase&nbsp;assembly&nbsp;protein&nbsp;ctag/cox11,96.7
380358.XALC_0799,spoT,"Probable&nbsp;guanosine-3',5'-bis(Diphosphate)&nbsp;3'-pyrophosphohydrolase&nbsp;protein",96.6
380358.XALC_2921,metN,Methionine&nbsp;import&nbsp;ATP-binding&nbsp;protein&nbsp;MetN,96.6
380358.XALC_1767,XALc_1767,Probable&nbsp;5-methyltetrahydrofolate-homocysteine&nbsp;methyltransferase&nbsp;protein,96.6
380358.XALC_2157,XALc_2157,UPF0301&nbsp;protein&nbsp;XALc_2157,96.6
380358.XALC_1101,XALc_1101,Uncharacterized&nbsp;protein,96.4
380358.XALC_0149,XALc_0149,"Probable&nbsp;biotin&nbsp;carboxylase,&nbsp;acetyl-coa&nbsp;carboxylase&nbsp;subunit&nbsp;a&nbsp;protein",96.3
380358.XALC_0026,recC,RecBCD&nbsp;enzyme&nbsp;subunit&nbsp;RecC,96.2
380358.XALC_0852,XALc_0852,Thiol:disulfide&nbsp;interchange&nbsp;protein,96.1
380358.XALC_1992,pstA,Phosphate&nbsp;transport&nbsp;system&nbsp;permease&nbsp;protein&nbsp;PstA,96.1
380358.XALC_1289,metX,Serine&nbsp;O-succinyltransferase,96.1
380358.XALC_2723,bioD,ATP-dependent&nbsp;dethiobiotin&nbsp;synthetase&nbsp;BioD,96.1
380358.XALC_2067,gpmA,"2,3-bisphosphoglycerate-dependent&nbsp;phosphoglycerate&nbsp;mutase",96.0
380358.XALC_1364,XALc_1364,Putative&nbsp;methyl-accepting&nbsp;chemotaxis&nbsp;protein,96.0
380358.XALC_2672,XALc_2672,Putative&nbsp;yjgp/yjgq&nbsp;family&nbsp;permease&nbsp;protein,95.9
380358.XALC_2523,XALc_2523,Probable&nbsp;glu/leu/phe/val&nbsp;dehydrogenase&nbsp;protein,95.8
380358.XALC_2969,XALc_2969,Endoglucanase,95.7
380358.XALC_1157,surE,5'-nucleotidase&nbsp;SurE,95.6
380358.XALC_2140,rpoN2,RNA&nbsp;polymerase&nbsp;sigma-54&nbsp;factor,95.6
380358.XALC_1362,XALc_1362,Putative&nbsp;methyl-accepting&nbsp;chemotaxis&nbsp;protein,95.6
380358.XALC_2306,XALc_2306,Glyceraldehyde-3-phosphate&nbsp;dehydrogenase,95.5
380358.XALC_2881,XALc_2881,Thioredoxin,95.3
380358.XALC_0377,pyrE,Orotate&nbsp;phosphoribosyltransferase,95.3
380358.XALC_0575,phoB,Transcriptional&nbsp;level&nbsp;go:0006355,95.3
380358.XALC_1664,fumC,Fumarate&nbsp;hydratase&nbsp;class&nbsp;II,95.3
380358.XALC_1049,XALc_1049,Putative&nbsp;zinc-containing&nbsp;alcohol&nbsp;dehydrogenase&nbsp;superfamily&nbsp;protein,95.2
380358.XALC_0401,XALc_0401,Cytochrome&nbsp;c&nbsp;oxidase&nbsp;subunit&nbsp;1,95.1
380358.XALC_1265,XALc_1265,Cytochrome&nbsp;b,95.0
380358.XALC_0906,purT,Formate-dependent&nbsp;phosphoribosylglycinamide&nbsp;formyltransferase,95.0
380358.XALC_0326,XALc_0326,Putative&nbsp;glycerophosphoryl&nbsp;diester&nbsp;phosphodiesterase&nbsp;protein,95.0
380358.XALC_2163,proC,Pyrroline-5-carboxylate&nbsp;reductase,94.6
380358.XALC_0265,XALc_0265,Catalase-related&nbsp;peroxidase,94.5
380358.XALC_0862,XALc_0862,S-(hydroxymethyl)glutathione&nbsp;dehydrogenase,94.5
380358.XALC_0517,rplB,50S&nbsp;ribosomal&nbsp;protein&nbsp;L2,94.4
380358.XALC_0099,XALc_0099,Probable&nbsp;exodeoxyribonuclease&nbsp;III&nbsp;protein,94.3
380358.XALC_0527,rpsN,30S&nbsp;ribosomal&nbsp;protein&nbsp;S14,94.3
380358.XALC_2819,ftsI,"Peptidoglycan&nbsp;D,D-transpeptidase&nbsp;FtsI",94.1
380358.XALC_1186,XALc_1186,Ferredoxin,94.1
380358.XALC_0019,lldD,L-lactate&nbsp;dehydrogenase,93.9
380358.XALC_0110,rpmG,50S&nbsp;ribosomal&nbsp;protein&nbsp;L33,93.8
380358.XALC_0119,polA,DNA&nbsp;polymerase&nbsp;I,93.7
380358.XALC_0417,gcp,tRNA&nbsp;N6-adenosine&nbsp;threonylcarbamoyltransferase,93.7
380358.XALC_2188,prfC,Peptide&nbsp;chain&nbsp;release&nbsp;factor&nbsp;3,93.6
