479435.Kfla_6786,Kfla_6786,PFAM:&nbsp;phenylalanine/histidine&nbsp;ammonia-lyase,98.9
479435.Kfla_6742,Kfla_6742,"Transcriptional&nbsp;regulator,&nbsp;XRE&nbsp;family",98.9
479435.Kfla_5447,pheS,"KEGG:&nbsp;ppd:Ppro_2304&nbsp;phenylalanyl-tRNA&nbsp;synthetase,&nbsp;alpha&nbsp;subunit",98.9
479435.Kfla_2532,Kfla_2532,TIGRFAM:&nbsp;exodeoxyribonuclease&nbsp;III&nbsp;Xth,98.9
479435.Kfla_4277,Kfla_4277,PFAM:&nbsp;periplasmic&nbsp;binding&nbsp;protein/LacI&nbsp;transcriptional&nbsp;regulator,98.8
479435.Kfla_4150,Kfla_4150,KEGG:&nbsp;dat:HRM2_00660&nbsp;NarG,98.8
479435.Kfla_6233,Kfla_6233,PFAM:&nbsp;methylenetetrahydrofolate&nbsp;reductase,98.7
479435.Kfla_4369,Kfla_4369,PFAM:&nbsp;Shikimate&nbsp;dehydrogenase&nbsp;substrate&nbsp;binding&nbsp;domain&nbsp;protein,98.7
479435.Kfla_6695,Kfla_6695,PFAM:&nbsp;extracellular&nbsp;solute-binding&nbsp;protein&nbsp;family&nbsp;1,98.7
479435.Kfla_4244,Kfla_4244,4-hydroxy-3-methylbut-2-enyl&nbsp;diphosphate&nbsp;reductase,98.7
479435.Kfla_3415,Kfla_3415,TIGRFAM:&nbsp;exodeoxyribonuclease&nbsp;III&nbsp;Xth,98.7
479435.Kfla_3324,Kfla_3324,"TIGRFAM:&nbsp;sulfate&nbsp;adenylyltransferase,&nbsp;small&nbsp;subunit",98.7
479435.Kfla_1682,Kfla_1682,PFAM:&nbsp;NAD-glutamate&nbsp;dehydrogenase,98.6
479435.Kfla_4051,Kfla_4051,PFAM:&nbsp;glycoside&nbsp;hydrolase&nbsp;family&nbsp;31,98.6
479435.Kfla_0661,Kfla_0661,PFAM:&nbsp;ROK&nbsp;family&nbsp;protein,98.6
479435.Kfla_2302,Kfla_2302,KEGG:&nbsp;bbr:BB4526&nbsp;penicillin-binding&nbsp;protein&nbsp;2,98.5
479435.Kfla_5066,Kfla_5066,PFAM:&nbsp;homoserine&nbsp;dehydrogenase,98.5
479435.Kfla_3234,Kfla_3234,PFAM:&nbsp;Prephenate&nbsp;dehydrogenase,98.5
479435.Kfla_5990,Kfla_5990,60&nbsp;kDa&nbsp;chaperonin,98.4
479435.Kfla_4335,Kfla_4335,annotation&nbsp;not&nbsp;available,98.4
479435.Kfla_1825,Kfla_1825,PFAM:&nbsp;glycoside&nbsp;hydrolase&nbsp;family&nbsp;3&nbsp;domain&nbsp;protein,98.4
479435.Kfla_5264,Kfla_5264,PFAM:&nbsp;Ricin&nbsp;B&nbsp;lectin,98.3
479435.Kfla_3729,hemE,Uroporphyrinogen&nbsp;decarboxylase,98.3
