1317118.ATO8_11874,ATO8_11874,Uncharacterized&nbsp;protein,98.9
1317118.ATO8_13987,pncB,Nicotinate&nbsp;phosphoribosyltransferase,98.9
1317118.ATO8_14342,thiQ,Thiamine&nbsp;import&nbsp;ATP-binding&nbsp;protein&nbsp;ThiQ,98.9
1317118.ATO8_04931,ATO8_04931,GMC&nbsp;oxidoreductase,98.9
1317118.ATO8_06331,ATO8_06331,COG3118&nbsp;Thioredoxin&nbsp;domain-containing&nbsp;protein,98.8
1317118.ATO8_13077,ATO8_13077,Tripartite&nbsp;ATP-independent&nbsp;periplasmic&nbsp;transporter,98.8
1317118.ATO8_08031,ATO8_08031,"Putative&nbsp;choline&nbsp;ABC&nbsp;transporter,periplasmic&nbsp;solute-binding&nbsp;component",98.8
1317118.ATO8_02515,tatA,Sec-independent&nbsp;protein&nbsp;translocase&nbsp;protein&nbsp;TatA,98.8
1317118.ATO8_13872,ATO8_13872,annotation&nbsp;not&nbsp;available,98.7
1317118.ATO8_14572,ATO8_14572,COG0492&nbsp;Thioredoxin&nbsp;reductase,98.7
1317118.ATO8_16770,ATO8_16770,NAD-binding&nbsp;D-isomer&nbsp;specific&nbsp;2-hydroxyacid&nbsp;dehydrogenase,98.6
1317118.ATO8_15963,moaA,"GTP&nbsp;3',8-cyclase",98.6
1317118.ATO8_08871,ATO8_08871,Phosphatidate&nbsp;cytidylyltransferase,98.6
1317118.ATO8_00520,ATO8_00520,Uncharacterized&nbsp;protein,98.5
1317118.ATO8_19424,ATO8_19424,Signal&nbsp;transduction&nbsp;histidine&nbsp;kinase,98.5
1317118.ATO8_06846,ATO8_06846,Inositol-1-monophosphatase,98.5
1317118.ATO8_17205,ATO8_17205,Family&nbsp;5&nbsp;extracellular&nbsp;solute-binding&nbsp;protein,98.4
1317118.ATO8_13862,ilvD,COG0129&nbsp;Dihydroxyacid&nbsp;dehydratase/phosphogluconate&nbsp;dehydratase,98.4
1317118.ATO8_09588,rph,Ribonuclease&nbsp;PH,98.4
1317118.ATO8_09016,ATO8_09016,COG0500&nbsp;SAM-dependent&nbsp;methyltransferases,98.3
1317118.ATO8_13357,ATO8_13357,Branched&nbsp;chain&nbsp;amino&nbsp;acid&nbsp;ABC&nbsp;transporter&nbsp;ATPase,98.3
1317118.ATO8_04716,ATO8_04716,COG0008&nbsp;Glutamyl-&nbsp;and&nbsp;glutaminyl-tRNA&nbsp;synthetases,98.3
1317118.ATO8_13592,ATO8_13592,COG1028&nbsp;Dehydrogenases&nbsp;with&nbsp;different&nbsp;specificities&nbsp;(related&nbsp;to&nbsp;short-chain&nbsp;alcohol&nbsp;dehydrogenases),98.2
1317118.ATO8_06821,ATO8_06821,annotation&nbsp;not&nbsp;available,98.2
1317118.ATO8_15248,rplP,50S&nbsp;ribosomal&nbsp;protein&nbsp;L16,98.2
1317118.ATO8_12491,ATO8_12491,Uncharacterized&nbsp;protein,98.1
1317118.ATO8_17640,cpoB,Cell&nbsp;division&nbsp;coordinator&nbsp;CpoB,98.1
1317118.ATO8_20029,ATO8_20029,Cytochrome&nbsp;c-like&nbsp;protein,98.1
1317118.ATO8_03881,ATO8_03881,COG1760&nbsp;L-serine&nbsp;deaminase,98.1
1317118.ATO8_00475,plsX,Phosphate&nbsp;acyltransferase,98.0
1317118.ATO8_20279,ATO8_20279,COG3585&nbsp;Molybdopterin-binding&nbsp;protein,98.0
1317118.ATO8_07266,ATO8_07266,ATP-dependent&nbsp;helicase&nbsp;HrpB,98.0
1317118.ATO8_10764,ATO8_10764,"COG2010&nbsp;Cytochrome&nbsp;c,&nbsp;mono-&nbsp;and&nbsp;diheme&nbsp;variants",98.0
1317118.ATO8_16705,fadE,COG1960&nbsp;Acyl-CoA&nbsp;dehydrogenases,97.9
1317118.ATO8_01295,ccmC,Heme&nbsp;exporter&nbsp;protein&nbsp;C,97.9
1317118.ATO8_10719,ATO8_10719,3-isopropylmalate&nbsp;dehydratase&nbsp;small&nbsp;subunit,97.9
1317118.ATO8_03891,ATO8_03891,Glutathione&nbsp;reductase&nbsp;Gor,97.9
1317118.ATO8_00490,ATO8_00490,SmpA/OmlA&nbsp;family&nbsp;lipoprotein,97.9
1317118.ATO8_20819,ATO8_20819,NADH&nbsp;dehydrogenase&nbsp;(Quinone),97.9
1317118.ATO8_00840,ATO8_00840,Nitrogen&nbsp;regulation&nbsp;protein&nbsp;NtrC,97.8
1317118.ATO8_01880,ATO8_01880,Aminotransferase,97.8
1317118.ATO8_03871,ATO8_03871,Pyruvate&nbsp;dehydrogenase&nbsp;E1&nbsp;component&nbsp;subunit&nbsp;beta,97.7
1317118.ATO8_09663,ATO8_09663,Uncharacterized&nbsp;protein,97.7
1317118.ATO8_15908,ATO8_15908,Sulfate/tungstate&nbsp;ABC&nbsp;transporter&nbsp;periplasmic&nbsp;substrate-binding&nbsp;protein,97.7
1317118.ATO8_12296,fliF,Flagellar&nbsp;M-ring&nbsp;protein,97.7
1317118.ATO8_14812,ATO8_14812,Malonyl-CoA&nbsp;synthase,97.7
1317118.ATO8_15558,rpsU,COG0828&nbsp;Ribosomal&nbsp;protein&nbsp;S21,97.7
1317118.ATO8_05671,ATO8_05671,Serine-protein&nbsp;kinase,97.6
1317118.ATO8_16595,ATO8_16595,Uncharacterized&nbsp;protein,97.6
1317118.ATO8_14947,ATO8_14947,COG0036&nbsp;Pentose-5-phosphate-3-epimerase,97.6
1317118.ATO8_18545,ATO8_18545,COG0388&nbsp;Predicted&nbsp;amidohydrolase,97.6
1317118.ATO8_19189,nrdI,Protein&nbsp;NrdI,97.6
1317118.ATO8_19769,folD,Bifunctional&nbsp;protein&nbsp;FolD,97.6
1317118.ATO8_16148,ATO8_16148,COG0599&nbsp;Uncharacterized&nbsp;homolog&nbsp;of&nbsp;gamma-carboxymuconolactone&nbsp;decarboxylase&nbsp;subunit,97.5
1317118.ATO8_19124,ATO8_19124,COG0351&nbsp;Hydroxymethylpyrimidine/phosphomethylpyrimidine&nbsp;kinase,97.5
1317118.ATO8_02695,ATO8_02695,Shikimate&nbsp;dehydrogenase&nbsp;(NADP(+)),97.4
1317118.ATO8_17750,hemC,Porphobilinogen&nbsp;deaminase,97.4
1317118.ATO8_19109,ATO8_19109,"COG1454&nbsp;Alcohol&nbsp;dehydrogenase,&nbsp;class&nbsp;IV",97.4
1317118.ATO8_15998,ATO8_15998,COG1960&nbsp;Acyl-CoA&nbsp;dehydrogenases,97.4
1317118.ATO8_01045,ATO8_01045,"COG2927&nbsp;DNA&nbsp;polymerase&nbsp;III,&nbsp;chi&nbsp;subunit",97.4
1317118.ATO8_11714,ATO8_11714,Carboxypeptidase,97.4
1317118.ATO8_10498,ATO8_10498,COG0624&nbsp;Acetylornithine&nbsp;deacetylase/Succinyl-diaminopimelate&nbsp;desuccinylase&nbsp;and&nbsp;related&nbsp;deacylases,97.4
1317118.ATO8_13577,ATO8_13577,Amidase,97.3
1317118.ATO8_13162,ATO8_13162,COG1024&nbsp;Enoyl-CoA&nbsp;hydratase/carnithine&nbsp;racemase,97.3
1317118.ATO8_13092,ATO8_13092,Alkanesulfonate&nbsp;monooxygenase,97.3
1317118.ATO8_16720,ATO8_16720,Allantoate&nbsp;amidohydrolase,97.3
1317118.ATO8_01095,prfA,Peptide&nbsp;chain&nbsp;release&nbsp;factor&nbsp;1,97.3
1317118.ATO8_10734,ATO8_10734,5'-nucleotidase&nbsp;domain-containing&nbsp;protein,97.2
1317118.ATO8_01560,ATO8_01560,Conjugal&nbsp;transfer&nbsp;ATPase&nbsp;TrbE,97.2
1317118.ATO8_13727,ispH,4-hydroxy-3-methylbut-2-enyl&nbsp;diphosphate&nbsp;reductase,97.2
1317118.ATO8_04536,ATO8_04536,D-isomer&nbsp;specific&nbsp;2-hydroxyacid&nbsp;dehydrogenase,97.2
1317118.ATO8_05756,mdh,Malate&nbsp;dehydrogenase,97.1
1317118.ATO8_11229,ATO8_11229,COG1793&nbsp;ATP-dependent&nbsp;DNA&nbsp;ligase,97.1
1317118.ATO8_11574,ATO8_11574,Histidinol-phosphate&nbsp;phosphatase&nbsp;HisN,97.0
1317118.ATO8_09323,ATO8_09323,Transport&nbsp;permease&nbsp;protein,97.0
1317118.ATO8_04341,ATO8_04341,annotation&nbsp;not&nbsp;available,97.0
1317118.ATO8_20134,ATO8_20134,Cyclic&nbsp;nucleotide-binding&nbsp;protein,97.0
1317118.ATO8_15983,ATO8_15983,HAD&nbsp;family&nbsp;hydrolase,97.0
1317118.ATO8_14647,groEL,60&nbsp;kDa&nbsp;chaperonin,96.9
1317118.ATO8_09111,ATO8_09111,Fumarylacetoacetate&nbsp;hydrolase&nbsp;family&nbsp;protein,96.8
1317118.ATO8_17835,ATO8_17835,COG0408&nbsp;Coproporphyrinogen&nbsp;III&nbsp;oxidase,96.8
1317118.ATO8_09523,secB,Protein-export&nbsp;protein&nbsp;SecB,96.8
