314264.ROS217_04085,EAQ25241.1,COG0642&nbsp;Signal&nbsp;transduction&nbsp;histidine&nbsp;kinase,98.9
314264.ROS217_07000,EAQ25486.1,Putative&nbsp;oxidoreductase,98.8
314264.ROS217_20767,nuoA,NADH-quinone&nbsp;oxidoreductase&nbsp;subunit&nbsp;A,98.7
314264.ROS217_14821,EAQ26459.1,Siroheme&nbsp;synthase,98.6
314264.ROS217_10252,EAQ24528.1,COG2301&nbsp;Citrate&nbsp;lyase&nbsp;beta&nbsp;subunit,98.4
314264.ROS217_18357,EAQ23262.1,"Benzoate-coenzyme&nbsp;A&nbsp;ligase,&nbsp;putative",98.4
314264.ROS217_04765,EAQ25377.1,Uncharacterized&nbsp;protein,98.3
314264.ROS217_10877,EAQ24653.1,COG0160&nbsp;4-aminobutyrate&nbsp;aminotransferase&nbsp;and&nbsp;related&nbsp;aminotransferases,98.2
314264.ROS217_08394,EAQ23683.1,"COG1053&nbsp;Succinate&nbsp;dehydrogenase/fumarate&nbsp;reductase,&nbsp;flavoprotein&nbsp;subunit",98.2
314264.ROS217_23067,EAQ27458.1,Phosphate&nbsp;acetyltransferase,98.1
314264.ROS217_04520,EAQ25328.1,"COG1788&nbsp;Acyl&nbsp;CoA:acetate/3-ketoacid&nbsp;CoA&nbsp;transferase,&nbsp;alpha&nbsp;subunit",98.0
314264.ROS217_15355,EAQ23924.1,Putative&nbsp;DnaJ/CbpA-type&nbsp;protein,97.9
314264.ROS217_19797,EAQ26804.1,annotation&nbsp;not&nbsp;available,97.8
314264.ROS217_00505,EAQ23811.1,COG1024&nbsp;Enoyl-CoA&nbsp;hydratase/carnithine&nbsp;racemase,97.8
314264.ROS217_04090,EAQ25242.1,COG0745&nbsp;Response&nbsp;regulators&nbsp;consisting&nbsp;of&nbsp;a&nbsp;CheY-like&nbsp;receiver&nbsp;domain&nbsp;and&nbsp;a&nbsp;winged-helix&nbsp;DNA-binding&nbsp;domain,97.8
314264.ROS217_07550,EAQ25596.1,Tetratricopeptide,97.7
314264.ROS217_23062,EAQ27457.1,"ATP-binding&nbsp;region,&nbsp;ATPase-like:Histidine&nbsp;kinase,&nbsp;HAMPregion:Histidine&nbsp;kinase&nbsp;A,&nbsp;N-terminal",97.6
314264.ROS217_00585,EAQ23827.1,"COG1902&nbsp;NADH:flavin&nbsp;oxidoreductases,&nbsp;Old&nbsp;Yellow&nbsp;Enzyme&nbsp;family",97.3
314264.ROS217_18787,EAQ26602.1,Putative&nbsp;membrane&nbsp;protein,97.2
314264.ROS217_13936,leuS,Leucine--tRNA&nbsp;ligase,96.7
314264.ROS217_05064,EAQ25688.1,Non-ribosomal&nbsp;peptide&nbsp;synthetase,96.6
314264.ROS217_09130,EAQ24402.1,Class&nbsp;I&nbsp;diheme&nbsp;cytochrome&nbsp;c4,96.5
314264.ROS217_10462,EAQ24570.1,TPR&nbsp;domain&nbsp;protein,96.4
314264.ROS217_09987,EAQ23431.1,Two-component&nbsp;system&nbsp;sensor&nbsp;protein,96.4
314264.ROS217_20897,EAQ27024.1,Sensory&nbsp;box&nbsp;sensor&nbsp;histidine&nbsp;kianse/response&nbsp;regulator,96.4
314264.ROS217_04590,EAQ25342.1,"Lipoprotein,&nbsp;putative",96.3
314264.ROS217_10302,EAQ24538.1,Beta&nbsp;sliding&nbsp;clamp,96.2
314264.ROS217_08089,rpoA,DNA-directed&nbsp;RNA&nbsp;polymerase&nbsp;subunit&nbsp;alpha,96.0
314264.ROS217_23780,EAQ23136.1,"Sarcosine&nbsp;oxidase,&nbsp;alpha&nbsp;subunit&nbsp;family&nbsp;protein",95.8
314264.ROS217_17352,EAQ24992.1,COG4564&nbsp;Signal&nbsp;transduction&nbsp;histidine&nbsp;kinase,95.8
314264.ROS217_04385,EAQ25301.1,COG1960&nbsp;Acyl-CoA&nbsp;dehydrogenases,95.4
314264.ROS217_09580,EAQ24492.1,"COG1838&nbsp;Tartrate&nbsp;dehydratase&nbsp;beta&nbsp;subunit/Fumarate&nbsp;hydratase&nbsp;class&nbsp;I,&nbsp;C-terminal&nbsp;domain",95.4
314264.ROS217_06024,EAQ25880.1,Fumarate&nbsp;hydratase&nbsp;class&nbsp;I,94.8
314264.ROS217_20272,EAQ26899.1,"COG0581&nbsp;ABC-type&nbsp;phosphate&nbsp;transport&nbsp;system,&nbsp;permease&nbsp;component",94.7
314264.ROS217_23437,EAQ27532.1,Enoyl-CoA&nbsp;hydratase/isomerase&nbsp;family&nbsp;protein,94.6
314264.ROS217_00270,EAQ23764.1,"Type&nbsp;IV&nbsp;secretion&nbsp;system&nbsp;protein&nbsp;B10,&nbsp;putative",94.6
314264.ROS217_00510,EAQ23812.1,Probable&nbsp;propionyl-CoA&nbsp;carboxylase&nbsp;(Beta&nbsp;subunit),94.4
314264.ROS217_14086,EAQ26312.1,COG0745&nbsp;Response&nbsp;regulators&nbsp;consisting&nbsp;of&nbsp;a&nbsp;CheY-like&nbsp;receiver&nbsp;domain&nbsp;and&nbsp;a&nbsp;winged-helix&nbsp;DNA-binding&nbsp;domain,94.0
314264.ROS217_18962,EAQ26637.1,COG0069&nbsp;Glutamate&nbsp;synthase&nbsp;domain&nbsp;2,93.9
