585529.HMPREF0291_11231,qcrC,Menaquinol-cytochrome&nbsp;c&nbsp;reductase&nbsp;cytochrome&nbsp;c&nbsp;subunit,98.9
585529.HMPREF0291_10156,EFK54898.1,O-acetylhomoserine&nbsp;aminocarboxypropyltransferase,98.9
585529.HMPREF0291_11744,EFK54087.1,DAK2&nbsp;domain&nbsp;fusion&nbsp;protein&nbsp;YloV,98.6
585529.HMPREF0291_10298,EFK55040.1,Polyprenyl&nbsp;synthetase,98.6
585529.HMPREF0291_12218,EFK54560.1,ThiF&nbsp;family&nbsp;protein,98.5
585529.HMPREF0291_11806,ligA,DNA&nbsp;ligase,98.4
585529.HMPREF0291_12114,rpmE,50S&nbsp;ribosomal&nbsp;protein&nbsp;L31&nbsp;type&nbsp;B,98.3
585529.HMPREF0291_10861,hpt,Hypoxanthine&nbsp;phosphoribosyltransferase,98.3
585529.HMPREF0291_11096,EFK54716.1,Phosphoglycerate&nbsp;mutase&nbsp;family&nbsp;protein,98.3
585529.HMPREF0291_10913,EFK55655.1,RelA/SpoT&nbsp;domain&nbsp;protein,98.3
585529.HMPREF0291_11192,EFK53535.1,Glutamine&nbsp;synthetase,98.2
585529.HMPREF0291_10260,thiD,Phosphomethylpyrimidine&nbsp;kinase,98.1
585529.HMPREF0291_11950,EFK54293.1,"5'-nucleotidase,&nbsp;C-terminal&nbsp;domain&nbsp;protein",98.0
585529.HMPREF0291_10686,EFK55428.1,Phosphoglycerate&nbsp;mutase&nbsp;family&nbsp;protein,97.9
585529.HMPREF0291_12045,prs,Ribose-phosphate&nbsp;pyrophosphokinase,97.9
585529.HMPREF0291_10186,guaB,Inosine-5'-monophosphate&nbsp;dehydrogenase,97.7
585529.HMPREF0291_11341,ffh,Signal&nbsp;recognition&nbsp;particle&nbsp;protein,97.6
585529.HMPREF0291_10790,clpB,Chaperone&nbsp;protein&nbsp;ClpB,97.5
585529.HMPREF0291_11230,EFK53573.1,"Cytochrome&nbsp;c&nbsp;oxidase,&nbsp;subunit&nbsp;III",97.5
585529.HMPREF0291_10251,EFK54993.1,Tat&nbsp;pathway&nbsp;signal&nbsp;sequence&nbsp;domain&nbsp;protein,97.5
585529.HMPREF0291_11796,EFK54139.1,NAD&nbsp;dependent&nbsp;epimerase/dehydratase&nbsp;family&nbsp;protein,97.4
585529.HMPREF0291_11605,uppP,Undecaprenyl-diphosphatase,97.3
585529.HMPREF0291_11459,EFK53802.1,Inositol-1-monophosphatase,97.3
585529.HMPREF0291_11528,pyrB,Aspartate&nbsp;carbamoyltransferase,97.2
585529.HMPREF0291_12104,EFK54446.1,Nucleotidyl&nbsp;transferase,97.1
585529.HMPREF0291_10947,cysE,Serine&nbsp;acetyltransferase,97.1
585529.HMPREF0291_10932,EFK55674.1,Succinate&nbsp;CoA&nbsp;transferase,96.8
585529.HMPREF0291_11010,rdgB,dITP/XTP&nbsp;pyrophosphatase,96.8
585529.HMPREF0291_12175,EFK54517.1,"FAD&nbsp;linked&nbsp;oxidase,&nbsp;C-terminal&nbsp;domain&nbsp;protein",96.8
585529.HMPREF0291_10764,cysD,Sulfate&nbsp;adenylyltransferase,96.8
585529.HMPREF0291_11832,atpC,ATP&nbsp;synthase&nbsp;epsilon&nbsp;chain,96.7
585529.HMPREF0291_11691,pheT,Phenylalanine--tRNA&nbsp;ligase&nbsp;beta&nbsp;subunit,96.7
585529.HMPREF0291_10171,dnaE2,Error-prone&nbsp;DNA&nbsp;polymerase,96.6
585529.HMPREF0291_10438,EFK55180.1,Catalase,96.5
585529.HMPREF0291_10196,yeaZ,Universal&nbsp;bacterial&nbsp;protein&nbsp;YeaZ,96.4
585529.HMPREF0291_11560,tpiA,Triosephosphate&nbsp;isomerase,96.4
585529.HMPREF0291_10892,otsB,Trehalose&nbsp;6-phosphate&nbsp;phosphatase,96.3
585529.HMPREF0291_11822,EFK54165.1,Electron&nbsp;transfer&nbsp;flavoprotein&nbsp;domain&nbsp;protein,95.9
585529.HMPREF0291_12142,thyA,Thymidylate&nbsp;synthase,95.6
585529.HMPREF0291_10581,gyrB,DNA&nbsp;gyrase&nbsp;subunit&nbsp;B,95.6
585529.HMPREF0291_12034,EFK54377.1,"ABC&nbsp;transporter,&nbsp;permease&nbsp;protein",95.5
585529.HMPREF0291_10547,EFK55289.1,"ABC&nbsp;transporter,&nbsp;ATP-binding&nbsp;protein",95.5
585529.HMPREF0291_11361,EFK53704.1,Amidase,95.4
585529.HMPREF0291_10172,EFK54914.1,NLPA&nbsp;lipoprotein,95.4
585529.HMPREF0291_12075,EFK54417.1,Putative&nbsp;phage&nbsp;tail&nbsp;component&nbsp;domain&nbsp;protein,95.2
585529.HMPREF0291_10894,EFK55636.1,"Putative&nbsp;alpha,alpha-trehalose-phosphate&nbsp;synthase&nbsp;(UDP-forming)",95.2
585529.HMPREF0291_10863,folE,GTP&nbsp;cyclohydrolase&nbsp;1,95.2
585529.HMPREF0291_10208,rplM,50S&nbsp;ribosomal&nbsp;protein&nbsp;L13,95.1
585529.HMPREF0291_11765,EFK54108.1,Isochorismate&nbsp;synthase,95.0
585529.HMPREF0291_11216,gcvP,Glycine&nbsp;dehydrogenase&nbsp;(aminomethyl-transferring),94.9
585529.HMPREF0291_11779,ilvN,"Acetolactate&nbsp;synthase,&nbsp;small&nbsp;subunit",94.9
585529.HMPREF0291_10264,rpmC,50S&nbsp;ribosomal&nbsp;protein&nbsp;L29,94.5
585529.HMPREF0291_10733,pckG,Phosphoenolpyruvate&nbsp;carboxykinase&nbsp;[GTP],94.2
585529.HMPREF0291_11210,EFK53553.1,Acetyl-CoA&nbsp;C-acetyltransferase,94.0
585529.HMPREF0291_11836,atpH,ATP&nbsp;synthase&nbsp;subunit&nbsp;delta,94.0
585529.HMPREF0291_11227,EFK53570.1,"Cytochrome&nbsp;C&nbsp;oxidase&nbsp;subunit&nbsp;II,&nbsp;periplasmic&nbsp;domain&nbsp;protein",93.9
585529.HMPREF0291_10847,EFK55589.1,Enoyl-CoA&nbsp;hydratase/isomerase&nbsp;family&nbsp;protein,93.8
585529.HMPREF0291_11756,EFK54099.1,"Putative&nbsp;2,3-diaminopropionate&nbsp;biosynthesis&nbsp;protein&nbsp;SbnA",93.8
585529.HMPREF0291_11001,pncB,Nicotinate&nbsp;phosphoribosyltransferase,93.7
585529.HMPREF0291_11502,EFK53845.1,"ABC&nbsp;transporter,&nbsp;permease&nbsp;protein",93.6
585529.HMPREF0291_10442,EFK55184.1,Aspartokinase,93.6
585529.HMPREF0291_10250,EFK54992.1,"Iron&nbsp;chelate&nbsp;uptake&nbsp;ABC&nbsp;transporter,&nbsp;FeCT&nbsp;family,&nbsp;permease&nbsp;protein",93.5
585529.HMPREF0291_11208,EFK53551.1,MaoC-like&nbsp;protein,93.5
585529.HMPREF0291_11122,EFK54742.1,"Aminotransferase,&nbsp;class&nbsp;I/II",93.5
585529.HMPREF0291_12021,glyA,Serine&nbsp;hydroxymethyltransferase,93.3
585529.HMPREF0291_11852,EFK54195.1,Homoserine&nbsp;dehydrogenase,93.3
585529.HMPREF0291_11989,EFK54332.1,Putative&nbsp;DNA-directed&nbsp;DNA&nbsp;polymerase,93.1
585529.HMPREF0291_10548,EFK55290.1,"ABC&nbsp;transporter,&nbsp;permease&nbsp;protein",93.1
585529.HMPREF0291_10787,EFK55529.1,annotation&nbsp;not&nbsp;available,92.9
585529.HMPREF0291_10349,EFK55091.1,Ppx/GppA&nbsp;phosphatase&nbsp;family&nbsp;protein,92.8
585529.HMPREF0291_10368,sdhA,Succinate&nbsp;dehydrogenase&nbsp;flavoprotein&nbsp;subunit,92.7
585529.HMPREF0291_10201,glmS,Glutamine--fructose-6-phosphate&nbsp;aminotransferase&nbsp;[isomerizing],92.7
585529.HMPREF0291_10829,EFK55571.1,"Acetyltransferase,&nbsp;GNAT&nbsp;family",92.6
585529.HMPREF0291_10925,EFK55667.1,Phosphate-binding&nbsp;protein&nbsp;PstS,92.6
585529.HMPREF0291_10477,EFK55219.1,Putative&nbsp;histidinol-phosphate&nbsp;transaminase,92.6
585529.HMPREF0291_11489,EFK53832.1,"ABC&nbsp;transporter,&nbsp;substrate-binding&nbsp;protein,&nbsp;family&nbsp;5",92.5
585529.HMPREF0291_11427,EFK53770.1,Glutamate&nbsp;synthase&nbsp;domain&nbsp;protein,92.4
585529.HMPREF0291_12141,EFK54483.1,Inositol-1-monophosphatase,92.4
585529.HMPREF0291_11318,pyk,Pyruvate&nbsp;kinase,92.3
