318167.Sfri_1898,Sfri_1898,PFAM:&nbsp;iron-containing&nbsp;alcohol&nbsp;dehydrogenase,98.9
318167.Sfri_2779,Sfri_2779,PFAM:&nbsp;isocitrate/isopropylmalate&nbsp;dehydrogenase,98.9
318167.Sfri_3554,Sfri_3554,KEGG:&nbsp;son:SO4142&nbsp;cytochrome&nbsp;c&nbsp;family&nbsp;protein,98.7
318167.Sfri_1250,Sfri_1250,KEGG:&nbsp;son:SO4019&nbsp;hypothetical&nbsp;protein,98.7
318167.Sfri_0222,Sfri_0222,"PFAM:&nbsp;cytochrome&nbsp;c&nbsp;oxidase,&nbsp;subunit&nbsp;III",98.7
318167.Sfri_2451,Sfri_2451,PFAM:&nbsp;SMC&nbsp;domain&nbsp;protein,98.7
318167.Sfri_3375,lptA,Lipopolysaccharide&nbsp;export&nbsp;system&nbsp;protein&nbsp;LptA,98.7
318167.Sfri_2423,Sfri_2423,Iron-sulfur&nbsp;cluster&nbsp;assembly&nbsp;scaffold&nbsp;protein&nbsp;IscU,98.6
318167.Sfri_2340,sucD,Succinate--CoA&nbsp;ligase&nbsp;[ADP-forming]&nbsp;subunit&nbsp;alpha,98.6
318167.Sfri_0087,Sfri_0087,"TIGRFAM:&nbsp;molybdate&nbsp;ABC&nbsp;transporter,&nbsp;inner&nbsp;membrane&nbsp;subunit",98.6
318167.Sfri_0168,secY,Protein&nbsp;translocase&nbsp;subunit&nbsp;SecY,98.5
318167.Sfri_0762,Sfri_0762,Gamma-glutamyl&nbsp;phosphate&nbsp;reductase,98.5
318167.Sfri_1505,Sfri_1505,Nitrate&nbsp;reductase,98.4
318167.Sfri_1215,Sfri_1215,"PFAM:&nbsp;histidine&nbsp;kinase,&nbsp;HAMP&nbsp;region&nbsp;domain&nbsp;protein",98.3
318167.Sfri_0975,carA,"TIGRFAM:&nbsp;carbamoyl-phosphate&nbsp;synthase,&nbsp;small&nbsp;subunit",98.3
318167.Sfri_2660,Sfri_2660,PFAM:&nbsp;glutaredoxin&nbsp;2,98.3
318167.Sfri_0364,rpoZ,DNA-directed&nbsp;RNA&nbsp;polymerase&nbsp;subunit&nbsp;omega,98.3
318167.Sfri_1916,Sfri_1916,KEGG:&nbsp;pha:PSHAa2581&nbsp;hypothetical&nbsp;protein,98.2
318167.Sfri_0257,Sfri_0257,Cytochrome&nbsp;c&nbsp;oxidase&nbsp;subunit&nbsp;1,98.2
318167.Sfri_0976,carB,"TIGRFAM:&nbsp;carbamoyl-phosphate&nbsp;synthase,&nbsp;large&nbsp;subunit",98.2
318167.Sfri_3280,panB,3-methyl-2-oxobutanoate&nbsp;hydroxymethyltransferase,98.2
318167.Sfri_2327,Sfri_2327,KEGG:&nbsp;son:SO1962&nbsp;4-hydroxyphenylpyruvate&nbsp;dioxygenase,98.1
318167.Sfri_1470,Sfri_1470,Multi-sensor&nbsp;hybrid&nbsp;histidine&nbsp;kinase,98.1
318167.Sfri_0057,Sfri_0057,Formate&nbsp;dehydrogenase&nbsp;alpha&nbsp;subunit,98.1
318167.Sfri_3019,Sfri_3019,3-mercaptopyruvate&nbsp;sulfurtransferase,98.0
318167.Sfri_1765,dapE,Succinyl-diaminopimelate&nbsp;desuccinylase,98.0
318167.Sfri_1611,Sfri_1611,"KEGG:&nbsp;son:SO3714&nbsp;sugar-binding&nbsp;protein,&nbsp;putative",98.0
318167.Sfri_2461,ligA,DNA&nbsp;ligase,97.9
318167.Sfri_2993,rpsU,PFAM:&nbsp;ribosomal&nbsp;protein&nbsp;S21,97.9
318167.Sfri_3359,rpsI,PFAM:&nbsp;ribosomal&nbsp;protein&nbsp;S9,97.9
318167.Sfri_0633,Sfri_0633,PFAM:&nbsp;ferredoxin-dependent&nbsp;glutamate&nbsp;synthase,97.9
318167.Sfri_0917,Sfri_0917,"PFAM:&nbsp;DNA&nbsp;polymerase&nbsp;III&nbsp;chi&nbsp;subunit,&nbsp;HolC",97.9
318167.Sfri_0671,Sfri_0671,"KEGG:&nbsp;son:SO3575&nbsp;CDP-diacylglycerol--serine&nbsp;O-phosphatidyltransferase,&nbsp;putative",97.7
318167.Sfri_2236,rsmF,Ribosomal&nbsp;RNA&nbsp;small&nbsp;subunit&nbsp;methyltransferase&nbsp;F,97.6
318167.Sfri_3452,Sfri_3452,KEGG:&nbsp;son:SOA0013&nbsp;umuD&nbsp;protein,97.6
318167.Sfri_1064,csrA,Translational&nbsp;regulator&nbsp;CsrA,97.6
318167.Sfri_0116,Sfri_0116,"TIGRFAM:&nbsp;HAD-superfamily&nbsp;hydrolase,&nbsp;subfamily&nbsp;IA,&nbsp;variant&nbsp;3",97.6
318167.Sfri_1221,Sfri_1221,PFAM:&nbsp;beta-ketoacyl&nbsp;synthase,97.5
318167.Sfri_1360,Sfri_1360,Phosphate-specific&nbsp;transport&nbsp;system&nbsp;accessory&nbsp;protein&nbsp;PhoU,97.5
318167.Sfri_0963,Sfri_0963,"PFAM:&nbsp;peptidase&nbsp;M17,&nbsp;leucyl&nbsp;aminopeptidase&nbsp;domain&nbsp;protein",97.5
318167.Sfri_2368,Sfri_2368,PFAM:&nbsp;protein&nbsp;of&nbsp;unknown&nbsp;function&nbsp;DUF877,97.4
318167.Sfri_1936,Sfri_1936,"PFAM:&nbsp;Transketolase,&nbsp;central&nbsp;region",97.4
318167.Sfri_3600,Sfri_3600,PFAM:&nbsp;short-chain&nbsp;dehydrogenase/reductase&nbsp;SDR,97.4
318167.Sfri_2104,Sfri_2104,"PFAM:&nbsp;nickel-dependent&nbsp;hydrogenase,&nbsp;large&nbsp;subunit",97.4
