1150599.MPHLEI_01247,drrA_1,Doxorubicin&nbsp;resistance&nbsp;ATP-binding&nbsp;protein&nbsp;DrrA,98.9
1150599.MPHLEI_04767,rpsG,COG0049&nbsp;Ribosomal&nbsp;protein&nbsp;S7,98.9
1150599.MPHLEI_13061,xylA,COG2115&nbsp;Xylose&nbsp;isomerase,98.9
1150599.MPHLEI_26722,ureA,Urease&nbsp;subunit&nbsp;gamma,98.9
1150599.MPHLEI_02983,EID17794.1,COG2070&nbsp;Dioxygenases&nbsp;related&nbsp;to&nbsp;2-nitropropane&nbsp;dioxygenase,98.9
1150599.MPHLEI_20814,EID11147.1,COG1314&nbsp;Preprotein&nbsp;translocase&nbsp;subunit&nbsp;SecG,98.9
1150599.MPHLEI_10585,dnaK_4,Chaperone&nbsp;protein&nbsp;DnaK,98.9
1150599.MPHLEI_15816,EID12802.1,COG0500&nbsp;SAM-dependent&nbsp;methyltransferases,98.9
1150599.MPHLEI_16801,thiL_2,COG0611&nbsp;Thiamine&nbsp;monophosphate&nbsp;kinase,98.8
1150599.MPHLEI_17255,tcrY_1,Putative&nbsp;sensor&nbsp;histidine&nbsp;kinase&nbsp;TcrY,98.8
1150599.MPHLEI_13486,topA,DNA&nbsp;topoisomerase&nbsp;1,98.8
1150599.MPHLEI_19020,linC_1,COG1028&nbsp;Dehydrogenases&nbsp;with&nbsp;different&nbsp;specificities&nbsp;(related&nbsp;to&nbsp;short-chain&nbsp;alcohol&nbsp;dehydrogenases),98.8
1150599.MPHLEI_23414,bkdC,"COG0508&nbsp;Pyruvate/2-oxoglutarate&nbsp;dehydrogenase&nbsp;complex,&nbsp;dihydrolipoamide&nbsp;acyltransferase&nbsp;(E2)&nbsp;component,&nbsp;and&nbsp;related&nbsp;enzymes",98.7
1150599.MPHLEI_19809,sigH_2,"COG1595&nbsp;DNA-directed&nbsp;RNA&nbsp;polymerase&nbsp;specialized&nbsp;sigma&nbsp;subunit,&nbsp;sigma24&nbsp;homolog",98.7
1150599.MPHLEI_16596,gatA,COG0154&nbsp;Asp-tRNAAsn/Glu-tRNAGln&nbsp;amidotransferase&nbsp;A&nbsp;subunit&nbsp;and&nbsp;related&nbsp;amidases,98.7
1150599.MPHLEI_24604,EID09643.1,annotation&nbsp;not&nbsp;available,98.7
1150599.MPHLEI_00917,glcA,"Glucan&nbsp;endo-1,3-beta-glucosidase&nbsp;A1&nbsp;precursor",98.6
1150599.MPHLEI_18805,paaG_4,"1,2-epoxyphenylacetyl-CoA&nbsp;isomerase",98.6
1150599.MPHLEI_00100,yurY,Vegetative&nbsp;protein&nbsp;296,98.6
1150599.MPHLEI_05992,EID16004.1,COG3428&nbsp;Predicted&nbsp;membrane&nbsp;protein,98.6
1150599.MPHLEI_21534,moaE1,"COG0314&nbsp;Molybdopterin&nbsp;converting&nbsp;factor,&nbsp;large&nbsp;subunit",98.6
1150599.MPHLEI_13766,EID13836.1,COG0500&nbsp;SAM-dependent&nbsp;methyltransferases,98.6
1150599.MPHLEI_15431,hypF,Carbamoyltransferase&nbsp;HypF,98.6
1150599.MPHLEI_06632,EID16132.1,COG0714&nbsp;MoxR-like&nbsp;ATPases,98.6
1150599.MPHLEI_12906,acrC_4,Acryloyl-CoA&nbsp;reductase&nbsp;(NADH),98.6
1150599.MPHLEI_08119,pgsA2,Putative&nbsp;CDP-diacylglycerol--glycerol-3-phosphate&nbsp;3-phosphatidyl-transferase&nbsp;2,98.5
