716541.ECL_01487,ECL_01487,annotation&nbsp;not&nbsp;available,98.9
716541.ECL_04544,deaD,ATP-dependent&nbsp;RNA&nbsp;helicase&nbsp;DeaD,98.9
716541.ECL_02460,ECL_02460,annotation&nbsp;not&nbsp;available,98.8
716541.ECL_01619,narL,annotation&nbsp;not&nbsp;available,98.8
716541.ECL_01625,narI,annotation&nbsp;not&nbsp;available,98.7
716541.ECL_00749,hpaC,annotation&nbsp;not&nbsp;available,98.6
716541.ECL_04603,ECL_04603,annotation&nbsp;not&nbsp;available,98.6
716541.ECL_03626,nuoH,NADH-quinone&nbsp;oxidoreductase&nbsp;subunit&nbsp;H,98.6
716541.ECL_02498,ECL_02498,annotation&nbsp;not&nbsp;available,98.5
716541.ECL_03534,glpB,Anaerobic&nbsp;glycerol-3-phosphate&nbsp;dehydrogenase&nbsp;subunit&nbsp;B,98.5
716541.ECL_04329,ECL_04329,annotation&nbsp;not&nbsp;available,98.4
716541.ECL_03619,ECL_03619,annotation&nbsp;not&nbsp;available,98.4
716541.ECL_03749,ECL_03749,annotation&nbsp;not&nbsp;available,98.4
716541.ECL_04687,rplN,50S&nbsp;ribosomal&nbsp;protein&nbsp;L14,98.2
716541.ECL_02439,ECL_02439,annotation&nbsp;not&nbsp;available,98.2
716541.ECL_05051,glpK,Glycerol&nbsp;kinase,98.2
716541.ECL_04389,ureC,annotation&nbsp;not&nbsp;available,98.1
716541.ECL_02058,ECL_02058,annotation&nbsp;not&nbsp;available,98.0
716541.ECL_02413,ECL_02413,annotation&nbsp;not&nbsp;available,98.0
716541.ECL_00058,ECL_00058,annotation&nbsp;not&nbsp;available,98.0
716541.ECL_01492,ECL_01492,annotation&nbsp;not&nbsp;available,98.0
716541.ECL_02518,ECL_02518,annotation&nbsp;not&nbsp;available,97.9
716541.ECL_00931,ECL_00931,Carbonic&nbsp;anhydrase,97.8
716541.ECL_02418,rpmI,annotation&nbsp;not&nbsp;available,97.8
716541.ECL_00353,ECL_00353,annotation&nbsp;not&nbsp;available,97.6
716541.ECL_04768,ECL_04768,annotation&nbsp;not&nbsp;available,97.6
716541.ECL_04055,ECL_04055,annotation&nbsp;not&nbsp;available,97.6
716541.ECL_00312,ECL_00312,annotation&nbsp;not&nbsp;available,97.5
716541.ECL_02988,cpoB,Cell&nbsp;division&nbsp;coordinator&nbsp;CpoB,97.5
716541.ECL_04593,ECL_04593,annotation&nbsp;not&nbsp;available,97.5
716541.ECL_03760,ECL_03760,annotation&nbsp;not&nbsp;available,97.4
716541.ECL_04396,tsaD,tRNA&nbsp;N6-adenosine&nbsp;threonylcarbamoyltransferase,97.4
716541.ECL_03860,ndk,Nucleoside&nbsp;diphosphate&nbsp;kinase,97.3
716541.ECL_02703,ECL_02703,annotation&nbsp;not&nbsp;available,97.3
716541.ECL_00241,rplK,50S&nbsp;ribosomal&nbsp;protein&nbsp;L11,97.3
716541.ECL_02946,clsB,Cardiolipin&nbsp;synthase&nbsp;B,97.2
716541.ECL_02949,moaE,annotation&nbsp;not&nbsp;available,97.1
716541.ECL_01441,ECL_01441,annotation&nbsp;not&nbsp;available,97.1
716541.ECL_05092,ECL_05092,annotation&nbsp;not&nbsp;available,97.0
716541.ECL_00855,rapA,RNA&nbsp;polymerase-associated&nbsp;protein&nbsp;RapA,97.0
716541.ECL_02950,moaD,Molybdopterin&nbsp;synthase&nbsp;sulfur&nbsp;carrier&nbsp;subunit,97.0
716541.ECL_01748,pyrF,Orotidine&nbsp;5'-phosphate&nbsp;decarboxylase,97.0
716541.ECL_01503,minC,Probable&nbsp;septum&nbsp;site-determining&nbsp;protein&nbsp;MinC,97.0
716541.ECL_03306,ECL_03306,Chemotaxis&nbsp;response&nbsp;regulator&nbsp;protein-glutamate&nbsp;methylesterase,97.0
716541.ECL_00913,aceE,Pyruvate&nbsp;dehydrogenase&nbsp;E1&nbsp;component,96.9
716541.ECL_04674,rpsK,30S&nbsp;ribosomal&nbsp;protein&nbsp;S11,96.9
716541.ECL_03250,ECL_03250,annotation&nbsp;not&nbsp;available,96.7
716541.ECL_00953,ECL_00953,Penicillin-binding&nbsp;protein&nbsp;1B,96.7
716541.ECL_05010,ilvA,L-threonine&nbsp;dehydratase,96.7
716541.ECL_01844,ECL_01844,annotation&nbsp;not&nbsp;available,96.6
716541.ECL_03459,mglB,annotation&nbsp;not&nbsp;available,96.6
716541.ECL_04706,rpsG,30S&nbsp;ribosomal&nbsp;protein&nbsp;S7,96.6
