99598.Cal7507_0126,AFY30630.1,PFAM:&nbsp;TOBE&nbsp;domain,98.9
99598.Cal7507_3019,cugP,UTP--glucose-1-phosphate&nbsp;uridylyltransferase,98.9
99598.Cal7507_1065,AFY31541.1,Integral&nbsp;membrane&nbsp;sensor&nbsp;signal&nbsp;transduction&nbsp;histidine&nbsp;kinase,98.9
99598.Cal7507_2076,AFY32519.1,Capsular&nbsp;exopolysaccharide&nbsp;family,98.9
99598.Cal7507_0240,AFY30739.1,PFAM:&nbsp;MerR&nbsp;family&nbsp;regulatory&nbsp;protein,98.8
99598.Cal7507_3464,AFY33863.1,PFAM:&nbsp;ABC&nbsp;transporter,98.8
99598.Cal7507_3095,rpoC1,DNA-directed&nbsp;RNA&nbsp;polymerase&nbsp;subunit&nbsp;gamma,98.8
99598.Cal7507_0823,AFY31307.1,"ABC-type&nbsp;transporter,&nbsp;periplasmic&nbsp;subunit",98.7
99598.Cal7507_4429,hisI,Histidine&nbsp;biosynthesis&nbsp;bifunctional&nbsp;protein&nbsp;HisIE,98.7
99598.Cal7507_1105,AFY31581.1,PFAM:&nbsp;Aminotransferase&nbsp;class-III,98.7
99598.Cal7507_1765,AFY32222.1,Sulfurtransferase,98.7
99598.Cal7507_6128,AFY36426.1,PFAM:&nbsp;ABC&nbsp;transporter,98.6
99598.Cal7507_5850,AFY36164.1,Peptidoglycan&nbsp;glycosyltransferase,98.6
99598.Cal7507_0914,secD,Protein&nbsp;translocase&nbsp;subunit&nbsp;SecD,98.5
99598.Cal7507_6119,AFY36417.1,Multi-sensor&nbsp;signal&nbsp;transduction&nbsp;multi-kinase,98.5
99598.Cal7507_1625,AFY32083.1,Phosphate-specific&nbsp;transport&nbsp;system&nbsp;accessory&nbsp;protein&nbsp;PhoU,98.5
99598.Cal7507_3915,AFY34303.1,Putative&nbsp;phytochrome&nbsp;sensor&nbsp;protein,98.5
99598.Cal7507_1704,ndhJ,NAD(P)H-quinone&nbsp;oxidoreductase&nbsp;subunit&nbsp;J,98.5
99598.Cal7507_1411,AFY31877.1,PFAM:&nbsp;Thioredoxin,98.5
99598.Cal7507_2929,rpsL,30S&nbsp;ribosomal&nbsp;protein&nbsp;S12,98.5
99598.Cal7507_0031,AFY30545.1,"Two&nbsp;component&nbsp;transcriptional&nbsp;regulator,&nbsp;LuxR&nbsp;family",98.5
99598.Cal7507_3125,ackA,Acetate&nbsp;kinase,98.5
99598.Cal7507_0402,AFY30897.1,Fe(3+)-transporting&nbsp;ATPase,98.4
99598.Cal7507_5365,AFY35700.1,Orotate&nbsp;phosphoribosyltransferase,98.4
99598.Cal7507_5171,AFY35512.1,PDZ/DHR/GLGF&nbsp;domain&nbsp;protein,98.4
99598.Cal7507_1703,ndhK,NAD(P)H-quinone&nbsp;oxidoreductase&nbsp;subunit&nbsp;K,98.4
