317013.NY99_09390,PK68_01685,Cytochrome&nbsp;C&nbsp;oxidase,98.9
317013.NY99_17960,KGU52713.1,Derived&nbsp;by&nbsp;automated&nbsp;computational&nbsp;analysis&nbsp;using&nbsp;gene&nbsp;prediction&nbsp;method:&nbsp;Protein&nbsp;Homology,98.9
317013.NY99_08985,PK68_18930,Excinuclease&nbsp;ABC&nbsp;subunit&nbsp;A,98.8
317013.NY99_18940,PK68_14635,2-octaprenyl-6-methoxyphenyl&nbsp;hydroxylase,98.8
317013.NY99_11050,argC,N-acetyl-gamma-glutamyl-phosphate&nbsp;reductase,98.7
317013.NY99_12960,recR,Recombination&nbsp;protein&nbsp;RecR,98.5
317013.NY99_11770,PK68_08305,Hydroxymethylglutaryl-CoA&nbsp;lyase,98.5
317013.NY99_18335,ribA,GTP&nbsp;cyclohydrolase-2,98.4
317013.NY99_20660,PK68_19655,Cardiolipin&nbsp;synthetase,98.4
317013.NY99_17715,fabZ,3-hydroxyacyl-[acyl-carrier-protein]&nbsp;dehydratase&nbsp;FabZ,98.4
317013.NY99_11610,PK68_08140,Aspartate&nbsp;kinase,98.3
317013.NY99_04950,PK68_08765,Sodium&nbsp;ABC&nbsp;transporter&nbsp;permease,98.3
317013.NY99_20155,PK68_07395,Phosphatidate&nbsp;cytidylyltransferase,98.2
317013.NY99_01380,PK68_17960,Dihydrolipoyl&nbsp;dehydrogenase,98.1
317013.NY99_14775,secD,Protein&nbsp;translocase&nbsp;subunit&nbsp;SecD,98.1
317013.NY99_20875,purT,Formate-dependent&nbsp;phosphoribosylglycinamide&nbsp;formyltransferase,98.1
317013.NY99_03105,gltA,Citrate&nbsp;synthase,98.0
317013.NY99_03880,PK68_16370,Multidrug&nbsp;transporter,97.8
317013.NY99_09170,mutS,DNA&nbsp;mismatch&nbsp;repair&nbsp;protein&nbsp;MutS,97.8
317013.NY99_05325,tolB,Protein&nbsp;TolB,97.8
317013.NY99_09400,PK68_01695,Cytochrome&nbsp;o&nbsp;ubiquinol&nbsp;oxidase&nbsp;subunit&nbsp;I,97.7
317013.NY99_17835,asnB,Functions&nbsp;in&nbsp;asparagine&nbsp;biosynthesis,97.7
317013.NY99_07985,PK68_11645,Multidrug&nbsp;transporter&nbsp;AcrB,97.6
317013.NY99_11070,proA,Gamma-glutamyl&nbsp;phosphate&nbsp;reductase,97.6
317013.NY99_08920,dnaE2,Error-prone&nbsp;DNA&nbsp;polymerase,97.5
317013.NY99_19180,PK68_04195,Cytochrome&nbsp;C&nbsp;oxidase&nbsp;subunit&nbsp;II,97.5
317013.NY99_02140,PK68_13165,Histidine&nbsp;kinase,97.5
317013.NY99_09980,PK68_03015,Polysaccharide&nbsp;biosynthesis&nbsp;protein&nbsp;GumB,97.5
317013.NY99_01270,glmS,Glutamine--fructose-6-phosphate&nbsp;aminotransferase&nbsp;[isomerizing],97.5
317013.NY99_03135,rpoZ,DNA-directed&nbsp;RNA&nbsp;polymerase&nbsp;subunit&nbsp;omega,97.5
317013.NY99_09145,leuS,leucine--tRNA&nbsp;ligase,97.5
317013.NY99_00265,PK68_16215,IcfG&nbsp;protein,97.4
317013.NY99_11950,PK68_08485,Chemotaxis&nbsp;protein,97.3
317013.NY99_18810,PK68_14760,Glutathione&nbsp;S-transferase,97.3
317013.NY99_13825,PK68_16495,Uncharacterized&nbsp;protein,97.3
317013.NY99_20615,KGU51427.1,Derived&nbsp;by&nbsp;automated&nbsp;computational&nbsp;analysis&nbsp;using&nbsp;gene&nbsp;prediction&nbsp;method:&nbsp;Protein&nbsp;Homology,97.3
317013.NY99_03465,PK68_14325,Membrane&nbsp;protein,97.2
317013.NY99_07175,rplE,50S&nbsp;ribosomal&nbsp;protein&nbsp;L5,97.2
317013.NY99_01195,PK68_19795,Phosphoglycolate&nbsp;phosphatase,97.2
317013.NY99_18540,KGU52438.1,Derived&nbsp;by&nbsp;automated&nbsp;computational&nbsp;analysis&nbsp;using&nbsp;gene&nbsp;prediction&nbsp;method:&nbsp;Protein&nbsp;Homology,97.2
317013.NY99_09785,ftsW,Probable&nbsp;peptidoglycan&nbsp;glycosyltransferase&nbsp;FtsW,97.1
317013.NY99_11870,PK68_08405,Cation&nbsp;tolerance&nbsp;protein&nbsp;CutA,97.0
317013.NY99_14780,secF,Protein-export&nbsp;membrane&nbsp;protein&nbsp;SecF,96.9
317013.NY99_02655,PK68_19335,NADH-dependent&nbsp;FMN&nbsp;reductase,96.9
317013.NY99_18375,fmt,Methionyl-tRNA&nbsp;formyltransferase,96.9
317013.NY99_03430,leuB,3-isopropylmalate&nbsp;dehydrogenase,96.9
317013.NY99_18795,PK68_14775,Histidine&nbsp;kinase,96.8
317013.NY99_07545,PK68_16835,Cytochrome&nbsp;C&nbsp;biogenesis&nbsp;protein,96.7
317013.NY99_06715,PK68_23810,Type&nbsp;VI&nbsp;secretion&nbsp;protein,96.7
317013.NY99_17295,PK68_09195,Glutathione&nbsp;S-transferase,96.6
317013.NY99_21505,rplJ,50S&nbsp;ribosomal&nbsp;protein&nbsp;L10,96.6
317013.NY99_08010,cysI,Sulfite&nbsp;reductase&nbsp;[NADPH]&nbsp;hemoprotein&nbsp;beta-component,96.5
317013.NY99_12830,aroA,3-phosphoshikimate&nbsp;1-carboxyvinyltransferase,96.3
317013.NY99_13545,PK68_16090,ATPase&nbsp;AAA,96.3
317013.NY99_14065,nuoD,NADH-quinone&nbsp;oxidoreductase&nbsp;subunit&nbsp;D,96.2
317013.NY99_01965,moaC,Cyclic&nbsp;pyranopterin&nbsp;monophosphate&nbsp;synthase,96.1
317013.NY99_08980,PK68_18920,Aldehyde&nbsp;oxidase,96.1
317013.NY99_11820,carA,Carbamoyl-phosphate&nbsp;synthase&nbsp;small&nbsp;chain,96.0
317013.NY99_11685,hisF,Imidazole&nbsp;glycerol&nbsp;phosphate&nbsp;synthase&nbsp;subunit&nbsp;HisF,95.9
317013.NY99_18130,kdpB,Potassium-transporting&nbsp;ATPase&nbsp;ATP-binding&nbsp;subunit,95.9
317013.NY99_11240,PK68_18145,Sugar&nbsp;ABC&nbsp;transporter&nbsp;permease,95.8
