28042.GU90_00275,GU90_00275,N-acyl-L-amino&nbsp;acid&nbsp;amidohydrolase,98.9
28042.GU90_05400,tuf,Elongation&nbsp;factor&nbsp;Tu,98.9
28042.GU90_10895,GU90_10895,Homocysteine&nbsp;methyltransferase,98.9
28042.GU90_15020,GU90_15020,Peptide&nbsp;ABC&nbsp;transporter&nbsp;substrate-binding&nbsp;protein,98.8
28042.GU90_05555,secE,Protein&nbsp;translocase&nbsp;subunit&nbsp;SecE,98.8
28042.GU90_08140,thrS,Threonine--tRNA&nbsp;ligase,98.8
28042.GU90_07545,GU90_07545,Diguanylate&nbsp;cyclase,98.7
28042.GU90_06695,prcA,Proteasome&nbsp;subunit&nbsp;alpha,98.7
28042.GU90_08225,secD,Protein&nbsp;translocase&nbsp;subunit&nbsp;SecD,98.7
28042.GU90_11405,GU90_11405,Aminopyrimidine&nbsp;aminohydrolase,98.6
28042.GU90_17890,GU90_17890,Methyltransferase,98.5
28042.GU90_06080,GU90_06080,Signal&nbsp;peptide&nbsp;protein,98.5
28042.GU90_18350,GU90_18350,Aldehyde&nbsp;dehydrogenase,98.5
28042.GU90_09910,GU90_09910,MerR&nbsp;family&nbsp;transcriptional&nbsp;regulator,98.5
28042.GU90_14990,dnaX,DNA&nbsp;polymerase&nbsp;III&nbsp;subunit&nbsp;gamma/tau,98.5
28042.GU90_18525,thrB,Homoserine&nbsp;kinase,98.4
28042.GU90_01070,GU90_01070,Replicative&nbsp;DNA&nbsp;helicase,98.2
28042.GU90_03130,GU90_03130,Molybdate&nbsp;ABC&nbsp;transporter&nbsp;permease,98.2
28042.GU90_00245,GU90_00245,Flavoprotein&nbsp;disulfide&nbsp;reductase,98.2
28042.GU90_06325,tpiA,Triosephosphate&nbsp;isomerase,98.1
28042.GU90_00125,purK,N5-carboxyaminoimidazole&nbsp;ribonucleotide&nbsp;synthase,98.1
28042.GU90_13755,GU90_13755,"Synthesizes&nbsp;isochorismate&nbsp;from&nbsp;chorismate&nbsp;as&nbsp;part&nbsp;of&nbsp;the&nbsp;biosynthesis&nbsp;of&nbsp;the&nbsp;siderophore&nbsp;2,3-dihydroxybenzoate",97.9
28042.GU90_11240,GU90_11240,3-mercaptopyruvate&nbsp;sulfurtransferase,97.9
28042.GU90_13860,ahcY,Adenosylhomocysteinase,97.9
28042.GU90_08545,GU90_08545,Sorbitol&nbsp;dehydrogenase,97.8
28042.GU90_09095,GU90_09095,Sulfurtransferase,97.8
28042.GU90_05625,GU90_05625,Glucose-1-phosphate&nbsp;thymidylyltransferase,97.8
28042.GU90_08865,GU90_08865,Glycerophosphodiester&nbsp;phosphodiesterase,97.8
28042.GU90_05715,nuoC,NADH-quinone&nbsp;oxidoreductase&nbsp;subunit&nbsp;C,97.8
28042.GU90_11600,GU90_11600,Aldehyde&nbsp;dehydrogenase,97.7
28042.GU90_11640,GU90_11640,Uncharacterized&nbsp;protein,97.7
28042.GU90_05510,GU90_05510,ABC&nbsp;transporter&nbsp;permease,97.7
28042.GU90_06710,GU90_06710,Amidase,97.7
28042.GU90_01995,GU90_01995,Acyl-phosphate&nbsp;glycerol&nbsp;3-phosphate&nbsp;acyltransferase,97.6
28042.GU90_08990,GU90_08990,Alkaline&nbsp;phosphatase,97.5
28042.GU90_04620,GU90_04620,3-oxoacyl-[acyl-carrier-protein]&nbsp;synthase&nbsp;2,97.5
28042.GU90_10410,GU90_10410,Hydroxyglutarate&nbsp;oxidase,97.5
28042.GU90_01425,GU90_01425,Ferredoxin,97.5
28042.GU90_17770,GU90_17770,Alcohol&nbsp;dehydrogenase,97.3
28042.GU90_05150,rpsI,30S&nbsp;ribosomal&nbsp;protein&nbsp;S9,97.3
28042.GU90_10570,GU90_10570,Cytochrome&nbsp;C&nbsp;oxidase&nbsp;assembly&nbsp;protein,97.2
28042.GU90_01120,GU90_01120,Acetyl-CoA&nbsp;acetyltransferase,97.1
28042.GU90_08380,aroQ,3-dehydroquinate&nbsp;dehydratase,97.0
28042.GU90_02865,GU90_02865,ABC&nbsp;transporter&nbsp;permease,97.0
28042.GU90_06375,tal,Transaldolase,96.9
28042.GU90_12605,GU90_12605,Phytoene&nbsp;synthase,96.9
28042.GU90_10495,GU90_10495,Glyoxalase,96.9
28042.GU90_17345,GU90_17345,Uncharacterized&nbsp;protein,96.8
28042.GU90_11055,GU90_11055,Geranylgeranyl&nbsp;pyrophosphate&nbsp;synthase,96.6
28042.GU90_15040,GU90_15040,Peptide&nbsp;ABC&nbsp;transporter&nbsp;ATPase,96.6
28042.GU90_18675,GU90_18675,3-hydroxyacyl-CoA&nbsp;dehydrogenase,96.6
28042.GU90_05845,hemL,"Glutamate-1-semialdehyde&nbsp;2,1-aminomutase",96.6
28042.GU90_03120,GU90_03120,MerR&nbsp;family&nbsp;transcriptional&nbsp;regulator,96.6
28042.GU90_06625,hisE,Phosphoribosyl-ATP&nbsp;pyrophosphatase,96.6
28042.GU90_03095,GU90_03095,Malate&nbsp;dehydrogenase,96.6
28042.GU90_00640,GU90_00640,Acyl-CoA&nbsp;dehydrogenase,96.5
28042.GU90_05375,rplB,50S&nbsp;ribosomal&nbsp;protein&nbsp;L2,96.5
28042.GU90_13460,GU90_13460,Adhesin,96.4
28042.GU90_13845,GU90_13845,MFS&nbsp;transporter,96.4
28042.GU90_02350,GU90_02350,NADPH-dependent&nbsp;FMN&nbsp;reductase,96.4
28042.GU90_05720,nuoB,NADH-quinone&nbsp;oxidoreductase&nbsp;subunit&nbsp;B,96.4
28042.GU90_00945,GU90_00945,ROK&nbsp;family&nbsp;transcriptional&nbsp;regulator,96.4
28042.GU90_09795,GU90_09795,Hydrolase,96.4
