1170318.PALO_04915,cmk,COG0283&nbsp;Cytidylate&nbsp;kinase,98.9
1170318.PALO_07260,AGJ78060.1,Cytochrome&nbsp;B,98.7
1170318.PALO_10100,AGJ78614.1,COG1239&nbsp;Mg-chelatase&nbsp;subunit&nbsp;ChlI,98.7
1170318.PALO_06645,AGJ77937.1,"COG0524&nbsp;Sugar&nbsp;kinases,&nbsp;ribokinase&nbsp;family",98.6
1170318.PALO_00600,AGJ76751.1,Protoporphyrinogen&nbsp;oxidase,98.6
1170318.PALO_07570,AGJ78118.1,COG1612&nbsp;Uncharacterized&nbsp;protein&nbsp;required&nbsp;for&nbsp;cytochrome&nbsp;oxidase&nbsp;assembly,98.6
1170318.PALO_01510,AGJ76924.1,"COG1121&nbsp;ABC-type&nbsp;Mn/Zn&nbsp;transport&nbsp;systems,&nbsp;ATPase&nbsp;component",98.5
1170318.PALO_00880,AGJ76804.1,"COG3588&nbsp;Fructose-1,6-bisphosphate&nbsp;aldolase",98.4
1170318.PALO_07100,gcvT,Aminomethyltransferase,98.4
1170318.PALO_07275,AGJ78063.1,COG1290&nbsp;Cytochrome&nbsp;b&nbsp;subunit&nbsp;of&nbsp;the&nbsp;bc&nbsp;complex,98.4
1170318.PALO_05005,rpoZ,DNA-directed&nbsp;RNA&nbsp;polymerase&nbsp;subunit&nbsp;omega,98.4
1170318.PALO_00110,AGJ76655.1,Methionine&nbsp;ABC&nbsp;transporter&nbsp;ATP-binding&nbsp;protein,98.3
1170318.PALO_01220,AGJ76866.1,COG0039&nbsp;Malate/lactate&nbsp;dehydrogenases,97.8
1170318.PALO_04270,AGJ77464.1,D-alanine--D-alanine&nbsp;ligase,97.7
1170318.PALO_11055,AGJ78792.1,COG3075&nbsp;Anaerobic&nbsp;glycerol-3-phosphate&nbsp;dehydrogenase,97.7
1170318.PALO_07830,AGJ78170.1,COG2235&nbsp;Arginine&nbsp;deiminase,97.7
1170318.PALO_00115,AGJ76656.1,"COG1173&nbsp;ABC-type&nbsp;dipeptide/oligopeptide/nickel&nbsp;transport&nbsp;systems,&nbsp;permease&nbsp;components",97.6
1170318.PALO_10265,AGJ78647.1,Sugar-binding&nbsp;protein,97.6
1170318.PALO_01005,AGJ76829.1,COG0329&nbsp;Dihydrodipicolinate&nbsp;synthase/N-acetylneuraminate&nbsp;lyase,97.4
1170318.PALO_01775,rpsE,30S&nbsp;ribosomal&nbsp;protein&nbsp;S5,97.4
1170318.PALO_07305,AGJ78069.1,"COG1622&nbsp;Heme/copper-type&nbsp;cytochrome/quinol&nbsp;oxidases,&nbsp;subunit&nbsp;2",97.2
1170318.PALO_03890,rpsP,COG0228&nbsp;Ribosomal&nbsp;protein&nbsp;S16,96.8
1170318.PALO_00905,AGJ76809.1,Carbohydrate-binding&nbsp;protein,96.4
1170318.PALO_10035,kdpB,Potassium-transporting&nbsp;ATPase&nbsp;ATP-binding&nbsp;subunit,96.0
1170318.PALO_01535,rpmG,COG0267&nbsp;Ribosomal&nbsp;protein&nbsp;L33,95.9
1170318.PALO_10425,pat,Putative&nbsp;phenylalanine&nbsp;aminotransferase,95.9
1170318.PALO_01480,AGJ76918.1,COG0377&nbsp;NADH:ubiquinone&nbsp;oxidoreductase&nbsp;20&nbsp;kD&nbsp;subunit&nbsp;and&nbsp;related&nbsp;Fe-S&nbsp;oxidoreductases,95.9
1170318.PALO_05265,AGJ77663.1,COG0067&nbsp;Glutamate&nbsp;synthase&nbsp;domain&nbsp;1,95.8
1170318.PALO_01580,rplA,50S&nbsp;ribosomal&nbsp;protein&nbsp;L1,95.8
1170318.PALO_02160,AGJ77052.1,Methionine&nbsp;ABC&nbsp;transporter&nbsp;ATP-binding&nbsp;protein,95.8
1170318.PALO_11090,AGJ78799.1,Replicative&nbsp;DNA&nbsp;helicase,95.6
1170318.PALO_06035,pyrE,Orotate&nbsp;phosphoribosyltransferase,95.5
1170318.PALO_01590,rplL,50S&nbsp;ribosomal&nbsp;protein&nbsp;L7/L12,95.4
1170318.PALO_05030,AGJ77616.1,COG2326&nbsp;Uncharacterized&nbsp;conserved&nbsp;protein,95.4
1170318.PALO_02180,AGJ77056.1,COG0210&nbsp;Superfamily&nbsp;I&nbsp;DNA&nbsp;and&nbsp;RNA&nbsp;helicases,95.2
1170318.PALO_10845,fumC,Fumarate&nbsp;hydratase&nbsp;class&nbsp;II,95.0
1170318.PALO_09780,AGJ78552.1,Thiol&nbsp;reductant&nbsp;ABC&nbsp;exporter&nbsp;subunit&nbsp;CydD,94.8
1170318.PALO_01685,rplC,50S&nbsp;ribosomal&nbsp;protein&nbsp;L3,94.7
1170318.PALO_11360,AGJ78853.1,"COG0296&nbsp;1,4-alpha-glucan&nbsp;branching&nbsp;enzyme",94.7
1170318.PALO_02990,AGJ77213.1,COG0629&nbsp;Single-stranded&nbsp;DNA-binding&nbsp;protein,94.6
1170318.PALO_09235,ppa,Inorganic&nbsp;pyrophosphatase,94.3
1170318.PALO_00085,rpsN,30S&nbsp;ribosomal&nbsp;protein&nbsp;S14,94.1
