365044.Pnap_0526,Pnap_0526,Trehalose&nbsp;6-phosphate&nbsp;phosphatase,98.8
365044.Pnap_3217,Pnap_3217,PFAM:&nbsp;Fmu&nbsp;(Sun)&nbsp;domain&nbsp;protein,98.7
365044.Pnap_1472,guaC,GMP&nbsp;reductase,98.7
365044.Pnap_0865,Pnap_0865,"KEGG:&nbsp;pol:Bpro_1229&nbsp;3-oxoacid&nbsp;CoA-transferase,&nbsp;subunit&nbsp;A",98.7
365044.Pnap_1692,Pnap_1692,KEGG:&nbsp;pol:Bpro_3272&nbsp;hypothetical&nbsp;protein,98.5
365044.Pnap_2797,Pnap_2797,Integration&nbsp;host&nbsp;factor&nbsp;subunit&nbsp;beta,98.4
365044.Pnap_1624,Pnap_1624,Cytokinin&nbsp;riboside&nbsp;5'-monophosphate&nbsp;phosphoribohydrolase,98.4
365044.Pnap_3945,Pnap_3945,PFAM:&nbsp;Fimbrial&nbsp;protein&nbsp;pilin,98.4
365044.Pnap_1775,carB,"TIGRFAM:&nbsp;carbamoyl-phosphate&nbsp;synthase,&nbsp;large&nbsp;subunit",98.4
365044.Pnap_0255,atpD1,ATP&nbsp;synthase&nbsp;subunit&nbsp;beta&nbsp;1,98.3
365044.Pnap_2862,Pnap_2862,Putrescine-binding&nbsp;periplasmic&nbsp;protein,98.2
365044.Pnap_3208,Pnap_3208,"Amino&nbsp;acid/amide&nbsp;ABC&nbsp;transporter&nbsp;membrane&nbsp;protein&nbsp;1,&nbsp;HAAT&nbsp;family",98.2
365044.Pnap_2422,Pnap_2422,"TIGRFAM:&nbsp;sulfate&nbsp;ABC&nbsp;transporter,&nbsp;periplasmic&nbsp;sulfate-binding&nbsp;protein",98.2
365044.Pnap_3239,Pnap_3239,PFAM:&nbsp;type&nbsp;II&nbsp;secretion&nbsp;system&nbsp;protein&nbsp;E,98.0
365044.Pnap_1103,Pnap_1103,Isoamylase,97.8
365044.Pnap_1072,Pnap_1072,"PFAM:&nbsp;MCP&nbsp;methyltransferase,&nbsp;CheR-type",97.8
365044.Pnap_2328,Pnap_2328,"PFAM:&nbsp;H+-transporting&nbsp;two-sector&nbsp;ATPase,&nbsp;gamma&nbsp;subunit",97.8
365044.Pnap_3066,Pnap_3066,"KEGG:&nbsp;pol:Bpro_3641&nbsp;putative&nbsp;sigma&nbsp;E&nbsp;regulatory&nbsp;protein,&nbsp;MucB/RseB",97.8
365044.Pnap_2142,Pnap_2142,PFAM:&nbsp;acyl-CoA&nbsp;dehydrogenase&nbsp;domain&nbsp;protein,97.8
365044.Pnap_1159,Pnap_1159,KEGG:&nbsp;pol:Bpro_1577&nbsp;acetyl-CoA&nbsp;C-acetyltransferase,97.8
365044.Pnap_2875,Pnap_2875,KEGG:&nbsp;bxe:Bxe_B1311&nbsp;PAS/PAC&nbsp;sensor&nbsp;hybrid&nbsp;histidine&nbsp;kinase,97.7
365044.Pnap_3847,Pnap_3847,KEGG:&nbsp;pol:Bpro_4622&nbsp;D-alanyl-D-alanine&nbsp;carboxypeptidase/D-alanyl-D-alanine-endopeptidase,97.7
365044.Pnap_3033,Pnap_3033,"KEGG:&nbsp;pol:Bpro_3601&nbsp;succinate&nbsp;dehydrogenase,&nbsp;cytochrome&nbsp;b&nbsp;subunit",97.7
365044.Pnap_1509,Pnap_1509,PFAM:&nbsp;binding-protein-dependent&nbsp;transport&nbsp;systems&nbsp;inner&nbsp;membrane&nbsp;component,97.7
365044.Pnap_2331,Pnap_2331,ATP&nbsp;synthase&nbsp;subunit&nbsp;c,97.7
365044.Pnap_1653,Pnap_1653,"Amino&nbsp;acid/amide&nbsp;ABC&nbsp;transporter&nbsp;ATP-binding&nbsp;protein&nbsp;1,&nbsp;HAAT&nbsp;family",97.7
365044.Pnap_0477,Pnap_0477,Hydroxymethylglutaryl-CoA&nbsp;lyase,97.6
365044.Pnap_1546,cysA,Sulfate/thiosulfate&nbsp;import&nbsp;ATP-binding&nbsp;protein&nbsp;CysA,97.6
365044.Pnap_0886,Pnap_0886,PFAM:&nbsp;cytochrome&nbsp;oxidase&nbsp;assembly,97.6
365044.Pnap_1856,Pnap_1856,"KEGG:&nbsp;pol:Bpro_2624&nbsp;2-oxoglutarate&nbsp;dehydrogenase,&nbsp;E1&nbsp;component",97.5
365044.Pnap_0600,Pnap_0600,PFAM:&nbsp;Dimethylmenaquinone&nbsp;methyltransferase,97.5
365044.Pnap_1790,Pnap_1790,PFAM:&nbsp;Mammalian&nbsp;cell&nbsp;entry&nbsp;related&nbsp;domain&nbsp;protein,97.5
365044.Pnap_3423,ftsI,"Peptidoglycan&nbsp;D,D-transpeptidase&nbsp;FtsI",97.4
365044.Pnap_2683,Pnap_2683,TIGRFAM:&nbsp;glycine&nbsp;cleavage&nbsp;system&nbsp;T&nbsp;protein,97.4
365044.Pnap_3521,Pnap_3521,PFAM:&nbsp;Extracellular&nbsp;ligand-binding&nbsp;receptor,97.2
365044.Pnap_3640,rpoB,DNA-directed&nbsp;RNA&nbsp;polymerase&nbsp;subunit&nbsp;beta,97.1
365044.Pnap_1551,Pnap_1551,2-dehydropantoate&nbsp;2-reductase,97.1
365044.Pnap_0539,Pnap_0539,KEGG:&nbsp;bxe:Bxe_B1555&nbsp;serine&nbsp;O-acetyltransferase,97.0
365044.Pnap_3531,Pnap_3531,"Amino&nbsp;acid/amide&nbsp;ABC&nbsp;transporter&nbsp;membrane&nbsp;protein&nbsp;2,&nbsp;HAAT&nbsp;family",96.9
365044.Pnap_1535,Pnap_1535,"Two&nbsp;component&nbsp;transcriptional&nbsp;regulator,&nbsp;winged&nbsp;helix&nbsp;family",96.9
365044.Pnap_1002,Pnap_1002,"Amino&nbsp;acid/amide&nbsp;ABC&nbsp;transporter&nbsp;ATP-binding&nbsp;protein&nbsp;2,&nbsp;HAAT&nbsp;family",96.9
365044.Pnap_2404,Pnap_2404,"PFAM:&nbsp;Glutathione&nbsp;S-transferase,&nbsp;N-terminal&nbsp;domain",96.8
365044.Pnap_0346,rplQ,PFAM:&nbsp;ribosomal&nbsp;protein&nbsp;L17,96.7
365044.Pnap_2299,Pnap_2299,PFAM:&nbsp;Alcohol&nbsp;dehydrogenase&nbsp;GroES&nbsp;domain&nbsp;protein,96.6
365044.Pnap_0579,Pnap_0579,PFAM:&nbsp;binding-protein-dependent&nbsp;transport&nbsp;systems&nbsp;inner&nbsp;membrane&nbsp;component,96.6
365044.Pnap_3641,rplL,50S&nbsp;ribosomal&nbsp;protein&nbsp;L7/L12,96.6
365044.Pnap_1073,Pnap_1073,Multi-sensor&nbsp;hybrid&nbsp;histidine&nbsp;kinase,96.5
365044.Pnap_1561,Pnap_1561,Shikimate&nbsp;dehydrogenase,96.5
365044.Pnap_3037,Pnap_3037,KEGG:&nbsp;pol:Bpro_3605&nbsp;citrate&nbsp;synthase&nbsp;I,96.5
365044.Pnap_1956,Pnap_1956,"Two&nbsp;component,&nbsp;sigma54&nbsp;specific,&nbsp;transcriptional&nbsp;regulator,&nbsp;Fis&nbsp;family",96.4
365044.Pnap_1229,Pnap_1229,S-formylglutathione&nbsp;hydrolase,96.3
365044.Pnap_3727,Pnap_3727,Integral&nbsp;membrane&nbsp;sensor&nbsp;signal&nbsp;transduction&nbsp;histidine&nbsp;kinase,96.3
365044.Pnap_0545,Pnap_0545,PFAM:&nbsp;binding-protein-dependent&nbsp;transport&nbsp;systems&nbsp;inner&nbsp;membrane&nbsp;component,96.2
365044.Pnap_1164,Pnap_1164,KEGG:&nbsp;bur:Bcep18194_B1205&nbsp;acetone&nbsp;carboxylase&nbsp;gamma&nbsp;subunit-like,96.1
365044.Pnap_0587,ccmC,Heme&nbsp;exporter&nbsp;protein&nbsp;C,96.1
365044.Pnap_0563,Pnap_0563,"TIGRFAM:&nbsp;sulfate&nbsp;ABC&nbsp;transporter,&nbsp;periplasmic&nbsp;sulfate-binding&nbsp;protein",96.0
365044.Pnap_0701,hisF,Imidazole&nbsp;glycerol&nbsp;phosphate&nbsp;synthase&nbsp;subunit&nbsp;HisF,96.0
365044.Pnap_2891,accA,Acetyl-coenzyme&nbsp;A&nbsp;carboxylase&nbsp;carboxyl&nbsp;transferase&nbsp;subunit&nbsp;alpha,95.9
