298653.Franean1_5186,ABW14544.1,PFAM:&nbsp;ABC&nbsp;transporter&nbsp;related,98.9
298653.Franean1_6507,ABW15844.1,"Two&nbsp;component&nbsp;transcriptional&nbsp;regulator,&nbsp;winged&nbsp;helix&nbsp;family",98.9
298653.Franean1_5716,ABW15066.1,PFAM:&nbsp;Squalene/phytoene&nbsp;synthase,98.9
298653.Franean1_4669,ABW14036.1,PFAM:&nbsp;alpha-L-rhamnosidase,98.9
298653.Franean1_1552,ABW10991.1,PFAM:&nbsp;ATPase&nbsp;associated&nbsp;with&nbsp;various&nbsp;cellular&nbsp;activities&nbsp;AAA_5,98.9
298653.Franean1_3173,ABW12582.1,PFAM:&nbsp;short-chain&nbsp;dehydrogenase/reductase&nbsp;SDR,98.9
298653.Franean1_0530,ABW09990.1,PFAM:&nbsp;ABC&nbsp;transporter&nbsp;related,98.9
298653.Franean1_2989,ABW12407.1,PFAM:&nbsp;fumarylacetoacetate&nbsp;(FAA)&nbsp;hydrolase,98.8
298653.Franean1_6123,hemL,"TIGRFAM:&nbsp;glutamate-1-semialdehyde-2,1-aminomutase",98.8
298653.Franean1_2664,ABW12093.1,annotation&nbsp;not&nbsp;available,98.8
298653.Franean1_6115,ABW15459.1,TIGRFAM:&nbsp;UbiD&nbsp;family&nbsp;decarboxylase,98.7
298653.Franean1_5097,ABW14456.1,UDP-N-acetylmuramate--L-alanine&nbsp;ligase,98.7
298653.Franean1_4719,ABW14086.1,PFAM:&nbsp;Rieske&nbsp;[2Fe-2S]&nbsp;domain&nbsp;protein,98.7
298653.Franean1_5731,ABW15081.1,Dihydropyrimidinase,98.7
298653.Franean1_2520,ABW11952.1,PFAM:&nbsp;Taurine&nbsp;catabolism&nbsp;dioxygenase&nbsp;TauD/TfdA,98.6
298653.Franean1_1537,ABW10977.1,KEGG:&nbsp;fal:FRAAL0245&nbsp;hypothetical&nbsp;protein,98.6
298653.Franean1_6040,rpsQ,30S&nbsp;ribosomal&nbsp;protein&nbsp;S17,98.6
298653.Franean1_5080,ABW14439.1,PFAM:&nbsp;peptidase&nbsp;S16&nbsp;lon&nbsp;domain&nbsp;protein,98.6
298653.Franean1_3657,ABW13054.1,KEGG:&nbsp;mul:MUL_0971&nbsp;acetyl-CoA&nbsp;acetyltransferase&nbsp;FadA6_3,98.6
298653.Franean1_4378,ABW13758.1,PFAM:&nbsp;sec-independent&nbsp;translocation&nbsp;protein&nbsp;mttA/Hcf106,98.6
298653.Franean1_2393,ABW11825.1,PFAM:&nbsp;Beta-ketoacyl&nbsp;synthase,98.6
298653.Franean1_1019,atpE,ATP&nbsp;synthase&nbsp;subunit&nbsp;c,98.6
298653.Franean1_1646,ABW11084.1,KEGG:&nbsp;fal:FRAAL0674&nbsp;hypothetical&nbsp;protein,98.5
298653.Franean1_0168,ABW09635.1,Dihydropteroate&nbsp;synthase,98.5
298653.Franean1_1172,ABW10626.1,"TIGRFAM:&nbsp;aliphatic&nbsp;sulfonates&nbsp;family&nbsp;ABC&nbsp;transporter,&nbsp;periplsmic&nbsp;ligand-binding&nbsp;protein",98.5
298653.Franean1_1077,icmF,Fused&nbsp;isobutyryl-CoA&nbsp;mutase,98.5
