198804.BUsg_433,asd,Aspartate-semialdehyde&nbsp;dehydrogenase,98.4
198804.BUsg_528,dnaB,Replicative&nbsp;DNA&nbsp;helicase,98.4
198804.BUsg_041,secE,Protein&nbsp;translocase&nbsp;subunit&nbsp;SecE,97.7
198804.BUsg_195,secA,Protein&nbsp;translocase&nbsp;subunit&nbsp;SecA,97.0
198804.BUsg_347,ompF,Porin-like&nbsp;protein&nbsp;BUsg_347,97.0
198804.BUsg_292,sucA,2-oxoglutarate&nbsp;dehydrogenase&nbsp;E1&nbsp;component,96.9
198804.BUsg_206,ftsZ,Cell&nbsp;division&nbsp;protein&nbsp;FtsZ,96.9
198804.BUsg_299,rpsA,30S&nbsp;ribosomal&nbsp;protein&nbsp;S1,96.8
198804.BUsg_172,nrdB,Ribonucleoside-diphosphate&nbsp;reductase&nbsp;subunit&nbsp;beta,96.8
198804.BUsg_220,ilvI,annotation&nbsp;not&nbsp;available,96.5
198804.BUsg_509,rpsG,30S&nbsp;ribosomal&nbsp;protein&nbsp;S7,96.4
198804.BUsg_242,gpt,Xanthine&nbsp;phosphoribosyltransferase,96.4
198804.BUsg_307,znuB,High-affinity&nbsp;zinc&nbsp;uptake&nbsp;system&nbsp;membrane&nbsp;protein&nbsp;ZnuB,96.3
198804.BUsg_330,flgG,annotation&nbsp;not&nbsp;available,96.2
198804.BUsg_121,pheS,annotation&nbsp;not&nbsp;available,96.1
198804.BUsg_252,trmU,tRNA-specific&nbsp;2-thiouridylase&nbsp;MnmA,96.0
198804.BUsg_243,grpE1,Protein&nbsp;GrpE&nbsp;1,95.8
198804.BUsg_067,fliF,Flagellar&nbsp;M-ring&nbsp;protein,94.8
198804.BUsg_116,aroH,"Phospho-2-dehydro-3-deoxyheptonate&nbsp;aldolase,&nbsp;Trp-sensitive",94.7
198804.BUsg_389,yfiO,Outer&nbsp;membrane&nbsp;protein&nbsp;assembly&nbsp;factor&nbsp;BamD,94.5
198804.BUsg_497,rpmC,annotation&nbsp;not&nbsp;available,94.2
198804.BUsg_357,pyrB,annotation&nbsp;not&nbsp;available,94.1
198804.BUsg_297,tpiA,Triosephosphate&nbsp;isomerase,94.0
198804.BUsg_153,nuoH,NADH-quinone&nbsp;oxidoreductase&nbsp;subunit&nbsp;H,93.8
198804.BUsg_199,aceE,Pyruvate&nbsp;dehydrogenase&nbsp;E1&nbsp;component,93.4
198804.BUsg_079,rpmB,annotation&nbsp;not&nbsp;available,93.1
198804.BUsg_308,znuC,Zinc&nbsp;import&nbsp;ATP-binding&nbsp;protein&nbsp;ZnuC,92.2
198804.BUsg_503,rplW,50S&nbsp;ribosomal&nbsp;protein&nbsp;L23,92.0
198804.BUsg_202,speD,S-adenosylmethionine&nbsp;decarboxylase&nbsp;proenzyme,91.9
198804.BUsg_174,gyrA,DNA&nbsp;gyrase&nbsp;subunit&nbsp;A,91.7
198804.BUsg_502,rplB,50S&nbsp;ribosomal&nbsp;protein&nbsp;L2,91.1
198804.BUsg_484,rpmJ,annotation&nbsp;not&nbsp;available,90.7
198804.BUsg_225,rpsB,annotation&nbsp;not&nbsp;available,90.1
198804.BUsg_542,rplI,50S&nbsp;ribosomal&nbsp;protein&nbsp;L9,90.0
198804.BUsg_240,dnaQ,DNA&nbsp;polymerase&nbsp;III&nbsp;subunit&nbsp;epsilon,90.0
198804.BUsg_004,atpF,ATP&nbsp;synthase&nbsp;subunit&nbsp;b,89.9
198804.BUsg_493,rplE,50S&nbsp;ribosomal&nbsp;protein&nbsp;L5,89.9
198804.BUsg_486,rplO,50S&nbsp;ribosomal&nbsp;protein&nbsp;L15,89.5
198804.BUsg_506,rpsJ,30S&nbsp;ribosomal&nbsp;protein&nbsp;S10,89.5
198804.BUsg_120,rplT,50S&nbsp;ribosomal&nbsp;protein&nbsp;L20,89.4
198804.BUsg_002,atpB,ATP&nbsp;synthase&nbsp;subunit&nbsp;a,89.4
198804.BUsg_084,fabB,3-oxoacyl-[acyl-carrier-protein]&nbsp;synthase&nbsp;1,88.4
198804.BUsg_316,minE,Cell&nbsp;division&nbsp;topological&nbsp;specificity&nbsp;factor,88.4
198804.BUsg_053,dnaG,DNA&nbsp;primase,88.0
198804.BUsg_169,ackA,Acetate&nbsp;kinase,88.0
198804.BUsg_377,rpsI,annotation&nbsp;not&nbsp;available,87.9
198804.BUsg_016,yidC,Membrane&nbsp;protein&nbsp;insertase&nbsp;YidC,87.9
198804.BUsg_309,znuA,High-affinity&nbsp;zinc&nbsp;uptake&nbsp;system&nbsp;protein&nbsp;ZnuA,87.8
198804.BUsg_119,rpmI,annotation&nbsp;not&nbsp;available,87.7
198804.BUsg_573,trxA,Thioredoxin,87.4
198804.BUsg_496,rpsQ,30S&nbsp;ribosomal&nbsp;protein&nbsp;S17,87.2
198804.BUsg_489,rplR,50S&nbsp;ribosomal&nbsp;protein&nbsp;L18,87.2
198804.BUsg_284,ycfU,Lipoprotein-releasing&nbsp;system&nbsp;transmembrane&nbsp;protein&nbsp;LolC,85.9
198804.BUsg_078,rpmG,annotation&nbsp;not&nbsp;available,85.4
198804.BUsg_062,ptsH,Phosphocarrier&nbsp;protein&nbsp;HPr,85.3
198804.BUsg_068,fliG,Flagellar&nbsp;motor&nbsp;switch&nbsp;protein&nbsp;FliG,85.0
198804.BUsg_127,glyS,annotation&nbsp;not&nbsp;available,84.9
198804.BUsg_436,fba,Fructose-bisphosphate&nbsp;aldolase&nbsp;class&nbsp;2,84.6
198804.BUsg_010,gyrB,DNA&nbsp;gyrase&nbsp;subunit&nbsp;B,84.5
198804.BUsg_301,aroA,3-phosphoshikimate&nbsp;1-carboxyvinyltransferase,84.0
198804.BUsg_543,rpsR,30S&nbsp;ribosomal&nbsp;protein&nbsp;S18,83.8
198804.BUsg_139,dapB,4-hydroxy-tetrahydrodipicolinate&nbsp;reductase,83.7
198804.BUsg_178,grpE,Protein&nbsp;GrpE&nbsp;2,83.3
198804.BUsg_006,atpA,ATP&nbsp;synthase&nbsp;subunit&nbsp;alpha,83.2
198804.BUsg_298,himD,Integration&nbsp;host&nbsp;factor&nbsp;subunit&nbsp;beta,83.0
198804.BUsg_050,secB,Protein-export&nbsp;protein&nbsp;SecB,82.8
198804.BUsg_520,aroK,Shikimate&nbsp;kinase,82.5
198804.BUsg_329,flgF,annotation&nbsp;not&nbsp;available,82.5
198804.BUsg_152,nuoG,NADH-quinone&nbsp;oxidoreductase&nbsp;subunit&nbsp;G,82.1
198804.BUsg_488,rpsE,30S&nbsp;ribosomal&nbsp;protein&nbsp;S5,81.9
198804.BUsg_061,ptsI,Phosphoenolpyruvate-protein&nbsp;phosphotransferase,81.8
198804.BUsg_293,sucB,Dihydrolipoyllysine-residue&nbsp;succinyltransferase&nbsp;component&nbsp;of&nbsp;2-oxoglutarate&nbsp;dehydrogenase&nbsp;complex,81.6
198804.BUsg_479,rplQ,annotation&nbsp;not&nbsp;available,81.5
198804.BUsg_261,ribA,GTP&nbsp;cyclohydrolase-2,81.4
198804.BUsg_148,nuoB,NADH-quinone&nbsp;oxidoreductase&nbsp;subunit&nbsp;B,81.0
198804.BUsg_052,rpoD,RNA&nbsp;polymerase&nbsp;sigma&nbsp;factor&nbsp;RpoD,80.9
198804.BUsg_491,rpsH,30S&nbsp;ribosomal&nbsp;protein&nbsp;S8,80.5
198804.BUsg_483,rpsM,30S&nbsp;ribosomal&nbsp;protein&nbsp;S13,80.3
198804.BUsg_492,rpsN,30S&nbsp;ribosomal&nbsp;protein&nbsp;S14,80.1
198804.BUsg_013,rpmH,annotation&nbsp;not&nbsp;available,80.1
198804.BUsg_338,fabD,annotation&nbsp;not&nbsp;available,80.1
198804.BUsg_464,mdlA,annotation&nbsp;not&nbsp;available,80.0
198804.BUsg_380,ffh,Signal&nbsp;recognition&nbsp;particle&nbsp;protein,79.9
198804.BUsg_267,trpB,Tryptophan&nbsp;synthase&nbsp;beta&nbsp;chain,79.4
198804.BUsg_501,rpsS,30S&nbsp;ribosomal&nbsp;protein&nbsp;S19,79.3
198804.BUsg_009,atpC,ATP&nbsp;synthase&nbsp;epsilon&nbsp;chain,79.3
198804.BUsg_510,rpsL,30S&nbsp;ribosomal&nbsp;protein&nbsp;S12,78.5
198804.BUsg_446,ribD2,annotation&nbsp;not&nbsp;available,78.3
198804.BUsg_073,fliM,Flagellar&nbsp;motor&nbsp;switch&nbsp;protein&nbsp;FliM,77.8
198804.BUsg_447,nusB,Transcription&nbsp;antitermination&nbsp;protein&nbsp;NusB,76.9
198804.BUsg_170,pta,Phosphate&nbsp;acetyltransferase,76.8
198804.BUsg_511,yheL,Protein&nbsp;TusB,76.5
