266117.Rxyl_0913,Rxyl_0913,PFAM:&nbsp;pyruvate&nbsp;kinase,98.9
266117.Rxyl_1568,fhs2,Formate--tetrahydrofolate&nbsp;ligase&nbsp;2,98.9
266117.Rxyl_1744,Rxyl_1744,Adenine&nbsp;deaminase,98.7
266117.Rxyl_1723,iolG,Inositol&nbsp;2-dehydrogenase,98.7
266117.Rxyl_2602,Rxyl_2602,PFAM:&nbsp;inner-membrane&nbsp;translocator,98.5
266117.Rxyl_0676,Rxyl_0676,ATPase&nbsp;AAA-2,98.5
266117.Rxyl_0869,Rxyl_0869,KEGG:&nbsp;gka:GK0814&nbsp;oligopeptide&nbsp;ABC&nbsp;transporter&nbsp;(ATP-binding&nbsp;protein),98.4
266117.Rxyl_2137,rpmD,PFAM:&nbsp;ribosomal&nbsp;protein&nbsp;L30,98.4
266117.Rxyl_1557,Rxyl_1557,TIGRFAM:&nbsp;Twin-arginine&nbsp;translocation&nbsp;pathway&nbsp;signal,98.3
266117.Rxyl_0396,Rxyl_0396,PFAM:&nbsp;inner-membrane&nbsp;translocator,98.1
266117.Rxyl_1478,carA,"TIGRFAM:&nbsp;carbamoyl-phosphate&nbsp;synthase,&nbsp;small&nbsp;subunit",98.0
266117.Rxyl_0947,Rxyl_0947,PFAM:&nbsp;inner-membrane&nbsp;translocator,97.9
266117.Rxyl_0129,Rxyl_0129,Ni&nbsp;Fe-hydrogenase&nbsp;III&nbsp;large&nbsp;subunit-like&nbsp;protein,97.8
266117.Rxyl_0503,Rxyl_0503,TIGRFAM:&nbsp;phage&nbsp;SPO1&nbsp;DNA&nbsp;polymerase-related&nbsp;protein,97.7
266117.Rxyl_1386,ftsY,Signal&nbsp;recognition&nbsp;particle&nbsp;receptor&nbsp;FtsY,97.7
266117.Rxyl_3186,gcvPA,Probable&nbsp;glycine&nbsp;dehydrogenase&nbsp;(decarboxylating)&nbsp;subunit&nbsp;1,97.5
266117.Rxyl_0226,Rxyl_0226,PFAM:&nbsp;cobalt&nbsp;transport&nbsp;protein,97.5
266117.Rxyl_1368,rpmB,PFAM:&nbsp;ribosomal&nbsp;protein&nbsp;L28,97.4
266117.Rxyl_1684,rbsA2,Ribose&nbsp;import&nbsp;ATP-binding&nbsp;protein&nbsp;RbsA&nbsp;2,97.4
266117.Rxyl_0035,Rxyl_0035,Biotin&nbsp;carboxyl&nbsp;carrier&nbsp;protein&nbsp;of&nbsp;acetyl-CoA&nbsp;carboxylase,97.3
266117.Rxyl_2126,Rxyl_2126,PFAM:&nbsp;ABC&nbsp;transporter&nbsp;related,97.1
266117.Rxyl_2087,accA,Acetyl-coenzyme&nbsp;A&nbsp;carboxylase&nbsp;carboxyl&nbsp;transferase&nbsp;subunit&nbsp;alpha,97.1
266117.Rxyl_2159,rpsG,30S&nbsp;ribosomal&nbsp;protein&nbsp;S7,97.1
266117.Rxyl_2169,rpmG,PFAM:&nbsp;ribosomal&nbsp;protein&nbsp;L33,97.0
266117.Rxyl_0815,Rxyl_0815,TIGRFAM:&nbsp;IMP&nbsp;dehydrogenase&nbsp;related&nbsp;2,97.0
266117.Rxyl_1574,Rxyl_1574,"PFAM:&nbsp;pyruvate&nbsp;phosphate&nbsp;dikinase,&nbsp;PEP/pyruvate-binding",96.9
266117.Rxyl_2866,fumC,Fumarate&nbsp;hydratase&nbsp;class&nbsp;II,96.9
266117.Rxyl_2725,Rxyl_2725,Formate&nbsp;dehydrogenase&nbsp;beta&nbsp;subunit,96.9
266117.Rxyl_2633,Rxyl_2633,Thymidylate&nbsp;synthase&nbsp;(FAD),96.9
266117.Rxyl_1998,Rxyl_1998,Adenosylhomocysteinase,96.7
266117.Rxyl_1584,Rxyl_1584,Glutaconate&nbsp;CoA-transferase,96.6
266117.Rxyl_0579,Rxyl_0579,PFAM:&nbsp;binding-protein-dependent&nbsp;transport&nbsp;systems&nbsp;inner&nbsp;membrane&nbsp;component,96.4
266117.Rxyl_0552,Rxyl_0552,PFAM:&nbsp;Mandelate&nbsp;racemase/muconate&nbsp;lactonizing&nbsp;enzyme-like,96.4
266117.Rxyl_2259,Rxyl_2259,PFAM:&nbsp;proline&nbsp;racemase,96.4
266117.Rxyl_2148,rplP,50S&nbsp;ribosomal&nbsp;protein&nbsp;L16,96.4
266117.Rxyl_0760,Rxyl_0760,"PFAM:&nbsp;aminotransferase,&nbsp;class&nbsp;IV",96.4
266117.Rxyl_0984,Rxyl_0984,PFAM:&nbsp;binding-protein-dependent&nbsp;transport&nbsp;systems&nbsp;inner&nbsp;membrane&nbsp;component,96.4
266117.Rxyl_1703,Rxyl_1703,Propionyl-CoA&nbsp;carboxylase,96.2
266117.Rxyl_1632,Rxyl_1632,NADH-quinone&nbsp;oxidoreductase,96.2
266117.Rxyl_1714,Rxyl_1714,TIGRFAM:&nbsp;2-hydroxy-3-oxopropionate&nbsp;reductase,96.2
266117.Rxyl_2258,Rxyl_2258,TIGRFAM:&nbsp;dihydrodipicolinate&nbsp;synthase,96.1
266117.Rxyl_0199,Rxyl_0199,"Catechol&nbsp;2,3-dioxygenase",96.1
266117.Rxyl_2067,Rxyl_2067,PFAM:&nbsp;glycerophosphoryl&nbsp;diester&nbsp;phosphodiesterase,95.6
266117.Rxyl_1134,Rxyl_1134,Phosphomannomutase,95.5
266117.Rxyl_2355,Rxyl_2355,Adenylyl-sulfate&nbsp;kinase,95.5
266117.Rxyl_1218,Rxyl_1218,TIGRFAM:&nbsp;CDP-diacylglycerol--glycerol-3-phosphate&nbsp;3-phosphatidyltransferase,95.5
266117.Rxyl_2278,Rxyl_2278,"PFAM:&nbsp;acyl-CoA&nbsp;dehydrogenase-like&nbsp;&nbsp;Acyl-CoA&nbsp;dehydrogenase,&nbsp;type&nbsp;2-like",95.4
266117.Rxyl_1398,rpsB,PFAM:&nbsp;ribosomal&nbsp;protein&nbsp;S2,95.4
266117.Rxyl_0348,Rxyl_0348,Pyruvate&nbsp;dehydrogenase&nbsp;(Lipoamide),95.4
266117.Rxyl_0849,rpsF,30S&nbsp;ribosomal&nbsp;protein&nbsp;S6,95.3
266117.Rxyl_3184,gcvT,Aminomethyltransferase,95.2
266117.Rxyl_1302,rpmI,PFAM:&nbsp;ribosomal&nbsp;protein&nbsp;L35,95.1
266117.Rxyl_1673,Rxyl_1673,"TIGRFAM:&nbsp;haloacid&nbsp;dehalogenase,&nbsp;type&nbsp;II&nbsp;HAD-superfamily&nbsp;hydrolase,&nbsp;subfamily&nbsp;IA,&nbsp;variant&nbsp;2",94.9
266117.Rxyl_1392,rplS,50S&nbsp;ribosomal&nbsp;protein&nbsp;L19,94.9
