936155.HFELIS_05080,flgE2,annotation&nbsp;not&nbsp;available,98.7
936155.HFELIS_12880,carB,annotation&nbsp;not&nbsp;available,98.6
936155.HFELIS_14610,CBY83545.1,annotation&nbsp;not&nbsp;available,98.5
936155.HFELIS_01490,groEL,60&nbsp;kDa&nbsp;chaperonin,98.0
936155.HFELIS_03060,atpE,ATP&nbsp;synthase&nbsp;subunit&nbsp;c,98.0
936155.HFELIS_09610,glyQ,annotation&nbsp;not&nbsp;available,97.7
936155.HFELIS_05810,gatB,Aspartyl/glutamyl-tRNA(Asn/Gln)&nbsp;amidotransferase&nbsp;subunit&nbsp;B,97.4
936155.HFELIS_13250,rpsC,30S&nbsp;ribosomal&nbsp;protein&nbsp;S3,97.3
936155.HFELIS_13560,ureA2,annotation&nbsp;not&nbsp;available,97.0
936155.HFELIS_05640,moaD,annotation&nbsp;not&nbsp;available,96.9
936155.HFELIS_10550,CBY83139.1,annotation&nbsp;not&nbsp;available,96.7
936155.HFELIS_12550,cheY,annotation&nbsp;not&nbsp;available,96.5
936155.HFELIS_07450,cheW,annotation&nbsp;not&nbsp;available,96.4
936155.HFELIS_12420,flgG2,annotation&nbsp;not&nbsp;available,96.0
936155.HFELIS_14630,atpH,annotation&nbsp;not&nbsp;available,96.0
936155.HFELIS_08940,hslV,ATP-dependent&nbsp;protease&nbsp;subunit&nbsp;HslV,95.6
936155.HFELIS_01240,CBY82208.1,annotation&nbsp;not&nbsp;available,95.6
936155.HFELIS_08170,TlpB2,annotation&nbsp;not&nbsp;available,95.6
936155.HFELIS_01920,nrdB,Ribonucleoside-diphosphate&nbsp;reductase&nbsp;subunit&nbsp;beta,95.2
936155.HFELIS_09700,CBY83054.1,annotation&nbsp;not&nbsp;available,94.6
936155.HFELIS_04870,secD,Protein&nbsp;translocase&nbsp;subunit&nbsp;SecD,94.5
936155.HFELIS_12810,hydC,annotation&nbsp;not&nbsp;available,94.4
936155.HFELIS_13310,rplC,annotation&nbsp;not&nbsp;available,94.2
936155.HFELIS_01610,CBY82245.1,annotation&nbsp;not&nbsp;available,94.2
936155.HFELIS_05360,rpoB,Multifunctional&nbsp;fusion&nbsp;protein,93.5
