1254432.SCE1572_25460,AGP32513.1,Phosphoenolpyruvate&nbsp;carboxykinase&nbsp;[GTP],98.9
1254432.SCE1572_19230,AGP36434.1,Uncharacterized&nbsp;protein,98.9
1254432.SCE1572_50665,AGP42051.1,Histidinol-phosphate&nbsp;aminotransferase,98.8
1254432.SCE1572_44420,AGP40928.1,RNA-binding&nbsp;protein,98.8
1254432.SCE1572_04525,AGP33824.1,Uncharacterized&nbsp;protein,98.7
1254432.SCE1572_28315,AGP38035.1,Uncharacterized&nbsp;protein,98.7
1254432.SCE1572_02030,AGP33396.1,Uncharacterized&nbsp;protein,98.7
1254432.SCE1572_23485,AGP32486.1,Malonic&nbsp;semialdehyde&nbsp;reductase,98.7
1254432.SCE1572_08845,AGP34606.1,Uncharacterized&nbsp;protein,98.7
1254432.SCE1572_05270,AGP33955.1,Inositol-1-monophosphatase,98.6
1254432.SCE1572_45605,rpsM,30S&nbsp;ribosomal&nbsp;protein&nbsp;S13,98.5
1254432.SCE1572_22170,proA,Gamma-glutamyl&nbsp;phosphate&nbsp;reductase,98.5
1254432.SCE1572_42300,pyrH,Uridylate&nbsp;kinase,98.5
1254432.SCE1572_04245,AGP33775.1,Uncharacterized&nbsp;protein,98.5
1254432.SCE1572_38185,tatA,Sec-independent&nbsp;protein&nbsp;translocase&nbsp;protein&nbsp;TatA,98.5
1254432.SCE1572_32320,AGP38761.1,Uncharacterized&nbsp;protein,98.5
1254432.SCE1572_01045,AGP33210.1,Uncharacterized&nbsp;protein,98.5
1254432.SCE1572_00130,secA,Protein&nbsp;translocase&nbsp;subunit&nbsp;SecA,98.4
1254432.SCE1572_17945,AGP32365.1,ArsR&nbsp;family&nbsp;transcriptional&nbsp;regulator,98.4
1254432.SCE1572_34245,AGP32687.1,Phosphocarrier&nbsp;protein&nbsp;HPr,98.4
1254432.SCE1572_07855,trpC,Multifunctional&nbsp;fusion&nbsp;protein,98.4
1254432.SCE1572_03190,AGP33591.1,Uncharacterized&nbsp;protein,98.3
1254432.SCE1572_16955,AGP36044.1,Uncharacterized&nbsp;protein,98.3
1254432.SCE1572_45810,atpE,ATP&nbsp;synthase&nbsp;subunit&nbsp;c,98.3
1254432.SCE1572_01955,AGP33383.1,Precorrin-4&nbsp;C11-methyltransferase,98.3
1254432.SCE1572_27540,AGP37894.1,Uncharacterized&nbsp;protein,98.3
1254432.SCE1572_10820,AGP34959.1,Protein-glutamate&nbsp;methylesterase,98.3
1254432.SCE1572_27325,AGP32570.1,Organic&nbsp;solvent&nbsp;ABC&nbsp;transporter&nbsp;ATP-binding&nbsp;protein,98.2
1254432.SCE1572_05315,AGP32125.1,ABC&nbsp;transporter,98.2
1254432.SCE1572_45585,AGP41142.1,50S&nbsp;ribosomal&nbsp;protein&nbsp;L17,98.2
1254432.SCE1572_04345,AGP32101.1,L-aspartate&nbsp;oxidase,98.2
1254432.SCE1572_37520,AGP39697.1,Uncharacterized&nbsp;protein,98.2
1254432.SCE1572_14520,AGP35637.1,Molybdenum&nbsp;cofactor&nbsp;biosynthesis&nbsp;protein&nbsp;B,98.1
1254432.SCE1572_25850,AGP37605.1,Uncharacterized&nbsp;protein,98.1
1254432.SCE1572_42225,rplT,50S&nbsp;ribosomal&nbsp;protein&nbsp;L20,98.1
1254432.SCE1572_36740,AGP39557.1,RNA&nbsp;polymerase&nbsp;sigma&nbsp;factor,98.1
1254432.SCE1572_20695,AGP36699.1,Uncharacterized&nbsp;protein,98.0
1254432.SCE1572_18115,AGP36237.1,Uracil-DNA&nbsp;glycosylase,98.0
1254432.SCE1572_40015,AGP40152.1,Uncharacterized&nbsp;protein,98.0
1254432.SCE1572_50065,AGP41939.1,Uncharacterized&nbsp;protein,98.0
1254432.SCE1572_15265,cyaY,Protein&nbsp;CyaY,98.0
1254432.SCE1572_48225,AGP41608.1,Uncharacterized&nbsp;protein,98.0
1254432.SCE1572_35770,AGP39372.1,Uncharacterized&nbsp;protein,97.9
1254432.SCE1572_51270,AGP42160.1,Peptide&nbsp;deformylase,97.9
1254432.SCE1572_22585,AGP37035.1,Uncharacterized&nbsp;protein,97.9
1254432.SCE1572_33545,lysA,Diaminopimelate&nbsp;decarboxylase,97.9
1254432.SCE1572_24705,AGP37406.1,Protein&nbsp;kinase,97.9
1254432.SCE1572_35540,AGP39330.1,"Homogentisate&nbsp;1,2-dioxygenase",97.9
1254432.SCE1572_03570,tyrS,Tyrosine--tRNA&nbsp;ligase,97.9
1254432.SCE1572_11280,purE,N5-carboxyaminoimidazole&nbsp;ribonucleotide&nbsp;mutase,97.9
1254432.SCE1572_30080,AGP38361.1,Uncharacterized&nbsp;protein,97.9
1254432.SCE1572_41930,AGP40495.1,Uncharacterized&nbsp;protein,97.9
1254432.SCE1572_09120,AGP34656.1,Uncharacterized&nbsp;protein,97.8
1254432.SCE1572_14785,nadD,Probable&nbsp;nicotinate-nucleotide&nbsp;adenylyltransferase,97.8
1254432.SCE1572_17965,AGP36210.1,Succinyl-diaminopimelate&nbsp;desuccinylase,97.7
1254432.SCE1572_26495,AGP32547.1,DEAD/DEAH&nbsp;box&nbsp;helicase,97.7
1254432.SCE1572_25065,AGP37475.1,Uncharacterized&nbsp;protein,97.7
1254432.SCE1572_18870,AGP36373.1,Uncharacterized&nbsp;protein,97.7
1254432.SCE1572_29360,AGP38226.1,2-isopropylmalate&nbsp;synthase,97.7
1254432.SCE1572_42360,nusB,Transcription&nbsp;antitermination&nbsp;protein&nbsp;NusB,97.5
1254432.SCE1572_43185,AGP40701.1,Uncharacterized&nbsp;protein,97.5
1254432.SCE1572_30750,AGP32626.1,4-phosphopantetheinyl&nbsp;transferase,97.5
1254432.SCE1572_35265,AGP39284.1,Uncharacterized&nbsp;protein,97.4
1254432.SCE1572_17575,AGP36147.1,Uncharacterized&nbsp;protein,97.4
1254432.SCE1572_03495,AGP33641.1,Uncharacterized&nbsp;protein,97.4
1254432.SCE1572_28435,AGP38053.1,Uncharacterized&nbsp;protein,97.4
1254432.SCE1572_40525,AGP40248.1,Carbonic&nbsp;anhydrase,97.3
1254432.SCE1572_35275,AGP39286.1,Uncharacterized&nbsp;protein,97.3
1254432.SCE1572_05810,AGP34056.1,2-nitropropane&nbsp;dioxygenase,97.3
1254432.SCE1572_42230,rpmI,50S&nbsp;ribosomal&nbsp;protein&nbsp;L35,97.3
1254432.SCE1572_28235,AGP38021.1,Uncharacterized&nbsp;protein,97.3
1254432.SCE1572_44985,AGP41033.1,Chemotaxis&nbsp;protein&nbsp;CheY,97.2
