1123269.NX02_16245,NX02_16245,NAD(P)&nbsp;transhydrogenase&nbsp;subunit&nbsp;beta,98.9
1123269.NX02_20860,NX02_20860,Acetate&nbsp;kinase,98.9
1123269.NX02_10130,moaA,"GTP&nbsp;3',8-cyclase",98.9
1123269.NX02_28040,NX02_28040,Uncharacterized&nbsp;protein,98.9
1123269.NX02_01750,NX02_01750,Uncharacterized&nbsp;protein,98.8
1123269.NX02_02400,NX02_02400,3-hydroxyacyl-CoA&nbsp;dehydrogenase,98.8
1123269.NX02_08275,NX02_08275,Uncharacterized&nbsp;protein,98.8
1123269.NX02_18950,NX02_18950,Uncharacterized&nbsp;protein,98.7
1123269.NX02_15480,NX02_15480,Uncharacterized&nbsp;protein,98.7
1123269.NX02_08935,atpG,ATP&nbsp;synthase&nbsp;gamma&nbsp;chain,98.7
1123269.NX02_18940,NX02_18940,Uncharacterized&nbsp;protein,98.7
1123269.NX02_00085,tatA,Sec-independent&nbsp;protein&nbsp;translocase&nbsp;protein&nbsp;TatA,98.6
1123269.NX02_04240,NX02_04240,Uncharacterized&nbsp;protein,98.6
1123269.NX02_07030,NX02_07030,Uncharacterized&nbsp;protein,98.5
1123269.NX02_23920,NX02_23920,Xanthine&nbsp;dehydrogenase,98.5
1123269.NX02_26145,mnmA,tRNA-specific&nbsp;2-thiouridylase&nbsp;MnmA,98.4
1123269.NX02_19000,NX02_19000,Acetaldehyde&nbsp;dehydrogenase,98.4
1123269.NX02_02790,NX02_02790,Uncharacterized&nbsp;protein,98.4
1123269.NX02_26620,guaA,GMP&nbsp;synthase&nbsp;[glutamine-hydrolyzing],98.4
1123269.NX02_16575,sdhB,Part&nbsp;of&nbsp;four&nbsp;member&nbsp;succinate&nbsp;dehydrogenase&nbsp;enzyme&nbsp;complex&nbsp;that&nbsp;forms&nbsp;a&nbsp;trimeric&nbsp;complex&nbsp;(trimer&nbsp;of&nbsp;tetramers),98.3
1123269.NX02_07085,NX02_07085,ABC&nbsp;transporter&nbsp;permease,98.2
1123269.NX02_12280,NX02_12280,Cytosine-specific&nbsp;methyltransferase,98.2
1123269.NX02_24815,NX02_24815,Uncharacterized&nbsp;protein,98.1
1123269.NX02_06990,NX02_06990,Uncharacterized&nbsp;protein,98.1
1123269.NX02_10840,NX02_10840,Uncharacterized&nbsp;protein,98.0
1123269.NX02_05570,NX02_05570,Acetolactate&nbsp;synthase,98.0
1123269.NX02_17730,NX02_17730,GCN5&nbsp;family&nbsp;N-acetyltransferase,98.0
1123269.NX02_27005,truB,tRNA&nbsp;pseudouridine&nbsp;synthase&nbsp;B,98.0
1123269.NX02_23205,NX02_23205,Uncharacterized&nbsp;protein,98.0
1123269.NX02_13250,NX02_13250,Uncharacterized&nbsp;protein,98.0
1123269.NX02_23740,NX02_23740,NADH:ubiquinone&nbsp;oxidoreductase&nbsp;subunit&nbsp;L,97.9
1123269.NX02_23335,NX02_23335,Uncharacterized&nbsp;protein,97.9
1123269.NX02_05940,rnr,Ribonuclease&nbsp;R,97.8
1123269.NX02_23760,nuoH,NADH-quinone&nbsp;oxidoreductase&nbsp;subunit&nbsp;H,97.8
1123269.NX02_23775,NX02_23775,NADH-quinone&nbsp;oxidoreductase&nbsp;subunit&nbsp;F,97.8
1123269.NX02_13330,pgi,Glucose-6-phosphate&nbsp;isomerase,97.8
1123269.NX02_11620,rpsR,30S&nbsp;ribosomal&nbsp;protein&nbsp;S18,97.7
1123269.NX02_09550,NX02_09550,Uncharacterized&nbsp;protein,97.7
1123269.NX02_14040,NX02_14040,Bifunctional&nbsp;protein&nbsp;FolD,97.7
1123269.NX02_24615,NX02_24615,Uncharacterized&nbsp;protein,97.6
1123269.NX02_05785,NX02_05785,Uncharacterized&nbsp;protein,97.6
1123269.NX02_14010,NX02_14010,ATP-dependent&nbsp;protease&nbsp;ATPase&nbsp;subunit&nbsp;HslU,97.6
1123269.NX02_22535,NX02_22535,Uncharacterized&nbsp;protein,97.5
1123269.NX02_01450,NX02_01450,Uncharacterized&nbsp;protein,97.5
1123269.NX02_15175,cobD,Cobalamin&nbsp;biosynthesis&nbsp;protein&nbsp;CobD,97.5
1123269.NX02_01310,NX02_01310,Uncharacterized&nbsp;protein,97.4
1123269.NX02_22425,thyA,Thymidylate&nbsp;synthase,97.4
1123269.NX02_00050,NX02_00050,Acetyl-CoA&nbsp;acetyltransferase,97.4
1123269.NX02_25500,NX02_25500,Uncharacterized&nbsp;protein,97.3
1123269.NX02_00240,dnaG,DNA&nbsp;primase,97.2
1123269.NX02_27950,hisF,Imidazole&nbsp;glycerol&nbsp;phosphate&nbsp;synthase&nbsp;subunit&nbsp;HisF,97.2
1123269.NX02_16465,NX02_16465,Uncharacterized&nbsp;protein,97.2
1123269.NX02_11600,NX02_11600,3-oxoacyl-ACP&nbsp;synthase,97.1
1123269.NX02_19190,NX02_19190,Uncharacterized&nbsp;protein,97.1
1123269.NX02_11345,NX02_11345,Gamma-glutamyltransferase,97.1
1123269.NX02_25405,NX02_25405,Uncharacterized&nbsp;protein,96.9
1123269.NX02_08345,glgA,Glycogen&nbsp;synthase,96.9
1123269.NX02_08650,NX02_08650,Uncharacterized&nbsp;protein,96.8
1123269.NX02_11660,trpB,Tryptophan&nbsp;synthase&nbsp;beta&nbsp;chain,96.7
1123269.NX02_23075,uppP,Undecaprenyl-diphosphatase,96.7
1123269.NX02_28330,NX02_28330,Uncharacterized&nbsp;protein,96.7
1123269.NX02_03655,NX02_03655,Uncharacterized&nbsp;protein,96.6
1123269.NX02_26500,NX02_26500,50S&nbsp;ribosomal&nbsp;protein&nbsp;L17,96.6
1123269.NX02_28505,NX02_28505,Aminotransferase,96.6
1123269.NX02_25070,nadD,Probable&nbsp;nicotinate-nucleotide&nbsp;adenylyltransferase,96.5
1123269.NX02_06335,NX02_06335,Acetyl-CoA&nbsp;acetyltransferase,96.5
1123269.NX02_13505,ahcY,Adenosylhomocysteinase,96.5
1123269.NX02_08995,NX02_08995,Uncharacterized&nbsp;protein,96.4
1123269.NX02_28015,NX02_28015,Uncharacterized&nbsp;protein,96.4
1123269.NX02_13325,NX02_13325,Glutathione&nbsp;reductase,96.4
1123269.NX02_17805,NX02_17805,Uncharacterized&nbsp;protein,96.4
1123269.NX02_28295,glpX,"Fructose-1,6-bisphosphatase",96.4
1123269.NX02_24050,pgk,Phosphoglycerate&nbsp;kinase,96.4
1123269.NX02_25945,NX02_25945,Uncharacterized&nbsp;protein,96.4
1123269.NX02_05795,NX02_05795,Uncharacterized&nbsp;protein,96.3
1123269.NX02_25015,NX02_25015,Uncharacterized&nbsp;protein,96.3
1123269.NX02_27260,lysA,Diaminopimelate&nbsp;decarboxylase,96.3
1123269.NX02_09185,NX02_09185,Acetoacetyl-CoA&nbsp;reductase,96.2
1123269.NX02_00045,NX02_00045,Alanine&nbsp;racemase,96.2
1123269.NX02_08060,NX02_08060,PhnA&nbsp;protein,96.1
1123269.NX02_20000,NX02_20000,Uncharacterized&nbsp;protein,96.1
1123269.NX02_24625,NX02_24625,Uncharacterized&nbsp;protein,96.1
1123269.NX02_27780,NX02_27780,Ferredoxin,96.0
1123269.NX02_24275,NX02_24275,Alkyl&nbsp;hydroperoxide&nbsp;reductase&nbsp;subunit&nbsp;F,95.9
1123269.NX02_21115,NX02_21115,Phage-associated&nbsp;protein,95.9
1123269.NX02_13295,NX02_13295,Diaminopimelate&nbsp;decarboxylase,95.8
1123269.NX02_10165,NX02_10165,Uncharacterized&nbsp;protein,95.8
1123269.NX02_20355,secY,Protein&nbsp;translocase&nbsp;subunit&nbsp;SecY,95.8
1123269.NX02_20580,NX02_20580,Threonine&nbsp;dehydratase,95.7
1123269.NX02_25450,NX02_25450,Uncharacterized&nbsp;protein,95.7
1123269.NX02_00935,NX02_00935,Uncharacterized&nbsp;protein,95.7
1123269.NX02_07560,NX02_07560,Tryptophan&nbsp;halogenase,95.7
1123269.NX02_18355,NX02_18355,Uncharacterized&nbsp;protein,95.7
1123269.NX02_23070,NX02_23070,Uncharacterized&nbsp;protein,95.6
1123269.NX02_14375,rpsB,30S&nbsp;ribosomal&nbsp;protein&nbsp;S2,95.6
1123269.NX02_04655,NX02_04655,Galactonate&nbsp;dehydratase,95.4
1123269.NX02_04970,dnaX,DNA&nbsp;polymerase&nbsp;III&nbsp;subunit&nbsp;gamma/tau,95.4
1123269.NX02_13260,ccmE,Cytochrome&nbsp;c-type&nbsp;biogenesis&nbsp;protein&nbsp;CcmE,95.4
1123269.NX02_16300,NX02_16300,NAD(P)&nbsp;transhydrogenase&nbsp;subunit&nbsp;alpha,95.3
1123269.NX02_11725,ppk,Polyphosphate&nbsp;kinase,95.2
1123269.NX02_06770,NX02_06770,Uncharacterized&nbsp;protein,95.2
1123269.NX02_01805,NX02_01805,Uncharacterized&nbsp;protein,95.1
1123269.NX02_16835,NX02_16835,Uncharacterized&nbsp;protein,95.0
1123269.NX02_06960,ureF,Urease&nbsp;accessory&nbsp;protein&nbsp;UreF,95.0
1123269.NX02_25160,NX02_25160,GTP&nbsp;pyrophosphokinase,94.9
1123269.NX02_15095,NX02_15095,Cytochrome&nbsp;B561,94.8
1123269.NX02_25810,NX02_25810,Cobalt&nbsp;chelatase,94.8
1123269.NX02_01680,NX02_01680,Molybdenum&nbsp;cofactor&nbsp;guanylyltransferase,94.7
1123269.NX02_24780,NX02_24780,WcbD&nbsp;protein,94.7
1123269.NX02_08930,atpD,ATP&nbsp;synthase&nbsp;subunit&nbsp;beta,94.7
1123269.NX02_10695,NX02_10695,Methylmalonyl-CoA&nbsp;epimerase,94.7
1123269.NX02_28010,prs,Ribose-phosphate&nbsp;pyrophosphokinase,94.7
1123269.NX02_14330,NX02_14330,Uncharacterized&nbsp;protein,94.6
1123269.NX02_25135,NX02_25135,Error-prone&nbsp;DNA&nbsp;polymerase,94.6
1123269.NX02_11750,NX02_11750,Uncharacterized&nbsp;protein,94.6
1123269.NX02_00850,NX02_00850,Uncharacterized&nbsp;protein,94.6
1123269.NX02_20365,rpmD,50S&nbsp;ribosomal&nbsp;protein&nbsp;L30,94.5
1123269.NX02_11745,tmk,Thymidylate&nbsp;kinase,94.5
1123269.NX02_10215,NX02_10215,Uncharacterized&nbsp;protein,94.5
1123269.NX02_05015,NX02_05015,Uncharacterized&nbsp;protein,94.5
1123269.NX02_24570,NX02_24570,Protein-glutamate&nbsp;methylesterase,94.4
1123269.NX02_28280,NX02_28280,5-methyltetrahydrofolate--homocysteine&nbsp;methyltransferase,94.3
1123269.NX02_23730,nuoN,NADH-quinone&nbsp;oxidoreductase&nbsp;subunit&nbsp;N,94.3
1123269.NX02_20195,NX02_20195,Aconitate&nbsp;hydratase,94.3
1123269.NX02_12640,cysD,Sulfate&nbsp;adenylyltransferase&nbsp;subunit&nbsp;2,94.3
1123269.NX02_24400,thrS,Threonine--tRNA&nbsp;ligase,94.3
1123269.NX02_08745,lldD,Flavin&nbsp;mononucleotide-dependent&nbsp;dehydrogenase,94.2
1123269.NX02_11025,NX02_11025,DNA&nbsp;helicase,94.1
1123269.NX02_27290,NX02_27290,Uncharacterized&nbsp;protein,94.1
1123269.NX02_11740,NX02_11740,Uncharacterized&nbsp;protein,94.0
1123269.NX02_06955,ureG,Urease&nbsp;accessory&nbsp;protein&nbsp;UreG,94.0
1123269.NX02_24610,NX02_24610,MFS&nbsp;transporter,94.0
1123269.NX02_14325,fabZ,3-hydroxyacyl-[acyl-carrier-protein]&nbsp;dehydratase&nbsp;FabZ,94.0
1123269.NX02_28165,NX02_28165,"dTDP-4-dehydrorhamnose&nbsp;3,5-epimerase",93.9
1123269.NX02_13890,secF,Protein-export&nbsp;membrane&nbsp;protein&nbsp;SecF,93.9
1123269.NX02_02745,NX02_02745,Acetoacetyl-CoA&nbsp;reductase,93.9
