717773.Thicy_1448,Thicy_1448,KEGG:&nbsp;tcx:Tcr_2007&nbsp;TRAP&nbsp;dicarboxylate&nbsp;transporter-DctM&nbsp;subunit,98.8
717773.Thicy_1224,Thicy_1224,NADH&nbsp;dehydrogenase&nbsp;(Quinone),98.8
717773.Thicy_0473,Thicy_0473,annotation&nbsp;not&nbsp;available,98.6
717773.Thicy_1612,atpE,ATP&nbsp;synthase&nbsp;subunit&nbsp;c,98.6
717773.Thicy_1641,apt,Adenine&nbsp;phosphoribosyltransferase,98.5
717773.Thicy_1535,Thicy_1535,"TIGRFAM:&nbsp;Cytochrome&nbsp;c&nbsp;oxidase&nbsp;cbb3-type,&nbsp;subunit&nbsp;I",98.5
717773.Thicy_0484,Thicy_0484,PFAM:&nbsp;Cytochrome&nbsp;c1,98.3
717773.Thicy_1142,acpP,Acyl&nbsp;carrier&nbsp;protein,97.9
717773.Thicy_1193,Thicy_1193,Ribonucleoside-diphosphate&nbsp;reductase,97.9
717773.Thicy_1078,Thicy_1078,"KEGG:&nbsp;tcx:Tcr_1172&nbsp;LolC/E&nbsp;family&nbsp;lipoprotein&nbsp;releasing&nbsp;system,&nbsp;transmembrane&nbsp;protein",97.8
717773.Thicy_0595,Thicy_0595,DnaA&nbsp;regulatory&nbsp;inactivator&nbsp;Hda,97.7
717773.Thicy_0045,rpoZ,DNA-directed&nbsp;RNA&nbsp;polymerase&nbsp;subunit&nbsp;omega,97.7
717773.Thicy_1410,fni,Isopentenyl-diphosphate&nbsp;delta-isomerase,97.6
717773.Thicy_0875,Thicy_0875,"KEGG:&nbsp;cbs:COXBURSA331_A1563&nbsp;succinate&nbsp;dehydrogenase,&nbsp;cytochrome&nbsp;b556&nbsp;subunit",97.5
717773.Thicy_0781,Thicy_0781,Nitrite&nbsp;reductase&nbsp;(NAD(P)H),97.3
717773.Thicy_1609,atpA,ATP&nbsp;synthase&nbsp;subunit&nbsp;alpha,97.2
717773.Thicy_0219,Thicy_0219,"KEGG:&nbsp;tcx:Tcr_0604&nbsp;cytochrome&nbsp;c,&nbsp;class&nbsp;I",97.1
717773.Thicy_1426,rplT,50S&nbsp;ribosomal&nbsp;protein&nbsp;L20,96.9
717773.Thicy_0099,gph,"TIGRFAM:&nbsp;2-phosphoglycolate&nbsp;phosphatase,&nbsp;prokaryotic",96.9
717773.Thicy_0265,fabA,3-hydroxydecanoyl-[acyl-carrier-protein]&nbsp;dehydratase,96.8
717773.Thicy_0961,fabZ,3-hydroxyacyl-[acyl-carrier-protein]&nbsp;dehydratase&nbsp;FabZ,96.8
717773.Thicy_0136,rpsH,30S&nbsp;ribosomal&nbsp;protein&nbsp;S8,96.6
717773.Thicy_0645,nuoI,NADH-quinone&nbsp;oxidoreductase&nbsp;subunit&nbsp;I,96.3
717773.Thicy_0808,rpsR,30S&nbsp;ribosomal&nbsp;protein&nbsp;S18,96.1
717773.Thicy_0278,Thicy_0278,KEGG:&nbsp;tcx:Tcr_1893&nbsp;oxidoreductase&nbsp;FAD/NAD(P)-binding,96.1
717773.Thicy_0636,Thicy_0636,"KEGG:&nbsp;tcx:Tcr_0816&nbsp;preprotein&nbsp;translocase,&nbsp;SecG&nbsp;subunit",96.0
717773.Thicy_0100,trpE,Anthranilate&nbsp;synthase&nbsp;component&nbsp;1,96.0
717773.Thicy_0483,Thicy_0483,Cytochrome&nbsp;b,95.9
717773.Thicy_0114,rplL,50S&nbsp;ribosomal&nbsp;protein&nbsp;L7/L12,95.8
717773.Thicy_0293,Thicy_0293,Dihydrofolate&nbsp;reductase,95.7
717773.Thicy_0054,Thicy_0054,KEGG:&nbsp;tcx:Tcr_2017&nbsp;phosphoglucomutase,95.6
717773.Thicy_1323,Thicy_1323,"PFAM:&nbsp;Three-deoxy-D-manno-octulosonic-acid&nbsp;transferase,&nbsp;N-terminal",95.3
717773.Thicy_0252,Thicy_0252,"TIGRFAM:&nbsp;Glutamate&nbsp;synthase,&nbsp;NADH/NADPH,&nbsp;small&nbsp;subunit&nbsp;2",95.1
717773.Thicy_1362,plsY,Glycerol-3-phosphate&nbsp;acyltransferase,94.8
717773.Thicy_0793,Thicy_0793,Exodeoxyribonuclease&nbsp;7&nbsp;large&nbsp;subunit,94.5
717773.Thicy_0205,secA,Protein&nbsp;translocase&nbsp;subunit&nbsp;SecA,94.5
717773.Thicy_1451,Thicy_1451,KEGG:&nbsp;tcx:Tcr_0968&nbsp;histidine&nbsp;kinase,94.4
717773.Thicy_0206,argJ,Arginine&nbsp;biosynthesis&nbsp;bifunctional&nbsp;protein&nbsp;ArgJ,94.0
717773.Thicy_1432,Thicy_1432,"PFAM:&nbsp;Permease&nbsp;YjgP/YjgQ,&nbsp;predicted",93.9
717773.Thicy_1083,Thicy_1083,KEGG:&nbsp;tcx:Tcr_1165&nbsp;septum&nbsp;site-determining&nbsp;protein&nbsp;MinD,93.8
717773.Thicy_0132,rplN,50S&nbsp;ribosomal&nbsp;protein&nbsp;L14,93.8
717773.Thicy_0618,leuB,3-isopropylmalate&nbsp;dehydrogenase,93.5
717773.Thicy_0229,Thicy_0229,Inositol-1-monophosphatase,93.5
717773.Thicy_1333,Thicy_1333,"TIGRFAM:&nbsp;5,10-methylenetetrahydrofolate&nbsp;reductase",93.5
717773.Thicy_1132,Thicy_1132,PFAM:&nbsp;FAD-dependent&nbsp;pyridine&nbsp;nucleotide-disulphide&nbsp;oxidoreductase,93.4
717773.Thicy_1637,Thicy_1637,Histidine&nbsp;kinase,93.4
717773.Thicy_0320,pyrB,"PFAM:&nbsp;Aspartate/ornithine&nbsp;carbamoyltransferase,&nbsp;carbamoyl-P&nbsp;binding",93.3
717773.Thicy_0234,ndk,Nucleoside&nbsp;diphosphate&nbsp;kinase,93.3
717773.Thicy_0051,Thicy_0051,KEGG:&nbsp;tcx:Tcr_0157&nbsp;hypothetical&nbsp;protein,93.2
717773.Thicy_0927,Thicy_0927,Cytidyltransferase-related&nbsp;domain&nbsp;protein,93.1
717773.Thicy_0778,Thicy_0778,"KEGG:&nbsp;amc:MADE_03654&nbsp;ABC-type&nbsp;nitrate/sulfonate/bicarbonate&nbsp;transport&nbsp;system,&nbsp;periplasmic&nbsp;component",93.1
717773.Thicy_1658,Thicy_1658,KEGG:&nbsp;tcx:Tcr_0051&nbsp;acetolactate&nbsp;synthase,93.0
717773.Thicy_0007,moaD,Molybdopterin&nbsp;synthase&nbsp;sulfur&nbsp;carrier&nbsp;subunit,93.0
717773.Thicy_1440,Thicy_1440,PFAM:&nbsp;Acriflavin&nbsp;resistance&nbsp;protein,92.9
717773.Thicy_0588,metG,Methionine--tRNA&nbsp;ligase,92.8
717773.Thicy_0373,hslV,ATP-dependent&nbsp;protease&nbsp;subunit&nbsp;HslV,92.7
717773.Thicy_0757,Thicy_0757,"(P)ppGpp&nbsp;synthetase&nbsp;I,&nbsp;SpoT/RelA",92.6
717773.Thicy_1532,Thicy_1532,Cbb3-type&nbsp;cytochrome&nbsp;c&nbsp;oxidase&nbsp;subunit,92.6
717773.Thicy_1249,gatA,Glutamyl-tRNA(Gln)&nbsp;amidotransferase&nbsp;subunit&nbsp;A,92.5
717773.Thicy_0817,Thicy_0817,"PFAM:&nbsp;Aminotransferase,&nbsp;class&nbsp;I/II",92.5
