582402.Hbal_1299,Hbal_1299,PFAM:&nbsp;Beta-ketoacyl&nbsp;synthase,98.9
582402.Hbal_2341,Hbal_2341,TIGRFAM:&nbsp;thioredoxin,98.8
582402.Hbal_2083,rplC,50S&nbsp;ribosomal&nbsp;protein&nbsp;L3,98.7
582402.Hbal_2071,rplE,50S&nbsp;ribosomal&nbsp;protein&nbsp;L5,98.6
582402.Hbal_2058,rplQ,TIGRFAM:&nbsp;ribosomal&nbsp;protein&nbsp;L17,98.5
582402.Hbal_1533,Hbal_1533,3-isopropylmalate&nbsp;dehydratase&nbsp;large&nbsp;subunit,98.4
582402.Hbal_1882,ctaA,Heme&nbsp;A&nbsp;synthase,98.4
582402.Hbal_2168,Hbal_2168,Chemotaxis&nbsp;protein&nbsp;methyltransferase,98.3
582402.Hbal_0831,Hbal_0831,Ribonucleoside-diphosphate&nbsp;reductase&nbsp;subunit&nbsp;beta,98.2
582402.Hbal_0662,Hbal_0662,TIGRFAM:&nbsp;P-type&nbsp;conjugative&nbsp;transfer&nbsp;protein&nbsp;TrbL,98.2
582402.Hbal_1737,Hbal_1737,KEGG:&nbsp;sit:TM1040_0746&nbsp;NADH&nbsp;dehydrogenase&nbsp;subunit&nbsp;E,98.2
582402.Hbal_0147,Hbal_0147,PFAM:&nbsp;response&nbsp;regulator&nbsp;receiver,98.0
582402.Hbal_0895,Hbal_0895,3-isopropylmalate&nbsp;dehydratase&nbsp;large&nbsp;subunit,97.9
582402.Hbal_0660,Hbal_0660,PFAM:&nbsp;Conjugal&nbsp;transfer&nbsp;protein,97.7
582402.Hbal_1944,Hbal_1944,Replicative&nbsp;DNA&nbsp;helicase,97.6
582402.Hbal_2092,rplJ,50S&nbsp;ribosomal&nbsp;protein&nbsp;L10,97.6
582402.Hbal_2166,Hbal_2166,Chemotaxis&nbsp;response&nbsp;regulator&nbsp;protein-glutamate&nbsp;methylesterase,97.5
582402.Hbal_0301,Hbal_0301,"TIGRFAM:&nbsp;succinate&nbsp;dehydrogenase,&nbsp;cytochrome&nbsp;b556&nbsp;subunit",97.5
582402.Hbal_0242,Hbal_0242,PFAM:&nbsp;3-hydroxyacyl-CoA&nbsp;dehydrogenase&nbsp;NAD-binding,97.3
582402.Hbal_3158,Hbal_3158,"dTDP-4-dehydrorhamnose&nbsp;3,5-epimerase",97.3
582402.Hbal_1697,Hbal_1697,TIGRFAM:&nbsp;glutamine&nbsp;amidotransferase&nbsp;of&nbsp;anthranilate&nbsp;synthase,97.2
582402.Hbal_0952,Hbal_0952,PFAM:&nbsp;cytochrome&nbsp;c&nbsp;biogenesis&nbsp;protein&nbsp;transmembrane&nbsp;region,97.2
582402.Hbal_2642,Hbal_2642,PFAM:&nbsp;glycoside&nbsp;hydrolase&nbsp;family&nbsp;3&nbsp;domain&nbsp;protein,97.0
