375286.mma_0482,nasD,annotation&nbsp;not&nbsp;available,98.8
375286.mma_3184,mma_3184,annotation&nbsp;not&nbsp;available,98.8
375286.mma_0172,gshB,annotation&nbsp;not&nbsp;available,98.7
375286.mma_2141,mma_2141,annotation&nbsp;not&nbsp;available,98.7
375286.mma_1814,ureC,annotation&nbsp;not&nbsp;available,98.7
375286.mma_0197,mreC,Cell&nbsp;shape-determining&nbsp;protein&nbsp;MreC,98.6
375286.mma_2672,hisC2,annotation&nbsp;not&nbsp;available,98.6
375286.mma_3104,potC,annotation&nbsp;not&nbsp;available,98.6
375286.mma_3265,ubiX,Flavin&nbsp;prenyltransferase&nbsp;UbiX,98.6
375286.mma_3281,hisE,annotation&nbsp;not&nbsp;available,98.5
375286.mma_1174,minD,annotation&nbsp;not&nbsp;available,98.5
375286.mma_2883,dnaK,Chaperone&nbsp;protein&nbsp;DnaK,98.5
375286.mma_2257,wecB1,annotation&nbsp;not&nbsp;available,98.4
375286.mma_2592,cysW2,annotation&nbsp;not&nbsp;available,98.3
375286.mma_0280,gltJ,annotation&nbsp;not&nbsp;available,98.2
375286.mma_0155,mma_0155,annotation&nbsp;not&nbsp;available,98.2
375286.mma_1460,tpiA,Triosephosphate&nbsp;isomerase,98.2
375286.mma_3251,lipB,Octanoyltransferase,98.1
375286.mma_1095,cobO,"Cob(I)yrinic&nbsp;acid&nbsp;a,c-diamide&nbsp;adenosyltransferase",98.1
375286.mma_0039,ahpC,annotation&nbsp;not&nbsp;available,98.1
375286.mma_1860,mma_1860,annotation&nbsp;not&nbsp;available,98.0
375286.mma_1577,mma_1577,annotation&nbsp;not&nbsp;available,98.0
375286.mma_2243,carA,annotation&nbsp;not&nbsp;available,98.0
375286.mma_2249,futA,annotation&nbsp;not&nbsp;available,98.0
375286.mma_2083,fliA,RNA&nbsp;polymerase&nbsp;sigma&nbsp;factor&nbsp;FliA,97.7
375286.mma_1564,acrA3,annotation&nbsp;not&nbsp;available,97.7
375286.mma_3392,rplO,50S&nbsp;ribosomal&nbsp;protein&nbsp;L15,97.6
375286.mma_3128,prsA,Ribose-phosphate&nbsp;pyrophosphokinase,97.2
375286.mma_1883,aceE2,Pyruvate&nbsp;dehydrogenase&nbsp;E1&nbsp;component,97.1
375286.mma_3367,pilN,annotation&nbsp;not&nbsp;available,97.1
375286.mma_1836,feoA,annotation&nbsp;not&nbsp;available,97.0
375286.mma_3632,atpE,ATP&nbsp;synthase&nbsp;subunit&nbsp;c,97.0
375286.mma_1822,kdpB,Potassium-transporting&nbsp;ATPase&nbsp;ATP-binding&nbsp;subunit,96.9
375286.mma_1335,cheD1,annotation&nbsp;not&nbsp;available,96.9
375286.mma_1631,ccoN,annotation&nbsp;not&nbsp;available,96.9
375286.mma_1816,ureF,Urease&nbsp;accessory&nbsp;protein&nbsp;UreF,96.9
375286.mma_2146,pssA1,annotation&nbsp;not&nbsp;available,96.8
375286.mma_0002,dnaN,Beta&nbsp;sliding&nbsp;clamp,96.8
375286.mma_3575,pdhD2,annotation&nbsp;not&nbsp;available,96.8
375286.mma_0597,mma_0597,annotation&nbsp;not&nbsp;available,96.8
375286.mma_0556,phbB,annotation&nbsp;not&nbsp;available,96.8
375286.mma_0902,mma_0902,annotation&nbsp;not&nbsp;available,96.7
375286.mma_1676,gst6,annotation&nbsp;not&nbsp;available,96.7
375286.mma_0435,glcD2,annotation&nbsp;not&nbsp;available,96.7
375286.mma_3627,atpD,ATP&nbsp;synthase&nbsp;subunit&nbsp;beta,96.6
375286.mma_1495,tar10,annotation&nbsp;not&nbsp;available,96.4
375286.mma_2496,nusA,Transcription&nbsp;termination/antitermination&nbsp;protein&nbsp;NusA,96.4
375286.mma_1723,copA2,annotation&nbsp;not&nbsp;available,96.2
375286.mma_0999,mma_0999,annotation&nbsp;not&nbsp;available,96.1
375286.mma_2291,pstS,Phosphate-binding&nbsp;protein&nbsp;PstS,96.0
375286.mma_2952,mma_2952,annotation&nbsp;not&nbsp;available,96.0
375286.mma_2615,mma_2615,annotation&nbsp;not&nbsp;available,96.0
375286.mma_2844,purE,N5-carboxyaminoimidazole&nbsp;ribonucleotide&nbsp;mutase,95.9
375286.mma_1172,adhI,annotation&nbsp;not&nbsp;available,95.9
375286.mma_2271,hisH1,Imidazole&nbsp;glycerol&nbsp;phosphate&nbsp;synthase&nbsp;subunit&nbsp;HisH,95.8
375286.mma_0215,mma_0215,annotation&nbsp;not&nbsp;available,95.8
375286.mma_1287,slyD,annotation&nbsp;not&nbsp;available,95.8
375286.mma_2338,nusB,Transcription&nbsp;antitermination&nbsp;protein&nbsp;NusB,95.7
375286.mma_0080,tar3,annotation&nbsp;not&nbsp;available,95.7
375286.mma_3269,petC,annotation&nbsp;not&nbsp;available,95.7
375286.mma_3649,tupB,annotation&nbsp;not&nbsp;available,95.6
375286.mma_1511,gltA,annotation&nbsp;not&nbsp;available,95.6
375286.mma_3116,ilvA,L-threonine&nbsp;dehydratase,95.5
375286.mma_3439,mma_3439,annotation&nbsp;not&nbsp;available,95.4
375286.mma_1812,ureA,annotation&nbsp;not&nbsp;available,95.4
375286.mma_1474,nuoM,annotation&nbsp;not&nbsp;available,95.4
375286.mma_2106,accA,Acetyl-coenzyme&nbsp;A&nbsp;carboxylase&nbsp;carboxyl&nbsp;transferase&nbsp;subunit&nbsp;alpha,95.3
375286.mma_2845,purC,annotation&nbsp;not&nbsp;available,95.3
375286.mma_0132,mma_0132,annotation&nbsp;not&nbsp;available,95.2
375286.mma_3222,gpm2,"2,3-bisphosphoglycerate-dependent&nbsp;phosphoglycerate&nbsp;mutase",95.2
375286.mma_2484,tauB,annotation&nbsp;not&nbsp;available,95.2
375286.mma_0611,maeB,annotation&nbsp;not&nbsp;available,95.1
375286.mma_2286,phoB,annotation&nbsp;not&nbsp;available,95.1
375286.mma_1376,avrC,UvrABC&nbsp;system&nbsp;protein&nbsp;C,95.1
375286.mma_3631,atpF,ATP&nbsp;synthase&nbsp;subunit&nbsp;b,95.1
375286.mma_2936,acrA5,annotation&nbsp;not&nbsp;available,95.1
375286.mma_0831,tktA,annotation&nbsp;not&nbsp;available,95.0
375286.mma_1472,nuoK,NADH-quinone&nbsp;oxidoreductase&nbsp;subunit&nbsp;K,95.0
375286.mma_2979,nrdA,Ribonucleoside-diphosphate&nbsp;reductase,95.0
375286.mma_1427,flgK,annotation&nbsp;not&nbsp;available,95.0
375286.mma_0622,rho,Transcription&nbsp;termination&nbsp;factor&nbsp;Rho,94.9
375286.mma_3258,phaD,annotation&nbsp;not&nbsp;available,94.9
375286.mma_2163,trpA,Tryptophan&nbsp;synthase&nbsp;alpha&nbsp;chain,94.9
375286.mma_2561,mdcD2,annotation&nbsp;not&nbsp;available,94.8
375286.mma_3279,tatE,Sec-independent&nbsp;protein&nbsp;translocase&nbsp;protein&nbsp;TatA,94.7
375286.mma_0317,thiG1,Thiazole&nbsp;synthase,94.7
375286.mma_1504,mdh,Malate&nbsp;dehydrogenase,94.7
375286.mma_1151,glnK2,annotation&nbsp;not&nbsp;available,94.6
375286.mma_0191,pyrE,Orotate&nbsp;phosphoribosyltransferase,94.6
375286.mma_0199,mrdA,"Peptidoglycan&nbsp;D,D-transpeptidase&nbsp;MrdA",94.6
375286.mma_3424,rplK,50S&nbsp;ribosomal&nbsp;protein&nbsp;L11,94.5
375286.mma_1359,acpP,Acyl&nbsp;carrier&nbsp;protein,94.5
375286.mma_2174,aroC,Chorismate&nbsp;synthase,94.4
375286.mma_1658,mma_1658,annotation&nbsp;not&nbsp;available,94.4
375286.mma_0083,tar4,annotation&nbsp;not&nbsp;available,94.2
375286.mma_1409,ispD,2-C-methyl-D-erythritol&nbsp;4-phosphate&nbsp;cytidylyltransferase,94.2
375286.mma_3078,uahA,annotation&nbsp;not&nbsp;available,94.2
375286.mma_1800,ptsN1,annotation&nbsp;not&nbsp;available,94.2
375286.mma_0653,mma_0653,annotation&nbsp;not&nbsp;available,94.1
375286.mma_1560,mma_1560,annotation&nbsp;not&nbsp;available,94.0
375286.mma_2485,tauA,annotation&nbsp;not&nbsp;available,93.7
375286.mma_2242,carB,annotation&nbsp;not&nbsp;available,93.7
375286.mma_3339,ssb2,Single-stranded&nbsp;DNA-binding&nbsp;protein,93.7
375286.mma_3490,prpE,annotation&nbsp;not&nbsp;available,93.6
375286.mma_0782,livF3,annotation&nbsp;not&nbsp;available,93.5
375286.mma_0632,wza,annotation&nbsp;not&nbsp;available,93.5
375286.mma_0739,ssuA1,annotation&nbsp;not&nbsp;available,93.5
375286.mma_0765,mma_0765,Aldehyde&nbsp;dehydrogenase,93.4
375286.mma_1363,rseA,annotation&nbsp;not&nbsp;available,93.4
375286.mma_1140,algR,annotation&nbsp;not&nbsp;available,93.4
375286.mma_3421,rplL,50S&nbsp;ribosomal&nbsp;protein&nbsp;L7/L12,93.4
375286.mma_1859,folE,annotation&nbsp;not&nbsp;available,93.3
375286.mma_2092,cheD2,Probable&nbsp;chemoreceptor&nbsp;glutamine&nbsp;deamidase&nbsp;CheD,93.2
375286.mma_2985,ffh,Signal&nbsp;recognition&nbsp;particle&nbsp;protein,93.2
375286.mma_2162,accD,Acetyl-coenzyme&nbsp;A&nbsp;carboxylase&nbsp;carboxyl&nbsp;transferase&nbsp;subunit&nbsp;beta,93.2
375286.mma_1655,nadE2,NH(3)-dependent&nbsp;NAD(+)&nbsp;synthetase,93.1
375286.mma_3228,ompR7,annotation&nbsp;not&nbsp;available,93.1
375286.mma_2617,mma_2617,annotation&nbsp;not&nbsp;available,93.0
375286.mma_1180,hrpA,annotation&nbsp;not&nbsp;available,93.0
375286.mma_2830,mma_2830,annotation&nbsp;not&nbsp;available,93.0
375286.mma_1388,mma_1388,annotation&nbsp;not&nbsp;available,92.9
375286.mma_0553,pepN,annotation&nbsp;not&nbsp;available,92.9
