1449351.RISW2_17585,ETX26885.1,Penicillin-binding&nbsp;protein&nbsp;1C,98.9
1449351.RISW2_01350,ETX29343.1,Photoactive&nbsp;yellow&nbsp;protein,98.9
1449351.RISW2_15890,ETX30316.1,Molybdopterin-guanine&nbsp;dinucleotide&nbsp;biosynthesis&nbsp;protein&nbsp;MobB,98.9
1449351.RISW2_10700,ETX27930.1,Derived&nbsp;by&nbsp;automated&nbsp;computational&nbsp;analysis&nbsp;using&nbsp;gene&nbsp;prediction&nbsp;method:&nbsp;GeneMarkS+,98.9
1449351.RISW2_13670,ETX27471.1,Uncharacterized&nbsp;protein,98.9
1449351.RISW2_09145,ETX28266.1,DNA&nbsp;polymerase&nbsp;III&nbsp;subunit&nbsp;alpha,98.9
1449351.RISW2_02210,glcB,Malate&nbsp;synthase&nbsp;G,98.9
1449351.RISW2_22260,ETX29610.1,Chitin&nbsp;deacetylase,98.8
1449351.RISW2_01555,ETX29384.1,Cytochrome&nbsp;C&nbsp;biogenesis&nbsp;protein&nbsp;CcdA,98.8
1449351.RISW2_08350,rplM,50S&nbsp;ribosomal&nbsp;protein&nbsp;L13,98.8
1449351.RISW2_09790,ETX28057.1,Uncharacterized&nbsp;protein,98.8
1449351.RISW2_09855,ETX28068.1,Peptide&nbsp;ABC&nbsp;transporter&nbsp;substrate-binding&nbsp;protein,98.7
1449351.RISW2_01375,ETX29348.1,Uncharacterized&nbsp;protein,98.7
1449351.RISW2_09540,ETX28176.1,Copper&nbsp;oxidase,98.7
1449351.RISW2_01645,ETX29402.1,Aminopeptidase,98.7
1449351.RISW2_23945,ETX26490.1,Dihydroxyacetone&nbsp;kinase,98.7
1449351.RISW2_11595,ETX27704.1,RbsB,98.7
1449351.RISW2_03140,tuf,Elongation&nbsp;factor&nbsp;Tu,98.7
1449351.RISW2_18620,ETX30202.1,Hisitidine&nbsp;kinase,98.6
1449351.RISW2_19010,ETX26814.1,Uncharacterized&nbsp;protein,98.6
1449351.RISW2_22210,ETX29601.1,Long-chain&nbsp;fatty&nbsp;acid--CoA&nbsp;ligase,98.6
1449351.RISW2_13990,rplT,50S&nbsp;ribosomal&nbsp;protein&nbsp;L20,98.5
1449351.RISW2_01200,ETX29313.1,Dihydroxy-acid&nbsp;dehydratase,98.5
1449351.RISW2_18530,ETX30185.1,ABC&nbsp;transporter&nbsp;substrate-binding&nbsp;protein,98.5
1449351.RISW2_14890,ETX27284.1,Catalyzes&nbsp;the&nbsp;formation&nbsp;of&nbsp;inosine&nbsp;monophosphate&nbsp;from&nbsp;hypoxanthine&nbsp;and&nbsp;5-phospho-alpha-D-ribose&nbsp;1-diphosphate,98.5
1449351.RISW2_10625,ETX27915.1,Sensor&nbsp;histidine&nbsp;kinase,98.5
1449351.RISW2_14175,rplW,50S&nbsp;ribosomal&nbsp;protein&nbsp;L23,98.4
1449351.RISW2_09820,ETX28061.1,Molybdenum&nbsp;ABC&nbsp;transporter&nbsp;substrate-binding&nbsp;protein,98.4
1449351.RISW2_14540,ETX27312.1,Nitrile&nbsp;hydratase,98.4
1449351.RISW2_14725,ETX27251.1,5'-nucleotidase,98.4
1449351.RISW2_12700,ETX30520.1,Branched-chain&nbsp;amino&nbsp;acid&nbsp;transporter&nbsp;AzlC,98.4
1449351.RISW2_11675,ETX27720.1,Decarboxylase,98.4
1449351.RISW2_19045,ETX26821.1,Sulfur&nbsp;carrier&nbsp;protein&nbsp;FdhD,98.3
1449351.RISW2_01710,ETX29415.1,Aminotransferase&nbsp;class&nbsp;IV,98.3
1449351.RISW2_17425,rnc,Ribonuclease&nbsp;3,98.2
1449351.RISW2_21440,ETX29817.1,MFS&nbsp;transporter,98.1
1449351.RISW2_04705,ETX28803.1,Septum&nbsp;site-determining&nbsp;protein,98.1
1449351.RISW2_08945,ETX28229.1,UDP-phosphate&nbsp;galactose&nbsp;phosphotransferase,98.1
1449351.RISW2_04525,secD,Protein&nbsp;translocase&nbsp;subunit&nbsp;SecD,98.1
1449351.RISW2_03255,ETX28971.1,Spermidine/putrescine&nbsp;ABC&nbsp;transporter&nbsp;substrate-binding&nbsp;protein,98.1
1449351.RISW2_17780,ETX30048.1,ABC&nbsp;transporter&nbsp;permease,98.1
1449351.RISW2_20985,ETX29731.1,DNA&nbsp;polymerase&nbsp;III&nbsp;subunit&nbsp;delta,98.0
1449351.RISW2_03870,ETX28855.1,Uncharacterized&nbsp;protein,98.0
1449351.RISW2_20180,ETX29969.1,Glycerol&nbsp;acyltransferase,98.0
1449351.RISW2_09080,ETX28280.1,Uncharacterized&nbsp;protein,98.0
1449351.RISW2_03665,ETX29052.1,Formate&nbsp;dehydrogenase,97.9
1449351.RISW2_12495,ETX30482.1,2-alkenal&nbsp;reductase,97.9
1449351.RISW2_20485,ETX26731.1,ABC&nbsp;transporter&nbsp;substrate-binding&nbsp;protein,97.9
1449351.RISW2_19280,fumC,Fumarate&nbsp;hydratase&nbsp;class&nbsp;II,97.9
1449351.RISW2_21215,ETX29774.1,Sugar&nbsp;ABC&nbsp;transporter&nbsp;permease,97.9
1449351.RISW2_05500,ETX26416.1,Uncharacterized&nbsp;protein,97.8
1449351.RISW2_04400,ETX26427.1,Rrf2&nbsp;family&nbsp;transcriptional&nbsp;regulator,97.8
1449351.RISW2_09770,ETX28053.1,Alpha-glucosidase,97.8
1449351.RISW2_23880,ETX26497.1,Uncharacterized&nbsp;protein,97.8
1449351.RISW2_02740,ETX29102.1,Aminotransferase,97.7
1449351.RISW2_16120,ETX30361.1,Gluconate&nbsp;2-dehydrogenase,97.7
1449351.RISW2_13250,ETX27601.1,Uracil-DNA&nbsp;glycosylase,97.7
1449351.RISW2_05370,mutS,DNA&nbsp;mismatch&nbsp;repair&nbsp;protein&nbsp;MutS,97.7
1449351.RISW2_06240,tdh,L-threonine&nbsp;3-dehydrogenase,97.6
1449351.RISW2_00440,pckA,Phosphoenolpyruvate&nbsp;carboxykinase&nbsp;(ATP),97.6
1449351.RISW2_20570,ETX26708.1,Branched-chain&nbsp;amino&nbsp;acid&nbsp;ABC&nbsp;transporter&nbsp;ATP-binding&nbsp;protein,97.6
