693444.D782_1012,gshA,PFAM:&nbsp;Glutamate-cysteine&nbsp;ligase,98.9
693444.D782_0770,D782_0770,NAD(FAD)-dependent&nbsp;dehydrogenase,98.8
693444.D782_3000,D782_3000,PFAM:&nbsp;Glycosyl&nbsp;hydrolases&nbsp;family&nbsp;31,98.8
693444.D782_2745,D782_2745,Methionine&nbsp;import&nbsp;ATP-binding&nbsp;protein&nbsp;MetN,98.8
693444.D782_1229,D782_1229,Cysteine&nbsp;synthase,98.8
693444.D782_2410,D782_2410,PFAM:&nbsp;Binding-protein-dependent&nbsp;transport&nbsp;system&nbsp;inner&nbsp;membrane&nbsp;component,98.7
693444.D782_3753,D782_3753,PFAM:&nbsp;Protein&nbsp;of&nbsp;unknown&nbsp;function&nbsp;(DUF2950),98.7
693444.D782_3867,D782_3867,PFAM:&nbsp;Response&nbsp;regulator&nbsp;receiver&nbsp;domain,98.6
693444.D782_4290,rplA,50S&nbsp;ribosomal&nbsp;protein&nbsp;L1,98.6
693444.D782_2444,trpD,Anthranilate&nbsp;phosphoribosyltransferase,98.6
693444.D782_1605,hisC,PFAM:&nbsp;Aminotransferase&nbsp;class&nbsp;I&nbsp;and&nbsp;II,98.6
693444.D782_3061,D782_3061,"Molybdopterin&nbsp;converting&nbsp;factor,&nbsp;large&nbsp;subunit",98.5
693444.D782_3720,D782_3720,"ABC-type&nbsp;cobalamin/Fe3+-siderophore&nbsp;transport&nbsp;system,&nbsp;ATPase&nbsp;component",98.4
693444.D782_1245,D782_1245,Purine&nbsp;nucleoside&nbsp;phosphorylase,98.3
693444.D782_2968,D782_2968,PFAM:&nbsp;haloacid&nbsp;dehalogenase-like&nbsp;hydrolase,98.3
693444.D782_1292,D782_1292,PFAM:&nbsp;Polymyxin&nbsp;resistance&nbsp;protein&nbsp;PmrD,98.1
693444.D782_3702,rpsB,PFAM:&nbsp;Ribosomal&nbsp;protein&nbsp;S2,98.0
693444.D782_3776,ftsA,Cell&nbsp;division&nbsp;protein&nbsp;FtsA,98.0
693444.D782_4526,atpG,ATP&nbsp;synthase&nbsp;gamma&nbsp;chain,97.9
693444.D782_2307,D782_2307,PFAM:&nbsp;HAMP&nbsp;domain,97.9
693444.D782_2801,D782_2801,PFAM:&nbsp;Aldehyde&nbsp;dehydrogenase&nbsp;family,97.9
693444.D782_4533,D782_4533,Phosphate-binding&nbsp;protein&nbsp;PstS,97.8
693444.D782_2978,D782_2978,"ABC-type&nbsp;sugar&nbsp;transport&nbsp;system,&nbsp;periplasmic&nbsp;component",97.8
693444.D782_0405,rpoA,DNA-directed&nbsp;RNA&nbsp;polymerase&nbsp;subunit&nbsp;alpha,97.8
693444.D782_1741,flhD,Flagellar&nbsp;transcriptional&nbsp;regulator&nbsp;FlhD,97.7
693444.D782_2988,D782_2988,ATPase&nbsp;component&nbsp;of&nbsp;various&nbsp;ABC-type&nbsp;transport&nbsp;systems&nbsp;with&nbsp;duplicated&nbsp;ATPase&nbsp;domain,97.6
693444.D782_2751,D782_2751,"ABC-type&nbsp;nitrate/sulfonate/bicarbonate&nbsp;transport&nbsp;system,&nbsp;ATPase&nbsp;component",97.5
693444.D782_1317,D782_1317,"ABC-type&nbsp;Fe3+&nbsp;transport&nbsp;system,&nbsp;periplasmic&nbsp;component",97.5
693444.D782_2591,D782_2591,Putative&nbsp;glucose-6-phosphate&nbsp;1-epimerase,97.5
693444.D782_2333,D782_2333,Phenylacetic&nbsp;acid&nbsp;degradation&nbsp;protein&nbsp;paaN,97.4
693444.D782_2701,D782_2701,PFAM:&nbsp;Curli&nbsp;assembly&nbsp;protein&nbsp;CsgE,97.4
693444.D782_3866,D782_3866,PFAM:&nbsp;HAMP&nbsp;domain,97.4
693444.D782_1319,D782_1319,"Response&nbsp;regulator&nbsp;with&nbsp;CheY-like&nbsp;receiver,&nbsp;AAA-type&nbsp;ATPase,&nbsp;and&nbsp;DNA-binding&nbsp;domains",97.4
693444.D782_0974,D782_0974,"Formate&nbsp;hydrogenlyase&nbsp;subunit&nbsp;3/multisubunit&nbsp;Na+/H+&nbsp;antiporter,&nbsp;MnhD&nbsp;subunit",97.3
693444.D782_4105,D782_4105,Succinate&nbsp;dehydrogenase&nbsp;iron-sulfur&nbsp;subunit,97.3
693444.D782_0612,D782_0612,"ABC-type&nbsp;metal&nbsp;ion&nbsp;transport&nbsp;system,&nbsp;permease&nbsp;component",97.2
693444.D782_0728,D782_0728,Signal&nbsp;transduction&nbsp;histidine&nbsp;kinase&nbsp;regulating&nbsp;citrate/malate&nbsp;metabolism,97.2
693444.D782_0630,plsY,Glycerol-3-phosphate&nbsp;acyltransferase,97.2
693444.D782_1966,D782_1966,FeS&nbsp;assembly&nbsp;protein&nbsp;SufD,97.2
693444.D782_3117,D782_3117,Cell&nbsp;division&nbsp;and&nbsp;transport-associated&nbsp;protein&nbsp;TolQ,97.1
693444.D782_3353,dnaX,DNA&nbsp;polymerase&nbsp;III&nbsp;subunit&nbsp;gamma/tau,97.1
693444.D782_0145,D782_0145,3-hexulose-6-phosphate&nbsp;synthase&nbsp;family&nbsp;protein,97.1
693444.D782_1634,D782_1634,PFAM:&nbsp;Cobalt&nbsp;transport&nbsp;protein,96.9
693444.D782_1023,D782_1023,Ribonucleoside-diphosphate&nbsp;reductase,96.9
693444.D782_1955,D782_1955,Phosphoenolpyruvate&nbsp;synthase,96.9
693444.D782_3719,D782_3719,"ABC-type&nbsp;Fe3+-hydroxamate&nbsp;transport&nbsp;system,&nbsp;periplasmic&nbsp;component",96.8
693444.D782_1360,D782_1360,Flavin&nbsp;prenyltransferase&nbsp;UbiX,96.7
693444.D782_1355,D782_1355,"Ni,Fe-hydrogenase&nbsp;I&nbsp;large&nbsp;subunit",96.7
693444.D782_1863,D782_1863,"Amino&nbsp;acid/amide&nbsp;ABC&nbsp;transporter&nbsp;substrate-binding&nbsp;protein,&nbsp;HAAT&nbsp;family",96.6
693444.D782_4250,D782_4250,PFAM:&nbsp;PTS&nbsp;system&nbsp;mannose/fructose/sorbose&nbsp;family&nbsp;IID&nbsp;component,96.6
693444.D782_2446,trpB,Tryptophan&nbsp;synthase&nbsp;beta&nbsp;chain,96.6
693444.D782_2802,D782_2802,PFAM:&nbsp;Aminotransferase&nbsp;class-III,96.5
693444.D782_4149,D782_4149,7-keto-8-aminopelargonate&nbsp;synthetase-like&nbsp;enzyme,96.4
693444.D782_2190,D782_2190,PFAM:&nbsp;Aldehyde&nbsp;dehydrogenase&nbsp;family,96.4
693444.D782_1408,glpB,Anaerobic&nbsp;glycerol-3-phosphate&nbsp;dehydrogenase&nbsp;subunit&nbsp;B,96.4
693444.D782_2166,D782_2166,Putative&nbsp;transcriptional&nbsp;regulator,96.4
693444.D782_2423,D782_2423,Membrane-associated&nbsp;phospholipid&nbsp;phosphatase,96.3
693444.D782_3073,bioC,Malonyl-[acyl-carrier&nbsp;protein]&nbsp;O-methyltransferase,96.3
693444.D782_0335,D782_0335,Siroheme&nbsp;synthase,96.3
693444.D782_3693,D782_3693,PFAM:&nbsp;Outer&nbsp;membrane&nbsp;protein&nbsp;(OmpH-like),96.2
693444.D782_1163,xseA,Exodeoxyribonuclease&nbsp;7&nbsp;large&nbsp;subunit,96.2
693444.D782_2951,D782_2951,PFAM:&nbsp;Response&nbsp;regulator&nbsp;receiver&nbsp;domain,96.2
693444.D782_3641,D782_3641,PFAM:&nbsp;Bacterial&nbsp;protein&nbsp;of&nbsp;unknown&nbsp;function&nbsp;(DUF876),96.2
693444.D782_1777,ruvA,Holliday&nbsp;junction&nbsp;ATP-dependent&nbsp;DNA&nbsp;helicase&nbsp;RuvA,96.1
693444.D782_3157,D782_3157,"PFAM:&nbsp;Orn/Lys/Arg&nbsp;decarboxylase,&nbsp;C-terminal&nbsp;domain",96.1
693444.D782_0929,D782_0929,PFAM:&nbsp;Glycerate&nbsp;kinase&nbsp;family,96.1
693444.D782_0271,ugpE,Sn-glycerol-3-phosphate&nbsp;transport&nbsp;system&nbsp;permease&nbsp;protein&nbsp;UgpE,96.0
693444.D782_1943,pheS,Phenylalanine--tRNA&nbsp;ligase&nbsp;alpha&nbsp;subunit,95.9
693444.D782_1212,D782_1212,PFAM:&nbsp;Ethanolamine&nbsp;utilisation&nbsp;protein&nbsp;EutA,95.9
693444.D782_3792,D782_3792,Acetolactate&nbsp;synthase,95.8
693444.D782_2059,D782_2059,"PFAM:&nbsp;Phosphotransferase&nbsp;system,&nbsp;EIIC",95.7
693444.D782_1978,D782_1978,"ABC-type&nbsp;cobalamin/Fe3+-siderophore&nbsp;transport&nbsp;system,&nbsp;ATPase&nbsp;component",95.7
693444.D782_1208,D782_1208,PFAM:&nbsp;Aldehyde&nbsp;dehydrogenase&nbsp;family,95.6
693444.D782_4150,D782_4150,PFAM:&nbsp;Predicted&nbsp;permease&nbsp;YjgP/YjgQ&nbsp;family,95.6
693444.D782_1684,rcsA,Transcriptional&nbsp;regulatory&nbsp;protein&nbsp;RcsA,95.6
693444.D782_0129,selA,L-seryl-tRNA(Sec)&nbsp;selenium&nbsp;transferase,95.6
693444.D782_1697,D782_1697,Flagellar&nbsp;M-ring&nbsp;protein,95.6
693444.D782_4074,D782_4074,Uncharacterized&nbsp;protein,95.5
693444.D782_3439,nusB,Transcription&nbsp;antitermination&nbsp;protein&nbsp;NusB,95.5
693444.D782_1897,D782_1897,"Nitrate&nbsp;ABC&nbsp;transporter,&nbsp;permease&nbsp;protein",95.5
693444.D782_4419,D782_4419,"Uncharacterized&nbsp;protein,&nbsp;gamma-carboxymuconolactone&nbsp;decarboxylase&nbsp;subunit&nbsp;like&nbsp;protein",95.5
693444.D782_3022,D782_3022,Beta-glucosidase/6-phospho-beta-glucosidase/beta-galactosidase,95.4
693444.D782_1922,D782_1922,"ABC-type&nbsp;dipeptide/oligopeptide/nickel&nbsp;transport&nbsp;system,&nbsp;permease&nbsp;component",95.4
693444.D782_3474,proC,Pyrroline-5-carboxylate&nbsp;reductase,95.3
693444.D782_1170,D782_1170,Exopolyphosphatase,95.2
693444.D782_4201,D782_4201,"Transketolase,&nbsp;alpha&nbsp;subunit",95.2
693444.D782_1393,D782_1393,"PFAM:&nbsp;NADH-Ubiquinone/plastoquinone&nbsp;(complex&nbsp;I),&nbsp;various&nbsp;chains",95.2
693444.D782_1458,D782_1458,Phosphotransferase&nbsp;system&nbsp;HPr&nbsp;(HPr)&nbsp;family&nbsp;protein,95.1
693444.D782_2878,D782_2878,PFAM:&nbsp;Domain&nbsp;of&nbsp;unknown&nbsp;function&nbsp;(DUF3458),95.0
693444.D782_1186,dapA,4-hydroxy-tetrahydrodipicolinate&nbsp;synthase,95.0
693444.D782_4266,purH,Bifunctional&nbsp;purine&nbsp;biosynthesis&nbsp;protein&nbsp;PurH,95.0
693444.D782_1861,D782_1861,Urea&nbsp;carboxylase,95.0
693444.D782_1371,D782_1371,"PFAM:&nbsp;Glutathione&nbsp;S-transferase,&nbsp;N-terminal&nbsp;domain",95.0
693444.D782_0978,D782_0978,"Ni,Fe-hydrogenase&nbsp;III&nbsp;small&nbsp;subunit",95.0
693444.D782_4522,atpE,ATP&nbsp;synthase&nbsp;subunit&nbsp;c,94.8
693444.D782_3062,moaD,Molybdopterin&nbsp;synthase&nbsp;sulfur&nbsp;carrier&nbsp;subunit,94.8
693444.D782_3200,D782_3200,"PFAM:&nbsp;DNA&nbsp;polymerase&nbsp;III,&nbsp;delta&nbsp;subunit",94.7
693444.D782_4536,pstB,Phosphate&nbsp;import&nbsp;ATP-binding&nbsp;protein&nbsp;PstB,94.6
693444.D782_1341,D782_1341,Permease&nbsp;IIC&nbsp;component,94.6
693444.D782_2920,D782_2920,"DNA&nbsp;segregation&nbsp;ATPase,&nbsp;FtsK/SpoIIIE&nbsp;family",94.6
693444.D782_0382,rplB,50S&nbsp;ribosomal&nbsp;protein&nbsp;L2,94.6
693444.D782_2590,D782_2590,"PFAM:&nbsp;Glyceraldehyde&nbsp;3-phosphate&nbsp;dehydrogenase,&nbsp;C-terminal&nbsp;domain",94.5
693444.D782_1237,D782_1237,Cysteine&nbsp;synthase,94.5
693444.D782_2844,D782_2844,Sulfurtransferase,94.4
693444.D782_3013,D782_3013,Periplasmic&nbsp;component&nbsp;of&nbsp;amino&nbsp;acid&nbsp;ABC-type&nbsp;transporter/signal&nbsp;transduction&nbsp;system,94.4
693444.D782_2274,D782_2274,"ABC-type&nbsp;spermidine/putrescine&nbsp;transport&nbsp;system,&nbsp;permease&nbsp;component&nbsp;II",94.4
693444.D782_1521,D782_1521,Permease&nbsp;IIC&nbsp;component,94.3
