585530.HMPREF0183_0894,EFG47817.1,Histidine&nbsp;kinase,98.9
585530.HMPREF0183_0165,pstS,Phosphate-binding&nbsp;protein&nbsp;PstS,98.9
585530.HMPREF0183_0809,gcvP,Glycine&nbsp;dehydrogenase&nbsp;(aminomethyl-transferring),98.9
585530.HMPREF0183_1578,uppP,Undecaprenyl-diphosphatase,98.8
585530.HMPREF0183_1003,tpiA,Triosephosphate&nbsp;isomerase,98.8
585530.HMPREF0183_0055,rpsE,30S&nbsp;ribosomal&nbsp;protein&nbsp;S5,98.8
585530.HMPREF0183_0513,gluD,"ABC&nbsp;transporter,&nbsp;permease&nbsp;protein",98.8
585530.HMPREF0183_0497,EFG48240.1,Uncharacterized&nbsp;protein,98.8
585530.HMPREF0183_2089,EFG46644.1,Exodeoxyribonuclease&nbsp;III,98.8
585530.HMPREF0183_0137,surB,LPXTG-motif&nbsp;cell&nbsp;wall&nbsp;anchor&nbsp;domain&nbsp;protein,98.7
585530.HMPREF0183_1449,EFG47185.1,Mercury(II)&nbsp;reductase,98.6
585530.HMPREF0183_0990,sufD,FeS&nbsp;assembly&nbsp;protein&nbsp;SufD,98.5
585530.HMPREF0183_0653,malY,"Aminotransferase,&nbsp;class&nbsp;I/II",98.5
585530.HMPREF0183_0634,EFG48118.1,Phenylalanine--tRNA&nbsp;ligase,98.4
585530.HMPREF0183_1094,dcm,Cytosine-specific&nbsp;methyltransferase,98.4
585530.HMPREF0183_0665,EFG48149.1,"Antioxidant,&nbsp;AhpC/TSA&nbsp;family",98.3
585530.HMPREF0183_0914,punA,Purine&nbsp;nucleoside&nbsp;phosphorylase,98.3
585530.HMPREF0183_1211,EFG47419.1,Acetyl-coenzyme&nbsp;A&nbsp;synthetase,98.1
585530.HMPREF0183_1069,infB,Translation&nbsp;initiation&nbsp;factor&nbsp;IF-2,98.1
585530.HMPREF0183_1997,EFG46735.1,4'-phosphopantetheinyl&nbsp;transferase&nbsp;family&nbsp;protein,98.0
585530.HMPREF0183_0300,EFG48332.1,Cytokinin&nbsp;riboside&nbsp;5'-monophosphate&nbsp;phosphoribohydrolase,98.0
585530.HMPREF0183_2098,rplQ,50S&nbsp;ribosomal&nbsp;protein&nbsp;L17,97.7
