1300350.DSW25_11770,KEJ88917.1,Acyl-CoA&nbsp;synthetase,98.9
1300350.DSW25_14875,KEJ88381.1,Glutamyl-Q&nbsp;tRNA(Asp)&nbsp;ligase,98.9
1300350.DSW25_01490,gpsA,Glycerol-3-phosphate&nbsp;dehydrogenase&nbsp;[NAD(P)+],98.9
1300350.DSW25_09330,KEJ89222.1,FAD-dependent&nbsp;oxidoreductase,98.8
1300350.DSW25_07640,KEJ90071.1,C4-dicarboxylate&nbsp;ABC&nbsp;transporter&nbsp;permease,98.8
1300350.DSW25_11190,KEJ89554.1,Uncharacterized&nbsp;protein,98.7
1300350.DSW25_01720,KEJ90659.1,Malic&nbsp;enzyme,98.6
1300350.DSW25_14070,KEJ88770.1,Acyl-CoA&nbsp;dehydrogenase,98.6
1300350.DSW25_15620,KEJ88514.1,Alcohol&nbsp;dehydrogenase,98.6
1300350.DSW25_00045,KEJ90351.1,N-formylglutamate&nbsp;amidohydrolase,98.5
1300350.DSW25_04600,KEJ87904.1,Cbb3-type&nbsp;cytochrome&nbsp;c&nbsp;oxidase&nbsp;subunit,98.4
1300350.DSW25_14775,KEJ88362.1,Isoprenyl&nbsp;transferase,98.3
1300350.DSW25_11000,KEJ89524.1,SoxAX&nbsp;cytochrome&nbsp;complex&nbsp;subunit&nbsp;A,98.3
1300350.DSW25_11230,himA,Integration&nbsp;host&nbsp;factor&nbsp;subunit&nbsp;alpha,98.2
1300350.DSW25_11060,KEJ89536.1,Aminotransferase,98.0
1300350.DSW25_13440,argB,Acetylglutamate&nbsp;kinase,98.0
1300350.DSW25_14800,bamA,Outer&nbsp;membrane&nbsp;protein&nbsp;assembly&nbsp;factor&nbsp;BamA,98.0
1300350.DSW25_16175,ileS,Isoleucine--tRNA&nbsp;ligase,97.9
1300350.DSW25_07470,KEJ90041.1,Catalyzes&nbsp;the&nbsp;formation&nbsp;of&nbsp;5-aminolevulinate&nbsp;from&nbsp;succinyl-CoA&nbsp;and&nbsp;glycine,97.8
1300350.DSW25_04300,KEJ87938.1,C4-dicarboxylate&nbsp;ABC&nbsp;transporter&nbsp;permease,97.7
1300350.DSW25_07405,glyS,Glycine--tRNA&nbsp;ligase&nbsp;beta&nbsp;subunit,97.7
1300350.DSW25_05155,KEJ87770.1,Uncharacterized&nbsp;protein,97.7
1300350.DSW25_03995,KEJ87985.1,Uncharacterized&nbsp;protein,97.7
1300350.DSW25_05025,rplJ,50S&nbsp;ribosomal&nbsp;protein&nbsp;L10,97.7
1300350.DSW25_10310,KEJ89394.1,Acetylornithine&nbsp;deacetylase,97.6
1300350.DSW25_13175,rpsH,30S&nbsp;ribosomal&nbsp;protein&nbsp;S8,97.6
1300350.DSW25_06855,KEJ89927.1,Exopolyphosphatase,97.6
1300350.DSW25_12510,KEJ89046.1,Glyceraldehyde-3-phosphate&nbsp;dehydrogenase,97.6
1300350.DSW25_12845,KEJ89105.1,Glutamate--tRNA&nbsp;ligase,97.4
1300350.DSW25_04125,KEJ88009.1,Exopolyphosphatase,97.4
1300350.DSW25_02720,KEJ90830.1,Peptide&nbsp;ABC&nbsp;transporter&nbsp;permease,97.3
1300350.DSW25_17695,deoA,Thymidine&nbsp;phosphorylase,97.3
1300350.DSW25_12410,KEJ89154.1,Uncharacterized&nbsp;protein,97.2
