743720.Psefu_2182,Psefu_2182,Filamentous&nbsp;hemagglutinin&nbsp;family&nbsp;outer&nbsp;membrane&nbsp;protein,98.9
743720.Psefu_0580,Psefu_0580,Pyruvate&nbsp;carboxylase,98.9
743720.Psefu_3591,Psefu_3591,Dihydropteroate&nbsp;synthase,98.9
743720.Psefu_4217,tatB,Sec-independent&nbsp;protein&nbsp;translocase&nbsp;protein&nbsp;TatB,98.9
743720.Psefu_0151,ilvD,PFAM:&nbsp;Dihydroxy-acid/6-phosphogluconate&nbsp;dehydratase,98.9
743720.Psefu_2328,Psefu_2328,TIGRFAM:&nbsp;ATP-dependent&nbsp;Clp&nbsp;protease&nbsp;ATP-binding&nbsp;subunit&nbsp;ClpA,98.9
743720.Psefu_0791,amn,AMP&nbsp;nucleosidase,98.9
743720.Psefu_3530,Psefu_3530,"KEGG:&nbsp;pmy:Pmen_2345&nbsp;xanthine&nbsp;dehydrogenase,&nbsp;molybdenum&nbsp;binding&nbsp;subunit&nbsp;apoprotein",98.9
743720.Psefu_2242,glnS,Glutamine--tRNA&nbsp;ligase,98.9
743720.Psefu_2256,Psefu_2256,"PFAM:&nbsp;Bacterial&nbsp;extracellular&nbsp;solute-binding&nbsp;protein,&nbsp;family&nbsp;5",98.9
743720.Psefu_2939,Psefu_2939,"Periplasmic&nbsp;nitrate&nbsp;reductase,&nbsp;electron&nbsp;transfer&nbsp;subunit",98.9
743720.Psefu_2036,Psefu_2036,3-oxoadipate&nbsp;CoA-transferase,98.8
743720.Psefu_3572,ftsL,Cell&nbsp;division&nbsp;protein&nbsp;FtsL,98.8
743720.Psefu_3601,dnaK,Chaperone&nbsp;protein&nbsp;DnaK,98.8
743720.Psefu_3134,Psefu_3134,PFAM:&nbsp;Aminotransferase&nbsp;class-III,98.8
743720.Psefu_3730,rtcA,RNA&nbsp;3'-terminal&nbsp;phosphate&nbsp;cyclase,98.8
743720.Psefu_1738,rbsK,Ribokinase,98.7
743720.Psefu_2183,Psefu_2183,"PFAM:&nbsp;Polypeptide-transport-associated,&nbsp;ShlB-type",98.7
743720.Psefu_3410,ispD,2-C-methyl-D-erythritol&nbsp;4-phosphate&nbsp;cytidylyltransferase,98.7
743720.Psefu_4263,Psefu_4263,KEGG:&nbsp;pmy:Pmen_4353&nbsp;CRP/FNR&nbsp;family&nbsp;transcriptional&nbsp;regulator,98.6
743720.Psefu_1781,Psefu_1781,Ribonucleoside-diphosphate&nbsp;reductase&nbsp;subunit&nbsp;beta,98.5
743720.Psefu_3376,ackA,Acetate&nbsp;kinase,98.5
743720.Psefu_3548,Psefu_3548,2-dehydropantoate&nbsp;2-reductase,98.5
