1028801.RG1141_CH18230,CDN54164.1,annotation&nbsp;not&nbsp;available,98.9
1028801.RG1141_CH45240,rpsT,30S&nbsp;ribosomal&nbsp;protein&nbsp;S20,98.8
1028801.RG1141_PA10590,glnP,annotation&nbsp;not&nbsp;available,98.8
1028801.RG1141_CH39710,CDN56291.1,Acetyl-coenzyme&nbsp;A&nbsp;synthetase,98.7
1028801.RG1141_CH17250,nifS,annotation&nbsp;not&nbsp;available,98.7
1028801.RG1141_CH20620,CDN54401.1,annotation&nbsp;not&nbsp;available,98.7
1028801.RG1141_CH42320,nusA,Transcription&nbsp;termination/antitermination&nbsp;protein&nbsp;NusA,98.7
1028801.RG1141_CH06780,CDN53038.1,Oxygen-dependent&nbsp;choline&nbsp;dehydrogenase,98.6
1028801.RG1141_CH10540,moaD,Molybdopterin&nbsp;synthase&nbsp;sulfur&nbsp;carrier&nbsp;subunit,98.6
1028801.RG1141_PA12430,CDN58075.1,annotation&nbsp;not&nbsp;available,98.5
1028801.RG1141_CH37540,CDN56081.1,annotation&nbsp;not&nbsp;available,98.5
1028801.RG1141_CH15530,pdhA,Pyruvate&nbsp;dehydrogenase&nbsp;E1&nbsp;component&nbsp;subunit&nbsp;alpha,98.5
1028801.RG1141_PA02740,CDN57109.1,annotation&nbsp;not&nbsp;available,98.5
1028801.RG1141_PA09480,CDN57780.1,annotation&nbsp;not&nbsp;available,98.4
1028801.RG1141_CH24450,CDN54782.1,annotation&nbsp;not&nbsp;available,98.4
1028801.RG1141_CH28750,CDN55212.1,annotation&nbsp;not&nbsp;available,98.4
1028801.RG1141_PA07280,CDN57560.1,annotation&nbsp;not&nbsp;available,98.4
1028801.RG1141_CH29340,CDN55270.1,annotation&nbsp;not&nbsp;available,98.4
1028801.RG1141_PA08220,CDN57654.1,annotation&nbsp;not&nbsp;available,98.3
1028801.RG1141_CH32860,mcpB,annotation&nbsp;not&nbsp;available,98.3
1028801.RG1141_PA09420,CDN57774.1,annotation&nbsp;not&nbsp;available,98.3
1028801.RG1141_CH29420,CDN55278.1,annotation&nbsp;not&nbsp;available,98.3
1028801.RG1141_CH36630,CDN55991.1,Aconitate&nbsp;hydratase,98.2
1028801.RG1141_PA06290,CDN57461.1,annotation&nbsp;not&nbsp;available,98.2
1028801.RG1141_CH37300,CDN56057.1,Ferredoxin,98.2
1028801.RG1141_CH11610,bme9,"GDP-mannose&nbsp;4,6-dehydratase",98.1
1028801.RG1141_CH18730,gcvP,Glycine&nbsp;dehydrogenase&nbsp;(decarboxylating),98.1
1028801.RG1141_CH11980,proS,Proline--tRNA&nbsp;ligase,98.1
1028801.RG1141_PA13420,CDN58174.1,annotation&nbsp;not&nbsp;available,98.1
1028801.RG1141_PA02320,CDN57067.1,annotation&nbsp;not&nbsp;available,98.1
1028801.RG1141_CH16680,CDN54011.1,annotation&nbsp;not&nbsp;available,98.0
1028801.RG1141_CH15510,eno,Enolase,98.0
1028801.RG1141_CH16730,CDN54016.1,annotation&nbsp;not&nbsp;available,98.0
1028801.RG1141_CH32540,CDN55589.1,annotation&nbsp;not&nbsp;available,98.0
1028801.RG1141_PA07750,trbI,annotation&nbsp;not&nbsp;available,98.0
1028801.RG1141_CH24670,carB,annotation&nbsp;not&nbsp;available,97.9
